# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  65               4.82150148E+00   1.60428671E+03   8.38745944E-01   1.60276378E-01   2.35938245E-05   5.02363837E-04   3.04060366E-04   2.81451369E-05   5.99756006E-05   2.20012883E-05  
  66               5.41835320E+00   1.64630791E+03   8.38733988E-01   1.60272895E-01   3.42557311E-05   5.07181340E-04   3.02250720E-04   2.33732230E-05   5.99771651E-05   2.19399529E-05  
  67               6.02882538E+00   1.69496453E+03   8.38701956E-01   1.60267359E-01   5.21162032E-05   5.12651149E-04   3.07599301E-04   1.78444957E-05   5.99878514E-05   2.16907321E-05  
  68               6.61190721E+00   1.73604755E+03   8.38639353E-01   1.60259454E-01   7.27001185E-05   5.16562104E-04   3.26599644E-04   1.39067393E-05   6.00080358E-05   2.12422842E-05  
  69               7.14190559E+00   1.77273725E+03   8.38556944E-01   1.60251220E-01   9.67041189E-05   5.19756219E-04   3.60409691E-04   1.06787219E-05   6.00417714E-05   2.06673032E-05  
  70               7.60067633E+00   1.80104674E+03   8.38496697E-01   1.60246035E-01   1.19288640E-04   5.21516710E-04   3.85643670E-04   8.90046455E-06   6.00655573E-05   2.03371062E-05  
  71               8.10427106E+00   1.83250728E+03   8.38459493E-01   1.60241237E-01   1.49713322E-04   5.22552526E-04   3.84644274E-04   7.84059659E-06   6.00544467E-05   2.03442460E-05  
  72               8.52954568E+00   1.85616682E+03   8.38435805E-01   1.60238906E-01   1.76343426E-04   5.23174033E-04   3.83978996E-04   7.20610943E-06   6.00602369E-05   2.03464620E-05  
  73               8.85919421E+00   1.87546444E+03   8.38413592E-01   1.60236755E-01   2.01214946E-04   5.23665498E-04   3.83447556E-04   6.69990110E-06   6.00527605E-05   2.03444970E-05  
  74               9.23108923E+00   1.89466510E+03   8.38389146E-01   1.60234453E-01   2.28366414E-04   5.24060714E-04   3.83012905E-04   6.29079888E-06   6.00445760E-05   2.03408916E-05  
  75               9.65136331E+00   1.91745856E+03   8.38356108E-01   1.60231371E-01   2.64964012E-04   5.24522794E-04   3.82503045E-04   5.81005019E-06   6.00343288E-05   2.03319219E-05  
  76               1.01242685E+01   1.94034188E+03   8.38287770E-01   1.60222011E-01   3.05894100E-04   5.24873599E-04   3.82068346E-04   5.41796015E-06   6.00133872E-05   2.03191757E-05  
  77               1.04628789E+01   1.95759230E+03   8.38256216E-01   1.60219147E-01   3.40563455E-04   5.25156945E-04   3.81753307E-04   5.12086060E-06   6.00363160E-05   2.03064551E-05  
  78               1.06938263E+01   1.96771353E+03   8.38236769E-01   1.60217398E-01   3.61883603E-04   5.25282599E-04   3.81612638E-04   4.98370646E-06   6.00240972E-05   2.02987943E-05  
  79               1.09579031E+01   1.98083532E+03   8.38209452E-01   1.60214932E-01   3.91868847E-04   5.25472435E-04   3.81388606E-04   4.77994734E-06   6.00157965E-05   2.02861943E-05  
  80               1.12605092E+01   1.99378381E+03   8.38181230E-01   1.60212409E-01   4.22728336E-04   5.25617482E-04   3.81234896E-04   4.62058460E-06   6.00083617E-05   2.02736671E-05  
  81               1.16059516E+01   2.00996097E+03   8.38142748E-01   1.60208964E-01   4.64864960E-04   5.25816069E-04   3.80991686E-04   4.40324463E-06   6.00014089E-05   2.02544590E-05  
  82               1.19988210E+01   2.02613331E+03   8.38101831E-01   1.60205329E-01   5.09516956E-04   5.25970721E-04   3.80833788E-04   4.22840700E-06   5.99927899E-05   2.02345175E-05  
  83               1.24438090E+01   2.04563302E+03   8.38047530E-01   1.60200507E-01   5.68878378E-04   5.26166684E-04   3.80580083E-04   4.00693095E-06   5.99838575E-05   2.02056879E-05  
  84               1.29481422E+01   2.06532308E+03   8.37988460E-01   1.60195289E-01   6.33362362E-04   5.26319079E-04   3.80367149E-04   3.82639357E-06   5.99722514E-05   2.01745046E-05  
  85               1.35178056E+01   2.08845926E+03   8.37911217E-01   1.60188471E-01   7.17665052E-04   5.26500664E-04   3.80110332E-04   3.60972803E-06   5.99601024E-05   2.01319288E-05  
  86               1.41591400E+01   2.11187105E+03   8.37825932E-01   1.60180972E-01   8.10652813E-04   5.26638620E-04   3.79892616E-04   3.43267280E-06   5.99446842E-05   2.00853942E-05  
  87               1.48789111E+01   2.13867227E+03   8.37716422E-01   1.60171350E-01   9.30025160E-04   5.26792275E-04   3.79641425E-04   3.23087800E-06   5.99282610E-05   2.00243914E-05  
  88               1.56843328E+01   2.16578930E+03   8.37594301E-01   1.60160648E-01   1.06305311E-03   5.26902791E-04   3.79426517E-04   3.06640473E-06   5.99080875E-05   1.99576037E-05  
  89               1.65831523E+01   2.19613123E+03   8.37440193E-01   1.60147151E-01   1.23089430E-03   5.27016432E-04   3.79186931E-04   2.88704510E-06   5.98862107E-05   1.98732028E-05  
  90               1.75836952E+01   2.22679165E+03   8.37267374E-01   1.60132042E-01   1.41903001E-03   5.27087891E-04   3.78979662E-04   2.74172290E-06   5.98601093E-05   1.97811772E-05  
  91               1.86950158E+01   2.26037723E+03   8.37053401E-01   1.60113343E-01   1.65193571E-03   5.27150944E-04   3.78755042E-04   2.58978520E-06   5.98314017E-05   1.96689615E-05  
  92               1.99269339E+01   2.29432933E+03   8.36810441E-01   1.60091927E-01   1.91416468E-03   5.27172413E-04   3.78555992E-04   2.46694108E-06   5.97978329E-05   1.95471669E-05  
  93               2.12897012E+01   2.33081492E+03   8.36509667E-01   1.60066200E-01   2.23237898E-03   5.27220554E-04   3.84542527E-04   2.30595806E-06   5.97630361E-05   1.94369776E-05  
  94               2.27951779E+01   2.36756005E+03   8.36181560E-01   1.60037587E-01   2.58919342E-03   5.27184560E-04   3.84463518E-04   2.20924908E-06   5.97207822E-05   1.92829436E-05  
  95               2.44569376E+01   2.40650059E+03   8.35790332E-01   1.60003474E-01   3.01466555E-03   5.27122727E-04   3.84364189E-04   2.11533749E-06   5.96737748E-05   1.91064094E-05  
  96               2.62894248E+01   2.44570684E+03   8.35352920E-01   1.59965348E-01   3.49034698E-03   5.27021065E-04   3.84266645E-04   2.04257290E-06   5.96206049E-05   1.89192885E-05  
  97               2.83086814E+01   2.48663109E+03   8.34842623E-01   1.59920875E-01   4.04529583E-03   5.26886470E-04   3.84152951E-04   1.97563422E-06   5.95614057E-05   1.87115152E-05  
  98               3.05324859E+01   2.52795093E+03   8.34272832E-01   1.59871228E-01   4.66492576E-03   5.26711552E-04   3.84039579E-04   1.92507415E-06   5.94951486E-05   1.84928156E-05  
  99               3.29813639E+01   2.57034958E+03   8.33625825E-01   1.59814860E-01   5.36851675E-03   5.26497300E-04   3.83919017E-04   1.88387605E-06   5.94214470E-05   1.82585124E-05  
  100              3.56784114E+01   2.61352726E+03   8.32900312E-01   1.59751659E-01   6.15746294E-03   5.26240778E-04   3.83796586E-04   1.85360502E-06   5.93395358E-05   1.80116226E-05  
  101              3.86501224E+01   2.65690845E+03   8.32104474E-01   1.59682343E-01   7.02285251E-03   5.25939903E-04   3.83682505E-04   1.83756914E-06   5.92486522E-05   1.77583315E-05  
