# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              H               
  53               8.54040105E-01   4.92279785E+02   8.38152824E-01   1.60479147E-01   7.55537622E-04   5.07830899E-04   5.43336769E-05   5.87440414E-06   2.29824882E-05   3.00632272E-21  
  54               9.80347057E-01   5.12834855E+02   8.38153215E-01   1.60478760E-01   7.55535338E-04   5.07829364E-04   5.43335126E-05   5.87438638E-06   2.29824327E-05   2.40154885E-20  
  55               1.12432409E+00   5.34557385E+02   8.38153436E-01   1.60478534E-01   7.55538552E-04   5.07831525E-04   5.43337435E-05   5.87441137E-06   2.29824003E-05   1.81428433E-19  
  56               1.28839474E+00   5.56576243E+02   8.38153726E-01   1.60478134E-01   7.55601228E-04   5.07873652E-04   5.43382506E-05   5.87489868E-06   2.29823430E-05   1.19583503E-18  
  57               1.47518051E+00   5.79841642E+02   8.38154369E-01   1.60477489E-01   7.55601559E-04   5.07873875E-04   5.43382743E-05   5.87490126E-06   2.29822507E-05   7.50515055E-18  
  58               1.68740855E+00   6.03373893E+02   8.38155316E-01   1.60476544E-01   7.55600781E-04   5.07873352E-04   5.43382182E-05   5.87489521E-06   2.29821153E-05   4.15304225E-17  
  59               1.92813715E+00   6.28183948E+02   8.38156672E-01   1.60475190E-01   7.55599208E-04   5.07872295E-04   5.43381049E-05   5.87488298E-06   2.29819214E-05   2.19477178E-16  
  60               2.20114002E+00   6.53259454E+02   8.38158337E-01   1.60473529E-01   7.55596972E-04   5.07870791E-04   5.43379438E-05   5.87486559E-06   2.29816836E-05   1.03541212E-15  
  61               2.51063649E+00   6.79715589E+02   8.38160332E-01   1.60471539E-01   7.55593966E-04   5.07868771E-04   5.43377275E-05   5.87484223E-06   2.29813986E-05   4.69898876E-15  
  62               2.86094372E+00   7.06418290E+02   8.38162392E-01   1.60469482E-01   7.55590758E-04   5.07866614E-04   5.43374965E-05   5.87481728E-06   2.29811039E-05   1.92264995E-14  
  63               3.25650186E+00   7.34503613E+02   8.38164514E-01   1.60467353E-01   7.55587359E-04   5.07864330E-04   5.43372518E-05   5.87479086E-06   2.29807991E-05   7.57584605E-14  
  64               3.70205474E+00   7.62741097E+02   8.38166432E-01   1.60465401E-01   7.55584482E-04   5.07862396E-04   5.43370445E-05   5.87476849E-06   2.29805194E-05   2.70872615E-13  
  65               4.20426147E+00   7.92428338E+02   8.38168107E-01   1.60463522E-01   7.55582136E-04   5.07860819E-04   5.43368755E-05   5.87475028E-06   2.29802502E-05   9.37441835E-13  
  66               4.77101906E+00   8.22360132E+02   8.38169477E-01   1.60461892E-01   7.55581014E-04   5.07860066E-04   5.43367944E-05   5.87474172E-06   2.29800164E-05   2.98506426E-12  
  67               5.41014468E+00   8.53853870E+02   8.38170909E-01   1.60460445E-01   7.55584679E-04   5.07862529E-04   5.43370575E-05   5.87477123E-06   2.29798082E-05   9.24870465E-12  
  68               6.12924074E+00   8.85528324E+02   8.38172084E-01   1.60459237E-01   7.55589289E-04   5.07865627E-04   5.43373885E-05   5.87481321E-06   2.29854683E-05   2.65213668E-11  
  69               6.93556916E+00   9.18676423E+02   8.38173097E-01   1.60458153E-01   7.55589592E-04   5.07865831E-04   5.43374098E-05   5.87484944E-06   2.30012028E-05   7.38813232E-11  
  70               7.83728841E+00   9.51836936E+02   8.38173807E-01   1.60457238E-01   7.55590747E-04   5.07866608E-04   5.43374923E-05   5.87503437E-06   2.30443101E-05   1.91182033E-10  
  71               8.84646249E+00   9.86474613E+02   8.38174148E-01   1.60456360E-01   7.55593356E-04   5.07868361E-04   5.43376792E-05   5.87587844E-06   2.31635919E-05   4.81949338E-10  
  72               9.97523165E+00   1.02121919E+03   8.38173607E-01   1.60455471E-01   7.55599442E-04   5.07872450E-04   5.43381165E-05   5.87953270E-06   2.34596808E-05   1.14103568E-09  
  73               1.12353564E+01   1.05740400E+03   8.38172750E-01   1.60454622E-01   7.55623955E-04   5.07888909E-04   5.43398803E-05   5.89417920E-06   2.42848255E-05   2.63523435E-09  
  74               1.26385006E+01   1.09361620E+03   8.38173414E-01   1.60453896E-01   7.55624651E-04   5.07889246E-04   5.43399429E-05   5.94826573E-06   2.42846330E-05   5.74707725E-09  
  75               1.41975236E+01   1.13109998E+03   8.38174118E-01   1.60452999E-01   7.55624630E-04   5.07888369E-04   5.43400279E-05   6.13033280E-06   2.42843574E-05   1.22156681E-08  
  76               1.59287599E+01   1.16866359E+03   8.38174734E-01   1.60451827E-01   7.55620805E-04   5.07880599E-04   5.43402856E-05   6.67709895E-06   2.42839583E-05   2.47180226E-08  
  77               1.78555104E+01   1.20752861E+03   8.38175102E-01   1.60450090E-01   7.55591929E-04   5.07833841E-04   5.43410742E-05   8.08372075E-06   2.42833402E-05   4.89080617E-08  
  78               2.00004442E+01   1.24667622E+03   8.38174956E-01   1.60447585E-01   7.55424923E-04   5.07593266E-04   5.43429632E-05   1.10766589E-05   2.42824211E-05   9.29558345E-08  
  79               2.23863166E+01   1.28712212E+03   8.38174893E-01   1.60444039E-01   7.54664899E-04   5.06578465E-04   5.43459921E-05   1.63462408E-05   2.42810575E-05   1.73092263E-07  
  80               2.50388024E+01   1.32789768E+03   8.38177279E-01   1.60439753E-01   7.51963466E-04   5.03211485E-04   5.43485626E-05   2.41306290E-05   2.42791977E-05   3.11123252E-07  
  81               2.79906504E+01   1.36998329E+03   8.38185897E-01   1.60435007E-01   7.44989616E-04   4.95200216E-04   5.43488180E-05   3.49454869E-05   2.42766751E-05   5.48910191E-07  
  82               3.12843566E+01   1.41262406E+03   8.38201932E-01   1.60430039E-01   7.32665178E-04   4.82172255E-04   5.43471101E-05   4.87600265E-05   2.42732767E-05   9.40742308E-07  
  83               3.49853416E+01   1.45699474E+03   8.38223800E-01   1.60424161E-01   7.15742879E-04   4.64882840E-04   5.43448217E-05   6.61947703E-05   2.42682297E-05   1.59215512E-06  
  84               3.91504918E+01   1.50232123E+03   8.38249424E-01   1.60417386E-01   6.95655790E-04   4.44472480E-04   5.43428281E-05   8.65825715E-05   2.42601964E-05   2.63396544E-06  
  85               4.38195749E+01   1.54926412E+03   8.38278082E-01   1.60409565E-01   6.72593707E-04   4.21044838E-04   5.43423345E-05   1.09945952E-04   2.42450836E-05   4.29630669E-06  
