# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  76               9.03773477E+01   2.13995111E+03   8.38110101E-01   1.60242805E-01   3.80331904E-04   4.60380197E-04   8.27114690E-05   4.45946661E-04   5.61361136E-05   2.10990781E-05  
  77               9.44753239E+01   2.16292251E+03   8.38071359E-01   1.60238359E-01   4.26070894E-04   4.57774286E-04   7.99493891E-05   4.48561916E-04   5.60627869E-05   2.10755073E-05  
  78               9.74411253E+01   2.18055790E+03   8.38038727E-01   1.60234564E-01   4.64717622E-04   4.55550887E-04   7.76336756E-05   4.50763559E-04   5.60166807E-05   2.10539771E-05  
  79               1.00970014E+02   2.19912602E+03   8.38001717E-01   1.60230566E-01   5.07544662E-04   4.53714675E-04   7.56931221E-05   4.52574520E-04   5.59523738E-05   2.10330077E-05  
  80               1.05149033E+02   2.22217382E+03   8.37951311E-01   1.60225115E-01   5.65880295E-04   4.51227270E-04   7.30747010E-05   4.55029940E-04   5.58843119E-05   2.10028508E-05  
  81               1.10073275E+02   2.24670573E+03   8.37892585E-01   1.60219107E-01   6.32714476E-04   4.49103081E-04   7.07997215E-05   4.57117262E-04   5.57955853E-05   2.09714166E-05  
  82               1.15847351E+02   2.27585739E+03   8.37814780E-01   1.60211234E-01   7.20966477E-04   4.46513164E-04   6.80245756E-05   4.59661581E-04   5.56982969E-05   2.09292484E-05  
  83               1.22584667E+02   2.30694228E+03   8.37720622E-01   1.60201897E-01   8.24298650E-04   4.44285219E-04   6.55816835E-05   4.61835473E-04   5.55774709E-05   2.08833422E-05  
  84               1.30409323E+02   2.34251242E+03   8.37594497E-01   1.60190178E-01   9.57184798E-04   4.46972410E-04   6.22171721E-05   4.64909522E-04   5.54487318E-05   2.08485061E-05  
  85               1.39457873E+02   2.38024486E+03   8.37452425E-01   1.60176956E-01   1.11433633E-03   4.45045810E-04   5.98379599E-05   4.66917138E-04   5.52876353E-05   2.07842370E-05  
