# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  49               4.17855057E-01   1.18600192E+03   8.38786724E-01   1.60303534E-01   2.13594913E-07   5.26006135E-04   2.74107629E-04   6.03704902E-05   8.67755000E-12   2.42574799E-05  
  50               4.67191631E-01   1.22263582E+03   8.38797105E-01   1.60293005E-01   3.98181540E-07   5.26004448E-04   2.74090549E-04   6.03704957E-05   4.06101628E-11   2.42532398E-05  
  51               5.21700164E-01   1.26291478E+03   8.38805088E-01   1.60284754E-01   7.59810450E-07   5.26016221E-04   2.74064790E-04   6.03708258E-05   1.97573508E-10   2.42474045E-05  
  52               5.81870254E-01   1.30064270E+03   8.38809736E-01   1.60279766E-01   1.33483514E-06   5.26051038E-04   2.74028965E-04   6.03716528E-05   7.73220360E-10   2.42396149E-05  
  53               6.48220639E-01   1.34209830E+03   8.38812915E-01   1.60275959E-01   2.39756606E-06   5.26117374E-04   2.73990403E-04   6.03725789E-05   3.14834394E-09   2.42241625E-05  
  54               7.21286189E-01   1.38089978E+03   8.38814195E-01   1.60273720E-01   3.99659316E-06   5.26233500E-04   2.74004593E-04   6.03738209E-05   1.06125397E-08   2.41928700E-05  
  55               8.01753658E-01   1.42359502E+03   8.38812776E-01   1.60271741E-01   6.81107189E-06   5.26419810E-04   2.74223610E-04   6.03753738E-05   3.73307718E-08   2.41031213E-05  
  56               8.90181510E-01   1.46348280E+03   8.38806736E-01   1.60270012E-01   1.08401152E-05   5.26709464E-04   2.75096211E-04   6.03790071E-05   1.10691344E-07   2.38814408E-05  
  57               9.86591914E-01   1.50697667E+03   8.38787414E-01   1.60266892E-01   1.75464935E-05   5.27132270E-04   2.77532842E-04   6.03870949E-05   3.34639750E-07   2.32597928E-05  
  58               1.08987822E+00   1.54660662E+03   8.38773365E-01   1.60267216E-01   2.64443146E-05   5.27700306E-04   2.82858073E-04   6.04056308E-05   7.44482869E-07   2.17211406E-05  
  59               1.19828956E+00   1.58853379E+03   8.38750036E-01   1.60264293E-01   4.00300892E-05   5.28173956E-04   2.88918224E-04   6.04137249E-05   3.09010869E-06   2.16488975E-05  
  60               1.30755698E+00   1.62447233E+03   8.38715056E-01   1.60260564E-01   5.58859036E-05   5.28598662E-04   2.99375656E-04   6.04267376E-05   9.00574281E-06   2.14429969E-05  
  61               1.41103968E+00   1.65968119E+03   8.38656254E-01   1.60254861E-01   7.66510505E-05   5.29044212E-04   3.17553373E-04   6.04589474E-05   2.20394307E-05   2.10327370E-05  
  62               1.50191748E+00   1.68570154E+03   8.38590728E-01   1.60248696E-01   9.56148883E-05   5.29351478E-04   3.40178276E-04   6.04895918E-05   3.81085547E-05   2.06120186E-05  
  63               1.59528806E+00   1.71466876E+03   8.38513063E-01   1.60244305E-01   1.21773222E-04   5.29628029E-04   3.68388271E-04   6.05218989E-05   6.58399552E-05   2.00427046E-05  
  64               1.67939841E+00   1.73628080E+03   8.38476149E-01   1.60239383E-01   1.44541861E-04   5.29758209E-04   3.75391135E-04   6.05401221E-05   6.57959734E-05   2.00484654E-05  
  65               1.75119872E+00   1.75730748E+03   8.38450778E-01   1.60236989E-01   1.70688148E-04   5.29784803E-04   3.77007476E-04   6.05396543E-05   6.57570302E-05   2.00479864E-05  
  66               1.83175489E+00   1.77636713E+03   8.38426257E-01   1.60234789E-01   1.97012163E-04   5.29812949E-04   3.77379990E-04   6.05386937E-05   6.57171382E-05   2.00446586E-05  
  67               1.92184520E+00   1.80058077E+03   8.38390263E-01   1.60231623E-01   2.36287932E-04   5.29779529E-04   3.77308152E-04   6.05345295E-05   6.56697807E-05   2.00322527E-05  
  68               1.99177899E+00   1.81560670E+03   8.38334552E-01   1.60223512E-01   2.62993711E-04   5.29981493E-04   3.77350040E-04   6.05874386E-05   6.56338167E-05   2.00217419E-05  
  69               2.04297776E+00   1.82939756E+03   8.38309171E-01   1.60221297E-01   2.90729239E-04   5.29938252E-04   3.77251666E-04   6.05858848E-05   6.56066624E-05   2.00083293E-05  
  70               2.10126499E+00   1.84099845E+03   8.38287055E-01   1.60219363E-01   3.14831329E-04   5.29936967E-04   3.77189457E-04   6.05844153E-05   6.55794446E-05   1.99971233E-05  
  71               2.16738666E+00   1.85757412E+03   8.38251357E-01   1.60216235E-01   3.53696851E-04   5.29952903E-04   3.77121952E-04   6.05824358E-05   6.55452447E-05   1.99753802E-05  
  72               2.24211269E+00   1.87209874E+03   8.38218350E-01   1.60213348E-01   3.89621367E-04   5.29966198E-04   3.77061317E-04   6.05804367E-05   6.55105006E-05   1.99555423E-05  
