# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  63               1.80285164E+01   8.00788003E+02   8.38109737E-01   1.60466624E-01   7.79281204E-04   5.29804664E-04   4.40306245E-05   3.89383457E-05   2.29810597E-05   6.42525425E-13  
  64               2.03688668E+01   8.30792926E+02   8.38110530E-01   1.60465564E-01   7.79279186E-04   5.29803293E-04   4.40305107E-05   3.89382451E-05   2.29809076E-05   2.00621936E-12  
  65               2.29950300E+01   8.61129438E+02   8.38111618E-01   1.60464474E-01   7.79277838E-04   5.29802376E-04   4.40304347E-05   3.89381779E-05   2.29807510E-05   5.83820566E-12  
  66               2.59312290E+01   8.92810251E+02   8.38112631E-01   1.60463248E-01   7.79279587E-04   5.29803565E-04   4.40305336E-05   3.89382654E-05   2.29832952E-05   1.64805726E-11  
  67               2.91966549E+01   9.24598749E+02   8.38113784E-01   1.60462070E-01   7.79281178E-04   5.29804647E-04   4.40306237E-05   3.89383451E-05   2.29849091E-05   4.33666835E-11  
  68               3.28171406E+01   9.57558846E+02   8.38114934E-01   1.60460865E-01   7.79278565E-04   5.29802871E-04   4.40304762E-05   3.89382148E-05   2.29989337E-05   1.10470056E-10  
  69               3.68370537E+01   9.90641716E+02   8.38115921E-01   1.60459728E-01   7.79276726E-04   5.29801620E-04   4.40303725E-05   3.89381231E-05   2.30333899E-05   2.64669759E-10  
  70               4.12958291E+01   1.02497949E+03   8.38116695E-01   1.60458586E-01   7.79276604E-04   5.29801537E-04   4.40303658E-05   3.89381172E-05   2.31193453E-05   6.17320394E-10  
  71               4.62272150E+01   1.05937513E+03   8.38116949E-01   1.60457495E-01   7.79280563E-04   5.29804227E-04   4.40305897E-05   3.89383153E-05   2.33150427E-05   1.36175172E-09  
  72               5.16585829E+01   1.09483191E+03   8.38116601E-01   1.60456389E-01   7.79300079E-04   5.29817482E-04   4.40316931E-05   3.89392912E-05   2.37508418E-05   2.92089242E-09  
  73               5.76178308E+01   1.13014020E+03   8.38116419E-01   1.60455465E-01   7.79298065E-04   5.29816028E-04   4.40315823E-05   3.89391934E-05   2.42848996E-05   5.94264000E-09  
  74               6.41525950E+01   1.16642297E+03   8.38117136E-01   1.60454661E-01   7.79296515E-04   5.29814507E-04   4.40315113E-05   3.89391316E-05   2.42846733E-05   1.17846633E-08  
  75               7.13458114E+01   1.20271112E+03   8.38117718E-01   1.60453928E-01   7.79294655E-04   5.29810942E-04   4.40314945E-05   3.89391211E-05   2.42844042E-05   2.23801540E-08  
  76               7.92729276E+01   1.24020776E+03   8.38118222E-01   1.60453193E-01   7.79287670E-04   5.29796312E-04   4.40315221E-05   3.89391648E-05   2.42840497E-05   4.17218880E-08  
  77               8.79960945E+01   1.27774969E+03   8.38118636E-01   1.60452492E-01   7.79256233E-04   5.29737978E-04   4.40315377E-05   3.89392599E-05   2.42835903E-05   7.48888562E-08  
  78               9.75653666E+01   1.31635037E+03   8.38119102E-01   1.60451766E-01   7.79141347E-04   5.29548695E-04   4.40313249E-05   3.89393894E-05   2.42829612E-05   1.31917062E-07  
  79               1.08020082E+02   1.35482417E+03   8.38119789E-01   1.60451077E-01   7.78821604E-04   5.29084616E-04   4.40303173E-05   3.89396569E-05   2.42821323E-05   2.24191011E-07  
  80               1.19393897E+02   1.39402468E+03   8.38120878E-01   1.60450374E-01   7.78168598E-04   5.28248319E-04   4.40270076E-05   3.89406170E-05   2.42810022E-05   3.73202931E-07  
  81               1.31775622E+02   1.43309888E+03   8.38122310E-01   1.60449661E-01   7.77163721E-04   5.27067191E-04   4.40170426E-05   3.89437824E-05   2.42794912E-05   6.02227891E-07  
  82               1.45306823E+02   1.47307366E+03   8.38124118E-01   1.60448853E-01   7.75764160E-04   5.25488919E-04   4.39892474E-05   3.89528585E-05   2.42773689E-05   9.56448230E-07  
  83               1.60088324E+02   1.51316758E+03   8.38126181E-01   1.60447949E-01   7.73973546E-04   5.23510447E-04   4.39197854E-05   3.89757742E-05   2.42743538E-05   1.48183364E-06  
  84               1.76182761E+02   1.55397047E+03   8.38128667E-01   1.60446918E-01   7.71787559E-04   5.21029345E-04   4.37698535E-05   3.90263959E-05   2.42662265E-05   2.25884697E-06  
  85               1.93619256E+02   1.59472460E+03   8.38131075E-01   1.60445661E-01   7.69009263E-04   5.18074768E-04   4.35127338E-05   3.91188674E-05   2.42622123E-05   3.36343189E-06  
  86               2.12409197E+02   1.63570156E+03   8.38133740E-01   1.60444332E-01   7.66303505E-04   5.14570638E-04   4.31745447E-05   3.92476774E-05   2.42296504E-05   4.91528571E-06  
  87               2.32507780E+02   1.67630800E+03   8.38120026E-01   1.60439587E-01   7.62503676E-04   5.10602268E-04   4.28777128E-05   3.93884941E-05   2.42238210E-05   7.01997163E-06  
  88               2.53895584E+02   1.71668341E+03   8.38103785E-01   1.60437680E-01   7.78591424E-04   5.05532656E-04   4.26618997E-05   3.94842176E-05   2.33845659E-05   9.83118811E-06  
  89               2.76649888E+02   1.75661404E+03   8.38106109E-01   1.60435690E-01   7.73948336E-04   5.00599386E-04   4.25589684E-05   3.95254950E-05   2.33914002E-05   1.34947686E-05  
  90               3.01132405E+02   1.79690866E+03   8.38108198E-01   1.60433532E-01   7.68909800E-04   4.95182674E-04   4.25349556E-05   3.95240738E-05   2.33952427E-05   1.82997826E-05  
  91               3.27138980E+02   1.83673179E+03   8.38108353E-01   1.60431067E-01   7.63935087E-04   4.89482705E-04   4.26060613E-05   3.94725352E-05   2.33922940E-05   2.43777871E-05  
  92               3.54482003E+02   1.87613200E+03   8.38106033E-01   1.60428290E-01   7.59474546E-04   4.83479116E-04   4.27371010E-05   3.93881375E-05   2.33775234E-05   3.19686168E-05  
  93               3.83971083E+02   1.91575864E+03   8.38098539E-01   1.60424915E-01   7.56521380E-04   4.77127248E-04   4.29514856E-05   3.92588826E-05   2.33402039E-05   4.14752128E-05  
  94               4.14239166E+02   1.95413856E+03   8.38082136E-01   1.60420588E-01   7.56754127E-04   4.70522259E-04   4.32074803E-05   3.91061308E-05   2.32649103E-05   5.28033105E-05  
  95               4.44330466E+02   1.98988654E+03   8.38055105E-01   1.60415383E-01   7.61919840E-04   4.63880398E-04   4.35109327E-05   3.89283785E-05   2.31402941E-05   6.55110201E-05  
  96               4.77218560E+02   2.02698371E+03   8.38002604E-01   1.60406829E-01   7.74878203E-04   4.56145412E-04   4.38600030E-05   3.87229530E-05   2.29358283E-05   8.12445370E-05  
  97               5.13172783E+02   2.06500258E+03   8.37906891E-01   1.60396138E-01   8.21544532E-04   4.45172760E-04   4.42792118E-05   3.84794587E-05   2.24418502E-05   1.00394740E-04  
  98               5.48441529E+02   2.10041038E+03   8.37894978E-01   1.60392684E-01   8.15741179E-04   4.39006812E-04   4.47072062E-05   3.82317829E-05   2.24378800E-05   1.21377536E-04  
  99               5.81966598E+02   2.13219153E+03   8.37881419E-01   1.60389411E-01   8.10709155E-04   4.33613823E-04   4.51374659E-05   3.79839483E-05   2.24322493E-05   1.43053036E-04  
  100              6.19403856E+02   2.16614404E+03   8.37863712E-01   1.60385683E-01   8.05446739E-04   4.27924001E-04   4.56186613E-05   3.77055999E-05   2.24238766E-05   1.69538848E-04  
  101              6.61236511E+02   2.20190774E+03   8.37796160E-01   1.60372947E-01   8.00134880E-04   4.22132080E-04   4.61744969E-05   3.73817235E-05   2.24115896E-05   2.01444635E-04  
