# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  47               2.10941048E-01   1.18105197E+03   8.38780239E-01   1.60275197E-01   2.73399776E-07   5.29093892E-04   3.15042949E-04   6.04693332E-05   1.60949735E-11   1.58155963E-10  
  48               2.47428997E-01   1.22520467E+03   8.38784671E-01   1.60270438E-01   5.72927653E-07   5.29087563E-04   3.15039849E-04   6.04685715E-05   9.65314404E-11   1.04822258E-09  
  49               2.89298499E-01   1.26660862E+03   8.38786738E-01   1.60267793E-01   1.08568032E-06   5.29084545E-04   3.15042455E-04   6.04681104E-05   4.48266171E-10   5.31155733E-09  
  50               3.37108833E-01   1.31616799E+03   8.38787612E-01   1.60265573E-01   2.23868081E-06   5.29084239E-04   3.15062015E-04   6.04677869E-05   2.51024450E-09   3.27785178E-08  
  51               3.91370932E-01   1.36285054E+03   8.38786168E-01   1.60264198E-01   4.18913493E-06   5.29090465E-04   3.15150170E-04   6.04678580E-05   1.10613901E-08   1.57244195E-07  
  52               4.52619818E-01   1.41771869E+03   8.38779285E-01   1.60262454E-01   8.37952949E-06   5.29108357E-04   3.15463280E-04   6.04686234E-05   5.62163266E-08   8.76664972E-07  
  53               5.21308574E-01   1.47369523E+03   8.38757423E-01   1.60259192E-01   1.60977399E-05   5.29175584E-04   3.16545112E-04   6.04741341E-05   2.54371352E-07   4.32831855E-06  
  54               5.96951455E-01   1.52905300E+03   8.38739592E-01   1.60259894E-01   2.92287780E-05   5.29380247E-04   3.19761002E-04   6.04947288E-05   9.17897881E-07   1.89069530E-05  
  55               6.77585433E-01   1.58218735E+03   8.38700758E-01   1.60255553E-01   4.97122390E-05   5.29466426E-04   3.26323770E-04   6.05025766E-05   5.50997356E-06   2.11330630E-05  
  56               7.60141594E-01   1.63165044E+03   8.38626706E-01   1.60248652E-01   7.88740014E-05   5.29699278E-04   3.39880792E-04   6.05313987E-05   2.13973859E-05   2.87094206E-05  
  57               8.38171926E-01   1.67466101E+03   8.38515575E-01   1.60243759E-01   1.15101827E-04   5.30135449E-04   3.60615053E-04   6.05895405E-05   6.61238865E-05   5.03515148E-05  
  58               9.08672104E-01   1.71078204E+03   8.38470106E-01   1.60238909E-01   1.55644445E-04   5.30241124E-04   3.70225041E-04   6.06093893E-05   6.60725812E-05   5.04428165E-05  
  59               9.71333877E-01   1.74116127E+03   8.38427045E-01   1.60234757E-01   1.98572883E-04   5.30189149E-04   3.74517881E-04   6.06093507E-05   6.60278755E-05   5.05179541E-05  
  60               1.04319263E+00   1.77393707E+03   8.38343044E-01   1.60224133E-01   2.55630280E-04   5.30086591E-04   3.76086101E-04   6.06065397E-05   6.59752901E-05   5.05956461E-05  
  61               1.10335159E+00   1.80013511E+03   8.38291548E-01   1.60219538E-01   3.10666510E-04   5.30372150E-04   3.76752306E-04   6.06601799E-05   6.59337299E-05   5.06580886E-05  
  62               1.15022104E+00   1.81958978E+03   8.38248361E-01   1.60215759E-01   3.57605047E-04   5.30299402E-04   3.76811673E-04   6.06586071E-05   6.59018218E-05   5.07038801E-05  
  63               1.20485876E+00   1.84169171E+03   8.38192772E-01   1.60210901E-01   4.18063527E-04   5.30270411E-04   3.76779883E-04   6.06565859E-05   6.58647776E-05   5.07553529E-05  
  64               1.26814730E+00   1.86599153E+03   8.38122987E-01   1.60204805E-01   4.93958947E-04   5.30256396E-04   3.76714154E-04   6.06540261E-05   6.58225013E-05   5.08112473E-05  
  65               1.34093009E+00   1.89300345E+03   8.38033236E-01   1.60196965E-01   5.91538745E-04   5.30242910E-04   3.76639881E-04   6.06507268E-05   6.57741500E-05   5.08726551E-05  
  66               1.42392324E+00   1.92195519E+03   8.37921526E-01   1.60187215E-01   7.12959503E-04   5.30223359E-04   3.76585810E-04   6.06465771E-05   6.57199467E-05   5.09377518E-05  
  67               1.51758171E+00   1.95332592E+03   8.37779755E-01   1.60174840E-01   8.67186471E-04   5.30194319E-04   3.76471839E-04   6.06412098E-05   6.56591620E-05   5.10067977E-05  
  68               1.62333078E+00   1.98631424E+03   8.37605124E-01   1.60159601E-01   1.05716054E-03   5.30153909E-04   3.76343909E-04   6.06341794E-05   6.55918208E-05   5.10780467E-05  
