# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H                H2S             
  45               3.84790400E-01   2.89471830E+02   8.38111988E-01   1.60471137E-01   7.78767945E-04   5.29312087E-04   4.08181270E-05   4.05372698E-05   2.58234667E-37   2.29841164E-05  
  46               4.67310784E-01   3.00957457E+02   8.38111988E-01   1.60471136E-01   7.78768250E-04   5.29312294E-04   4.08181430E-05   4.05372858E-05   7.42667628E-36   2.29841164E-05  
  47               5.67416085E-01   3.14202377E+02   8.38111987E-01   1.60471136E-01   7.78768581E-04   5.29312519E-04   4.08181603E-05   4.05373032E-05   2.65377766E-34   2.29841164E-05  
  48               6.88717961E-01   3.27701366E+02   8.38111987E-01   1.60471136E-01   7.78768943E-04   5.29312765E-04   4.08181792E-05   4.05373222E-05   7.50769319E-33   2.29841164E-05  
  49               8.35490912E-01   3.43314911E+02   8.38111986E-01   1.60471136E-01   7.78769336E-04   5.29313032E-04   4.08181998E-05   4.05373428E-05   2.60259060E-31   2.29841164E-05  
  50               1.01285095E+00   3.59902548E+02   8.38111777E-01   1.60471096E-01   7.78769771E-04   5.29313328E-04   4.08182225E-05   4.05373656E-05   8.02570656E-30   2.29841107E-05  
  51               1.22694571E+00   3.79599149E+02   8.38111797E-01   1.60471076E-01   7.78770025E-04   5.29313501E-04   4.08182359E-05   4.05373791E-05   3.21912855E-28   2.29841078E-05  
  52               1.48456104E+00   4.02164447E+02   8.38111795E-01   1.60471076E-01   7.78771150E-04   5.29314265E-04   4.08182947E-05   4.05374378E-05   1.42491713E-26   2.29841077E-05  
  53               1.79342377E+00   4.25444893E+02   8.38111795E-01   1.60471075E-01   7.78771733E-04   5.29314661E-04   4.08183252E-05   4.05374684E-05   4.64584501E-25   2.29841076E-05  
  54               2.16297915E+00   4.50263178E+02   8.38111772E-01   1.60471070E-01   7.78772383E-04   5.29315103E-04   4.08183593E-05   4.05375025E-05   1.28045162E-23   2.29841068E-05  
  55               2.60433704E+00   4.75810653E+02   8.38111378E-01   1.60471010E-01   7.78770366E-04   5.29313732E-04   4.08182535E-05   4.05373978E-05   2.69852516E-22   2.29840983E-05  
  56               3.12962732E+00   5.02988412E+02   8.38108110E-01   1.60470724E-01   7.78840758E-04   5.29361576E-04   4.08219429E-05   4.05410623E-05   4.91140609E-21   2.29840573E-05  
  57               3.75238305E+00   5.30820773E+02   8.38108402E-01   1.60470426E-01   7.78844511E-04   5.29364127E-04   4.08221395E-05   4.05412580E-05   7.01524822E-20   2.29840146E-05  
  58               4.49043367E+00   5.60406608E+02   8.38108448E-01   1.60470376E-01   7.78845987E-04   5.29365130E-04   4.08222168E-05   4.05413353E-05   8.85896623E-19   2.29840076E-05  
  59               5.36385597E+00   5.90709338E+02   8.38108544E-01   1.60470279E-01   7.78846881E-04   5.29365738E-04   4.08222636E-05   4.05413823E-05   9.10372048E-18   2.29839936E-05  
  60               6.39294176E+00   6.22839820E+02   8.38108734E-01   1.60470087E-01   7.78847684E-04   5.29366284E-04   4.08223056E-05   4.05414246E-05   8.39704075E-17   2.29839662E-05  
  61               7.59865983E+00   6.55483401E+02   8.38109061E-01   1.60469759E-01   7.78848319E-04   5.29366716E-04   4.08223387E-05   4.05414582E-05   6.39407271E-16   2.29839192E-05  
  62               9.01091810E+00   6.90024577E+02   8.38109612E-01   1.60469207E-01   7.78848562E-04   5.29366881E-04   4.08223514E-05   4.05414715E-05   4.44107127E-15   2.29838400E-05  
  63               1.06627879E+01   7.25109146E+02   8.38110411E-01   1.60468404E-01   7.78848399E-04   5.29366771E-04   4.08223427E-05   4.05414636E-05   2.62158560E-14   2.29837251E-05  
  64               1.25872613E+01   7.62171139E+02   8.38111533E-01   1.60467268E-01   7.78847512E-04   5.29366168E-04   4.08222960E-05   4.05414182E-05   1.43116775E-13   2.29835623E-05  
  65               1.48208959E+01   7.99562956E+02   8.38112841E-01   1.60465897E-01   7.78846427E-04   5.29365430E-04   4.08222390E-05   4.05413625E-05   6.73505444E-13   2.29833659E-05  
  66               1.74181170E+01   8.39145504E+02   8.38114279E-01   1.60464240E-01   7.78845352E-04   5.29364700E-04   4.08221825E-05   4.05413074E-05   2.98424766E-12   2.29831280E-05  
  67               2.04424490E+01   8.79202239E+02   8.38115737E-01   1.60462543E-01   7.78848836E-04   5.29367068E-04   4.08223648E-05   4.05414897E-05   1.16945212E-11   2.29828840E-05  
  68               2.39472504E+01   9.21594387E+02   8.38117440E-01   1.60460803E-01   7.78851881E-04   5.29369137E-04   4.08225242E-05   4.05416493E-05   4.35863340E-11   2.29855329E-05  
  69               2.79744445E+01   9.63892459E+02   8.38118899E-01   1.60459225E-01   7.78851169E-04   5.29368654E-04   4.08224867E-05   4.05416133E-05   1.43710136E-10   2.30080327E-05  
  70               3.25735342E+01   1.00824475E+03   8.38120074E-01   1.60457669E-01   7.78852045E-04   5.29369249E-04   4.08225323E-05   4.05416601E-05   4.50801286E-10   2.30849185E-05  
  71               3.78327850E+01   1.05226669E+03   8.38120096E-01   1.60456207E-01   7.78857643E-04   5.29373053E-04   4.08228255E-05   4.05419528E-05   1.26908097E-09   2.33120453E-05  
  72               4.38326671E+01   1.09866811E+03   8.38119462E-01   1.60454836E-01   7.78880738E-04   5.29388733E-04   4.08240364E-05   4.05431568E-05   3.45380722E-09   2.42848546E-05  
  73               5.06445640E+01   1.14433061E+03   8.38120373E-01   1.60453839E-01   7.78881164E-04   5.29388834E-04   4.08240655E-05   4.05431874E-05   8.50735397E-09   2.42846003E-05  
  74               5.83513534E+01   1.19239814E+03   8.38121160E-01   1.60452837E-01   7.78881418E-04   5.29387409E-04   4.08241435E-05   4.05432683E-05   2.04006258E-08   2.42842573E-05  
  75               6.70464526E+01   1.23884578E+03   8.38121660E-01   1.60451973E-01   7.78873889E-04   5.29370879E-04   4.08242679E-05   4.05434065E-05   4.42985237E-08   2.42838197E-05  
  76               7.69002146E+01   1.28355354E+03   8.38121985E-01   1.60451218E-01   7.78817828E-04   5.29274066E-04   4.08243799E-05   4.05435971E-05   8.81134141E-08   2.42832455E-05  
  77               8.80538980E+01   1.32922364E+03   8.38122490E-01   1.60450437E-01   7.78573047E-04   5.28903711E-04   4.08241719E-05   4.05437883E-05   1.69292461E-07   2.42824189E-05  
  78               1.00613581E+02   1.37469685E+03   8.38123541E-01   1.60449709E-01   7.77887240E-04   5.28006625E-04   4.08227505E-05   4.05441966E-05   3.09721600E-07   2.42812738E-05  
  79               1.14682865E+02   1.42208157E+03   8.38125321E-01   1.60448880E-01   7.76589226E-04   5.26487172E-04   4.08167922E-05   4.05458184E-05   5.57890797E-07   2.42795674E-05  
  80               1.30400238E+02   1.47013298E+03   8.38127693E-01   1.60447930E-01   7.74688527E-04   5.24372918E-04   4.07948303E-05   4.05521307E-05   9.73265357E-07   2.42770478E-05  
  81               1.47982546E+02   1.52100403E+03   8.38130922E-01   1.60446672E-01   7.71923556E-04   5.21363995E-04   4.07223370E-05   4.05735753E-05   1.68993054E-06   2.42728840E-05  
  82               1.67575768E+02   1.57301364E+03   8.38134813E-01   1.60445106E-01   7.68262781E-04   5.17413523E-04   4.05325766E-05   4.06324866E-05   2.85993733E-06   2.42654998E-05  
  83               1.89229123E+02   1.62560927E+03   8.38139037E-01   1.60443171E-01   7.63730481E-04   5.12458950E-04   4.01959223E-05   4.07491847E-05   4.69851227E-06   2.42506386E-05  
  84               2.12942634E+02   1.67763942E+03   8.38126658E-01   1.60437792E-01   7.58704844E-04   5.06642708E-04   3.98773956E-05   4.08786132E-05   7.43024188E-06   2.42177101E-05  
  85               2.38668506E+02   1.72952981E+03   8.38112506E-01   1.60435018E-01   7.72317728E-04   4.99178713E-04   3.96818168E-05   4.09669193E-05   1.14041744E-05   2.33824370E-05  
  86               2.66528169E+02   1.78055937E+03   8.38116082E-01   1.60432071E-01   7.65360592E-04   4.91724051E-04   3.96576028E-05   4.09625825E-05   1.69286094E-05   2.33859222E-05  
  87               2.96864377E+02   1.83188280E+03   8.38117733E-01   1.60428643E-01   7.58019546E-04   4.83514440E-04   3.97373841E-05   4.09012241E-05   2.46067466E-05   2.33822512E-05  
  88               3.29929597E+02   1.88288472E+03   8.38114399E-01   1.60424594E-01   7.51673273E-04   4.74841881E-04   3.99560097E-05   4.07655943E-05   3.49074817E-05   2.33577796E-05  
  89               3.65827060E+02   1.93416665E+03   8.38098896E-01   1.60418979E-01   7.48648089E-04   4.65414379E-04   4.02575897E-05   4.05824303E-05   4.86513381E-05   2.32849282E-05  
  90               4.04175504E+02   1.98431599E+03   8.38064253E-01   1.60411520E-01   7.53738072E-04   4.55316188E-04   4.06679822E-05   4.03397732E-05   6.60952340E-05   2.31205233E-05  
  91               4.44152114E+02   2.03297696E+03   8.37999408E-01   1.60401008E-01   7.72327122E-04   4.43919690E-04   4.11273459E-05   4.00677683E-05   8.76252794E-05   2.28250979E-05  
  92               4.88747692E+02   2.08294536E+03   8.37913114E-01   1.60389644E-01   8.07088424E-04   4.30437396E-04   4.16964625E-05   3.97354069E-05   1.15290031E-04   2.24116122E-05  
  93               5.34686577E+02   2.13089993E+03   8.37893562E-01   1.60384465E-01   7.98760066E-04   4.21572717E-04   4.23051368E-05   3.93799579E-05   1.48089412E-04   2.24015908E-05  
  94               5.80666051E+02   2.17542079E+03   8.37869066E-01   1.60379287E-01   7.91453212E-04   4.13692894E-04   4.29435083E-05   3.90082546E-05   1.84792641E-04   2.23883367E-05  
  95               6.33189781E+02   2.22307211E+03   8.37825654E-01   1.60371416E-01   7.84017369E-04   4.05555796E-04   4.36743978E-05   3.85801795E-05   2.31732730E-04   2.23694959E-05  
  96               6.84015770E+02   2.26595061E+03   8.37787568E-01   1.60365592E-01   7.77846424E-04   3.98658089E-04   4.43975273E-05   3.81580060E-05   2.81487872E-04   2.23493239E-05  
  97               7.30519992E+02   2.30306857E+03   8.37746284E-01   1.60359719E-01   7.72829553E-04   3.92932444E-04   4.50531710E-05   3.77736098E-05   3.30989064E-04   2.23289989E-05  
  98               7.85095561E+02   2.34410806E+03   8.37688940E-01   1.60352950E-01   7.72188563E-04   3.86365418E-04   4.58234509E-05   3.73226923E-05   3.93255250E-04   2.23118083E-05  
  99               8.49029831E+02   2.38924661E+03   8.37590703E-01   1.60338950E-01   7.67188506E-04   3.80139560E-04   4.67162765E-05   3.67959250E-05   4.71702387E-04   2.22800970E-05  
  100              9.03364166E+02   2.42538392E+03   8.37529622E-01   1.60332326E-01   7.63593776E-04   3.75472729E-04   4.74671840E-05   3.63542815E-05   5.42667230E-04   2.22529680E-05  
  101              9.46697032E+02   2.45285393E+03   8.37478256E-01   1.60326828E-01   7.61111843E-04   3.72127819E-04   4.80623694E-05   3.60041591E-05   6.01750226E-04   2.22309857E-05  
