# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               H2S              NH3              CO              
  92               2.42200420E+01   1.29825054E+03   8.38171855E-01   1.60443390E-01   7.56327309E-04   5.07998589E-04   5.40486621E-05   2.42807325E-05   1.35985263E-05   1.66289136E-05  
  93               2.66463641E+01   1.33340672E+03   8.38174500E-01   1.60439888E-01   7.53665689E-04   5.04734339E-04   5.40501193E-05   2.42791050E-05   1.35988160E-05   2.32429637E-05  
  94               2.93069122E+01   1.36947702E+03   8.38181658E-01   1.60436096E-01   7.47908050E-04   4.98153341E-04   5.40496253E-05   2.42769909E-05   1.35984398E-05   3.19614504E-05  
  95               3.22340264E+01   1.40612395E+03   8.38194021E-01   1.60432107E-01   7.38396712E-04   4.88018862E-04   5.40479225E-05   2.42742400E-05   1.35972316E-05   4.28524240E-05  
  96               3.54711867E+01   1.44400220E+03   8.38210737E-01   1.60427521E-01   7.25496462E-04   4.74765622E-04   5.40458474E-05   2.42704190E-05   1.35944343E-05   5.63005291E-05  
  97               3.90555999E+01   1.48272278E+03   8.38230606E-01   1.60422254E-01   7.09991708E-04   4.59003731E-04   5.40438782E-05   2.42648680E-05   1.35877187E-05   7.20750394E-05  
  98               4.30156727E+01   1.52258523E+03   8.38253187E-01   1.60416219E-01   6.92134420E-04   4.40840364E-04   5.40425327E-05   2.42559473E-05   1.35718290E-05   9.02019356E-05  
  99               4.73632505E+01   1.56299861E+03   8.38276241E-01   1.60409427E-01   6.72699851E-04   4.21043601E-04   5.40455202E-05   2.42400020E-05   1.35389574E-05   1.09934613E-04  
  100              5.20947688E+01   1.60399717E+03   8.38300564E-01   1.60402389E-01   6.53164720E-04   3.99826523E-04   5.40464111E-05   2.41535558E-05   1.34817506E-05   1.31071838E-04  
  101              5.71630108E+01   1.64460290E+03   8.38231987E-01   1.60377491E-01   6.32267081E-04   3.78684605E-04   5.40684009E-05   2.41383500E-05   1.33923615E-05   1.52062259E-04  
