# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              N2               H2S             
  78               2.13750917E+02   1.59502821E+03   8.38126344E-01   1.60447008E-01   7.71200239E-04   5.20326727E-04   3.21148541E-06   4.69654937E-05   3.73851220E-05   2.42636592E-05  
  79               2.39864397E+02   1.64512170E+03   8.38128608E-01   1.60445522E-01   7.68073720E-04   5.16751703E-04   5.08593195E-06   4.65876887E-05   3.75439686E-05   2.42475410E-05  
  80               2.68308384E+02   1.69518784E+03   8.38114189E-01   1.60440675E-01   7.64684863E-04   5.12508284E-04   7.82587882E-06   4.62825782E-05   3.76808621E-05   2.42124134E-05  
  81               2.99294404E+02   1.74496790E+03   8.38097488E-01   1.60438586E-01   7.80200845E-04   5.07125684E-04   1.17017207E-05   4.61490139E-05   3.77399786E-05   2.34000316E-05  
  82               3.33078180E+02   1.79496908E+03   8.38098572E-01   1.60436266E-01   7.75183948E-04   5.01596115E-04   1.71177983E-05   4.61483772E-05   3.77253587E-05   2.34045853E-05  
  83               3.69889076E+02   1.84484216E+03   8.38097392E-01   1.60433547E-01   7.70036866E-04   4.95590340E-04   2.44685577E-05   4.62935749E-05   3.76344620E-05   2.34030236E-05  
  84               4.09895603E+02   1.89493917E+03   8.38091863E-01   1.60430255E-01   7.65747112E-04   4.89051064E-04   3.43358384E-05   4.65432815E-05   3.74868351E-05   2.33821937E-05  
  85               4.53197167E+02   1.94471009E+03   8.38076317E-01   1.60425862E-01   7.64626918E-04   4.82061283E-04   4.71809228E-05   4.69144292E-05   3.72738875E-05   2.33195273E-05  
  86               4.99520072E+02   1.99410606E+03   8.38041060E-01   1.60419288E-01   7.70687365E-04   4.74334648E-04   6.36041856E-05   4.73641412E-05   3.70164531E-05   2.31757437E-05  
  87               5.47742553E+02   2.04151305E+03   8.37977704E-01   1.60409911E-01   7.88724885E-04   4.65823720E-04   8.34617371E-05   4.78956188E-05   3.67141458E-05   2.29205801E-05  
  88               6.00966540E+02   2.09032147E+03   8.37884932E-01   1.60399695E-01   8.31315912E-04   4.54827592E-04   1.08894244E-04   4.85045911E-05   3.63679527E-05   2.24738682E-05  
  89               6.57250217E+02   2.13797063E+03   8.37861349E-01   1.60394531E-01   8.24712223E-04   4.47700263E-04   1.39357114E-04   4.91993106E-05   3.59755812E-05   2.24688056E-05  
  90               7.15706600E+02   2.18432515E+03   8.37836146E-01   1.60389798E-01   8.18473597E-04   4.40868638E-04   1.75202122E-04   4.99237273E-05   3.55647209E-05   2.24595054E-05  
  91               7.83132693E+02   2.23381187E+03   8.37801671E-01   1.60384253E-01   8.12218574E-04   4.33880489E-04   2.21080692E-04   5.07847545E-05   3.50768410E-05   2.24452088E-05  
  92               8.50070288E+02   2.27978973E+03   8.37750806E-01   1.60376445E-01   8.06712220E-04   4.27590820E-04   2.71725457E-04   5.16305429E-05   3.45945070E-05   2.24274329E-05  
  93               9.12039788E+02   2.31953929E+03   8.37707496E-01   1.60370765E-01   8.02333801E-04   4.22438011E-04   3.22344780E-04   5.24210276E-05   3.41445063E-05   2.24093849E-05  
  94               9.84516076E+02   2.36359389E+03   8.37647214E-01   1.60364052E-01   8.02362716E-04   4.16415522E-04   3.86732153E-04   5.33223613E-05   3.36291251E-05   2.23936097E-05  
  95               1.06904268E+03   2.41137147E+03   8.37578368E-01   1.60356304E-01   7.98090196E-04   4.10789947E-04   4.67103866E-04   5.43726544E-05   3.30283836E-05   2.23649621E-05  
  96               1.13837597E+03   2.44845443E+03   8.37487245E-01   1.60344028E-01   7.95017764E-04   4.06591711E-04   5.37818221E-04   5.52080559E-05   3.25459857E-05   2.23392239E-05  
  97               1.19094069E+03   2.47514265E+03   8.37438172E-01   1.60339173E-01   7.93050415E-04   4.03754403E-04   5.93424224E-04   5.58395943E-05   3.21834212E-05   2.23201058E-05  
  98               1.25301392E+03   2.50569951E+03   8.37377188E-01   1.60333002E-01   7.90908916E-04   4.00562547E-04   6.62394411E-04   5.65631047E-05   3.17657124E-05   2.22966345E-05  
  99               1.32597834E+03   2.53973531E+03   8.37302711E-01   1.60325697E-01   7.88836557E-04   3.97250896E-04   7.45868301E-04   5.74096870E-05   3.12778786E-05   2.22691535E-05  
  100              1.41136920E+03   2.57789577E+03   8.37210520E-01   1.60316836E-01   7.86726981E-04   3.93657319E-04   8.48605640E-04   5.83659353E-05   3.07239654E-05   2.22361684E-05  
  101              1.51090258E+03   2.61966533E+03   8.37098681E-01   1.60306377E-01   7.84857971E-04   3.90045322E-04   9.72286598E-04   5.94624676E-05   3.00894153E-05   2.21981786E-05  
