# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              Mg              
  88               4.26091121E+01   2.95039105E+03   8.21404131E-01   1.58748990E-01   1.86624667E-02   5.23742738E-04   3.79766952E-04   5.89373244E-05   8.06674894E-07   5.82453998E-05  
  89               4.78272554E+01   3.01492991E+03   8.18802438E-01   1.58522344E-01   2.14915363E-02   5.22800222E-04   3.79361909E-04   5.87179756E-05   8.32271175E-07   5.76294153E-05  
  90               5.37107528E+01   3.08008637E+03   8.15962245E-01   1.58274935E-01   2.45798320E-02   5.21754778E-04   3.78976350E-04   5.84644418E-05   8.64320521E-07   5.69810660E-05  
  91               6.03248493E+01   3.14510750E+03   8.12932147E-01   1.58011003E-01   2.78744700E-02   5.20614859E-04   3.78635446E-04   5.81705264E-05   9.04431146E-07   5.63045365E-05  
  92               6.77387601E+01   3.21048602E+03   8.09683849E-01   1.57728081E-01   3.14062003E-02   5.19369156E-04   3.78336051E-04   5.78239567E-05   9.51150447E-07   5.55995964E-05  
  93               7.60265431E+01   3.27547678E+03   8.06280436E-01   1.57431670E-01   3.51063807E-02   5.18029020E-04   3.78100905E-04   5.74122043E-05   1.00638976E-06   5.48710429E-05  
  94               8.52699430E+01   3.34065844E+03   8.02687528E-01   1.57118771E-01   3.90123774E-02   5.16580061E-04   3.77917122E-04   5.69120141E-05   1.06876869E-06   5.41183570E-05  
  95               9.55597377E+01   3.40539374E+03   7.98972186E-01   1.56795229E-01   4.30512262E-02   5.15033173E-04   3.77800106E-04   5.62991133E-05   1.14039397E-06   5.33459723E-05  
  96               1.06997717E+02   3.47036400E+03   7.95087737E-01   1.56456971E-01   4.72736546E-02   5.13368715E-04   3.77724111E-04   5.55310429E-05   1.21988371E-06   5.25526504E-05  
  97               1.19698947E+02   3.53491901E+03   7.91111708E-01   1.56110751E-01   5.15953102E-02   5.11598240E-04   3.77700896E-04   5.45660853E-05   1.30991643E-06   5.17427103E-05  
  98               1.33793095E+02   3.59986109E+03   7.86980092E-01   1.55750983E-01   5.60857526E-02   5.09695120E-04   3.77691293E-04   5.33319169E-05   1.40897561E-06   5.09140350E-05  
  99               1.49424961E+02   3.66447637E+03   7.82784174E-01   1.55385617E-01   6.06456523E-02   5.07672208E-04   3.77709026E-04   5.17665071E-05   1.52047234E-06   5.00711004E-05  
  100              1.66759642E+02   3.72964742E+03   7.78444612E-01   1.55007724E-01   6.53612186E-02   5.05496284E-04   3.77704691E-04   4.97613233E-05   1.64278347E-06   4.92111756E-05  
  101              1.85985501E+02   3.79468435E+03   7.74057047E-01   1.54625634E-01   7.01283695E-02   5.03178598E-04   3.77697344E-04   4.72427541E-05   1.77993431E-06   4.83383606E-05  
