# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               H2S             
  21               4.61593762E-03   3.54993430E+02   8.38251531E-01   1.60497333E-01   6.66429231E-04   4.33475301E-29   4.23772161E-04   6.96219093E-05   5.71460335E-05   2.29872455E-05  
  22               5.67381207E-03   3.66708477E+02   8.38251872E-01   1.60496990E-01   6.66430204E-04   4.15565673E-28   4.23772780E-04   6.96220110E-05   5.71461185E-05   2.29871964E-05  
  23               6.96912419E-03   3.68085256E+02   8.38251679E-01   1.60497179E-01   6.66432488E-04   4.90177911E-28   4.23774233E-04   6.96222497E-05   5.71463159E-05   2.29872234E-05  
  24               8.55470854E-03   3.80394957E+02   8.38252074E-01   1.60496729E-01   6.66433523E-04   4.45674562E-27   4.23774891E-04   6.96223578E-05   5.71464063E-05   2.29871589E-05  
  25               1.04945976E-02   3.82142114E+02   8.38251845E-01   1.60496954E-01   6.66435798E-04   5.51838372E-27   4.23776337E-04   6.96225955E-05   5.71466031E-05   2.29871911E-05  
  26               1.28670960E-02   3.94944195E+02   8.38252397E-01   1.60496400E-01   6.66436810E-04   4.63288684E-26   4.23776981E-04   6.96227012E-05   5.71466917E-05   2.29871118E-05  
  27               1.57671262E-02   3.97057558E+02   8.38252113E-01   1.60496677E-01   6.66440246E-04   5.96471823E-26   4.23779166E-04   6.96230602E-05   5.71469882E-05   2.29871515E-05  
  28               1.93101661E-02   4.10520732E+02   8.38252650E-01   1.60495952E-01   6.66441250E-04   4.72975255E-25   4.23779804E-04   6.96231652E-05   5.71470763E-05   2.29870476E-05  
  29               2.36348868E-02   4.13186369E+02   8.38252342E-01   1.60496254E-01   6.66443986E-04   6.46348942E-25   4.23781544E-04   6.96234510E-05   5.71473129E-05   2.29870909E-05  
  30               2.89092246E-02   4.27660976E+02   8.38253245E-01   1.60495349E-01   6.66444699E-04   5.04249969E-24   4.23781997E-04   6.96235255E-05   5.71473762E-05   2.29869614E-05  
  31               3.53370916E-02   4.31133641E+02   8.38252876E-01   1.60495684E-01   6.66450935E-04   7.48681069E-24   4.23785963E-04   6.96241771E-05   5.71479132E-05   2.29870093E-05  
  32               4.31652914E-02   4.46726227E+02   8.38253413E-01   1.60494399E-01   6.66451552E-04   5.70592162E-23   4.23786355E-04   6.96242415E-05   5.71479684E-05   2.29868252E-05  
  33               5.26874797E-02   4.51245558E+02   8.38252751E-01   1.60494595E-01   6.66454274E-04   9.31959049E-23   4.23788086E-04   6.96245259E-05   5.71482042E-05   2.29868533E-05  
  34               6.42595197E-02   4.68160089E+02   8.38253991E-01   1.60493353E-01   6.66455398E-04   6.95180304E-22   4.23788801E-04   6.96246434E-05   5.71483030E-05   2.29866755E-05  
  35               7.82994569E-02   4.74196190E+02   8.38253733E-01   1.60493579E-01   6.66472887E-04   1.28910085E-21   4.23799922E-04   6.96264705E-05   5.71498053E-05   2.29867078E-05  
  36               9.53055100E-02   4.92850328E+02   8.38253495E-01   1.60491145E-01   6.66476781E-04   9.57604625E-21   4.23802398E-04   6.96268773E-05   5.71501419E-05   2.29863592E-05  
  37               1.15850560E-01   5.00959127E+02   8.38253719E-01   1.60490918E-01   6.66478078E-04   2.06465782E-20   4.23803223E-04   6.96270129E-05   5.71502561E-05   2.29863267E-05  
  38               1.40665325E-01   5.19810458E+02   8.38255825E-01   1.60488817E-01   6.66475784E-04   1.26449237E-19   4.23801764E-04   6.96267732E-05   5.71500624E-05   2.29860257E-05  
  39               1.70598094E-01   5.29255611E+02   8.38255893E-01   1.60488668E-01   6.66519741E-04   2.84073312E-19   4.23829716E-04   6.96313655E-05   5.71538349E-05   2.29860045E-05  
  40               2.06661619E-01   5.49731359E+02   8.38258178E-01   1.60486385E-01   6.66519059E-04   1.65407786E-18   4.23829282E-04   6.96312942E-05   5.71537798E-05   2.29856775E-05  
  41               2.50028278E-01   5.61144808E+02   8.38258525E-01   1.60486032E-01   6.66522259E-04   3.99511410E-18   4.23831317E-04   6.96316287E-05   5.71540579E-05   2.29856269E-05  
  42               3.02091789E-01   5.83829847E+02   8.38260891E-01   1.60483668E-01   6.66521816E-04   2.26450850E-17   4.23831035E-04   6.96315824E-05   5.71540239E-05   2.29852882E-05  
  43               3.64437748E-01   5.97725047E+02   8.38261460E-01   1.60483092E-01   6.66525066E-04   5.90675105E-17   4.23833102E-04   6.96319220E-05   5.71543068E-05   2.29852057E-05  
  44               4.38919582E-01   6.23026807E+02   8.38263728E-01   1.60480824E-01   6.66525312E-04   3.24631087E-16   4.23833258E-04   6.96319477E-05   5.71543324E-05   2.29848810E-05  
  45               5.27686624E-01   6.40027853E+02   8.38264469E-01   1.60480075E-01   6.66528848E-04   9.14990279E-16   4.23835507E-04   6.96323173E-05   5.71546405E-05   2.29847737E-05  
  46               6.33375199E-01   6.68595227E+02   8.38266491E-01   1.60478050E-01   6.66530224E-04   4.89259536E-15   4.23836382E-04   6.96324610E-05   5.71547638E-05   2.29844837E-05  
  47               7.58864569E-01   6.89413166E+02   8.38267296E-01   1.60477230E-01   6.66534306E-04   1.47932205E-14   4.23838978E-04   6.96328875E-05   5.71551195E-05   2.29843661E-05  
  48               9.07400459E-01   7.21858583E+02   8.38268947E-01   1.60475554E-01   6.66537115E-04   7.62271728E-14   4.23840764E-04   6.96331811E-05   5.71553666E-05   2.29841261E-05  
  49               1.08258879E+00   7.47029707E+02   8.38269522E-01   1.60474749E-01   6.66542087E-04   2.40878889E-13   4.23843926E-04   6.96337006E-05   5.71557996E-05   2.29840107E-05  
  50               1.28850704E+00   7.83760342E+02   8.38270735E-01   1.60473456E-01   6.66546973E-04   1.16866791E-12   4.23847033E-04   6.96342112E-05   5.71562255E-05   2.29838252E-05  
  51               1.53001819E+00   8.13664448E+02   8.38271183E-01   1.60472776E-01   6.66556519E-04   3.73101157E-12   4.23853103E-04   6.96352087E-05   5.71570515E-05   2.29837274E-05  
  52               1.81254438E+00   8.54914683E+02   8.38272081E-01   1.60471836E-01   6.66565902E-04   1.66109102E-11   4.23859070E-04   6.96361899E-05   5.71578637E-05   2.29871301E-05  
  53               2.14203175E+00   8.89289103E+02   8.38272487E-01   1.60471309E-01   6.66571957E-04   5.09573362E-11   4.23862920E-04   6.96368309E-05   5.71583909E-05   2.30033033E-05  
  54               2.52486966E+00   9.34394902E+02   8.38272908E-01   1.60470502E-01   6.66578113E-04   1.99596037E-10   4.23866835E-04   6.96375300E-05   5.71589271E-05   2.30855410E-05  
  55               2.96802781E+00   9.72088230E+02   8.38272253E-01   1.60469734E-01   6.66586091E-04   5.57378667E-10   4.23871908E-04   6.96388145E-05   5.71596198E-05   2.33093479E-05  
  56               3.48037759E+00   1.01976623E+03   8.38271636E-01   1.60468382E-01   6.66602535E-04   1.86119525E-09   4.23882361E-04   6.96431695E-05   5.71610389E-05   2.42869195E-05  
  57               4.07208882E+00   1.05934979E+03   8.38273022E-01   1.60466955E-01   6.66617271E-04   4.58611511E-09   4.23891665E-04   6.96618710E-05   5.71623190E-05   2.42866142E-05  
  58               4.75594694E+00   1.10824886E+03   8.38276297E-01   1.60463594E-01   6.66615850E-04   1.29485189E-08   4.23890121E-04   6.97451766E-05   5.71622792E-05   2.42858945E-05  
  59               5.54575875E+00   1.14854484E+03   8.38279992E-01   1.60459494E-01   6.66605064E-04   2.80222468E-08   4.23875920E-04   7.01580553E-05   5.71622061E-05   2.42849766E-05  
  60               6.45827296E+00   1.19811261E+03   8.38287174E-01   1.60450853E-01   6.66532251E-04   6.82858059E-08   4.23779238E-04   7.17334269E-05   5.71617809E-05   2.42830354E-05  
  61               7.51224756E+00   1.23892324E+03   8.38292131E-01   1.60441641E-01   6.66051741E-04   1.32539192E-07   4.23113514E-04   7.70466923E-05   5.71627718E-05   2.42808280E-05  
  62               8.73304457E+00   1.28917409E+03   8.38299658E-01   1.60425217E-01   6.63774598E-04   2.86536311E-07   4.20016387E-04   9.11111746E-05   5.71660615E-05   2.42767354E-05  
  63               1.01551907E+01   1.33017176E+03   8.38309429E-01   1.60412650E-01   6.55050701E-04   5.05818530E-07   4.08947270E-04   1.13414340E-04   5.71715434E-05   2.42729262E-05  
  64               1.18322446E+01   1.38074569E+03   8.38339342E-01   1.60396540E-01   6.32394509E-04   9.84338326E-07   3.82130824E-04   1.48506051E-04   5.71747065E-05   2.42668218E-05  
  65               1.38263792E+01   1.42152204E+03   8.38370718E-01   1.60388611E-01   6.08080000E-04   1.59500868E-06   3.57210364E-04   1.73541942E-04   5.71724435E-05   2.42612529E-05  
  66               1.62103678E+01   1.47258116E+03   8.38414986E-01   1.60376899E-01   5.73835494E-04   2.84654942E-06   3.22264450E-04   2.08670300E-04   5.71688232E-05   2.42495180E-05  
  67               1.90423194E+01   1.51376830E+03   8.38437440E-01   1.60370371E-01   5.54568176E-04   4.32792523E-06   3.02799968E-04   2.28037154E-04   5.71660187E-05   2.42333626E-05  
  68               2.23693702E+01   1.56635971E+03   8.38472994E-01   1.60360290E-01   5.26083019E-04   7.27727255E-06   2.72224843E-04   2.58532893E-04   5.71631836E-05   2.41007261E-05  
  69               2.62122192E+01   1.60966621E+03   8.38486252E-01   1.60353980E-01   5.10079514E-04   1.07048843E-05   2.55981138E-04   2.74699544E-04   5.71525447E-05   2.40867307E-05  
  70               3.05530510E+01   1.66578484E+03   8.38500164E-01   1.60341783E-01   4.86847089E-04   1.74874831E-05   2.27105321E-04   3.03444098E-04   5.71359180E-05   2.37344055E-05  
  71               3.53380380E+01   1.71404900E+03   8.38503013E-01   1.60334197E-01   4.81984813E-04   2.57251936E-05   2.06436532E-04   3.23996120E-04   5.71016631E-05   2.28245838E-05  
  72               4.04944225E+01   1.77653924E+03   8.38512024E-01   1.60321849E-01   4.58328808E-04   4.19656016E-05   1.77332037E-04   3.52915806E-04   5.70579226E-05   2.26788877E-05  
  73               4.58513442E+01   1.83433332E+03   8.38483980E-01   1.60307841E-01   4.52056296E-04   6.38802219E-05   1.52170762E-04   3.77884819E-04   5.70036721E-05   2.23154625E-05  
  74               5.10732302E+01   1.88788557E+03   8.38410496E-01   1.60290600E-01   4.71015040E-04   9.22030501E-05   1.26821856E-04   4.03057849E-04   5.69567497E-05   2.16322672E-05  
  75               5.59267180E+01   1.93162201E+03   8.38354309E-01   1.60279712E-01   4.87140223E-04   1.22159882E-04   1.10381307E-04   4.19360120E-04   5.68944034E-05   2.12145426E-05  
  76               6.02420834E+01   1.97010241E+03   8.38335907E-01   1.60274208E-01   4.78150848E-04   1.55063534E-04   1.01257303E-04   4.28338055E-04   5.68383748E-05   2.11851782E-05  
  77               6.51432626E+01   2.00883710E+03   8.38299548E-01   1.60266881E-01   4.70802546E-04   1.94747444E-04   9.37710053E-05   4.35656428E-04   5.67577226E-05   2.11573641E-05  
  78               6.94075270E+01   2.04263489E+03   8.38269477E-01   1.60261610E-01   4.64647402E-04   2.36233680E-04   8.74829901E-05   4.41794347E-04   5.66961744E-05   2.11282713E-05  
  79               7.29458684E+01   2.06747962E+03   8.38242644E-01   1.60257703E-01   4.60997314E-04   2.70590486E-04   8.37275618E-05   4.45429410E-04   5.66335177E-05   2.11084089E-05  
  80               7.70736004E+01   2.09747658E+03   8.38204966E-01   1.60252466E-01   4.56473201E-04   3.18000199E-04   7.90678794E-05   4.49938837E-04   5.65704073E-05   2.10791729E-05  
  81               8.18580394E+01   2.12844794E+03   8.38127499E-01   1.60240800E-01   4.52705447E-04   3.72971793E-04   7.51568344E-05   4.53660005E-04   5.64827488E-05   2.10491105E-05  
  82               8.54656030E+01   2.15260664E+03   8.38086636E-01   1.60235979E-01   4.49690382E-04   4.21627906E-04   7.19925719E-05   4.56687969E-04   5.64263214E-05   2.10218982E-05  
  83               8.81040246E+01   2.16806275E+03   8.38058219E-01   1.60232872E-01   4.48191412E-04   4.54634811E-04   7.04196452E-05   4.58165820E-04   5.63764931E-05   2.10058985E-05  
  84               9.12595506E+01   2.18817878E+03   8.38017951E-01   1.60228395E-01   4.45922026E-04   5.01645007E-04   6.80549292E-05   4.60407709E-04   5.63264789E-05   2.09807162E-05  
  85               9.50147033E+01   2.20930541E+03   8.37972114E-01   1.60223625E-01   4.44072974E-04   5.54081074E-04   6.60972204E-05   4.62225129E-04   5.62569848E-05   2.09558212E-05  
  86               9.94607171E+01   2.23545954E+03   8.37909179E-01   1.60217087E-01   4.41587855E-04   6.26029271E-04   6.34759895E-05   4.64669876E-04   5.61833707E-05   2.09199541E-05  
  87               1.04697243E+02   2.26308757E+03   8.37835897E-01   1.60209843E-01   4.39528642E-04   7.08589940E-04   6.12591934E-05   4.66683030E-04   5.60873590E-05   2.08823826E-05  
  88               1.10833934E+02   2.29590397E+03   8.37735832E-01   1.60199863E-01   4.37016253E-04   8.18768910E-04   5.85538483E-05   4.69135967E-04   5.59823667E-05   2.08314804E-05  
  89               1.17989813E+02   2.33042740E+03   8.37613355E-01   1.60188667E-01   4.40150785E-04   9.47037459E-04   5.56929825E-05   4.71736756E-04   5.58575585E-05   2.08009403E-05  
  90               1.26298041E+02   2.37019280E+03   8.37461582E-01   1.60174489E-01   4.37990011E-04   1.11509026E-03   5.30980347E-05   4.73982089E-04   5.57136238E-05   2.07300706E-05  
  91               1.35906105E+02   2.41166792E+03   8.37282881E-01   1.60158201E-01   4.36338003E-04   1.31166407E-03   5.09773474E-05   4.75696837E-04   5.55392746E-05   2.06526793E-05  
  92               1.46979660E+02   2.45823877E+03   8.37052391E-01   1.60137351E-01   4.34572072E-04   1.56471736E-03   4.86782187E-05   4.77506324E-04   5.53454236E-05   2.05554361E-05  
  93               1.59704925E+02   2.50641390E+03   8.36781826E-01   1.60113259E-01   4.33346852E-04   1.86053914E-03   4.68655149E-05   4.78749913E-04   5.51160941E-05   2.04494393E-05  
  94               1.74302382E+02   2.55941357E+03   8.36439220E-01   1.60082902E-01   4.32147054E-04   2.23465623E-03   4.49884264E-05   4.79945069E-04   5.48602269E-05   2.03206816E-05  
  95               1.91034472E+02   2.61394036E+03   8.36039097E-01   1.60047789E-01   4.31511701E-04   2.67047328E-03   4.35816218E-05   4.80557684E-04   5.45623483E-05   2.01815358E-05  
  96               2.10216150E+02   2.67305895E+03   8.35541053E-01   1.60004206E-01   4.31028765E-04   3.21253981E-03   4.21873247E-05   4.81003567E-04   5.42287638E-05   2.00176303E-05  
  97               2.32225126E+02   2.73375078E+03   8.34962668E-01   1.59953882E-01   4.31141113E-04   3.84108122E-03   4.12284335E-05   4.80854477E-04   5.38443068E-05   1.98425289E-05  
  98               2.57523461E+02   2.79887664E+03   8.34254497E-01   1.59892361E-01   4.31540020E-04   4.61032552E-03   4.03349100E-05   4.80426687E-04   5.34118677E-05   1.96420826E-05  
  99               2.86676236E+02   2.86591378E+03   8.33434582E-01   1.59821368E-01   4.32581608E-04   5.50012337E-03   3.98242315E-05   4.79386100E-04   5.29162669E-05   1.94298662E-05  
  100              3.20384233E+02   2.93724369E+03   8.32448162E-01   1.59736039E-01   4.34084511E-04   6.57029361E-03   3.94335010E-05   4.77927380E-04   5.23550768E-05   1.91938483E-05  
  101              3.59520153E+02   3.01107917E+03   8.31308263E-01   1.59637624E-01   4.36325150E-04   7.80625867E-03   3.93774414E-05   4.75798784E-04   5.17120299E-05   1.89457305E-05  
