# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H               
  53               5.44725257E+00   4.18831323E+02   8.38090587E-01   1.60466999E-01   7.80360824E-04   5.31074233E-04   8.53868009E-05   2.29838311E-05   1.79114683E-05   1.00397150E-25  
  54               6.51252421E+00   4.42348381E+02   8.38090586E-01   1.60466999E-01   7.80360762E-04   5.31074191E-04   8.53867946E-05   2.29838311E-05   1.79114669E-05   2.59203739E-24  
  55               7.76092970E+00   4.65769521E+02   8.38090525E-01   1.60466988E-01   7.80360693E-04   5.31074144E-04   8.53867875E-05   2.29838296E-05   1.79114653E-05   4.73808907E-23  
  56               9.22089411E+00   4.90966977E+02   8.38090135E-01   1.60466967E-01   7.80360566E-04   5.31074058E-04   8.53867742E-05   2.29838266E-05   1.79114625E-05   7.92813257E-22  
  57               1.09242211E+01   5.16025587E+02   8.38089861E-01   1.60467229E-01   7.80367374E-04   5.31078690E-04   8.53875197E-05   2.29838640E-05   1.79116188E-05   9.88725486E-21  
  58               1.29042464E+01   5.42968555E+02   8.38087129E-01   1.60466702E-01   7.80364638E-04   5.31076828E-04   8.53872210E-05   2.29837885E-05   1.79115560E-05   1.15068119E-19  
  59               1.51943056E+01   5.69598779E+02   8.38087303E-01   1.60466416E-01   7.80426062E-04   5.31118631E-04   8.53939427E-05   2.29837476E-05   1.79129659E-05   1.03046280E-18  
  60               1.78436060E+01   5.96536528E+02   8.38087313E-01   1.60466407E-01   7.80425931E-04   5.31118542E-04   8.53939292E-05   2.29837462E-05   1.79129630E-05   7.72797001E-18  
  61               2.09070305E+01   6.23465902E+02   8.38087329E-01   1.60466391E-01   7.80425779E-04   5.31118438E-04   8.53939134E-05   2.29837439E-05   1.79129596E-05   4.84558085E-17  
  62               2.44319849E+01   6.53075779E+02   8.38087359E-01   1.60466361E-01   7.80425595E-04   5.31118313E-04   8.53938941E-05   2.29837397E-05   1.79129554E-05   3.07237020E-16  
  63               2.84623724E+01   6.83586668E+02   8.38087407E-01   1.60466313E-01   7.80425362E-04   5.31118154E-04   8.53938695E-05   2.29837327E-05   1.79129501E-05   1.74026913E-15  
  64               3.30530520E+01   7.14633795E+02   8.38087481E-01   1.60466238E-01   7.80425082E-04   5.31117964E-04   8.53938398E-05   2.29837221E-05   1.79129438E-05   8.70901661E-15  
  65               3.83036113E+01   7.46743118E+02   8.38087591E-01   1.60466127E-01   7.80424699E-04   5.31117703E-04   8.53937990E-05   2.29837061E-05   1.79129351E-05   3.99400312E-14  
  66               4.43130722E+01   7.79649859E+02   8.38087743E-01   1.60465968E-01   7.80424232E-04   5.31117385E-04   8.53937490E-05   2.29836833E-05   1.79129244E-05   1.66630559E-13  
  67               5.11868480E+01   8.13750522E+02   8.38087941E-01   1.60465746E-01   7.80423724E-04   5.31117039E-04   8.53936946E-05   2.29836515E-05   1.79129128E-05   6.47171013E-13  
  68               5.90209903E+01   8.48600578E+02   8.38088164E-01   1.60465452E-01   7.80423401E-04   5.31116820E-04   8.53936605E-05   2.29836091E-05   1.79129055E-05   2.30844782E-12  
  69               6.79282603E+01   8.84554802E+02   8.38088349E-01   1.60465061E-01   7.80423934E-04   5.31117183E-04   8.53937202E-05   2.29835934E-05   1.79129179E-05   7.70654802E-12  
  70               7.80816727E+01   9.21352156E+02   8.38088579E-01   1.60464595E-01   7.80427371E-04   5.31119521E-04   8.53940975E-05   2.29839609E-05   1.79129968E-05   2.39546316E-11  
  71               8.96028509E+01   9.59281311E+02   8.38089051E-01   1.60464089E-01   7.80430280E-04   5.31121501E-04   8.53944173E-05   2.29857003E-05   1.79130637E-05   7.02859433E-11  
  72               1.02590069E+02   9.97719397E+02   8.38089528E-01   1.60463530E-01   7.80429284E-04   5.31120823E-04   8.53943098E-05   2.30045074E-05   1.79130410E-05   1.92041105E-10  
  73               1.17124394E+02   1.03688243E+03   8.38089926E-01   1.60462911E-01   7.80429096E-04   5.31120695E-04   8.53942907E-05   2.30540736E-05   1.79130368E-05   4.94580920E-10  
  74               1.33313602E+02   1.07621507E+03   8.38090052E-01   1.60462244E-01   7.80431131E-04   5.31122078E-04   8.53945148E-05   2.31769847E-05   1.79130836E-05   1.19081670E-09  
  75               1.51442134E+02   1.11643963E+03   8.38089426E-01   1.60461450E-01   7.80438534E-04   5.31127105E-04   8.53953258E-05   2.34681624E-05   1.79132537E-05   2.73965565E-09  
  76               1.71767734E+02   1.15718433E+03   8.38088483E-01   1.60460718E-01   7.80454402E-04   5.31137819E-04   8.53970591E-05   2.42857142E-05   1.79136183E-05   5.99344607E-09  
  77               1.94520236E+02   1.19888344E+03   8.38089037E-01   1.60460134E-01   7.80452978E-04   5.31136261E-04   8.53968668E-05   2.42855241E-05   1.79135854E-05   1.26209250E-08  
  78               2.19915501E+02   1.24101530E+03   8.38089536E-01   1.60459586E-01   7.80452957E-04   5.31133087E-04   8.53966761E-05   2.42852797E-05   1.79135865E-05   2.54048536E-08  
  79               2.48116826E+02   1.28385174E+03   8.38089980E-01   1.60459062E-01   7.80457208E-04   5.31122335E-04   8.53964195E-05   2.42849504E-05   1.79137342E-05   4.92928908E-08  
  80               2.79431714E+02   1.32701885E+03   8.38090353E-01   1.60458579E-01   7.80470073E-04   5.31086341E-04   8.53957894E-05   2.42845037E-05   1.79144901E-05   9.18846142E-08  
  81               3.14413503E+02   1.37122915E+03   8.38090675E-01   1.60458119E-01   7.80486219E-04   5.30997252E-04   8.53935021E-05   2.42838780E-05   1.79175637E-05   1.66724060E-07  
  82               3.53562119E+02   1.41619249E+03   8.38090941E-01   1.60457694E-01   7.80478101E-04   5.30844946E-04   8.53848379E-05   2.42830044E-05   1.79286725E-05   2.93615951E-07  
  83               3.97413756E+02   1.46235146E+03   8.38091146E-01   1.60457286E-01   7.80419678E-04   5.30625927E-04   8.53546393E-05   2.42817558E-05   1.79639908E-05   5.05555505E-07  
  84               4.46347836E+02   1.50917965E+03   8.38091251E-01   1.60456899E-01   7.80298383E-04   5.30332653E-04   8.52640966E-05   2.42799537E-05   1.80574866E-05   8.46494213E-07  
  85               5.00575004E+02   1.55674529E+03   8.38091227E-01   1.60456515E-01   7.80106448E-04   5.29949189E-04   8.50462319E-05   2.42772143E-05   1.82469741E-05   1.38231692E-06  
  86               5.59181442E+02   1.60361233E+03   8.38091028E-01   1.60456146E-01   7.79854219E-04   5.29478582E-04   8.46824746E-05   2.42728702E-05   1.84954909E-05   2.17449906E-06  
  87               6.22892764E+02   1.65049622E+03   8.38073287E-01   1.60452455E-01   7.79535663E-04   5.28893509E-04   8.42790434E-05   2.42647199E-05   1.87120856E-05   3.32995053E-06  
  88               6.93026058E+02   1.69775237E+03   8.38052064E-01   1.60452031E-01   8.00460227E-04   5.28124473E-04   8.40148442E-05   2.34146356E-05   1.88442565E-05   4.98846615E-06  
  89               7.71128027E+02   1.74621500E+03   8.38050683E-01   1.60451521E-01   7.99778628E-04   5.27278685E-04   8.38977555E-05   2.34352620E-05   1.88973702E-05   7.37143875E-06  
  90               8.59249434E+02   1.79628115E+03   8.38048454E-01   1.60450917E-01   7.98974707E-04   5.26276136E-04   8.39507199E-05   2.34528603E-05   1.88657609E-05   1.07759069E-05  
  91               9.60166098E+02   1.84887333E+03   8.38043938E-01   1.60450019E-01   7.98277511E-04   5.25078273E-04   8.41589802E-05   2.34630451E-05   1.87551087E-05   1.56828807E-05  
  92               1.07786284E+03   1.90478801E+03   8.38036961E-01   1.60448884E-01   7.97768103E-04   5.23651505E-04   8.45465363E-05   2.34680928E-05   1.85526502E-05   2.28070119E-05  
  93               1.21590932E+03   1.96442317E+03   8.38022314E-01   1.60446895E-01   7.98859565E-04   5.21948018E-04   8.51187677E-05   2.34509725E-05   1.82547181E-05   3.31548659E-05  
  94               1.37719600E+03   2.02748312E+03   8.37990617E-01   1.60443235E-01   8.05613175E-04   5.19902584E-04   8.58823998E-05   2.33728410E-05   1.78569261E-05   4.79838281E-05  
  95               1.56418418E+03   2.09339074E+03   8.37916229E-01   1.60435101E-01   8.27340492E-04   5.17350757E-04   8.68316279E-05   2.31586236E-05   1.73604764E-05   6.88038564E-05  
  96               1.77367575E+03   2.16000525E+03   8.37791206E-01   1.60426527E-01   8.89788065E-04   5.13849826E-04   8.79149798E-05   2.26567177E-05   1.67926994E-05   9.66525469E-05  
  97               1.99422330E+03   2.22327089E+03   8.37761424E-01   1.60423447E-01   8.87985386E-04   5.11388241E-04   8.90687326E-05   2.26670517E-05   1.61889234E-05   1.30716830E-04  
  98               2.25268203E+03   2.29066134E+03   8.37713959E-01   1.60418134E-01   8.86150004E-04   5.08688984E-04   9.03678539E-05   2.26711264E-05   1.55053886E-05   1.76715867E-04  
  99               2.51166415E+03   2.35167999E+03   8.37660773E-01   1.60413707E-01   8.89392152E-04   5.06132241E-04   9.16264658E-05   2.26760684E-05   1.48414871E-05   2.28301807E-04  
  100              2.75227851E+03   2.40413471E+03   8.37612517E-01   1.60409235E-01   8.88459633E-04   5.03980367E-04   9.27229955E-05   2.26707480E-05   1.42598932E-05   2.81314435E-04  
  101              3.03054271E+03   2.45970962E+03   8.37512977E-01   1.60396243E-01   8.87632914E-04   5.01708756E-04   9.39335847E-05   2.26604911E-05   1.36131398E-05   3.46988805E-04  
