# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  87               5.00205306E+01   2.55343177E+03   8.34820283E-01   1.59920752E-01   4.06382329E-03   5.23647951E-04   3.87521405E-04   4.59216802E-06   5.88403743E-05   1.89634922E-05  
  88               5.54612517E+01   2.61382087E+03   8.34007340E-01   1.59849936E-01   4.94779704E-03   5.23405911E-04   3.87395080E-04   4.42610910E-06   5.87048861E-05   1.86769318E-05  
  89               6.16582289E+01   2.67518816E+03   8.33065534E-01   1.59767933E-01   5.97177203E-03   5.23037798E-04   3.87335858E-04   4.31865015E-06   5.85483381E-05   1.83717801E-05  
  90               6.87163325E+01   2.73930945E+03   8.31941241E-01   1.59670057E-01   7.19409142E-03   5.22556166E-04   3.87315877E-04   4.23585388E-06   5.83692258E-05   1.80362012E-05  
  91               7.67546167E+01   2.80420573E+03   8.30660969E-01   1.59558638E-01   8.58585565E-03   5.21935478E-04   3.87387565E-04   4.20470827E-06   5.81635804E-05   1.76880574E-05  
  92               8.59093867E+01   2.87151995E+03   8.29165277E-01   1.59428486E-01   1.02117162E-02   5.21177564E-04   3.87534167E-04   4.19804019E-06   5.79283960E-05   1.73162781E-05  
  93               9.63343080E+01   2.93949496E+03   8.27489998E-01   1.59282741E-01   1.20326278E-02   5.20261967E-04   3.87809703E-04   4.23792732E-06   5.76590524E-05   1.69391929E-05  
  94               1.08202918E+02   3.00959063E+03   8.25573188E-01   1.59116000E-01   1.41159449E-02   5.19181096E-04   3.88207570E-04   4.30291681E-06   5.73500510E-05   1.65467471E-05  
  95               1.21702124E+02   3.08009597E+03   8.23467420E-01   1.58932863E-01   1.64044165E-02   5.17918165E-04   3.88783353E-04   4.41332032E-06   5.69949771E-05   1.61578343E-05  
  96               1.37010891E+02   3.15223308E+03   8.21113595E-01   1.58728174E-01   1.89622958E-02   5.16461599E-04   3.89530460E-04   4.55030410E-06   5.65844447E-05   1.57630928E-05  
  97               1.54315167E+02   3.22418041E+03   8.18591364E-01   1.58508890E-01   2.17028951E-02   5.14801244E-04   3.90497298E-04   4.73368441E-06   5.61086153E-05   1.53818528E-05  
  98               1.73814938E+02   3.29732265E+03   8.15831409E-01   1.58268962E-01   2.47015837E-02   5.12920309E-04   3.91662538E-04   4.94390362E-06   5.55487445E-05   1.50019606E-05  
  99               1.95728163E+02   3.36981750E+03   8.12939554E-01   1.58017627E-01   2.78432197E-02   5.10811252E-04   3.93063822E-04   5.20273641E-06   5.48864272E-05   1.46422970E-05  
  100              2.20295327E+02   3.44336447E+03   8.09822421E-01   1.57746733E-01   3.12293403E-02   5.08448500E-04   3.94656827E-04   5.48830703E-06   5.40835675E-05   1.42867937E-05  
  101              2.47784809E+02   3.51607878E+03   8.06610491E-01   1.57467664E-01   3.47179914E-02   5.05824826E-04   3.96471966E-04   5.82550874E-06   5.31068305E-05   1.39540793E-05  
