# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  48               1.41782039E+00   1.36781911E+03   8.38783410E-01   1.60287278E-01   2.36498014E-06   5.00256100E-04   2.87145661E-04   6.00237399E-05   3.11008407E-09   4.22874656E-05  
  49               1.62461150E+00   1.40991569E+03   8.38793196E-01   1.60283184E-01   3.98083376E-06   5.02898914E-04   2.84197711E-04   6.00477310E-05   1.09557507E-08   3.44987440E-05  
  50               1.86294840E+00   1.45798947E+03   8.38800101E-01   1.60279454E-01   6.98987407E-06   5.06788213E-04   2.80475335E-04   6.00709755E-05   4.21827913E-08   2.57588371E-05  
  51               2.13638202E+00   1.50111524E+03   8.38785126E-01   1.60274189E-01   1.11171492E-05   5.11234032E-04   2.79194296E-04   6.00951647E-05   1.26492223E-07   2.00399721E-05  
  52               2.44497499E+00   1.55058311E+03   8.38772503E-01   1.60272613E-01   1.84660574E-05   5.16151879E-04   2.88393615E-04   6.01249906E-05   2.46662573E-07   1.41245089E-05  
  53               2.78097334E+00   1.59547675E+03   8.38760376E-01   1.60269847E-01   2.83007869E-05   5.19386948E-04   2.88551865E-04   6.01637827E-05   1.12177668E-06   1.12244499E-05  
  54               3.13445664E+00   1.64747811E+03   8.38731942E-01   1.60265665E-01   4.55685835E-05   5.22297840E-04   2.92802584E-04   6.01879332E-05   5.60498804E-06   8.23367482E-06  
  55               3.48224848E+00   1.69444761E+03   8.38668836E-01   1.60258375E-01   6.82381407E-05   5.24450955E-04   3.10979856E-04   6.02201136E-05   1.86633392E-05   6.06233983E-06  
  56               3.79744601E+00   1.73373580E+03   8.38582473E-01   1.60250192E-01   9.39461743E-05   5.25969471E-04   3.44766311E-04   6.02718247E-05   4.14834297E-05   4.52030245E-06  
  57               4.06032253E+00   1.76470276E+03   8.38503950E-01   1.60244125E-01   1.19604372E-04   5.26922322E-04   3.79711559E-04   6.03234906E-05   6.52211008E-05   3.55467209E-06  
  58               4.34427517E+00   1.79626975E+03   8.38464014E-01   1.60239298E-01   1.51571674E-04   5.27347634E-04   3.79936448E-04   6.03241799E-05   6.51269950E-05   3.10741673E-06  
  59               4.59270894E+00   1.82262611E+03   8.38435025E-01   1.60236636E-01   1.83495047E-04   5.27658179E-04   3.79587493E-04   6.03412901E-05   6.50467917E-05   2.79249837E-06  
