# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  19               6.86144500E-03   2.64148606E+02   8.38428865E-01   1.60531744E-01   4.15506107E-04   3.50989784E-04   1.83775749E-04   5.98159032E-05   3.29771247E-40   2.29910538E-05  
  20               7.88814666E-03   2.71162859E+02   8.38428865E-01   1.60531744E-01   4.15506106E-04   3.50989783E-04   1.83775749E-04   5.98159035E-05   3.99867271E-39   2.29910538E-05  
  21               9.05624506E-03   2.77832723E+02   8.38428865E-01   1.60531744E-01   4.15506105E-04   3.50989783E-04   1.83775748E-04   5.98159037E-05   3.79533135E-38   2.29910538E-05  
  22               1.03848791E-02   2.85187019E+02   8.38428865E-01   1.60531744E-01   4.15506104E-04   3.50989782E-04   1.83775748E-04   5.98159040E-05   4.03469986E-37   2.29910538E-05  
  23               1.18956442E-02   2.92272120E+02   8.38428865E-01   1.60531744E-01   4.15506102E-04   3.50989781E-04   1.83775748E-04   5.98159042E-05   3.49843065E-36   2.29910538E-05  
  24               1.36131985E-02   3.00029027E+02   8.38428865E-01   1.60531744E-01   4.15506101E-04   3.50989780E-04   1.83775747E-04   5.98159045E-05   3.32432008E-35   2.29910538E-05  
  25               1.55655273E-02   3.07486549E+02   8.38428865E-01   1.60531744E-01   4.15506099E-04   3.50989779E-04   1.83775747E-04   5.98159047E-05   2.58905680E-34   2.29910538E-05  
  26               1.77842859E-02   3.15637658E+02   8.38428865E-01   1.60531744E-01   4.15506099E-04   3.50989780E-04   1.83775747E-04   5.98159053E-05   2.19190669E-33   2.29910538E-05  
  27               2.03049316E-02   3.23592683E+02   8.38428865E-01   1.60531743E-01   4.15506097E-04   3.50989778E-04   1.83775746E-04   5.98159055E-05   1.58264029E-32   2.29910537E-05  
  28               2.31670856E-02   3.32392522E+02   8.38428866E-01   1.60531742E-01   4.15506100E-04   3.50989781E-04   1.83775747E-04   5.98159065E-05   1.26785962E-31   2.29910535E-05  
  29               2.64148551E-02   3.41186158E+02   8.38428866E-01   1.60531740E-01   4.15506096E-04   3.50989778E-04   1.83775745E-04   5.98159065E-05   9.08720700E-31   2.29910532E-05  
  30               3.00979507E-02   3.50952369E+02   8.38428870E-01   1.60531736E-01   4.15506111E-04   3.50989791E-04   1.83775752E-04   5.98159093E-05   7.24472931E-30   2.29910527E-05  
  31               3.42725671E-02   3.60818963E+02   8.38428869E-01   1.60531729E-01   4.15506098E-04   3.50989780E-04   1.83775747E-04   5.98159082E-05   5.25340111E-29   2.29910516E-05  
  32               3.90009857E-02   3.71814272E+02   8.38428882E-01   1.60531715E-01   4.15506146E-04   3.50989822E-04   1.83775768E-04   5.98159159E-05   4.24003100E-28   2.29910497E-05  
  33               4.43508321E-02   3.83202992E+02   8.38428640E-01   1.60531640E-01   4.15505950E-04   3.50989657E-04   1.83775682E-04   5.98158885E-05   3.24804087E-27   2.29910388E-05  
  34               5.03937759E-02   3.96300118E+02   8.38428711E-01   1.60531557E-01   4.15510468E-04   3.50993473E-04   1.83777680E-04   5.98165398E-05   2.94041224E-26   2.29910270E-05  
  35               5.71974123E-02   4.11740203E+02   8.38428849E-01   1.60531420E-01   4.15510302E-04   3.50993334E-04   1.83777607E-04   5.98165169E-05   3.32311446E-25   2.29910073E-05  
  36               6.48404468E-02   4.27459002E+02   8.38429128E-01   1.60531137E-01   4.15509967E-04   3.50993052E-04   1.83777460E-04   5.98164697E-05   3.27120216E-24   2.29909668E-05  
  37               7.34256522E-02   4.43782754E+02   8.38429626E-01   1.60530573E-01   4.15509301E-04   3.50992490E-04   1.83777165E-04   5.98163748E-05   2.96008635E-23   2.29908861E-05  
  38               8.30660909E-02   4.60422489E+02   8.38427405E-01   1.60529037E-01   4.15508463E-04   3.50991783E-04   1.83776795E-04   5.98162554E-05   2.37574225E-22   2.29906660E-05  
  39               9.38824653E-02   4.77712686E+02   8.38428989E-01   1.60527456E-01   4.15507407E-04   3.50990891E-04   1.83776328E-04   5.98161046E-05   1.77257450E-21   2.29904397E-05  
  40               1.06003374E-01   4.95327879E+02   8.38431105E-01   1.60525269E-01   4.15536815E-04   3.51015734E-04   1.83789335E-04   5.98203395E-05   1.18678771E-20   2.29901265E-05  
  41               1.19577477E-01   5.13624491E+02   8.38433800E-01   1.60522583E-01   4.15533499E-04   3.51012934E-04   1.83787869E-04   5.98198637E-05   7.44452384E-20   2.29897417E-05  
  42               1.34769213E-01   5.32259682E+02   8.38436663E-01   1.60519728E-01   4.15529984E-04   3.51009966E-04   1.83786315E-04   5.98193593E-05   4.23578102E-19   2.29893329E-05  
  43               1.51768850E-01   5.51622668E+02   8.38439496E-01   1.60516904E-01   4.15526480E-04   3.51007007E-04   1.83784766E-04   5.98188565E-05   2.27618113E-18   2.29889284E-05  
  44               1.70778484E-01   5.71348189E+02   8.38442033E-01   1.60514376E-01   4.15523359E-04   3.51004372E-04   1.83783386E-04   5.98184090E-05   1.12074118E-17   2.29885663E-05  
  45               1.92012169E-01   5.91832924E+02   8.38444255E-01   1.60512160E-01   4.15520607E-04   3.51002048E-04   1.83782169E-04   5.98180148E-05   5.24023259E-17   2.29882489E-05  
  46               2.15698618E-01   6.12668706E+02   8.38446088E-01   1.60510333E-01   4.15518355E-04   3.51000148E-04   1.83781174E-04   5.98176929E-05   2.25935696E-16   2.29879873E-05  
  47               2.42091432E-01   6.34273350E+02   8.38447612E-01   1.60508813E-01   4.15516476E-04   3.50998562E-04   1.83780343E-04   5.98174249E-05   9.28450060E-16   2.29877696E-05  
  48               2.71505934E-01   6.56246893E+02   8.38448830E-01   1.60507597E-01   4.15514980E-04   3.50997300E-04   1.83779682E-04   5.98172124E-05   3.54674234E-15   2.29875955E-05  
  49               3.04285174E-01   6.79057046E+02   8.38449824E-01   1.60506598E-01   4.15513756E-04   3.50996268E-04   1.83779142E-04   5.98170394E-05   1.30009039E-14   2.29874524E-05  
  50               3.40782854E-01   7.02255669E+02   8.38450601E-01   1.60505802E-01   4.15512826E-04   3.50995485E-04   1.83778732E-04   5.98169095E-05   4.46085827E-14   2.29873384E-05  
  51               3.81362139E-01   7.26296071E+02   8.38451203E-01   1.60505142E-01   4.15512181E-04   3.50994943E-04   1.83778447E-04   5.98168214E-05   1.47218103E-13   2.29872438E-05  
  52               4.26397549E-01   7.50679807E+02   8.38451562E-01   1.60504591E-01   4.15511971E-04   3.50994768E-04   1.83778356E-04   5.98167966E-05   4.56318714E-13   2.29871648E-05  
  53               4.76315881E-01   7.75884734E+02   8.38451787E-01   1.60504116E-01   4.15513862E-04   3.50996370E-04   1.83779194E-04   5.98170753E-05   1.36274945E-12   2.29870964E-05  
  54               5.31686243E-01   8.01455647E+02   8.38452141E-01   1.60503750E-01   4.15516066E-04   3.50998236E-04   1.83780171E-04   5.98173994E-05   3.84782597E-12   2.29870434E-05  
  55               5.93106442E-01   8.27919373E+02   8.38452466E-01   1.60503409E-01   4.15515627E-04   3.50997870E-04   1.83779978E-04   5.98173437E-05   1.05239417E-11   2.29912978E-05  
  56               6.61173440E-01   8.54761245E+02   8.38452770E-01   1.60503055E-01   4.15515215E-04   3.50997527E-04   1.83779798E-04   5.98172921E-05   2.73554266E-11   2.30023435E-05  
  57               7.36479857E-01   8.82471524E+02   8.38453095E-01   1.60502596E-01   4.15514824E-04   3.50997203E-04   1.83779627E-04   5.98172440E-05   6.89586782E-11   2.30329080E-05  
  58               8.19608708E-01   9.10489028E+02   8.38453436E-01   1.60501903E-01   4.15514576E-04   3.50997006E-04   1.83779520E-04   5.98172167E-05   1.65593226E-10   2.31131559E-05  
  59               9.11178255E-01   9.39297434E+02   8.38453351E-01   1.60500628E-01   4.15514912E-04   3.50997323E-04   1.83779670E-04   5.98172736E-05   3.85738978E-10   2.33175066E-05  
  60               1.01204989E+00   9.68398046E+02   8.38453432E-01   1.60498633E-01   4.15517049E-04   3.50999240E-04   1.83780617E-04   5.98175901E-05   8.59818597E-10   2.42915306E-05  
  61               1.12316830E+00   9.98332178E+02   8.38456614E-01   1.60495470E-01   4.15521669E-04   3.51003526E-04   1.83782659E-04   5.98182646E-05   1.86652257E-09   2.42910033E-05  
  62               1.24551062E+00   1.02858631E+03   8.38461765E-01   1.60490360E-01   4.15514717E-04   3.50998952E-04   1.83779567E-04   5.98172759E-05   3.89661361E-09   2.42901496E-05  
  63               1.38008952E+00   1.05966443E+03   8.38469798E-01   1.60482369E-01   4.15503951E-04   3.50994103E-04   1.83774692E-04   5.98157525E-05   7.93865712E-09   2.42888085E-05  
  64               1.52793754E+00   1.09103799E+03   8.38481202E-01   1.60471000E-01   4.15488504E-04   3.50994525E-04   1.83767241E-04   5.98136295E-05   1.56040175E-08   2.42868808E-05  
  65               1.69012871E+00   1.12317672E+03   8.38496438E-01   1.60455779E-01   4.15465593E-04   3.51016778E-04   1.83754010E-04   5.98107888E-05   2.99620858E-08   2.42842530E-05  
  66               1.86797292E+00   1.15559517E+03   8.38514711E-01   1.60437466E-01   4.15428086E-04   3.51110134E-04   1.83723028E-04   5.98074316E-05   5.56893954E-08   2.42809929E-05  
  67               2.06318958E+00   1.18882160E+03   8.38535309E-01   1.60416712E-01   4.15342337E-04   3.51407445E-04   1.83622713E-04   5.98036582E-05   1.01419391E-07   2.42771166E-05  
  68               2.27760510E+00   1.22243100E+03   8.38556456E-01   1.60395257E-01   4.15085391E-04   3.52250689E-04   1.83258687E-04   5.97999151E-05   1.79660947E-07   2.42727964E-05  
  69               2.51327499E+00   1.25691127E+03   8.38577480E-01   1.60374002E-01   4.14236893E-04   3.54473457E-04   1.81960908E-04   5.97963989E-05   3.12664702E-07   2.42680074E-05  
  70               2.77289234E+00   1.29191889E+03   8.38598179E-01   1.60354490E-01   4.11619236E-04   3.59770559E-04   1.77840536E-04   5.97934761E-05   5.31665457E-07   2.42627834E-05  
  71               3.06068963E+00   1.32808830E+03   8.38621106E-01   1.60337421E-01   4.05124934E-04   3.70121695E-04   1.67704540E-04   5.97908520E-05   8.92714300E-07   2.42567851E-05  
  72               3.38355233E+00   1.36548061E+03   8.38648694E-01   1.60323806E-01   3.92529305E-04   3.86561272E-04   1.49201704E-04   5.97880076E-05   1.47998989E-06   2.42492204E-05  
  73               3.75171412E+00   1.40508512E+03   8.38680228E-01   1.60313202E-01   3.73610216E-04   4.07906833E-04   1.24609089E-04   5.97845351E-05   2.45261824E-06   2.42370515E-05  
  74               4.17727227E+00   1.44708864E+03   8.38709921E-01   1.60304735E-01   3.51828494E-04   4.30717817E-04   1.00064804E-04   5.97814627E-05   4.05970574E-06   2.42106805E-05  
  75               4.66930476E+00   1.49187558E+03   8.38732814E-01   1.60297367E-01   3.31908675E-04   4.51634437E-04   7.88371548E-05   5.97796481E-05   6.72599602E-06   2.41370697E-05  
  76               5.22978984E+00   1.53844995E+03   8.38733138E-01   1.60288373E-01   3.17309380E-04   4.68965020E-04   6.16297020E-05   5.97797331E-05   1.10021808E-05   2.39148363E-05  
  77               5.85058362E+00   1.58584379E+03   8.38729031E-01   1.60282863E-01   3.21254238E-04   4.84334907E-04   4.61197575E-05   5.97860200E-05   1.75996699E-05   2.21111730E-05  
  78               6.50935789E+00   1.63184975E+03   8.38729267E-01   1.60278655E-01   3.13421606E-04   4.93820717E-04   3.66973643E-05   5.98059032E-05   2.70104022E-05   2.20668574E-05  
  79               7.18497830E+00   1.67550158E+03   8.38715686E-01   1.60274027E-01   3.10825034E-04   5.00940757E-04   2.95541796E-05   5.98102927E-05   3.96383791E-05   2.19503611E-05  
  80               7.84391252E+00   1.71491916E+03   8.38686208E-01   1.60268854E-01   3.16702906E-04   5.06444739E-04   2.40207016E-05   5.98233918E-05   5.50491316E-05   2.16943750E-05  
  81               8.41500452E+00   1.74710745E+03   8.38642408E-01   1.60263198E-01   3.31269569E-04   5.10572994E-04   1.98665518E-05   5.98628164E-05   7.11527082E-05   2.13302666E-05  
  82               8.85163279E+00   1.77046035E+03   8.38585369E-01   1.60255988E-01   3.49345387E-04   5.13367653E-04   1.70564143E-05   5.98999266E-05   8.51692023E-05   2.09853429E-05  
  83               9.31534248E+00   1.79439220E+03   8.38505611E-01   1.60249034E-01   3.90523955E-04   5.16553787E-04   1.38309041E-05   5.98911259E-05   1.01885465E-04   2.03939853E-05  
  84               9.69664317E+00   1.81322987E+03   8.38492935E-01   1.60247495E-01   3.89686167E-04   5.17530175E-04   1.28536054E-05   5.98979762E-05   1.16889603E-04   2.04002975E-05  
  85               9.98827941E+00   1.82731587E+03   8.38482408E-01   1.60246291E-01   3.89000814E-04   5.18192419E-04   1.21826063E-05   5.98896966E-05   1.29289220E-04   2.04038248E-05  
  86               1.03090265E+01   1.84231505E+03   8.38470044E-01   1.60244934E-01   3.88331181E-04   5.18835375E-04   1.15277015E-05   5.98825714E-05   1.43662869E-04   2.04064921E-05  
  87               1.06645048E+01   1.85859511E+03   8.38444396E-01   1.60241298E-01   3.87651761E-04   5.19474468E-04   1.08696462E-05   5.98737634E-05   1.60757863E-04   2.04076544E-05  
  88               1.10597525E+01   1.87608256E+03   8.38426661E-01   1.60239485E-01   3.86990866E-04   5.20101052E-04   1.02271323E-05   5.98586561E-05   1.80952853E-04   2.04075203E-05  
  89               1.13403937E+01   1.88823566E+03   8.38413143E-01   1.60238128E-01   3.86565248E-04   5.20508973E-04   9.81221102E-06   5.98884068E-05   1.96197475E-04   2.04063105E-05  
  90               1.15316472E+01   1.89630817E+03   8.38403658E-01   1.60237193E-01   3.86295810E-04   5.20760523E-04   9.55322955E-06   5.98773743E-05   2.06883789E-04   2.04050291E-05  
  91               1.17475945E+01   1.90533291E+03   8.38392503E-01   1.60236103E-01   3.86009994E-04   5.21030352E-04   9.27447485E-06   5.98712829E-05   2.19403881E-04   2.04030923E-05  
  92               1.19920006E+01   1.91531610E+03   8.38379494E-01   1.60234847E-01   3.85707029E-04   5.21312621E-04   8.98300482E-06   5.98653743E-05   2.33958147E-04   2.04003521E-05  
  93               1.22685125E+01   1.92645521E+03   8.38364088E-01   1.60233374E-01   3.85388657E-04   5.21612073E-04   8.67285055E-06   5.98594729E-05   2.51137087E-04   2.03965127E-05  
  94               1.25802780E+01   1.93870987E+03   8.38346044E-01   1.60231668E-01   3.85054259E-04   5.21919840E-04   8.35286019E-06   5.98533028E-05   2.71203396E-04   2.03913142E-05  
  95               1.29309731E+01   1.95221957E+03   8.38324723E-01   1.60229671E-01   3.84715316E-04   5.22237808E-04   8.02074807E-06   5.98463293E-05   2.94834869E-04   2.03844212E-05  
  96               1.33243551E+01   1.96697327E+03   8.38269130E-01   1.60221509E-01   3.84346322E-04   5.22539919E-04   7.68321491E-06   5.98377638E-05   3.22513310E-04   2.03746298E-05  
  97               1.37644306E+01   1.98303794E+03   8.38239607E-01   1.60218812E-01   3.84004407E-04   5.22862989E-04   7.34161072E-06   5.98289706E-05   3.55038833E-04   2.03631123E-05  
  98               1.42571397E+01   2.00050485E+03   8.38204791E-01   1.60215637E-01   3.83640965E-04   5.23183481E-04   6.99974693E-06   5.98191720E-05   3.93366350E-04   2.03483062E-05  
  99               1.48074526E+01   2.01934543E+03   8.38163789E-01   1.60211926E-01   3.83297170E-04   5.23496151E-04   6.66252476E-06   5.98079549E-05   4.38366417E-04   2.03299283E-05  
  100              1.54204817E+01   2.03967977E+03   8.38115244E-01   1.60207561E-01   3.82984040E-04   5.23801905E-04   6.32850837E-06   5.97952507E-05   4.91525032E-04   2.03071964E-05  
  101              1.61015771E+01   2.06131081E+03   8.38056622E-01   1.60202120E-01   3.82637109E-04   5.24086773E-04   6.00994232E-06   5.97808735E-05   5.53553606E-04   2.02792454E-05  
