# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  51               4.60660781E+00   7.00229834E+02   8.38124302E-01   1.60467803E-01   7.75057934E-04   5.25720908E-04   1.08735355E-14   9.45344337E-07   4.70133706E-05   2.77244819E-05  
  52               5.43642013E+00   7.31210559E+02   8.38125958E-01   1.60466146E-01   7.75054178E-04   5.25718359E-04   4.98269695E-14   9.45339746E-07   4.70131598E-05   2.77243554E-05  
  53               6.40161105E+00   7.63045196E+02   8.38127705E-01   1.60464379E-01   7.75050464E-04   5.25715838E-04   2.08858824E-13   9.45335208E-07   4.70129533E-05   2.77242312E-05  
  54               7.52070384E+00   7.96285860E+02   8.38129352E-01   1.60462523E-01   7.75046697E-04   5.25713283E-04   8.24561939E-13   9.45330626E-07   4.70127454E-05   2.77241059E-05  
  55               8.82067979E+00   8.30829281E+02   8.38130904E-01   1.60460704E-01   7.75043974E-04   5.25711434E-04   3.05298632E-12   9.45327477E-07   4.70126025E-05   2.77240188E-05  
  56               1.03304566E+01   8.67411139E+02   8.38132620E-01   1.60458975E-01   7.75044959E-04   5.25712101E-04   1.08972237E-11   9.45330102E-07   4.70126864E-05   2.77240650E-05  
  57               1.20766455E+01   9.05759396E+02   8.38134191E-01   1.60457368E-01   7.75045985E-04   5.25712796E-04   3.70087225E-11   9.45342063E-07   4.70127744E-05   2.77241136E-05  
  58               1.40822325E+01   9.46199839E+02   8.38135569E-01   1.60455873E-01   7.75042960E-04   5.25710742E-04   1.20675762E-10   9.45414186E-07   4.70126182E-05   2.77240178E-05  
  59               1.63761460E+01   9.88090221E+02   8.38136530E-01   1.60454517E-01   7.75041263E-04   5.25709589E-04   3.70251999E-10   9.45914107E-07   4.70125438E-05   2.77239701E-05  
  60               1.90022013E+01   1.03150370E+03   8.38136427E-01   1.60453174E-01   7.75042684E-04   5.25710551E-04   1.07336331E-09   9.48915834E-07   4.70126596E-05   2.77240345E-05  
  61               2.20018763E+01   1.07550628E+03   8.38135614E-01   1.60452026E-01   7.75066384E-04   5.25726613E-04   2.88365623E-09   9.64910954E-07   4.70141283E-05   2.77248965E-05  
  62               2.54149674E+01   1.11981062E+03   8.38136419E-01   1.60451144E-01   7.75064258E-04   5.25725034E-04   7.18917162E-09   1.03620130E-06   4.70140392E-05   2.77248398E-05  
  63               2.92884526E+01   1.16348431E+03   8.38136994E-01   1.60450311E-01   7.75062102E-04   5.25722366E-04   1.64567428E-08   1.28319285E-06   4.70140237E-05   2.77248262E-05  
  64               3.36874010E+01   1.20687790E+03   8.38137279E-01   1.60449407E-01   7.75053631E-04   5.25708223E-04   3.51809683E-08   1.89440707E-06   4.70141565E-05   2.77248993E-05  
  65               3.87021493E+01   1.24927325E+03   8.38137299E-01   1.60448401E-01   7.74998899E-04   5.25624928E-04   6.98854809E-08   2.96716188E-06   4.70144701E-05   2.77250745E-05  
