# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  45               1.55940377E-01   5.05408747E+02   8.38386123E-01   1.60517949E-01   4.87264335E-04   2.61046205E-04   2.54032529E-04   5.95130113E-05   2.82911142E-20   2.29894161E-05  
  46               1.75616501E-01   5.23001094E+02   8.38388313E-01   1.60515766E-01   4.87261183E-04   2.61044516E-04   2.54030886E-04   5.95126231E-05   1.54265937E-19   2.29891034E-05  
  47               1.97619678E-01   5.42544456E+02   8.38391084E-01   1.60513003E-01   4.87257283E-04   2.61042426E-04   2.54028853E-04   5.95121432E-05   8.95470701E-19   2.29887078E-05  
  48               2.22214434E-01   5.61162006E+02   8.38393638E-01   1.60510458E-01   4.87253757E-04   2.61040536E-04   2.54027014E-04   5.95117086E-05   4.24456540E-18   2.29883432E-05  
  49               2.49687926E-01   5.81852216E+02   8.38396349E-01   1.60507756E-01   4.87250065E-04   2.61038558E-04   2.54025090E-04   5.95112535E-05   2.13596714E-17   2.29879562E-05  
  50               2.80345655E-01   6.01533662E+02   8.38398521E-01   1.60505590E-01   4.87247162E-04   2.61037002E-04   2.54023576E-04   5.95108943E-05   8.91289533E-17   2.29876460E-05  
  51               3.14512765E-01   6.23387253E+02   8.38400626E-01   1.60503491E-01   4.87244372E-04   2.61035507E-04   2.54022121E-04   5.95105483E-05   3.93093845E-16   2.29873454E-05  
  52               3.52562454E-01   6.44141910E+02   8.38402201E-01   1.60501920E-01   4.87242336E-04   2.61034415E-04   2.54021060E-04   5.95102938E-05   1.45808172E-15   2.29871204E-05  
  53               3.94945423E-01   6.67204186E+02   8.38403672E-01   1.60500450E-01   4.87240490E-04   2.61033425E-04   2.54020097E-04   5.95100615E-05   5.70550254E-15   2.29869099E-05  
  54               4.42136105E-01   6.89110779E+02   8.38404738E-01   1.60499379E-01   4.87239260E-04   2.61032765E-04   2.54019455E-04   5.95099032E-05   1.90593608E-14   2.29867564E-05  
  55               4.94641935E-01   7.13433736E+02   8.38405711E-01   1.60498383E-01   4.87239065E-04   2.61032659E-04   2.54019354E-04   5.95098700E-05   6.69055451E-14   2.29866138E-05  
  56               5.52984389E-01   7.36508261E+02   8.38406331E-01   1.60497649E-01   4.87238398E-04   2.61032300E-04   2.54019006E-04   5.95097773E-05   2.02898978E-13   2.29865086E-05  
  57               6.17701753E-01   7.62053989E+02   8.38406877E-01   1.60496959E-01   4.87240470E-04   2.61033409E-04   2.54020086E-04   5.95100177E-05   6.42801875E-13   2.29864097E-05  
  58               6.89439633E-01   7.86265536E+02   8.38407155E-01   1.60496436E-01   4.87243009E-04   2.61034767E-04   2.54021409E-04   5.95103137E-05   1.78023522E-12   2.29863344E-05  
  59               7.68992395E-01   8.13053821E+02   8.38407616E-01   1.60495968E-01   4.87242689E-04   2.61034594E-04   2.54021242E-04   5.95102592E-05   5.13595171E-12   2.29862667E-05  
  60               8.57165100E-01   8.38489073E+02   8.38407960E-01   1.60495605E-01   4.87242577E-04   2.61034532E-04   2.54021183E-04   5.95102292E-05   1.31267367E-11   2.29908273E-05  
  61               9.54824697E-01   8.66552013E+02   8.38408307E-01   1.60495203E-01   4.87242621E-04   2.61034554E-04   2.54021205E-04   5.95102175E-05   3.47796509E-11   2.30037640E-05  
