# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                N2               H2S             
  51               4.14572472E+00   4.35860498E+02   8.38097740E-01   1.60468388E-01   7.80214490E-04   5.30838417E-04   6.91266525E-05   1.33980524E-24   2.61942184E-05   2.29807326E-05  
  52               4.95311071E+00   4.60254748E+02   8.38097703E-01   1.60468381E-01   7.80214466E-04   5.30838401E-04   6.91266523E-05   3.01195620E-23   2.61942179E-05   2.29807316E-05  
  53               5.90204570E+00   4.84580169E+02   8.38097307E-01   1.60468337E-01   7.80214526E-04   5.30838441E-04   6.91266598E-05   4.88381328E-22   2.61942202E-05   2.29807254E-05  
  54               7.01142069E+00   5.10794688E+02   8.38094117E-01   1.60468060E-01   7.80216527E-04   5.30839803E-04   6.91268395E-05   7.31196678E-21   2.61942878E-05   2.29806857E-05  
  55               8.30468951E+00   5.36792569E+02   8.38094402E-01   1.60467777E-01   7.80215831E-04   5.30839329E-04   6.91267805E-05   8.19873917E-20   2.61942649E-05   2.29806451E-05  
  56               9.81388859E+00   5.64912104E+02   8.38094315E-01   1.60467746E-01   7.80280775E-04   5.30883515E-04   6.91325373E-05   8.72679230E-19   2.61964457E-05   2.29806407E-05  
  57               1.15704789E+01   5.92813303E+02   8.38094337E-01   1.60467725E-01   7.80280693E-04   5.30883460E-04   6.91325333E-05   7.26528116E-18   2.61964435E-05   2.29806377E-05  
  58               1.36052798E+01   6.20082335E+02   8.38094371E-01   1.60467691E-01   7.80280581E-04   5.30883384E-04   6.91325267E-05   4.76516913E-17   2.61964403E-05   2.29806328E-05  
  59               1.59497938E+01   6.48106489E+02   8.38094428E-01   1.60467635E-01   7.80280422E-04   5.30883275E-04   6.91325163E-05   2.78657129E-16   2.61964356E-05   2.29806247E-05  
  60               1.86548736E+01   6.77287508E+02   8.38094517E-01   1.60467545E-01   7.80280186E-04   5.30883115E-04   6.91324994E-05   1.49889977E-15   2.61964284E-05   2.29806119E-05  
  61               2.17710948E+01   7.08956090E+02   8.38094667E-01   1.60467395E-01   7.80279844E-04   5.30882882E-04   6.91324732E-05   7.97168267E-15   2.61964176E-05   2.29805904E-05  
  62               2.53456425E+01   7.42030209E+02   8.38094895E-01   1.60467165E-01   7.80279295E-04   5.30882509E-04   6.91324290E-05   3.91757686E-14   2.61963999E-05   2.29805574E-05  
  63               2.94269591E+01   7.75414626E+02   8.38095204E-01   1.60466847E-01   7.80278559E-04   5.30882008E-04   6.91323685E-05   1.69749287E-13   2.61963759E-05   2.29805119E-05  
  64               3.40943124E+01   8.10277190E+02   8.38095614E-01   1.60466405E-01   7.80277649E-04   5.30881389E-04   6.91322930E-05   6.89311151E-13   2.61963462E-05   2.29804484E-05  
  65               3.94620484E+01   8.45784090E+02   8.38095983E-01   1.60465822E-01   7.80276734E-04   5.30880766E-04   6.91322173E-05   2.54312482E-12   2.61963164E-05   2.29803647E-05  
  66               4.56265033E+01   8.83053670E+02   8.38096445E-01   1.60465090E-01   7.80280211E-04   5.30883132E-04   6.91325309E-05   8.93386524E-12   2.61964341E-05   2.29802591E-05  
  67               5.26588338E+01   9.20724598E+02   8.38097206E-01   1.60464314E-01   7.80279724E-04   5.30882800E-04   6.91324938E-05   2.85997504E-11   2.61964187E-05   2.29801464E-05  
  68               6.06045187E+01   9.59685222E+02   8.38098037E-01   1.60463435E-01   7.80281572E-04   5.30884058E-04   6.91326638E-05   8.64704283E-11   2.61964818E-05   2.29903322E-05  
  69               6.95600855E+01   9.98684701E+02   8.38098814E-01   1.60462532E-01   7.80279963E-04   5.30882963E-04   6.91325277E-05   2.39339711E-10   2.61964288E-05   2.30174873E-05  
  70               7.96802369E+01   1.03914152E+03   8.38099444E-01   1.60461558E-01   7.80279468E-04   5.30882626E-04   6.91324905E-05   6.34234307E-10   2.61964133E-05   2.30937485E-05  
  71               9.10906233E+01   1.07973451E+03   8.38099567E-01   1.60460563E-01   7.80281958E-04   5.30884318E-04   6.91327179E-05   1.56233283E-09   2.61964981E-05   2.32878175E-05  
  72               1.03885676E+02   1.12160112E+03   8.38099089E-01   1.60459515E-01   7.80304758E-04   5.30899808E-04   6.91347447E-05   3.69430754E-09   2.61972648E-05   2.37625138E-05  
  73               1.18157445E+02   1.16325843E+03   8.38098893E-01   1.60458637E-01   7.80302621E-04   5.30898178E-04   6.91345605E-05   8.15653949E-09   2.61971946E-05   2.42853540E-05  
  74               1.34074022E+02   1.20611160E+03   8.38099602E-01   1.60457866E-01   7.80300838E-04   5.30895806E-04   6.91343972E-05   1.73867039E-08   2.61971385E-05   2.42851000E-05  
  75               1.51920436E+02   1.24907695E+03   8.38100195E-01   1.60457177E-01   7.80299283E-04   5.30888478E-04   6.91342432E-05   3.51534132E-08   2.61971189E-05   2.42847792E-05  
  76               1.71938295E+02   1.29359196E+03   8.38100730E-01   1.60456501E-01   7.80294829E-04   5.30858425E-04   6.91339921E-05   6.93395328E-08   2.61972246E-05   2.42843323E-05  
  77               1.94315094E+02   1.33815310E+03   8.38101191E-01   1.60455900E-01   7.80269912E-04   5.30755786E-04   6.91331611E-05   1.30464255E-07   2.61978428E-05   2.42837266E-05  
  78               2.19201515E+02   1.38398022E+03   8.38101690E-01   1.60455316E-01   7.80176683E-04   5.30518521E-04   6.91298115E-05   2.39342939E-07   2.62004331E-05   2.42828614E-05  
  79               2.46804895E+02   1.42961575E+03   8.38102191E-01   1.60454793E-01   7.79972944E-04   5.30146210E-04   6.91171168E-05   4.20303040E-07   2.62098662E-05   2.42816682E-05  
  80               2.77503656E+02   1.47661194E+03   8.38102731E-01   1.60454255E-01   7.79625527E-04   5.29616947E-04   6.90743643E-05   7.23194185E-07   2.62398229E-05   2.42799232E-05  
  81               3.11845419E+02   1.52389050E+03   8.38103228E-01   1.60453732E-01   7.79127849E-04   5.28925475E-04   6.89523161E-05   1.20399983E-06   2.63195731E-05   2.42773549E-05  
  82               3.50203511E+02   1.57279004E+03   8.38103704E-01   1.60453153E-01   7.78439201E-04   5.28005283E-04   6.86711504E-05   1.97347263E-06   2.64894984E-05   2.42731420E-05  
  83               3.92760246E+02   1.62162571E+03   8.38103897E-01   1.60452534E-01   7.77578201E-04   5.26876329E-04   6.82494727E-05   3.13035919E-06   2.67197835E-05   2.42657742E-05  
  84               4.39517732E+02   1.67137390E+03   8.38086789E-01   1.60448569E-01   7.76578630E-04   5.25457738E-04   6.78193959E-05   4.86752121E-06   2.69339682E-05   2.42506098E-05  
  85               4.90306133E+02   1.72015932E+03   8.38066172E-01   1.60447737E-01   7.96301186E-04   5.23653505E-04   6.76190037E-05   7.30416248E-06   2.70307028E-05   2.34152696E-05  
