# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  33               5.02817129E-02   2.67515244E+02   8.38205592E-01   1.60489012E-01   7.16760909E-04   4.72248419E-04   2.43500396E-05   5.67724915E-05   4.24170666E-40   2.29861094E-05  
  34               5.84489983E-02   2.76773488E+02   8.38205591E-01   1.60489012E-01   7.16761153E-04   4.72248580E-04   2.43500479E-05   5.67725111E-05   1.04106466E-38   2.29861094E-05  
  35               6.79226802E-02   2.84964330E+02   8.38205591E-01   1.60489012E-01   7.16761391E-04   4.72248737E-04   2.43500560E-05   5.67725303E-05   1.46791703E-37   2.29861094E-05  
  36               7.89059546E-02   2.94983922E+02   8.38205591E-01   1.60489012E-01   7.16761650E-04   4.72248907E-04   2.43500649E-05   5.67725511E-05   3.09726498E-36   2.29861093E-05  
  37               9.16303570E-02   3.04161585E+02   8.38205590E-01   1.60489012E-01   7.16761932E-04   4.72249093E-04   2.43500745E-05   5.67725739E-05   4.19965259E-35   2.29861093E-05  
  38               1.06360364E-01   3.15346586E+02   8.38205590E-01   1.60489012E-01   7.16762241E-04   4.72249296E-04   2.43500850E-05   5.67725987E-05   8.29892876E-34   2.29861093E-05  
  39               1.23397848E-01   3.25754621E+02   8.38205589E-01   1.60489011E-01   7.16762578E-04   4.72249519E-04   2.43500965E-05   5.67726259E-05   1.09928830E-32   2.29861093E-05  
  40               1.43086881E-01   3.38341996E+02   8.38205588E-01   1.60489011E-01   7.16762946E-04   4.72249761E-04   2.43501090E-05   5.67726555E-05   2.04444315E-31   2.29861093E-05  
  41               1.65805222E-01   3.50753748E+02   8.38205584E-01   1.60489010E-01   7.16763355E-04   4.72250031E-04   2.43501230E-05   5.67726885E-05   2.95785286E-30   2.29861091E-05  
  42               1.91963519E-01   3.66713558E+02   8.38205584E-01   1.60489009E-01   7.16763791E-04   4.72250318E-04   2.43501378E-05   5.67727237E-05   7.15114083E-29   2.29861090E-05  
  43               2.22002044E-01   3.83005471E+02   8.38205208E-01   1.60488936E-01   7.16764283E-04   4.72250642E-04   2.43501546E-05   5.67727632E-05   1.40093429E-27   2.29860984E-05  
  44               2.56466819E-01   4.00120578E+02   8.38205247E-01   1.60488896E-01   7.16764610E-04   4.72250858E-04   2.43501657E-05   5.67727899E-05   2.45514180E-26   2.29860928E-05  
  45               2.95953451E-01   4.17588334E+02   8.38205255E-01   1.60488888E-01   7.16764920E-04   4.72251063E-04   2.43501763E-05   5.67728153E-05   3.57324152E-25   2.29860916E-05  
  46               3.41125138E-01   4.35913777E+02   8.38205259E-01   1.60488865E-01   7.16771959E-04   4.72255700E-04   2.43504155E-05   5.67733737E-05   4.70593591E-24   2.29860884E-05  
  47               3.92757027E-01   4.54604853E+02   8.38205200E-01   1.60488807E-01   7.16772609E-04   4.72256128E-04   2.43504377E-05   5.67734261E-05   5.25338108E-23   2.29860800E-05  
  48               4.51709087E-01   4.74216261E+02   8.38204911E-01   1.60488731E-01   7.16773545E-04   4.72256745E-04   2.43504695E-05   5.67735014E-05   5.37941756E-22   2.29860692E-05  
  49               5.18950172E-01   4.94213498E+02   8.38202151E-01   1.60488266E-01   7.16775226E-04   4.72257853E-04   2.43505267E-05   5.67736357E-05   4.75592325E-21   2.29860025E-05  
  50               5.95543189E-01   5.15180026E+02   8.38202756E-01   1.60487661E-01   7.16775640E-04   4.72258126E-04   2.43505409E-05   5.67736698E-05   3.89434583E-20   2.29859158E-05  
  51               6.82719245E-01   5.36537331E+02   8.38203266E-01   1.60487049E-01   7.16832551E-04   4.72295623E-04   2.43524744E-05   5.67781790E-05   2.79373118E-19   2.29858282E-05  
  52               7.81915189E-01   5.58939601E+02   8.38204250E-01   1.60486066E-01   7.16832339E-04   4.72295483E-04   2.43524673E-05   5.67781637E-05   1.87618360E-18   2.29856874E-05  
  53               8.94674949E-01   5.81763663E+02   8.38205666E-01   1.60484653E-01   7.16830711E-04   4.72294411E-04   2.43524121E-05   5.67780365E-05   1.12038530E-17   2.29854850E-05  
  54               1.02276820E+00   6.05699736E+02   8.38207573E-01   1.60482751E-01   7.16828203E-04   4.72292759E-04   2.43523271E-05   5.67778397E-05   6.31251058E-17   2.29852126E-05  
  55               1.16808020E+00   6.30055780E+02   8.38209779E-01   1.60480550E-01   7.16824933E-04   4.72290604E-04   2.43522161E-05   5.67775827E-05   3.19594249E-16   2.29848974E-05  
  56               1.33281388E+00   6.55567335E+02   8.38212199E-01   1.60478137E-01   7.16821414E-04   4.72288286E-04   2.43520967E-05   5.67773063E-05   1.53480914E-15   2.29845517E-05  
  57               1.51944315E+00   6.81519328E+02   8.38214546E-01   1.60475794E-01   7.16817952E-04   4.72286006E-04   2.43519793E-05   5.67770346E-05   6.69718190E-15   2.29842162E-05  
  58               1.73052038E+00   7.08672395E+02   8.38216784E-01   1.60473554E-01   7.16815081E-04   4.72284114E-04   2.43518820E-05   5.67768101E-05   2.78580640E-14   2.29838954E-05  
  59               1.96893228E+00   7.36241508E+02   8.38218728E-01   1.60471591E-01   7.16812929E-04   4.72282697E-04   2.43518091E-05   5.67766428E-05   1.06110673E-13   2.29836142E-05  
  60               2.23785888E+00   7.65026747E+02   8.38220417E-01   1.60469836E-01   7.16811889E-04   4.72282012E-04   2.43517740E-05   5.67765642E-05   3.86615912E-13   2.29833627E-05  
  61               2.54107013E+00   7.94221737E+02   8.38221701E-01   1.60468349E-01   7.16812222E-04   4.72282232E-04   2.43517857E-05   5.67765950E-05   1.30077704E-12   2.29831496E-05  
  62               2.88296440E+00   8.24705449E+02   8.38222760E-01   1.60467052E-01   7.16817146E-04   4.72285477E-04   2.43519535E-05   5.67769899E-05   4.21036951E-12   2.29829631E-05  
  63               3.26795659E+00   8.55620895E+02   8.38223774E-01   1.60466014E-01   7.16823047E-04   4.72289365E-04   2.43521560E-05   5.67774629E-05   1.26923233E-11   2.29830514E-05  
  64               3.70056157E+00   8.87798130E+02   8.38224628E-01   1.60465115E-01   7.16825109E-04   4.72290725E-04   2.43522361E-05   5.67776323E-05   3.68642276E-11   2.29922695E-05  
  65               4.18603204E+00   9.20353896E+02   8.38225259E-01   1.60464355E-01   7.16827849E-04   4.72292531E-04   2.43523816E-05   5.67778559E-05   1.00272261E-10   2.30185496E-05  
  66               4.72989054E+00   9.54131281E+02   8.38225621E-01   1.60463638E-01   7.16831757E-04   4.72295106E-04   2.43527718E-05   5.67781722E-05   2.63280308E-10   2.30946557E-05  
  67               5.33877291E+00   9.88270934E+02   8.38225033E-01   1.60462827E-01   7.16838489E-04   4.72299542E-04   2.43541873E-05   5.67787126E-05   6.51734687E-10   2.32965739E-05  
  68               6.01950096E+00   1.02361081E+03   8.38223846E-01   1.60461994E-01   7.16864119E-04   4.72316425E-04   2.43601197E-05   5.67807505E-05   1.56162789E-09   2.42859703E-05  
  69               6.77904103E+00   1.05927151E+03   8.38224606E-01   1.60461206E-01   7.16866135E-04   4.72317711E-04   2.43805728E-05   5.67809224E-05   3.54760658E-09   2.42857864E-05  
  70               7.62538472E+00   1.09605564E+03   8.38225621E-01   1.60460108E-01   7.16867317E-04   4.72318180E-04   2.44566073E-05   5.67810582E-05   7.81390578E-09   2.42855080E-05  
  71               8.56873769E+00   1.13321319E+03   8.38226957E-01   1.60458500E-01   7.16865973E-04   4.72315232E-04   2.47199137E-05   5.67811919E-05   1.64357635E-08   2.42850804E-05  
  72               9.62057826E+00   1.17153962E+03   8.38228656E-01   1.60455979E-01   7.16853372E-04   4.72294710E-04   2.55484218E-05   5.67815908E-05   3.36522664E-08   2.42843970E-05  
  73               1.07934940E+01   1.21034678E+03   8.38230333E-01   1.60452115E-01   7.16773416E-04   4.72176308E-04   2.78854152E-05   5.67828435E-05   6.62531103E-08   2.42833392E-05  
  74               1.21007499E+01   1.25030720E+03   8.38231489E-01   1.60446214E-01   7.16354433E-04   4.71591935E-04   3.35441127E-05   5.67860938E-05   1.27237625E-07   2.42817084E-05  
  75               1.35580240E+01   1.29083887E+03   8.38232599E-01   1.60438061E-01   7.14516565E-04   4.69159199E-04   4.47035995E-05   5.67918743E-05   2.36231873E-07   2.42793645E-05  
  76               1.51889172E+01   1.33266973E+03   8.38238753E-01   1.60428128E-01   7.08201323E-04   4.61287585E-04   6.24139984E-05   5.67961875E-05   4.29578672E-07   2.42761826E-05  
  77               1.70342177E+01   1.37579021E+03   8.38258283E-01   1.60418029E-01   6.92652393E-04   4.43464124E-04   8.59429934E-05   5.67963156E-05   7.64618148E-07   2.42721179E-05  
  78               1.91402596E+01   1.42099308E+03   8.38292250E-01   1.60407909E-01   6.66676232E-04   4.16142822E-04   1.14690033E-04   5.67933170E-05   1.34602577E-06   2.42665502E-05  
  79               2.15532172E+01   1.46808883E+03   8.38333494E-01   1.60397175E-01   6.34822672E-04   3.83804645E-04   1.47153882E-04   5.67898669E-05   2.33374698E-06   2.42578972E-05  
  80               2.43040194E+01   1.51717038E+03   8.38377107E-01   1.60385696E-01   6.00465171E-04   3.48987912E-04   1.81915512E-04   5.67869748E-05   3.98734972E-06   2.42414553E-05  
  81               2.74095368E+01   1.56750065E+03   8.38418729E-01   1.60374006E-01   5.66415899E-04   3.14096741E-04   2.16712929E-04   5.67849492E-05   6.65723694E-06   2.42023897E-05  
  82               3.08651045E+01   1.61860558E+03   8.38453224E-01   1.60362088E-01   5.34701718E-04   2.80607515E-04   2.50089632E-04   5.67845868E-05   1.08260657E-05   2.40940621E-05  
  83               3.46373709E+01   1.66942831E+03   8.38471172E-01   1.60349204E-01   5.08640510E-04   2.49574785E-04   2.80991298E-04   5.68066042E-05   1.70180353E-05   2.37940152E-05  
  84               3.86906267E+01   1.71943496E+03   8.38485348E-01   1.60338612E-01   4.95228382E-04   2.19715208E-04   3.10715443E-04   5.68000885E-05   2.58357750E-05   2.28626193E-05  
  85               4.29466276E+01   1.76759496E+03   8.38497459E-01   1.60329430E-01   4.75405932E-04   1.96535873E-04   3.33748814E-04   5.67817653E-05   3.77140700E-05   2.27674637E-05  
  86               4.73106367E+01   1.81323432E+03   8.38489316E-01   1.60319316E-01   4.64212327E-04   1.75836845E-04   3.54292815E-04   5.67494364E-05   5.29200729E-05   2.25694359E-05  
  87               5.16169554E+01   1.85502165E+03   8.38457961E-01   1.60308078E-01   4.65472903E-04   1.56736592E-04   3.73243036E-04   5.67065734E-05   7.10391922E-05   2.22126450E-05  
  88               5.55371109E+01   1.89074182E+03   8.38404386E-01   1.60295957E-01   4.79692924E-04   1.39522126E-04   3.90330815E-04   5.66691813E-05   9.03678441E-05   2.17435647E-05  
  89               5.89137485E+01   1.91986865E+03   8.38345988E-01   1.60285467E-01   5.01769995E-04   1.25076187E-04   4.04684012E-04   5.66309291E-05   1.09173398E-04   2.12856567E-05  
  90               6.26457597E+01   1.95062199E+03   8.38334910E-01   1.60281113E-01   4.93950847E-04   1.17141276E-04   4.12497933E-04   5.65806666E-05   1.32429235E-04   2.12632310E-05  
  91               6.67596929E+01   1.98276113E+03   8.38318391E-01   1.60276493E-01   4.86607519E-04   1.09672944E-04   4.19830811E-04   5.65212214E-05   1.60910434E-04   2.12391154E-05  
  92               7.01361669E+01   2.00800146E+03   8.38301652E-01   1.60272760E-01   4.81351852E-04   1.04314672E-04   4.25075946E-04   5.64712470E-05   1.86630808E-04   2.12192985E-05  
  93               7.27305014E+01   2.02668978E+03   8.38276173E-01   1.60267858E-01   4.77740260E-04   1.00628789E-04   4.28667106E-04   5.64304946E-05   2.07739227E-04   2.12038581E-05  
  94               7.56689708E+01   2.04728447E+03   8.38257637E-01   1.60264641E-01   4.73998799E-04   9.67962595E-05   4.32398700E-04   5.63848650E-05   2.33221103E-04   2.11863846E-05  
  95               7.89882193E+01   2.06970301E+03   8.38234500E-01   1.60260999E-01   4.70229465E-04   9.29230188E-05   4.36156648E-04   5.63318982E-05   2.63750625E-04   2.11666365E-05  
  96               8.27208303E+01   2.09408199E+03   8.38205637E-01   1.60256843E-01   4.66424631E-04   8.89979670E-05   4.39949906E-04   5.62716791E-05   3.00538977E-04   2.11439329E-05  
  97               8.69016715E+01   2.12026263E+03   8.38170066E-01   1.60252136E-01   4.62708604E-04   8.51251729E-05   4.43673095E-04   5.62026582E-05   3.44490084E-04   2.11183122E-05  
  98               9.00069024E+01   2.13907464E+03   8.38141457E-01   1.60248571E-01   4.60207444E-04   8.25322663E-05   4.46153135E-04   5.61511440E-05   3.79137751E-04   2.10987522E-05  
  99               9.22482498E+01   2.15229477E+03   8.38089715E-01   1.60240233E-01   4.58565414E-04   8.07994505E-05   4.47784962E-04   5.61113629E-05   4.05078708E-04   2.10839193E-05  
  100              9.48259799E+01   2.16722240E+03   8.38063500E-01   1.60237231E-01   4.56765957E-04   7.89226491E-05   4.49566427E-04   5.60681299E-05   4.36087229E-04   2.10672012E-05  
  101              9.77815821E+01   2.18387970E+03   8.38030172E-01   1.60233318E-01   4.54877357E-04   7.69459072E-05   4.51431480E-04   5.60177275E-05   4.72844559E-04   2.10478829E-05  
