# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  83               2.31775641E+01   1.97965518E+03   8.38332765E-01   1.60236048E-01   3.96900144E-04   5.09944131E-04   2.01141338E-05   2.67262134E-04   5.92015541E-05   2.05711684E-05  
  84               2.41954407E+01   2.00127210E+03   8.38300803E-01   1.60232794E-01   3.95785102E-04   5.11026924E-04   1.89946560E-05   3.03558553E-04   5.91833573E-05   2.05587175E-05  
  85               2.53345979E+01   2.02510356E+03   8.38230811E-01   1.60223062E-01   3.94628723E-04   5.12116705E-04   1.78430123E-05   3.48274213E-04   5.91592321E-05   2.05409884E-05  
  86               2.61762618E+01   2.04174775E+03   8.38200240E-01   1.60220127E-01   3.93937214E-04   5.12798857E-04   1.71294789E-05   3.82429140E-04   5.91488231E-05   2.05277140E-05  
  87               2.67830650E+01   2.05389503E+03   8.38176275E-01   1.60217825E-01   3.93421244E-04   5.13288797E-04   1.66158683E-05   4.09185178E-04   5.91357067E-05   2.05165583E-05  
  88               2.74796869E+01   2.06705133E+03   8.38148826E-01   1.60215229E-01   3.92962976E-04   5.13761924E-04   1.61158288E-05   4.39636601E-04   5.91222800E-05   2.05042290E-05  
  89               2.82769427E+01   2.08226473E+03   8.38114896E-01   1.60212040E-01   3.92389613E-04   5.14300933E-04   1.55449595E-05   4.77319301E-04   5.91077153E-05   2.04879381E-05  
  90               2.91861380E+01   2.09870014E+03   8.38075728E-01   1.60208404E-01   3.91835476E-04   5.14816530E-04   1.49929610E-05   5.20663693E-04   5.90899328E-05   2.04692135E-05  
  91               3.02217481E+01   2.11736395E+03   8.38027543E-01   1.60203961E-01   3.91225831E-04   5.15380616E-04   1.43860605E-05   5.73889819E-04   5.90702716E-05   2.04455108E-05  
  92               3.13973709E+01   2.13746611E+03   8.37971406E-01   1.60198839E-01   3.90641100E-04   5.15914082E-04   1.38035080E-05   6.35720612E-04   5.90467716E-05   2.04179728E-05  
  93               3.27275243E+01   2.15985084E+03   8.37902999E-01   1.60192636E-01   3.90024639E-04   5.16470647E-04   1.31895767E-05   7.10934569E-04   5.90205606E-05   2.03839067E-05  
  94               3.42275652E+01   2.18383649E+03   8.37822809E-01   1.60185423E-01   3.89438610E-04   5.16989176E-04   1.26052054E-05   7.98910341E-04   5.89899038E-05   2.03441836E-05  
  95               3.59139619E+01   2.21001516E+03   8.37726244E-01   1.60176784E-01   3.88848478E-04   5.17501456E-04   1.20164789E-05   9.04693492E-04   5.89554495E-05   2.02962902E-05  
  96               3.78041255E+01   2.23795723E+03   8.37612386E-01   1.60166656E-01   3.88289943E-04   5.17972000E-04   1.14580515E-05   1.02922786E-03   5.89159710E-05   2.02404136E-05  
  97               3.99169789E+01   2.26781269E+03   8.37477445E-01   1.60154705E-01   3.87757311E-04   5.18404760E-04   1.09240443E-05   1.17664369E-03   5.88712913E-05   2.01750415E-05  
  98               4.22725683E+01   2.29965841E+03   8.37315227E-01   1.60140186E-01   3.87248858E-04   5.18797554E-04   1.04132674E-05   1.35152429E-03   5.88209456E-05   2.00986674E-05  
  99               4.48924538E+01   2.33291020E+03   8.37121312E-01   1.60123634E-01   3.92717900E-04   5.19284320E-04   9.80844110E-06   1.55422447E-03   5.87680174E-05   2.00447983E-05  
  100              4.78008695E+01   2.36812648E+03   8.36901373E-01   1.60104341E-01   3.92417262E-04   5.19562207E-04   9.37903731E-06   1.79373659E-03   5.87046772E-05   1.99454335E-05  
  101              5.10250077E+01   2.40448697E+03   8.36649080E-01   1.60082260E-01   3.92169864E-04   5.19760112E-04   9.00909496E-06   2.06834606E-03   5.86329497E-05   1.98354205E-05  
