# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  63               1.66579297E+01   1.23747327E+03   8.38179132E-01   1.60446503E-01   7.52603160E-04   5.04692327E-04   8.67629049E-08   1.36456374E-05   5.41675361E-05   2.42822978E-05  
  64               1.86655788E+01   1.27133396E+03   8.38178947E-01   1.60443418E-01   7.52055775E-04   5.03957156E-04   1.46217035E-07   1.81121513E-05   5.41691743E-05   2.42811872E-05  
  65               2.09127148E+01   1.30580189E+03   8.38179965E-01   1.60439734E-01   7.50410391E-04   5.01854595E-04   2.41543028E-07   2.43978580E-05   5.41710783E-05   2.42797334E-05  
  66               2.34272894E+01   1.33936120E+03   8.38184343E-01   1.60436170E-01   7.46513499E-04   4.97202475E-04   3.82642686E-07   3.19500388E-05   5.41721241E-05   2.42780307E-05  
  67               2.62387831E+01   1.37438862E+03   8.38193497E-01   1.60432416E-01   7.39327452E-04   4.89220563E-04   6.03859016E-07   4.14448639E-05   5.41723538E-05   2.42758345E-05  
  68               2.93790300E+01   1.40928655E+03   8.38206470E-01   1.60428744E-01   7.29325461E-04   4.78795226E-04   9.27829845E-07   5.21827836E-05   5.41715481E-05   2.42731059E-05  
  69               3.28931873E+01   1.44634229E+03   8.38222969E-01   1.60424343E-01   7.16520406E-04   4.65708813E-04   1.43245021E-06   6.53828536E-05   5.41703770E-05   2.42692214E-05  
  70               3.68328092E+01   1.48382124E+03   8.38241151E-01   1.60419577E-01   7.02232483E-04   4.51201426E-04   2.16983617E-06   7.98678928E-05   5.41690534E-05   2.42637246E-05  
  71               4.12425401E+01   1.52382356E+03   8.38262393E-01   1.60413894E-01   6.85316829E-04   4.33982243E-04   3.30845977E-06   9.70496451E-05   5.41677938E-05   2.42545211E-05  
  72               4.61539756E+01   1.56453591E+03   8.38283161E-01   1.60407558E-01   6.67329835E-04   4.15630769E-04   4.96468065E-06   1.15335815E-04   5.41661719E-05   2.42379406E-05  
  73               5.15800738E+01   1.60792715E+03   8.38306900E-01   1.60400535E-01   6.48147626E-04   3.94430110E-04   7.49274441E-06   1.36453208E-04   5.41669419E-05   2.41334674E-05  
  74               5.75101995E+01   1.65216310E+03   8.38315480E-01   1.60390100E-01   6.26681119E-04   3.72661386E-04   1.11438188E-05   1.58107950E-04   5.41638467E-05   2.41190908E-05  
  75               6.38910848E+01   1.69921783E+03   8.38327398E-01   1.60380814E-01   6.19348725E-04   3.45202951E-04   1.66602257E-05   1.85432874E-04   5.41861483E-05   2.31343973E-05  
  76               7.07220914E+01   1.74588251E+03   8.38349518E-01   1.60372457E-01   5.96646581E-04   3.21709347E-04   2.42732829E-05   2.08772859E-04   5.41778840E-05   2.31031417E-05  
  77               7.80110861E+01   1.79163876E+03   8.38364320E-01   1.60364156E-01   5.76938729E-04   2.99830871E-04   3.43940484E-05   2.30476258E-04   5.41480208E-05   2.30481274E-05  
  78               8.56720463E+01   1.83641772E+03   8.38365698E-01   1.60354947E-01   5.62097210E-04   2.79021414E-04   4.75232471E-05   2.51086870E-04   5.40965775E-05   2.29346798E-05  
  79               9.34913629E+01   1.87871876E+03   8.38349335E-01   1.60344750E-01   5.55978667E-04   2.59277084E-04   6.35148622E-05   2.70619746E-04   5.40266302E-05   2.27151056E-05  
  80               1.01153081E+02   1.91769629E+03   8.38304571E-01   1.60331748E-01   5.61321578E-04   2.39849331E-04   8.19859520E-05   2.89832616E-04   5.39495034E-05   2.23634840E-05  
  81               1.09327879E+02   1.95653535E+03   8.38225877E-01   1.60316304E-01   5.92917900E-04   2.16284747E-04   1.04563863E-04   3.13193924E-04   5.38642409E-05   2.17174007E-05  
  82               1.16921040E+02   1.99073287E+03   8.38218059E-01   1.60310966E-01   5.82166022E-04   2.05320294E-04   1.28468324E-04   3.23947707E-04   5.37727109E-05   2.16920467E-05  
  83               1.23505266E+02   2.01880845E+03   8.38207779E-01   1.60306562E-01   5.74062329E-04   1.97031000E-04   1.51246302E-04   3.32049851E-04   5.36878306E-05   2.16704274E-05  
  84               1.30796889E+02   2.04864564E+03   8.38192867E-01   1.60301783E-01   5.66020063E-04   1.88778570E-04   1.78961658E-04   3.40088616E-04   5.35916444E-05   2.16461224E-05  
  85               1.38888604E+02   2.08003953E+03   8.38162571E-01   1.60294784E-01   5.58270796E-04   1.80796889E-04   2.12376209E-04   3.47821743E-04   5.34793964E-05   2.16192268E-05  
  86               1.47909271E+02   2.11353050E+03   8.38134827E-01   1.60289086E-01   5.50627666E-04   1.72880274E-04   2.53424786E-04   3.55459060E-04   5.33536813E-05   2.15888126E-05  
  87               1.55675952E+02   2.14093311E+03   8.38107272E-01   1.60284224E-01   5.44921855E-04   1.66932099E-04   2.91497434E-04   3.61161495E-04   5.32421623E-05   2.15627634E-05  
  88               1.61986068E+02   2.16252981E+03   8.38082313E-01   1.60280217E-01   5.40692099E-04   1.62478111E-04   3.24644203E-04   3.65410756E-04   5.31515851E-05   2.15411402E-05  
  89               1.69104858E+02   2.18590643E+03   8.38051899E-01   1.60275735E-01   5.36425556E-04   1.57994063E-04   3.63764631E-04   3.69661051E-04   5.30469976E-05   2.15169393E-05  
  90               1.77095037E+02   2.21134645E+03   8.37983085E-01   1.60264584E-01   5.32061275E-04   1.53355800E-04   4.10512962E-04   3.74011051E-04   5.29278166E-05   2.14884793E-05  
  91               1.86090842E+02   2.23869604E+03   8.37937721E-01   1.60258870E-01   5.27757946E-04   1.48767522E-04   4.65861482E-04   3.78292859E-04   5.27937705E-05   2.14574521E-05  
  92               1.96336133E+02   2.26877352E+03   8.37881347E-01   1.60252079E-01   5.23350720E-04   1.44027127E-04   5.33396749E-04   3.82674410E-04   5.26416752E-05   2.14211829E-05  
  93               2.04467001E+02   2.29160260E+03   8.37833708E-01   1.60246634E-01   5.20304506E-04   1.40712565E-04   5.89496040E-04   3.85700058E-04   5.25195468E-05   2.13925609E-05  
  94               2.10667824E+02   2.30867234E+03   8.37793233E-01   1.60241971E-01   5.18115181E-04   1.38314924E-04   6.34438588E-04   3.87871501E-04   5.24272526E-05   2.13700943E-05  
  95               2.17770948E+02   2.32752848E+03   8.37741340E-01   1.60236695E-01   5.20502482E-04   1.34956204E-04   6.87002082E-04   3.91001320E-04   5.23247572E-05   2.13613510E-05  
  96               2.25883923E+02   2.34862492E+03   8.37686537E-01   1.60230912E-01   5.18203347E-04   1.32280608E-04   7.49834046E-04   3.93378373E-04   5.22039893E-05   2.13321484E-05  
  97               2.35122831E+02   2.37169378E+03   8.37621871E-01   1.60224280E-01   5.15925427E-04   1.29580486E-04   8.23349219E-04   3.95735777E-04   5.20650868E-05   2.12993334E-05  
  98               2.45615360E+02   2.39716460E+03   8.37544389E-01   1.60216497E-01   5.13566675E-04   1.26743489E-04   9.10910983E-04   3.98175722E-04   5.19086759E-05   2.12613400E-05  
  99               2.57500928E+02   2.42472751E+03   8.37453160E-01   1.60207560E-01   5.11303780E-04   1.23946125E-04   1.01326921E-03   4.00518405E-04   5.17304235E-05   2.12188165E-05  
  100              2.70932259E+02   2.45478888E+03   8.37344355E-01   1.60197096E-01   5.09046893E-04   1.21086245E-04   1.13472344E-03   4.02853669E-04   5.15307459E-05   2.11700663E-05  
  101              2.86076235E+02   2.48698941E+03   8.37216724E-01   1.60185075E-01   5.06971887E-04   1.18337311E-04   1.27637211E-03   4.05003304E-04   5.13051419E-05   2.11158237E-05  
