# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               H2S             
  54               7.15465643E+00   9.97465340E+02   8.38179858E-01   1.60455519E-01   7.50787116E-04   7.22306082E-10   5.03107176E-04   9.36824074E-06   5.37973068E-05   2.32989801E-05  
  55               8.34913095E+00   1.04116377E+03   8.38178798E-01   1.60454562E-01   7.50812322E-04   2.05992545E-09   5.03124059E-04   9.37532966E-06   5.37991196E-05   2.42848312E-05  
  56               9.72396660E+00   1.08014071E+03   8.38179433E-01   1.60453886E-01   7.50812176E-04   4.82690310E-09   5.03123881E-04   9.41075943E-06   5.37991231E-05   2.42846492E-05  
  57               1.13041113E+01   1.12578838E+03   8.38180451E-01   1.60452707E-01   7.50810363E-04   1.22414739E-08   5.03121995E-04   9.56142885E-06   5.37990656E-05   2.42843031E-05  
  58               1.31155899E+01   1.16644954E+03   8.38181229E-01   1.60451328E-01   7.50803329E-04   2.60784653E-08   5.03111208E-04   1.01593098E-05   5.37991762E-05   2.42838458E-05  
  59               1.51889155E+01   1.21344146E+03   8.38182085E-01   1.60448668E-01   7.50755389E-04   5.91000982E-08   5.03040706E-04   1.20311365E-05   5.37996703E-05   2.42829648E-05  
  60               1.75657681E+01   1.25510513E+03   8.38181786E-01   1.60445380E-01   7.50433185E-04   1.14650396E-07   5.02593867E-04   1.63051190E-05   5.38012258E-05   2.42818128E-05  
  61               2.02944317E+01   1.30277584E+03   8.38182159E-01   1.60439937E-01   7.48953833E-04   2.33729277E-07   5.00646248E-04   2.46381397E-05   5.38039980E-05   2.42798252E-05  
  62               2.34268018E+01   1.34441278E+03   8.38187727E-01   1.60435441E-01   7.43967663E-04   4.12695044E-07   4.94691954E-04   3.42745376E-05   5.38055694E-05   2.42776778E-05  
  63               2.70231917E+01   1.39183867E+03   8.38202264E-01   1.60429719E-01   7.32630271E-04   7.61007871E-07   4.82198183E-04   4.88660981E-05   5.38056740E-05   2.42743254E-05  
  64               3.11533429E+01   1.43281626E+03   8.38218574E-01   1.60425529E-01   7.19976352E-04   1.23406179E-06   4.69273175E-04   6.17546529E-05   5.38042764E-05   2.42706391E-05  
  65               3.59177620E+01   1.48016020E+03   8.38241553E-01   1.60419430E-01   7.01988822E-04   2.10050796E-06   4.50954849E-04   8.01480048E-05   5.38021108E-05   2.42641343E-05  
  66               4.14054315E+01   1.52129055E+03   8.38258480E-01   1.60414702E-01   6.87949899E-04   3.20577360E-06   4.36643099E-04   9.43891708E-05   5.37989344E-05   2.42555009E-05  
  67               4.76836733E+01   1.56974535E+03   8.38282668E-01   1.60407936E-01   6.68375465E-04   5.17310891E-06   4.16136879E-04   1.14830092E-04   5.37922099E-05   2.42096862E-05  
  68               5.47818789E+01   1.61265832E+03   8.38298911E-01   1.60402567E-01   6.53153045E-04   7.63892212E-06   4.00702254E-04   1.30184846E-04   5.37710305E-05   2.42004603E-05  
  69               6.26923899E+01   1.66402630E+03   8.38307174E-01   1.60391777E-01   6.32179841E-04   1.19983840E-05   3.77690905E-04   1.53067092E-04   5.37325111E-05   2.40972506E-05  
  70               7.13927111E+01   1.71104076E+03   8.38310760E-01   1.60384392E-01   6.30444215E-04   1.75998665E-05   3.56266929E-04   1.74360463E-04   5.36665043E-05   2.31582778E-05  
  71               8.08906663E+01   1.76807101E+03   8.38334580E-01   1.60374603E-01   6.04554056E-04   2.75914647E-05   3.29131009E-04   2.01297615E-04   5.36223286E-05   2.31185138E-05  
  72               9.10804287E+01   1.82345195E+03   8.38344083E-01   1.60364223E-01   5.83700712E-04   4.14817680E-05   3.04000860E-04   2.26193027E-04   5.35569906E-05   2.30302432E-05  
  73               1.01813001E+02   1.87781338E+03   8.38330669E-01   1.60351839E-01   5.72196509E-04   6.04392887E-05   2.78975024E-04   2.50944786E-04   5.34740401E-05   2.28094342E-05  
  74               1.12784755E+02   1.92774269E+03   8.38277046E-01   1.60336013E-01   5.78310636E-04   8.36099029E-05   2.54839089E-04   2.74793824E-04   5.33579791E-05   2.23895419E-05  
  75               1.23486201E+02   1.97383405E+03   8.38203157E-01   1.60320435E-01   6.05864282E-04   1.11168618E-04   2.29169548E-04   3.00200230E-04   5.32497428E-05   2.17755620E-05  
  76               1.33530336E+02   2.01326820E+03   8.38192108E-01   1.60314341E-01   5.94006687E-04   1.40144667E-04   2.17044672E-04   3.12058217E-04   5.31218194E-05   2.17477209E-05  
  77               1.44870994E+02   2.05602423E+03   8.38162594E-01   1.60305498E-01   5.81962432E-04   1.78374674E-04   2.04686751E-04   3.24088483E-04   5.29796614E-05   2.17132727E-05  
  78               1.54744861E+02   2.09019914E+03   8.38140401E-01   1.60299960E-01   5.73560669E-04   2.14464732E-04   1.96007229E-04   3.32484914E-04   5.28429117E-05   2.16854252E-05  
