# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           H               
  27               9.24832746E-02   1.38691061E+02   8.38729720E-01   1.60589413E-01   5.31761152E-04   2.39017641E-11   1.21819261E-04   2.29983617E-05   1.55283080E-10   1.24457249E-79  
  28               9.95036328E-02   1.43685769E+02   8.38729720E-01   1.60589413E-01   5.31761152E-04   1.79184845E-10   1.21819261E-04   2.29983617E-05   0.00000000E+00   8.29212354E-77  
  29               1.08095985E-01   1.45919737E+02   8.38729719E-01   1.60589413E-01   5.31761151E-04   1.80291396E-10   1.21819261E-04   2.29983616E-05   1.18670501E-09   1.28218483E-75  
  30               1.18602734E-01   1.52150374E+02   8.38729719E-01   1.60589413E-01   5.31761151E-04   1.36699640E-09   1.21819261E-04   2.29983616E-05   0.00000000E+00   1.85389739E-72  
  31               1.31441136E-01   1.54127862E+02   8.38729712E-01   1.60589411E-01   5.31761147E-04   1.37492366E-09   1.21819260E-04   2.29983615E-05   8.50157205E-09   1.59042499E-71  
  32               1.47117344E-01   1.61053353E+02   8.38729712E-01   1.60589411E-01   5.31761147E-04   9.87649570E-09   1.21819260E-04   2.29983615E-05   0.00000000E+00   2.18615439E-68  
  33               1.66247076E-01   1.63232062E+02   8.38729669E-01   1.60589403E-01   5.31761120E-04   9.92427212E-09   1.21819254E-04   2.29983603E-05   5.12415672E-08   1.78950863E-67  
  34               1.89580886E-01   1.70498293E+02   8.38729669E-01   1.60589403E-01   5.31761120E-04   6.11658393E-08   1.21819254E-04   2.29983603E-05   0.00000000E+00   1.53022432E-64  
  35               2.18033998E-01   1.72882180E+02   8.38729500E-01   1.60589371E-01   5.31761012E-04   6.13536758E-08   1.21819229E-04   2.29983556E-05   2.01523087E-07   1.17926896E-63  
  36               2.52713864E-01   1.79860869E+02   8.38729500E-01   1.60589371E-01   5.31761012E-04   2.62876763E-07   1.21819229E-04   2.29983556E-05   0.00000000E+00   3.84857802E-61  
  37               2.94971549E-01   1.81913813E+02   8.38728892E-01   1.60589254E-01   5.31760627E-04   2.63550928E-07   1.21819141E-04   2.29983390E-05   7.24115492E-07   1.83459846E-60  
  38               3.46463003E-01   1.89221561E+02   8.38728892E-01   1.60589254E-01   5.31760627E-04   9.87666420E-07   1.21819141E-04   2.29983390E-05   0.00000000E+00   4.33948966E-58  
  39               4.09204830E-01   1.91278166E+02   8.38726631E-01   1.60588821E-01   5.31759194E-04   9.90162724E-07   1.21818812E-04   2.29982770E-05   2.69264646E-06   1.76246847E-57  
  40               4.85607972E-01   1.99185960E+02   8.38726631E-01   1.60588821E-01   5.31759194E-04   3.68280919E-06   1.21818812E-04   2.29982770E-05   0.00000000E+00   3.67025713E-55  
  41               5.78574791E-01   2.01723452E+02   8.38718567E-01   1.60587277E-01   5.31754081E-04   3.69157893E-06   1.21817641E-04   2.29980559E-05   9.60617970E-06   1.75210328E-54  
  42               6.91594961E-01   2.10160227E+02   8.38718567E-01   1.60587277E-01   5.31754081E-04   1.32977586E-05   1.21817641E-04   2.29980559E-05   0.00000000E+00   2.91299946E-52  
  43               8.28801337E-01   2.13229675E+02   8.38679185E-01   1.60579737E-01   5.31729113E-04   1.33375116E-05   1.21811921E-04   2.29969760E-05   4.69141420E-05   1.59536698E-51  
  44               9.94915855E-01   2.22802343E+02   8.38679185E-01   1.60579737E-01   5.31729113E-04   6.02516536E-05   1.21811921E-04   2.29969760E-05   0.00000000E+00   2.83044184E-49  
  45               1.19514244E+00   2.28063377E+02   8.38539469E-01   1.60552986E-01   5.31640532E-04   6.03518562E-05   1.21791628E-04   2.29931449E-05   1.66480372E-04   3.87478724E-48  
  46               1.43516867E+00   2.41560040E+02   8.38073896E-01   1.60463844E-01   5.31345355E-04   2.26706767E-04   1.21724007E-04   2.29803787E-05   5.55218418E-04   2.14987306E-45  
  47               1.70841599E+00   2.55174379E+02   8.38073896E-01   1.60463844E-01   5.31345355E-04   7.81925185E-04   1.21724007E-04   2.29803787E-05   0.00000000E+00   6.39354203E-43  
  48               2.01700322E+00   2.68624096E+02   8.38073896E-01   1.60463844E-01   5.31345355E-04   7.81925185E-04   1.21724007E-04   2.29803787E-05   0.00000000E+00   1.00313228E-40  
  49               2.39082789E+00   2.83189505E+02   8.38073896E-01   1.60463844E-01   5.31345355E-04   7.81925185E-04   1.21724007E-04   2.29803787E-05   0.00000000E+00   1.39013807E-38  
  50               2.84221416E+00   2.98564948E+02   8.38073896E-01   1.60463844E-01   5.31345355E-04   7.81925185E-04   1.21724007E-04   2.29803787E-05   0.00000000E+00   1.49820611E-36  
  51               3.38558580E+00   3.15060619E+02   8.38073896E-01   1.60463844E-01   5.31345355E-04   7.81925175E-04   1.21724007E-04   2.29803787E-05   0.00000000E+00   1.36376261E-34  
  52               4.03773714E+00   3.32329886E+02   8.38073896E-01   1.60463844E-01   5.31345355E-04   7.81925142E-04   1.21724007E-04   2.29803787E-05   0.00000000E+00   9.45783061E-33  
  53               4.81940041E+00   3.50758984E+02   8.38073896E-01   1.60463844E-01   5.31345355E-04   7.81925030E-04   1.21724006E-04   2.29803787E-05   0.00000000E+00   5.49156762E-31  
  54               5.75421296E+00   3.69977962E+02   8.38073893E-01   1.60463843E-01   5.31345353E-04   7.81924695E-04   1.21724003E-04   2.29803786E-05   0.00000000E+00   2.45710626E-29  
  55               6.86771731E+00   3.90377848E+02   8.38073897E-01   1.60463844E-01   5.31345354E-04   7.81921269E-04   1.21723992E-04   2.29803786E-05   0.00000000E+00   9.20366791E-28  
  56               8.18760855E+00   4.11485655E+02   8.38073519E-01   1.60463771E-01   5.31345114E-04   7.81920917E-04   1.21723903E-04   2.29803683E-05   0.00000000E+00   2.66875848E-26  
  57               9.74749388E+00   4.33766026E+02   8.38073933E-01   1.60463807E-01   5.31345234E-04   7.81470789E-04   1.21723831E-04   2.29803735E-05   0.00000000E+00   6.52764264E-25  
  58               1.15802713E+01   4.56679115E+02   8.38073923E-01   1.60463806E-01   5.31345228E-04   7.81471872E-04   1.21723567E-04   2.29803732E-05   0.00000000E+00   1.25846710E-23  
  59               1.37176618E+01   4.80640049E+02   8.38073485E-01   1.60463730E-01   5.31344976E-04   7.81513377E-04   1.21722850E-04   2.29803623E-05   0.00000000E+00   2.05108686E-22  
  60               1.61942865E+01   5.05030186E+02   8.38071590E-01   1.60463729E-01   5.31344975E-04   7.83408721E-04   1.21721365E-04   2.29803623E-05   0.00000000E+00   2.66872088E-21  
  61               1.90675156E+01   5.30528254E+02   8.38071592E-01   1.60463729E-01   5.31344973E-04   7.83408719E-04   1.21718111E-04   2.29803622E-05   0.00000000E+00   3.02779103E-20  
  62               2.23982521E+01   5.56588317E+02   8.38068897E-01   1.60463211E-01   5.31343258E-04   7.83406190E-04   1.21711217E-04   2.29802880E-05   0.00000000E+00   2.87073047E-19  
  63               2.62429493E+01   5.83538098E+02   8.38071866E-01   1.60463467E-01   5.31344107E-04   7.80185656E-04   1.21698938E-04   2.29803247E-05   0.00000000E+00   2.37475864E-18  
  64               3.06506765E+01   6.11389089E+02   8.38071881E-01   1.60463464E-01   5.31344095E-04   7.80185659E-04   1.21676100E-04   2.29803242E-05   0.00000000E+00   1.73088391E-17  
  65               3.56984445E+01   6.39808264E+02   8.38071907E-01   1.60463457E-01   5.31344074E-04   7.80185673E-04   1.21637109E-04   2.29803233E-05   0.00000000E+00   1.09654768E-16  
  66               4.14835057E+01   6.69278174E+02   8.38071949E-01   1.60463447E-01   5.31344038E-04   7.80185719E-04   1.21571988E-04   2.29803218E-05   0.00000000E+00   6.29367815E-16  
  67               4.80924097E+01   6.99364046E+02   8.38072016E-01   1.60463430E-01   5.31343983E-04   7.80185834E-04   1.21470187E-04   2.29803195E-05   0.00000000E+00   3.21100622E-15  
  68               5.56043358E+01   7.30405081E+02   8.38072118E-01   1.60463405E-01   5.31343897E-04   7.80186087E-04   1.21314555E-04   2.29803158E-05   0.00000000E+00   1.49679236E-14  
  69               6.41043400E+01   7.61879848E+02   8.38072263E-01   1.60463369E-01   5.31343774E-04   7.80186585E-04   1.21091983E-04   2.29803107E-05   0.00000000E+00   6.25760153E-14  
  70               7.37871460E+01   7.94516740E+02   8.38072464E-01   1.60463317E-01   5.31343594E-04   7.80187522E-04   1.20775368E-04   2.29803031E-05   0.00000000E+00   2.44373964E-13  
  71               8.48757431E+01   8.28057794E+02   8.38072725E-01   1.60463244E-01   5.31343341E-04   7.80189171E-04   1.20348369E-04   2.29802926E-05   0.00000000E+00   8.84114979E-13  
  72               9.75552338E+01   8.62991610E+02   8.38073003E-01   1.60463134E-01   5.31342947E-04   7.80191918E-04   1.19777509E-04   2.29802765E-05   0.00000000E+00   3.02995999E-12  
  73               1.11961853E+02   8.98623077E+02   8.38073344E-01   1.60462995E-01   5.31342427E-04   7.80196054E-04   1.19063449E-04   2.29802559E-05   0.00000000E+00   9.62068404E-12  
  74               1.28176767E+02   9.35192831E+02   8.38073722E-01   1.60462816E-01   5.31341706E-04   7.80201219E-04   1.18184148E-04   2.29840120E-05   0.00000000E+00   2.86987575E-11  
  75               1.46425297E+02   9.72206205E+02   8.38074363E-01   1.60462648E-01   5.31340886E-04   7.80211299E-04   1.17165818E-04   2.29847228E-05   0.00000000E+00   7.96049154E-11  
  76               1.66985142E+02   1.01030647E+03   8.38075065E-01   1.60462448E-01   5.31339685E-04   7.80222523E-04   1.15987027E-04   2.30023491E-05   0.00000000E+00   2.10166127E-10  
  77               1.90075011E+02   1.04884030E+03   8.38075732E-01   1.60462217E-01   5.31337885E-04   7.80234666E-04   1.14707248E-04   2.30461029E-05   0.00000000E+00   5.21030850E-10  
  78               2.15875262E+02   1.08824447E+03   8.38076244E-01   1.60461938E-01   5.31335017E-04   7.80245164E-04   1.13318250E-04   2.31530632E-05   0.00000000E+00   1.23209988E-09  
  79               2.44549883E+02   1.12776127E+03   8.38075983E-01   1.60461530E-01   5.31330268E-04   7.80249055E-04   1.11906349E-04   2.33936695E-05   0.00000000E+00   2.74362798E-09  
  80               2.76368163E+02   1.16800382E+03   8.38075346E-01   1.60461162E-01   5.31323238E-04   7.80199254E-04   1.10453747E-04   2.42857920E-05   0.00000000E+00   5.85722768E-09  
  81               3.11933997E+02   1.20867257E+03   8.38076209E-01   1.60460926E-01   5.31313016E-04   7.80269228E-04   1.09038627E-04   2.42856671E-05   0.00000000E+00   1.19494024E-08  
  82               3.51820031E+02   1.25058568E+03   8.38077061E-01   1.60460688E-01   5.31297002E-04   7.80344125E-04   1.07625590E-04   2.42854889E-05   0.00000000E+00   2.37075915E-08  
  83               3.96432411E+02   1.29298661E+03   8.38077839E-01   1.60460460E-01   5.31273094E-04   7.80421027E-04   1.06309634E-04   2.42852381E-05   0.00000000E+00   4.52214970E-08  
  84               4.46092539E+02   1.33639973E+03   8.38078562E-01   1.60460236E-01   5.31237530E-04   7.80498323E-04   1.05052845E-04   2.42848775E-05   0.00000000E+00   8.38596433E-08  
  85               5.01071786E+02   1.37991776E+03   8.38079166E-01   1.60460029E-01   5.31187591E-04   7.80570251E-04   1.03946174E-04   2.42843750E-05   0.00000000E+00   1.49475806E-07  
  86               5.60702506E+02   1.42346693E+03   8.38079669E-01   1.60459828E-01   5.31118979E-04   7.80631977E-04   1.02948262E-04   2.42836782E-05   0.00000000E+00   2.57005839E-07  
  87               6.26332026E+02   1.46698801E+03   8.38080017E-01   1.60459642E-01   5.31028461E-04   7.80678746E-04   1.02117194E-04   2.42827216E-05   0.00000000E+00   4.26917638E-07  
  88               7.00086208E+02   1.51219961E+03   8.38080230E-01   1.60459449E-01   5.30905612E-04   7.80707165E-04   1.01371392E-04   2.42813299E-05   0.00000000E+00   7.00524188E-07  
  89               7.84381355E+02   1.55905528E+03   8.38080203E-01   1.60459252E-01   5.30743962E-04   7.80715291E-04   1.00780621E-04   2.42792258E-05   0.00000000E+00   1.13308980E-06  
  90               8.82155398E+02   1.60909008E+03   8.38079859E-01   1.60459022E-01   5.30525057E-04   7.80703959E-04   1.00281609E-04   2.42756380E-05   0.00000000E+00   1.83374798E-06  
  91               9.97186700E+02   1.66218321E+03   8.38061664E-01   1.60455439E-01   5.30226634E-04   7.80669177E-04   9.99519204E-05   2.42682372E-05   0.00000000E+00   2.95412193E-06  
  92               1.13404069E+03   1.71987220E+03   8.38039682E-01   1.60455119E-01   5.29801405E-04   8.02025166E-04   9.97426574E-05   2.34289809E-05   0.00000000E+00   4.79003263E-06  
  93               1.29545919E+03   1.78078022E+03   8.38037131E-01   1.60454672E-01   5.29295999E-04   8.01718404E-04   9.97388597E-05   2.34546584E-05   0.00000000E+00   7.69277203E-06  
  94               1.48437938E+03   1.84540756E+03   8.38033028E-01   1.60454096E-01   5.28650024E-04   8.01453279E-04   9.98823577E-05   2.34743646E-05   0.00000000E+00   1.22692512E-05  
  95               1.70466717E+03   1.91251435E+03   8.38025119E-01   1.60453088E-01   5.27865810E-04   8.01413421E-04   1.00234144E-04   2.34872325E-05   0.00000000E+00   1.92141634E-05  
  96               1.96141241E+03   1.98311071E+03   8.38010043E-01   1.60451393E-01   5.26895658E-04   8.02993076E-04   1.00728464E-04   2.34778394E-05   0.00000000E+00   2.97529222E-05  
  97               2.26049906E+03   2.05606138E+03   8.37974232E-01   1.60447599E-01   5.25719660E-04   8.11015965E-04   1.01410461E-04   2.34012996E-05   0.00000000E+00   4.51624634E-05  
  98               2.60728912E+03   2.13215065E+03   8.37893428E-01   1.60439974E-01   5.24179787E-04   8.38023295E-04   1.02205584E-04   2.31600595E-05   0.00000000E+00   6.75683705E-05  
  99               3.00124935E+03   2.20866792E+03   8.37768193E-01   1.60431896E-01   5.22175648E-04   8.98052165E-04   1.03128586E-04   2.27101349E-05   0.00000000E+00   9.82225654E-05  
  100              3.43885493E+03   2.28528271E+03   8.37729066E-01   1.60428174E-01   5.20464325E-04   8.97171184E-04   1.04095977E-04   2.27254086E-05   0.00000000E+00   1.39057657E-04  
  101              3.90273526E+03   2.35759629E+03   8.37632854E-01   1.60415678E-01   5.18678832E-04   9.01184884E-04   1.05071558E-04   2.27385015E-05   0.00000000E+00   1.88581496E-04  
