# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               O-3P             H2O              Mg               Fe              
  65               5.57312736E-02   3.52745351E+03   8.10078965E-01   9.38682736E-02   9.52968948E-02   3.15503987E-04   1.94000728E-04   9.16794006E-06   3.96505102E-05   3.30329113E-05  
  66               6.16997091E-02   3.56352264E+03   8.14691725E-01   8.96253250E-02   9.49267035E-02   3.14264071E-04   1.96691470E-04   8.23707087E-06   3.94938047E-05   3.29041951E-05  
  67               6.82898095E-02   3.60645841E+03   8.21130462E-01   8.37036656E-02   9.44101478E-02   3.12530633E-04   2.00233107E-04   7.05888132E-06   3.92769358E-05   3.27248266E-05  
  68               7.55672248E-02   3.64587045E+03   8.25891161E-01   7.93252697E-02   9.40282215E-02   3.11238785E-04   2.02964510E-04   6.24085348E-06   3.91155288E-05   3.25920565E-05  
  69               8.35971045E-02   3.69064697E+03   8.31715945E-01   7.39687839E-02   9.35610411E-02   3.09649737E-04   2.06152079E-04   5.32906724E-06   3.89192197E-05   3.24297988E-05  
  70               9.24505649E-02   3.73280671E+03   8.36287368E-01   6.97649457E-02   9.31944053E-02   3.08384138E-04   2.08706530E-04   4.66205291E-06   3.87642908E-05   3.23023356E-05  
  71               1.02197038E-01   3.77976729E+03   8.41576354E-01   6.49015612E-02   9.27702866E-02   3.06901453E-04   2.11523977E-04   3.95949813E-06   3.85859635E-05   3.21550064E-05  
  72               1.12911685E-01   3.82611298E+03   8.46191887E-01   6.06575072E-02   9.24001914E-02   3.05573048E-04   2.13968516E-04   3.39577732E-06   3.84299261E-05   3.20263777E-05  
  73               1.24663649E-01   3.87720735E+03   8.51300451E-01   5.59602675E-02   9.19905997E-02   3.04059918E-04   2.16561173E-04   2.83220030E-06   3.82579920E-05   3.18841215E-05  
  74               1.37519615E-01   3.92940885E+03   8.56059304E-01   5.15846090E-02   9.16090586E-02   3.02576345E-04   2.18944475E-04   2.35806871E-06   3.80977914E-05   3.17515944E-05  
  75               1.51531029E-01   3.98587265E+03   8.61000113E-01   4.70416640E-02   9.12129390E-02   3.00929231E-04   2.21378875E-04   1.91898004E-06   3.79320224E-05   3.16140746E-05  
  76               1.66736007E-01   4.04408403E+03   8.65626830E-01   4.27874250E-02   9.08419897E-02   2.99214092E-04   2.23707526E-04   1.55380738E-06   3.77769029E-05   3.14853014E-05  
  77               1.83153417E-01   4.10568229E+03   8.70153326E-01   3.86251596E-02   9.04790479E-02   2.97278138E-04   2.26112624E-04   1.23918736E-06   3.76255198E-05   3.13593553E-05  
  78               2.00787213E-01   4.16912335E+03   8.74340701E-01   3.47743972E-02   9.01432406E-02   2.95090922E-04   2.28615899E-04   9.84127520E-07   3.74856407E-05   3.12428433E-05  
  79               2.19627125E-01   4.23559048E+03   8.78315207E-01   3.11188767E-02   8.98244127E-02   2.92427091E-04   2.31464047E-04   7.73373521E-07   3.73531937E-05   3.11322658E-05  
