# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  47               1.06991470E-02   2.47298346E+03   6.76556516E-01   1.76239168E-01   1.46117829E-01   4.83801827E-04   3.26310713E-04   6.08107038E-05   5.06536149E-05   5.54026464E-05  
  48               1.24003904E-02   2.50252636E+03   6.68066127E-01   1.85475178E-01   1.45377618E-01   4.81351390E-04   3.22507877E-04   6.04943583E-05   5.03960682E-05   5.51177936E-05  
  49               1.43554334E-02   2.53254307E+03   6.59259905E-01   1.95054766E-01   1.44609859E-01   4.78809724E-04   3.18458237E-04   6.01660729E-05   5.01289077E-05   5.48214433E-05  
  50               1.66002737E-02   2.56196725E+03   6.50881221E-01   2.04169279E-01   1.43879358E-01   4.76391399E-04   3.14469496E-04   5.98527699E-05   4.98745973E-05   5.45382001E-05  
  51               1.91753444E-02   2.59182086E+03   6.42259876E-01   2.13547772E-01   1.43127687E-01   4.73902964E-04   3.10257515E-04   5.95301304E-05   4.96128767E-05   5.42453591E-05  
  52               2.21255344E-02   2.62118344E+03   6.34052644E-01   2.22475791E-01   1.42412104E-01   4.71533997E-04   3.06109581E-04   5.92219245E-05   4.93635915E-05   5.39646204E-05  
  53               2.55003016E-02   2.65121440E+03   6.25458371E-01   2.31824851E-01   1.41662762E-01   4.69053239E-04   3.01667459E-04   5.88991126E-05   4.91025251E-05   5.36685668E-05  
  54               2.93539349E-02   2.68084458E+03   6.17242582E-01   2.40762192E-01   1.40946403E-01   4.66681666E-04   2.97280329E-04   5.85893956E-05   4.88528097E-05   5.33824987E-05  
  55               3.37459281E-02   2.71122808E+03   6.08583176E-01   2.50182118E-01   1.40191349E-01   4.64181960E-04   2.92562330E-04   5.82630045E-05   4.85895974E-05   5.30777756E-05  
  56               3.87412197E-02   2.74119069E+03   6.00330581E-01   2.59159508E-01   1.39471748E-01   4.61799616E-04   2.87920629E-04   5.79506961E-05   4.83385856E-05   5.27825391E-05  
  57               4.44109102E-02   2.77185877E+03   5.91668782E-01   2.68582045E-01   1.38716450E-01   4.59299065E-04   2.82956276E-04   5.76229502E-05   4.80751125E-05   5.24676079E-05  
  58               5.08327730E-02   2.80196189E+03   5.83529723E-01   2.77435931E-01   1.38006714E-01   4.56949341E-04   2.78139681E-04   5.73134409E-05   4.78273365E-05   5.21640073E-05  
  59               5.80920929E-02   2.83271453E+03   5.75026007E-01   2.86686500E-01   1.37265165E-01   4.54494262E-04   2.73020932E-04   5.69900952E-05   4.75684409E-05   5.18390184E-05  
  60               6.62821032E-02   2.86281670E+03   5.67118477E-01   2.95288514E-01   1.36575584E-01   4.52211214E-04   2.68108860E-04   5.66875922E-05   4.73274544E-05   5.15249226E-05  
  61               7.55048685E-02   2.89360279E+03   5.58827577E-01   3.04307561E-01   1.35852556E-01   4.49817398E-04   2.62886900E-04   5.63705674E-05   4.70747786E-05   5.11840575E-05  
  62               8.58714933E-02   2.92377894E+03   5.51111115E-01   3.12701704E-01   1.35179603E-01   4.47589335E-04   2.57882688E-04   5.60735502E-05   4.68393471E-05   5.08489173E-05  
  63               9.75032967E-02   2.95475322E+03   5.42935514E-01   3.21595294E-01   1.34466594E-01   4.45228614E-04   2.52528727E-04   5.57592776E-05   4.65899335E-05   5.04771052E-05  
  64               1.10532753E-01   2.98513311E+03   5.35330081E-01   3.29868613E-01   1.33803290E-01   4.43032409E-04   2.47411727E-04   5.54648098E-05   4.63576274E-05   5.01043258E-05  
  65               1.25105852E-01   3.01632842E+03   5.27266799E-01   3.38639965E-01   1.33100041E-01   4.40703899E-04   2.41947859E-04   5.51531351E-05   4.61113746E-05   4.96844330E-05  
  66               1.41379347E-01   3.04688252E+03   5.19815237E-01   3.46745831E-01   1.32450122E-01   4.38551893E-04   2.36767859E-04   5.48627040E-05   4.58834756E-05   4.92560615E-05  
  67               1.59523985E-01   3.07823180E+03   5.11933833E-01   3.55319244E-01   1.31762699E-01   4.36275645E-04   2.31262994E-04   5.45560779E-05   4.56424725E-05   4.87670996E-05  
  68               1.79730149E-01   3.10886830E+03   5.04722727E-01   3.63163431E-01   1.31133717E-01   4.34192800E-04   2.26101692E-04   5.42727274E-05   4.54215813E-05   4.82601310E-05  
  69               2.02210842E-01   3.14033191E+03   4.97083038E-01   3.71473774E-01   1.30467340E-01   4.31986043E-04   2.20624213E-04   5.39732107E-05   4.51876179E-05   4.76727638E-05  
  70               2.27202518E-01   3.17113229E+03   4.90092840E-01   3.79077505E-01   1.29857590E-01   4.29966660E-04   2.15501242E-04   5.36961214E-05   4.49731233E-05   4.70503274E-05  
  71               2.54968230E-01   3.20289243E+03   4.82612514E-01   3.87214310E-01   1.29205075E-01   4.27805546E-04   2.10031620E-04   5.34006364E-05   4.47436908E-05   4.63167340E-05  
  72               2.85798785E-01   3.23409321E+03   4.75726486E-01   3.94704518E-01   1.28604375E-01   4.25815830E-04   2.04902322E-04   5.31254930E-05   4.45320439E-05   4.55227992E-05  
  73               3.20017220E-01   3.26640388E+03   4.68283952E-01   4.02799967E-01   1.27955117E-01   4.23665145E-04   1.99391256E-04   5.28295645E-05   4.43034481E-05   4.45752990E-05  
  74               3.57980792E-01   3.29825386E+03   4.61388161E-01   4.10300514E-01   1.27353526E-01   4.21672066E-04   1.94207688E-04   5.25521692E-05   4.40911848E-05   4.35342090E-05  
  75               4.00088994E-01   3.33128448E+03   4.53931681E-01   4.18410801E-01   1.26703007E-01   4.19516710E-04   1.88647022E-04   5.22538288E-05   4.38618385E-05   4.22888025E-05  
  76               4.46788314E-01   3.36383202E+03   4.47061209E-01   4.25883436E-01   1.26103579E-01   4.17530213E-04   1.83455235E-04   5.19752896E-05   4.36499878E-05   4.09177252E-05  
  77               4.98582877E-01   3.39753257E+03   4.39698176E-01   4.33891642E-01   1.25461161E-01   4.15400980E-04   1.77939834E-04   5.16781927E-05   4.34230972E-05   3.92917255E-05  
  78               5.56038405E-01   3.43069985E+03   4.32979539E-01   4.41198653E-01   1.24874927E-01   4.13457355E-04   1.72846087E-04   5.14027925E-05   4.32154346E-05   3.75154698E-05  
  79               6.19792675E-01   3.46504394E+03   4.25804078E-01   4.49002308E-01   1.24248815E-01   4.11381132E-04   1.67462483E-04   5.11100314E-05   4.29937929E-05   3.54378630E-05  
  80               6.90558515E-01   3.49889061E+03   4.19272845E-01   4.56104937E-01   1.23678875E-01   4.09490312E-04   1.62512415E-04   5.08387439E-05   4.27913401E-05   3.31987536E-05  
  81               7.69135039E-01   3.53405067E+03   4.12249394E-01   4.63742681E-01   1.23065967E-01   4.07456416E-04   1.57259644E-04   5.05487666E-05   4.25738232E-05   3.06283846E-05  
  82               8.56408929E-01   3.56888753E+03   4.05782469E-01   4.70774821E-01   1.22501584E-01   4.05582354E-04   1.52392033E-04   5.02769528E-05   4.23728184E-05   2.79113625E-05  
  83               9.53370995E-01   3.60525733E+03   3.98742278E-01   4.78430259E-01   1.21887167E-01   4.03541422E-04   1.47179514E-04   4.99835540E-05   4.21542947E-05   2.48816959E-05  
  84               1.06112247E+00   3.64146982E+03   3.92182668E-01   4.85562789E-01   1.21314659E-01   4.01638025E-04   1.42309812E-04   4.97054627E-05   4.19499656E-05   2.17926693E-05  
  85               1.18090184E+00   3.67934078E+03   3.85036449E-01   4.93333252E-01   1.20690965E-01   3.99563329E-04   1.37098443E-04   4.94053132E-05   4.17277087E-05   1.85237758E-05  
  86               1.31409358E+00   3.71714438E+03   3.78348074E-01   5.00605724E-01   1.20107214E-01   3.97619026E-04   1.32220861E-04   4.91194940E-05   4.15189329E-05   1.53894940E-05  
  87               1.46226377E+00   3.75664552E+03   3.71118456E-01   5.08467007E-01   1.19476255E-01   3.95515633E-04   1.27043409E-04   4.88131970E-05   4.12935886E-05   1.23248063E-05  
  88               1.62717403E+00   3.79605722E+03   3.64392080E-01   5.15781140E-01   1.18889223E-01   3.93554820E-04   1.22231845E-04   4.85225886E-05   4.10830551E-05   9.63503312E-06  
  89               1.81082614E+00   3.83709844E+03   3.57231651E-01   5.23567705E-01   1.18264355E-01   3.91464450E-04   1.17199660E-04   4.82151677E-05   4.08591602E-05   7.25531162E-06  
  90               2.01546980E+00   3.87805752E+03   3.50600068E-01   5.30779379E-01   1.17685657E-01   3.89522515E-04   1.12548822E-04   4.79240239E-05   4.06507938E-05   5.35958956E-06  
  91               2.24363974E+00   3.92078268E+03   3.43527699E-01   5.38470871E-01   1.17068541E-01   3.87446641E-04   1.07683956E-04   4.76157522E-05   4.04288391E-05   3.82931867E-06  
  92               2.49816541E+00   3.96361115E+03   3.36914877E-01   5.45662801E-01   1.16491546E-01   3.85496525E-04   1.03156879E-04   4.73210743E-05   4.02202741E-05   2.70432841E-06  
  93               2.78222348E+00   4.00843342E+03   3.29814726E-01   5.53385115E-01   1.15872069E-01   3.83394955E-04   9.84017320E-05   4.70076428E-05   3.99967017E-05   1.85834541E-06  
  94               3.09935341E+00   4.05360042E+03   3.23086415E-01   5.60703160E-01   1.15285049E-01   3.81389337E-04   9.39341177E-05   4.67045691E-05   3.97838343E-05   1.27061965E-06  
  95               3.45352663E+00   4.10093155E+03   3.15865673E-01   5.68557049E-01   1.14655095E-01   3.79224168E-04   8.92550546E-05   4.63826144E-05   3.95557918E-05   8.50253375E-07  
  96               3.84917528E+00   4.14869163E+03   3.09015202E-01   5.76008277E-01   1.14057454E-01   3.77147371E-04   8.48677163E-05   4.60707556E-05   3.93383542E-05   5.69404990E-07  
  97               4.29126449E+00   4.19862591E+03   3.01747710E-01   5.83913251E-01   1.13423450E-01   3.74922431E-04   8.03341411E-05   4.57426210E-05   3.91079832E-05   3.75245141E-07  
  98               4.78530813E+00   4.24901398E+03   2.94873310E-01   5.91390675E-01   1.12823746E-01   3.72781144E-04   7.61095140E-05   4.54251259E-05   3.88888425E-05   2.48443414E-07  
  99               5.33742477E+00   4.30160981E+03   2.87639792E-01   5.99258812E-01   1.12192729E-01   3.70491833E-04   7.17925487E-05   4.50933670E-05   3.86584846E-05   1.62406878E-07  
  100              5.95435167E+00   4.35470275E+03   2.80805558E-01   6.06692621E-01   1.11596549E-01   3.68269774E-04   6.77909353E-05   4.47722481E-05   3.84394847E-05   1.06860611E-07  
  101              6.64346566E+00   4.41016409E+03   2.73610361E-01   6.14519111E-01   1.10968895E-01   3.65871841E-04   6.37190136E-05   4.44369763E-05   3.82092119E-05   6.94806509E-08  
