# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               N2               Fe              
  47               1.45797522E-02   2.23292513E+03   7.92976997E-01   1.56266866E-01   4.96065371E-02   5.17402783E-04   3.60931905E-04   6.50193268E-05   5.92678217E-05   5.41714218E-05  
  48               1.67206949E-02   2.26919446E+03   7.86969566E-01   1.55743149E-01   5.61414841E-02   5.15669536E-04   3.58956214E-04   6.47909871E-05   5.90685649E-05   5.39887188E-05  
  49               1.91712723E-02   2.30485395E+03   7.80708624E-01   1.55197138E-01   6.29501061E-02   5.13862394E-04   3.56852633E-04   6.45527088E-05   5.88606879E-05   5.37982046E-05  
  50               2.19626607E-02   2.33961455E+03   7.74314788E-01   1.54640139E-01   6.98959035E-02   5.12018008E-04   3.61337942E-04   6.43092186E-05   5.86484268E-05   5.36038011E-05  
  51               2.51425442E-02   2.37386850E+03   7.67747640E-01   1.54067636E-01   7.70397392E-02   5.10123025E-04   3.58987675E-04   6.40585837E-05   5.84300557E-05   5.34039342E-05  
  52               2.87798461E-02   2.40766417E+03   7.61051885E-01   1.53483921E-01   8.43234727E-02   5.08190863E-04   3.56529472E-04   6.38024994E-05   5.82071246E-05   5.32000810E-05  
  53               3.29353673E-02   2.44134504E+03   7.54146798E-01   1.52881955E-01   9.18349200E-02   5.06198222E-04   3.53929293E-04   6.35379967E-05   5.79768681E-05   5.29897937E-05  
  54               3.76762402E-02   2.47462272E+03   7.47169172E-01   1.52273662E-01   9.94252751E-02   5.04184582E-04   3.51230957E-04   6.32700115E-05   5.77437293E-05   5.27772031E-05  
  55               4.30646905E-02   2.50777795E+03   7.40032867E-01   1.51651532E-01   1.07188245E-01   5.02125080E-04   3.48398844E-04   6.29954184E-05   5.75047118E-05   5.25597019E-05  
  56               4.91836572E-02   2.54051010E+03   7.32891914E-01   1.51028990E-01   1.14956270E-01   5.00064173E-04   3.45486827E-04   6.27197665E-05   5.72647886E-05   5.23419409E-05  
  57               5.61264693E-02   2.57326503E+03   7.25594591E-01   1.50392810E-01   1.22894397E-01   4.97958068E-04   3.42433373E-04   6.24375118E-05   5.70186851E-05   5.21193253E-05  
  58               6.39955992E-02   2.60569580E+03   7.18316517E-01   1.49758301E-01   1.30811587E-01   4.95857452E-04   3.39303843E-04   6.21549813E-05   5.67720173E-05   5.18971582E-05  
  59               7.29031462E-02   2.63823357E+03   7.10890253E-01   1.49110865E-01   1.38889978E-01   4.93713993E-04   3.36028493E-04   6.18660760E-05   5.65188319E-05   5.16703709E-05  
  60               8.29716314E-02   2.67044601E+03   7.03534464E-01   1.48469563E-01   1.46891706E-01   4.91590805E-04   3.32694450E-04   6.15786794E-05   5.62660802E-05   5.14455679E-05  
  61               9.43346974E-02   2.70278469E+03   6.96056309E-01   1.47817585E-01   1.55026544E-01   4.89432221E-04   3.29219790E-04   6.12857863E-05   5.60067226E-05   5.12169135E-05  
  62               1.07137794E-01   2.73480682E+03   6.88686132E-01   1.47175010E-01   1.63043920E-01   4.87304727E-04   3.25701937E-04   6.09956959E-05   5.57479535E-05   5.09913649E-05  
  63               1.21539106E-01   2.76699777E+03   6.81199758E-01   1.46522295E-01   1.71187692E-01   4.85143611E-04   3.22042837E-04   6.07002855E-05   5.54813026E-05   5.07621407E-05  
  64               1.37710628E-01   2.79887548E+03   6.73853244E-01   1.45881763E-01   1.79179318E-01   4.83022779E-04   3.18356729E-04   6.04087732E-05   5.52146267E-05   5.05369741E-05  
  65               1.55839493E-01   2.83096068E+03   6.66392135E-01   1.45231228E-01   1.87295595E-01   4.80868777E-04   3.14528545E-04   6.01119589E-05   5.49378460E-05   5.03081702E-05  
  66               1.76129442E-01   2.86274812E+03   6.59090927E-01   1.44594624E-01   1.95237920E-01   4.78760835E-04   3.10686785E-04   5.98197106E-05   5.46591587E-05   5.00840181E-05  
  67               1.98802294E-01   2.89481499E+03   6.51654968E-01   1.43946259E-01   2.03326817E-01   4.76613889E-04   3.06692993E-04   5.95213987E-05   5.43661742E-05   4.98556097E-05  
  68               2.24100264E-01   2.92660617E+03   6.44391390E-01   1.43312911E-01   2.11228179E-01   4.74516594E-04   3.02697072E-04   5.92280460E-05   5.40678341E-05   4.96322183E-05  
  69               2.52289125E-01   2.95870316E+03   6.36995872E-01   1.42668048E-01   2.19273050E-01   4.72381087E-04   2.98550858E-04   5.89286927E-05   5.37500576E-05   4.94046449E-05  
  70               2.83661359E-01   2.99050266E+03   6.29809323E-01   1.42041392E-01   2.27090576E-01   4.70305776E-04   2.94428042E-04   5.86355423E-05   5.34225813E-05   4.91831798E-05  
  71               3.18540128E-01   3.02260403E+03   6.22513397E-01   1.41405186E-01   2.35027055E-01   4.68198743E-04   2.90168773E-04   5.83371449E-05   5.30689266E-05   4.89582012E-05  
  72               3.57271843E-01   3.05438740E+03   6.15461935E-01   1.40790284E-01   2.42697566E-01   4.66162129E-04   2.85961112E-04   5.80461355E-05   5.26989220E-05   4.87403866E-05  
  73               4.00235992E-01   3.08650703E+03   6.08299406E-01   1.40165683E-01   2.50488856E-01   4.64093274E-04   2.81620574E-04   5.77497635E-05   5.22918991E-05   4.85189941E-05  
  74               4.47853904E-01   3.11834826E+03   6.01381472E-01   1.39562396E-01   2.58014023E-01   4.62094844E-04   2.77342789E-04   5.74606848E-05   5.18572180E-05   4.83047512E-05  
  75               5.00593290E-01   3.15061352E+03   5.94324451E-01   1.38946966E-01   2.65690429E-01   4.60056040E-04   2.72921402E-04   5.71651673E-05   5.13688454E-05   4.80860680E-05  
  76               5.58971133E-01   3.18268208E+03   5.87490456E-01   1.38350970E-01   2.73124157E-01   4.58081387E-04   2.68561291E-04   5.68760516E-05   5.08356326E-05   4.78738611E-05  
  77               6.23558959E-01   3.21529324E+03   5.80473820E-01   1.37739031E-01   2.80756477E-01   4.56053724E-04   2.64036689E-04   5.65788625E-05   5.02243060E-05   4.76558806E-05  
  78               6.94987297E-01   3.24780125E+03   5.73651810E-01   1.37144047E-01   2.88176986E-01   4.54081948E-04   2.59566411E-04   5.62869353E-05   4.95434887E-05   4.74434951E-05  
  79               7.73956153E-01   3.28092208E+03   5.66632541E-01   1.36531842E-01   2.95811958E-01   4.52052855E-04   2.54926008E-04   5.59863280E-05   4.87523773E-05   4.72248742E-05  
  80               8.61243249E-01   3.31396593E+03   5.59819107E-01   1.35937568E-01   3.03222892E-01   4.50082796E-04   2.50355390E-04   5.56912302E-05   4.78611299E-05   4.70121577E-05  
  81               9.57717619E-01   3.34764737E+03   5.52823148E-01   1.35327354E-01   3.10832217E-01   4.48059559E-04   2.45626845E-04   5.53878614E-05   4.68193519E-05   4.67936246E-05  
  82               1.06434939E+00   3.38124218E+03   5.46067045E-01   1.34738036E-01   3.18180458E-01   4.46105061E-04   2.40998130E-04   5.50910126E-05   4.56412317E-05   4.65819861E-05  
  83               1.18222546E+00   3.41547825E+03   5.39158525E-01   1.34135400E-01   3.25694289E-01   4.44105925E-04   2.36234493E-04   5.47868001E-05   4.42657742E-05   4.63654059E-05  
  84               1.31255662E+00   3.44966117E+03   5.32500930E-01   1.33554621E-01   3.32934952E-01   4.42178563E-04   2.31587628E-04   5.44892610E-05   4.27121972E-05   4.61560105E-05  
  85               1.45669020E+00   3.48458335E+03   5.25669531E-01   1.32958655E-01   3.40364418E-01   4.40200178E-04   2.26797612E-04   5.41834322E-05   4.09056591E-05   4.59409916E-05  
  86               1.61611982E+00   3.51955207E+03   5.19062396E-01   1.32382219E-01   3.47549675E-01   4.38285646E-04   2.22116770E-04   5.38830962E-05   3.88775411E-05   4.57323079E-05  
  87               1.79250593E+00   3.55538141E+03   5.12247835E-01   1.31787658E-01   3.54960263E-01   4.36310092E-04   2.17275571E-04   5.35731292E-05   3.65460555E-05   4.55169501E-05  
  88               1.98769066E+00   3.59136792E+03   5.05625139E-01   1.31209801E-01   3.62161863E-01   4.34388730E-04   2.12530297E-04   5.32672840E-05   3.39685313E-05   4.53069040E-05  
  89               2.20372176E+00   3.62834824E+03   4.98757394E-01   1.30610535E-01   3.69629706E-01   4.32395078E-04   2.07603448E-04   5.29503533E-05   3.10708730E-05   4.50890143E-05  
  90               2.44287727E+00   3.66556313E+03   4.92068900E-01   1.30026876E-01   3.76902316E-01   4.30451549E-04   2.02770211E-04   5.26368710E-05   2.79624834E-05   4.48760080E-05  
  91               2.70770879E+00   3.70382807E+03   4.85143094E-01   1.29422489E-01   3.84432820E-01   4.28437405E-04   1.97762686E-04   5.23124227E-05   2.46089608E-05   4.46553520E-05  
  92               3.00107221E+00   3.74234973E+03   4.78416536E-01   1.28835466E-01   3.91746476E-01   4.26478547E-04   1.92866806E-04   5.19918433E-05   2.11899704E-05   4.44401259E-05  
  93               3.32617382E+00   3.78197718E+03   4.71465015E-01   1.28228809E-01   3.99304778E-01   4.24451799E-04   1.87807075E-04   5.16605463E-05   1.77234085E-05   4.42175784E-05  
  94               3.68660549E+00   3.82190158E+03   4.64725822E-01   1.27640679E-01   4.06632232E-01   4.22483140E-04   1.82872058E-04   5.13332563E-05   1.44370427E-05   4.40007921E-05  
  95               4.08640552E+00   3.86300792E+03   4.57767483E-01   1.27033445E-01   4.14198257E-01   4.20446887E-04   1.77779620E-04   5.09952451E-05   1.13718231E-05   4.37768102E-05  
  96               4.53009018E+00   3.90450149E+03   4.51011616E-01   1.26443899E-01   4.21544376E-01   4.18464210E-04   1.72809560E-04   5.06605675E-05   8.71701482E-06   4.35582237E-05  
  97               5.02272240E+00   3.94731555E+03   4.44015082E-01   1.25833388E-01   4.29152652E-01   4.16405366E-04   1.67671275E-04   5.03142426E-05   6.46457052E-06   4.33317421E-05  
  98               5.56995957E+00   3.99064922E+03   4.37193626E-01   1.25238182E-01   4.36570894E-01   4.14389380E-04   1.62641946E-04   4.99699945E-05   4.68779459E-06   4.31097564E-05  
  99               6.17815862E+00   4.03542171E+03   4.30125410E-01   1.24621480E-01   4.44257930E-01   4.12291660E-04   1.57445865E-04   4.96137107E-05   3.30900364E-06   4.28796306E-05  
  100              6.85445533E+00   4.08076856E+03   4.23246708E-01   1.24021336E-01   4.51739145E-01   4.10236626E-04   1.52374775E-04   4.92596244E-05   2.30444136E-06   4.26543386E-05  
  101              7.60689146E+00   4.12761586E+03   4.16147028E-01   1.23401935E-01   4.59461009E-01   4.08101521E-04   1.47162707E-04   4.88941428E-05   1.57529367E-06   4.24216000E-05  
