# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               OH               Fe              
  54               1.73497715E-01   3.10255341E+03   5.04839994E-01   3.63035946E-01   1.31143972E-01   4.34226864E-04   2.26405089E-04   5.42843785E-05   6.06729610E-05   4.54260778E-05  
  55               1.91480501E-01   3.12873203E+03   4.98456607E-01   3.69979721E-01   1.30587179E-01   4.32383037E-04   2.21834847E-04   5.40344952E-05   6.25282355E-05   4.52306450E-05  
  56               2.11125817E-01   3.15430794E+03   4.92623950E-01   3.76324345E-01   1.30078406E-01   4.30698121E-04   2.17570394E-04   5.38037787E-05   6.42682227E-05   4.50517449E-05  
  57               2.32577188E-01   3.18065872E+03   4.86365253E-01   3.83132365E-01   1.29532463E-01   4.28890053E-04   2.13010962E-04   5.35572295E-05   6.60827774E-05   4.48598873E-05  
  58               2.55990611E-01   3.20646146E+03   4.80627348E-01   3.89373787E-01   1.29031929E-01   4.27232234E-04   2.08751857E-04   5.33287061E-05   6.77856856E-05   4.46836486E-05  
  59               2.81536513E-01   3.23312473E+03   4.74425787E-01   3.96119502E-01   1.28490944E-01   4.25440364E-04   2.04177253E-04   5.30829991E-05   6.95635636E-05   4.44933133E-05  
  60               3.09399905E-01   3.25930503E+03   4.68709514E-01   4.02337225E-01   1.27992271E-01   4.23788465E-04   1.99891975E-04   5.28539791E-05   7.12348211E-05   4.43175144E-05  
  61               3.39783064E-01   3.28642599E+03   4.62499559E-01   4.09091875E-01   1.27450525E-01   4.21993793E-04   1.95275254E-04   5.26067045E-05   7.29786287E-05   4.41267094E-05  
  62               3.72906402E-01   3.31309667E+03   4.56763767E-01   4.15330615E-01   1.26950121E-01   4.20335841E-04   1.90950965E-04   5.23756482E-05   7.46164273E-05   4.39500936E-05  
  63               4.09012671E-01   3.34072910E+03   4.50548565E-01   4.22090723E-01   1.26407885E-01   4.18539172E-04   1.86308416E-04   5.21268465E-05   7.63152237E-05   4.37588983E-05  
  64               4.48368558E-01   3.36788152E+03   4.44840391E-01   4.28299151E-01   1.25909858E-01   4.16888663E-04   1.81989156E-04   5.18953460E-05   7.79019710E-05   4.35828699E-05  
  65               4.91269445E-01   3.39597987E+03   4.38694490E-01   4.34983569E-01   1.25373632E-01   4.15111391E-04   1.77383897E-04   5.16475682E-05   7.95338560E-05   4.33935129E-05  
  66               5.38040326E-01   3.42356603E+03   4.33089752E-01   4.41079158E-01   1.24884592E-01   4.13490074E-04   1.73132910E-04   5.14181914E-05   8.10498909E-05   4.32203348E-05  
  67               5.89040682E-01   3.45211064E+03   4.27070988E-01   4.47624925E-01   1.24359418E-01   4.11748730E-04   1.68617283E-04   5.11733473E-05   8.25993054E-05   4.30345343E-05  
  68               6.44664894E-01   3.48015345E+03   4.21598184E-01   4.53576637E-01   1.23881850E-01   4.10164644E-04   1.64466276E-04   5.09469412E-05   8.40357917E-05   4.28650369E-05  
  69               7.05347708E-01   3.50921612E+03   4.15704045E-01   4.59986454E-01   1.23367507E-01   4.08458279E-04   1.60051855E-04   5.07047728E-05   8.54988314E-05   4.26826873E-05  
  70               7.71563694E-01   3.53785309E+03   4.10318057E-01   4.65843353E-01   1.22897475E-01   4.06898136E-04   1.55982793E-04   5.04795683E-05   8.68583656E-05   4.25154800E-05  
  71               8.43833614E-01   3.56763563E+03   4.04465035E-01   4.72208063E-01   1.22386683E-01   4.05202317E-04   1.51626671E-04   5.02369668E-05   8.82410263E-05   4.23340359E-05  
  72               9.22724786E-01   3.59710589E+03   3.99061070E-01   4.78084168E-01   1.21915050E-01   4.03635484E-04   1.47581554E-04   5.00091218E-05   8.95303548E-05   4.21659340E-05  
  73               1.00886120E+00   3.62783191E+03   3.93158877E-01   4.84502050E-01   1.21399939E-01   4.01923691E-04   1.43235954E-04   4.97627836E-05   9.08339560E-05   4.19826516E-05  
  74               1.10292529E+00   3.65831743E+03   3.87675908E-01   4.90463854E-01   1.20921392E-01   4.00332024E-04   1.39185339E-04   4.95300384E-05   9.20485357E-05   4.18117948E-05  
  75               1.20567120E+00   3.69012293E+03   3.81696323E-01   4.96965773E-01   1.20399516E-01   3.98595476E-04   1.34842939E-04   4.92788700E-05   9.32621327E-05   4.16258044E-05  
  76               1.31792668E+00   3.72172749E+03   3.76128318E-01   5.03020045E-01   1.19913551E-01   3.96976490E-04   1.30793036E-04   4.90409072E-05   9.43877297E-05   4.14519910E-05  
  77               1.44061033E+00   3.75466851E+03   3.70096799E-01   5.09578563E-01   1.19387156E-01   3.95221617E-04   1.26480610E-04   4.87856878E-05   9.54931523E-05   4.12640383E-05  
  78               1.57473467E+00   3.78739173E+03   3.64502765E-01   5.15661385E-01   1.18898944E-01   3.93591256E-04   1.22478130E-04   4.85444317E-05   9.65097873E-05   4.10890189E-05  
  79               1.72142686E+00   3.82141301E+03   3.58509814E-01   5.22178316E-01   1.18375951E-01   3.91842831E-04   1.18261497E-04   4.82881482E-05   9.74865479E-05   4.09017963E-05  
  80               1.88192991E+00   3.85519400E+03   3.52981147E-01   5.28190471E-01   1.17893485E-01   3.90225849E-04   1.14370446E-04   4.80465706E-05   9.83768256E-05   4.07282809E-05  
  81               2.05761949E+00   3.89033284E+03   3.47062777E-01   5.34626771E-01   1.17377047E-01   3.88492167E-04   1.10278010E-04   4.77902516E-05   9.92125923E-05   4.05428277E-05  
  82               2.25000342E+00   3.92531622E+03   3.41576241E-01   5.40593578E-01   1.16898304E-01   3.86879267E-04   1.06489153E-04   4.75473233E-05   9.99672946E-05   4.03700713E-05  
  83               2.46074445E+00   3.96178065E+03   3.35678262E-01   5.47008162E-01   1.16383692E-01   3.85141387E-04   1.02493935E-04   4.72888926E-05   1.00652030E-04   4.01847131E-05  
  84               2.69166177E+00   3.99821642E+03   3.30161239E-01   5.53008535E-01   1.15902331E-01   3.83507599E-04   9.87704902E-05   4.70419311E-05   1.01258691E-04   4.00104890E-05  
  85               2.94475834E+00   4.03627488E+03   3.24207738E-01   5.59483868E-01   1.15382912E-01   3.81738556E-04   9.48366320E-05   4.67786381E-05   1.01776464E-04   3.98229047E-05  
  86               3.22222502E+00   4.07442133E+03   3.18595009E-01   5.65588634E-01   1.14893232E-01   3.80058960E-04   9.11515594E-05   4.65252976E-05   1.02216005E-04   3.96452165E-05  
  87               3.52647487E+00   4.11425605E+03   3.12564090E-01   5.72148420E-01   1.14367087E-01   3.78244908E-04   8.72802315E-05   4.62563034E-05   1.02546857E-04   3.94547114E-05  
  88               3.86014999E+00   4.15420757E+03   3.06878916E-01   5.78332177E-01   1.13871109E-01   3.76517305E-04   8.36620337E-05   4.59972857E-05   1.02801094E-04   3.92742170E-05  
  89               4.22615310E+00   4.19584870E+03   3.00824507E-01   5.84917663E-01   1.13342934E-01   3.74662872E-04   7.98996324E-05   4.57243239E-05   1.02931761E-04   3.90823654E-05  
  90               4.62764898E+00   4.23761752E+03   2.95126333E-01   5.91115674E-01   1.12845840E-01   3.72891395E-04   7.63969909E-05   4.54615364E-05   1.02992036E-04   3.89008016E-05  
  91               5.06808976E+00   4.28110276E+03   2.89092874E-01   5.97678457E-01   1.12319508E-01   3.70993218E-04   7.27830852E-05   4.51860112E-05   1.02918706E-04   3.87088911E-05  
  92               5.55121930E+00   4.32471807E+03   2.83425245E-01   6.03843301E-01   1.11825093E-01   3.69171156E-04   6.94339636E-05   4.49208271E-05   1.02786019E-04   3.85275171E-05  
  93               6.08108622E+00   4.37011266E+03   2.77437464E-01   6.10356436E-01   1.11302760E-01   3.67212316E-04   6.59959817E-05   4.46435118E-05   1.02513472E-04   3.83362487E-05  
  94               6.66204015E+00   4.41575022E+03   2.71775809E-01   6.16514798E-01   1.10808879E-01   3.65303129E-04   6.28023950E-05   4.43751300E-05   1.02189793E-04   3.81543026E-05  
  95               7.29873080E+00   4.46329818E+03   2.65781952E-01   6.23034533E-01   1.10286031E-01   3.63231459E-04   5.95300821E-05   4.40944204E-05   1.01719704E-04   3.79621177E-05  
  96               7.99610555E+00   4.51122086E+03   2.60069724E-01   6.29247873E-01   1.09787753E-01   3.61173454E-04   5.64822476E-05   4.38211926E-05   1.01206300E-04   3.77779148E-05  
  97               8.75939569E+00   4.56109019E+03   2.54051835E-01   6.35793678E-01   1.09262822E-01   3.58928022E-04   5.33859665E-05   4.35367876E-05   1.00550539E-04   3.75842903E-05  
  98               9.59412561E+00   4.61129525E+03   2.48333841E-01   6.42013178E-01   1.08764055E-01   3.56669100E-04   5.05239090E-05   4.32604989E-05   9.98745513E-05   3.73991803E-05  
  99               1.05060726E+01   4.66337397E+03   2.42369631E-01   6.48500425E-01   1.08243818E-01   3.54194593E-04   4.76551087E-05   4.29752608E-05   9.90765006E-05   3.72064463E-05  
  100              1.15012720E+01   4.71575774E+03   2.36711132E-01   6.54654988E-01   1.07750249E-01   3.51662740E-04   4.50207956E-05   4.26984052E-05   9.82864350E-05   3.70223944E-05  
  101              1.25859348E+01   4.77002072E+03   2.30829846E-01   6.61051739E-01   1.07237252E-01   3.48857755E-04   4.24010755E-05   4.24137343E-05   9.73967907E-05   3.68314581E-05  
