# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           H               
  56               2.40281532E+00   3.59914832E+02   8.38073768E-01   1.60463820E-01   5.31345274E-04   7.81926012E-04   1.21723978E-04   2.29833756E-05   0.00000000E+00   5.22345476E-30  
  57               2.89216813E+00   3.80525936E+02   8.38073910E-01   1.60463832E-01   5.31345315E-04   7.81771440E-04   1.21723958E-04   2.29833774E-05   0.00000000E+00   2.48166999E-28  
  58               3.48207749E+00   4.02382832E+02   8.38073910E-01   1.60463832E-01   5.31345315E-04   7.81771440E-04   1.21723854E-04   2.29833774E-05   0.00000000E+00   9.63964491E-27  
  59               4.19088638E+00   4.25367587E+02   8.38073910E-01   1.60463832E-01   5.31345315E-04   7.81771450E-04   1.21723525E-04   2.29833774E-05   0.00000000E+00   3.00505335E-25  
  60               5.04028583E+00   4.49615672E+02   8.38073902E-01   1.60463830E-01   5.31345309E-04   7.81772191E-04   1.21722549E-04   2.29833772E-05   0.00000000E+00   7.71024170E-24  
  61               6.05373556E+00   4.74968353E+02   8.38073466E-01   1.60463754E-01   5.31345055E-04   7.81811950E-04   1.21719849E-04   2.29833662E-05   0.00000000E+00   1.60433114E-22  
  62               7.25585089E+00   5.01497398E+02   8.38068622E-01   1.60463188E-01   5.31343181E-04   7.83706629E-04   1.21712743E-04   2.29832851E-05   0.00000000E+00   2.75992254E-21  
  63               8.67826972E+00   5.29080015E+02   8.38071868E-01   1.60463468E-01   5.31344108E-04   7.80186995E-04   1.21697384E-04   2.29833252E-05   0.00000000E+00   3.91674143E-20  
  64               1.03614036E+01   5.57954515E+02   8.38071891E-01   1.60463462E-01   5.31344090E-04   7.80186974E-04   1.21663065E-04   2.29833244E-05   0.00000000E+00   4.74077108E-19  
  65               1.23449002E+01   5.87923147E+02   8.38071937E-01   1.60463451E-01   5.31344052E-04   7.80186934E-04   1.21592853E-04   2.29833228E-05   0.00000000E+00   4.85396829E-18  
  66               1.46681091E+01   6.19058564E+02   8.38072027E-01   1.60463429E-01   5.31343980E-04   7.80186869E-04   1.21457298E-04   2.29833197E-05   0.00000000E+00   4.27652480E-17  
  67               1.73796899E+01   6.51165887E+02   8.38072188E-01   1.60463390E-01   5.31343850E-04   7.80186775E-04   1.21213481E-04   2.29833141E-05   0.00000000E+00   3.23427109E-16  
  68               2.05457407E+01   6.84535105E+02   8.38072464E-01   1.60463323E-01   5.31343626E-04   7.80186670E-04   1.20794871E-04   2.29833045E-05   0.00000000E+00   2.16128760E-15  
  69               2.42309440E+01   7.18945516E+02   8.38072907E-01   1.60463215E-01   5.31343266E-04   7.80186618E-04   1.20123279E-04   2.29832890E-05   0.00000000E+00   1.27076321E-14  
  70               2.84995395E+01   7.54517567E+02   8.38073580E-01   1.60463049E-01   5.31342713E-04   7.80186765E-04   1.19099469E-04   2.29832653E-05   0.00000000E+00   6.67908144E-14  
  71               3.34332676E+01   7.91037599E+02   8.38074526E-01   1.60462812E-01   5.31341913E-04   7.80187391E-04   1.17642682E-04   2.29832313E-05   0.00000000E+00   3.13363739E-13  
  72               3.91745284E+01   8.29059246E+02   8.38075788E-01   1.60462482E-01   5.31340776E-04   7.80188960E-04   1.15648290E-04   2.29831837E-05   0.00000000E+00   1.35287159E-12  
  73               4.58578010E+01   8.68412205E+02   8.38077288E-01   1.60462036E-01   5.31339186E-04   7.80192137E-04   1.13095328E-04   2.29831194E-05   0.00000000E+00   5.35823403E-12  
  74               5.35917129E+01   9.09174778E+02   8.38079143E-01   1.60461501E-01   5.31337096E-04   7.80197794E-04   1.09989044E-04   2.29832529E-05   0.00000000E+00   1.96216536E-11  
  75               6.24471694E+01   9.50720566E+02   8.38081417E-01   1.60460933E-01   5.31334425E-04   7.80208673E-04   1.06488966E-04   2.29860380E-05   0.00000000E+00   6.55294624E-11  
  76               7.25629508E+01   9.93317049E+02   8.38083815E-01   1.60460307E-01   5.31330472E-04   7.80222568E-04   1.02691672E-04   2.30097123E-05   0.00000000E+00   2.02781707E-10  
  77               8.41155044E+01   1.03672732E+03   8.38086079E-01   1.60459636E-01   5.31324105E-04   7.80238198E-04   9.88011449E-05   2.30804598E-05   0.00000000E+00   5.81357227E-10  
  78               9.72387303E+01   1.08110436E+03   8.38087846E-01   1.60458896E-01   5.31313010E-04   7.80250323E-04   9.49175772E-05   2.32800680E-05   0.00000000E+00   1.56039478E-09  
  79               1.12028405E+02   1.12584793E+03   8.38088928E-01   1.60458141E-01   5.31293861E-04   7.80249337E-04   9.12444536E-05   2.37879704E-05   0.00000000E+00   3.89314740E-09  
  80               1.28573592E+02   1.17107754E+03   8.38090267E-01   1.60457499E-01   5.31261358E-04   7.80269365E-04   8.78105929E-05   2.42851676E-05   0.00000000E+00   9.12132461E-09  
  81               1.47160722E+02   1.21670199E+03   8.38092266E-01   1.60456976E-01   5.31207433E-04   7.80327392E-04   8.47113072E-05   2.42849316E-05   0.00000000E+00   2.01462527E-08  
  82               1.68099593E+02   1.26330906E+03   8.38094098E-01   1.60456483E-01   5.31118827E-04   7.80367950E-04   8.18886468E-05   2.42845985E-05   0.00000000E+00   4.25926047E-08  
  83               1.91602558E+02   1.31036892E+03   8.38095714E-01   1.60456031E-01   5.30980798E-04   7.80374409E-04   7.94332121E-05   2.42841225E-05   0.00000000E+00   8.57405273E-08  
  84               2.17826184E+02   1.35811707E+03   8.38097171E-01   1.60455599E-01   5.30771768E-04   7.80324746E-04   7.72771618E-05   2.42834297E-05   0.00000000E+00   1.65675574E-07  
  85               2.46919024E+02   1.40589482E+03   8.38098432E-01   1.60455191E-01   5.30472970E-04   7.80195325E-04   7.54851075E-05   2.42824390E-05   0.00000000E+00   3.05576517E-07  
  86               2.79299035E+02   1.45443920E+03   8.38099565E-01   1.60454777E-01   5.30051747E-04   7.79954778E-04   7.39544999E-05   2.42809922E-05   0.00000000E+00   5.45398913E-07  
  87               3.15616867E+02   1.50362370E+03   8.38100516E-01   1.60454349E-01   5.29482004E-04   7.79577500E-04   7.27320257E-05   2.42788444E-05   0.00000000E+00   9.42172866E-07  
  88               3.56309535E+02   1.55401367E+03   8.38101280E-01   1.60453869E-01   5.28718856E-04   7.79035409E-04   7.17307496E-05   2.42754205E-05   0.00000000E+00   1.58912460E-06  
  89               4.01586628E+02   1.60468630E+03   8.38101664E-01   1.60453324E-01   5.27751941E-04   7.78314861E-04   7.10150716E-05   2.42695315E-05   0.00000000E+00   2.59513176E-06  
  90               4.51447138E+02   1.65584555E+03   8.38084478E-01   1.60449406E-01   5.26533336E-04   7.77447156E-04   7.04955268E-05   2.42576214E-05   0.00000000E+00   4.12473903E-06  
  91               5.05684824E+02   1.70627706E+03   8.38063756E-01   1.60448661E-01   5.24953419E-04   7.97537786E-04   7.02264969E-05   2.34105143E-05   0.00000000E+00   6.32550577E-06  
  92               5.63280481E+02   1.75569466E+03   8.38062861E-01   1.60447844E-01   5.23286800E-04   7.96056091E-04   7.01129656E-05   2.34291213E-05   0.00000000E+00   9.38079278E-06  
  93               6.25275647E+02   1.80418037E+03   8.38060434E-01   1.60446827E-01   5.21441792E-04   7.94552141E-04   7.01954278E-05   2.34412968E-05   0.00000000E+00   1.34978781E-05  
  94               6.93189691E+02   1.85349230E+03   8.38056735E-01   1.60445636E-01   5.19331568E-04   7.92958797E-04   7.03874984E-05   2.34494875E-05   0.00000000E+00   1.91473389E-05  
  95               7.68816523E+02   1.90358758E+03   8.38049884E-01   1.60444107E-01   5.16992249E-04   7.91845527E-04   7.07582932E-05   2.34470590E-05   0.00000000E+00   2.67624104E-05  
  96               8.54365723E+02   1.95616244E+03   8.38035419E-01   1.60441676E-01   5.14267616E-04   7.92503555E-04   7.12405769E-05   2.34195878E-05   0.00000000E+00   3.73011538E-05  
  97               9.52680047E+02   2.01105926E+03   8.38005263E-01   1.60437669E-01   5.11124011E-04   7.98553193E-04   7.19182358E-05   2.33329393E-05   0.00000000E+00   5.16864447E-05  
  98               1.06739141E+03   2.07012339E+03   8.37934747E-01   1.60429102E-01   5.07114977E-04   8.18020268E-04   7.27359445E-05   2.31189517E-05   0.00000000E+00   7.19273218E-05  
  99               1.19896212E+03   2.13123103E+03   8.37814535E-01   1.60419788E-01   5.01533348E-04   8.77626832E-04   7.37561193E-05   2.26075422E-05   0.00000000E+00   9.90868797E-05  
  100              1.34311650E+03   2.19274306E+03   8.37785922E-01   1.60416107E-01   4.97502501E-04   8.74254143E-04   7.48691762E-05   2.26133239E-05   0.00000000E+00   1.34191329E-04  
  101              1.51398759E+03   2.25835648E+03   8.37700005E-01   1.60402687E-01   4.93231462E-04   8.70822072E-04   7.62160671E-05   2.26113007E-05   0.00000000E+00   1.81652429E-04  
