# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             OH               Mg              
  80               1.76368164E+00   3.98945669E+03   2.74537709E-01   6.13520408E-01   1.11050786E-01   3.67447315E-04   6.96944383E-05   1.20019784E-04   9.49761835E-05   4.53874521E-05  
  81               1.93304341E+00   4.02835897E+03   2.68556853E-01   6.20025614E-01   1.10529014E-01   3.65666141E-04   6.62310975E-05   1.23479836E-04   9.47800790E-05   4.51373949E-05  
  82               2.11899387E+00   4.06686566E+03   2.63168772E-01   6.25886090E-01   1.10058962E-01   3.64046739E-04   6.31416958E-05   1.26658036E-04   9.45664123E-05   4.49065896E-05  
  83               2.32317140E+00   4.10775406E+03   2.57091693E-01   6.32496151E-01   1.09528824E-01   3.62211132E-04   5.97826945E-05   1.30186526E-04   9.41582870E-05   4.46512808E-05  
  84               2.54735650E+00   4.14831892E+03   2.51580741E-01   6.38490426E-01   1.09048078E-01   3.60524331E-04   5.67781771E-05   1.33435792E-04   9.37390754E-05   4.44141902E-05  
  85               2.79348840E+00   4.19125587E+03   2.45455669E-01   6.45152806E-01   1.08513778E-01   3.58634108E-04   5.35628261E-05   1.36991865E-04   9.31140457E-05   4.41553328E-05  
  86               3.06366391E+00   4.23386356E+03   2.39900889E-01   6.51194842E-01   1.08029229E-01   3.56886010E-04   5.06964070E-05   1.40258833E-04   9.24933002E-05   4.39147129E-05  
  87               3.36014495E+00   4.27876340E+03   2.33828196E-01   6.57800304E-01   1.07499519E-01   3.54949285E-04   4.76832113E-05   1.43779983E-04   9.16695587E-05   4.36557687E-05  
  88               3.68536342E+00   4.32321334E+03   2.28365431E-01   6.63742281E-01   1.07023014E-01   3.53155035E-04   4.50252602E-05   1.46989718E-04   9.08799497E-05   4.34162485E-05  
  89               4.04191159E+00   4.36992604E+03   2.22446034E-01   6.70180998E-01   1.06506692E-01   3.51170665E-04   4.22622503E-05   1.50423844E-04   8.98952518E-05   4.31606485E-05  
  90               4.43254352E+00   4.41630786E+03   2.17072064E-01   6.76026367E-01   1.06037947E-01   3.49292166E-04   3.98138334E-05   1.53584282E-04   8.89559737E-05   4.29221988E-05  
  91               4.86014315E+00   4.46512883E+03   2.11222709E-01   6.82388845E-01   1.05527751E-01   3.47187434E-04   3.72679375E-05   1.56988328E-04   8.78161476E-05   4.26673256E-05  
  92               5.32773225E+00   4.51384656E+03   2.05822565E-01   6.88262607E-01   1.05056738E-01   3.45131263E-04   3.49889451E-05   1.60182403E-04   8.67217953E-05   4.24264156E-05  
  93               5.83842085E+00   4.56510324E+03   1.99964056E-01   6.94634912E-01   1.04545756E-01   3.42807069E-04   3.26365905E-05   1.63635044E-04   8.54336922E-05   4.21700418E-05  
  94               6.39543540E+00   4.61628563E+03   1.94534025E-01   7.00541007E-01   1.04072146E-01   3.40482577E-04   3.05355812E-05   1.66917730E-04   8.42112221E-05   4.19270280E-05  
  95               7.00205408E+00   4.66991799E+03   1.88722793E-01   7.06861631E-01   1.03565295E-01   3.37846770E-04   2.84034366E-05   1.70463579E-04   8.28276879E-05   4.16715073E-05  
  96               7.66165314E+00   4.72341992E+03   1.83340795E-01   7.12715154E-01   1.03095876E-01   3.35151545E-04   2.65119587E-05   1.73886656E-04   8.15408127E-05   4.14294656E-05  
  97               8.37762752E+00   4.77925182E+03   1.77652953E-01   7.18901134E-01   1.02599782E-01   3.32077230E-04   2.46230128E-05   1.77603182E-04   8.01357086E-05   4.11777897E-05  
  98               9.15346347E+00   4.83486720E+03   1.72396062E-01   7.24618060E-01   1.02141265E-01   3.28866631E-04   2.29606429E-05   1.81263344E-04   7.88620626E-05   4.09397330E-05  
  99               9.99264414E+00   4.89270725E+03   1.66893877E-01   7.30601450E-01   1.01661345E-01   3.25178716E-04   2.13221587E-05   1.85282050E-04   7.75159274E-05   4.06943978E-05  
  100              1.08986953E+01   4.95041940E+03   1.61774122E-01   7.36168461E-01   1.01214761E-01   3.21237646E-04   1.98798936E-05   1.89358453E-04   7.63192739E-05   4.04612706E-05  
  101              1.18750583E+01   5.01042183E+03   1.56422951E-01   7.41986684E-01   1.00747973E-01   3.16671894E-04   1.84655274E-05   1.93914821E-04   7.50827636E-05   4.02217898E-05  
