# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                H2S             
  58               7.91990545E-01   5.93358336E+02   8.38088177E-01   1.60459527E-01   7.80114427E-04   5.31331059E-04   3.56542925E-13   9.71365895E-05   2.89301264E-17   2.29827237E-05  
  59               9.32793080E-01   6.22878815E+02   8.38096125E-01   1.60457600E-01   7.80105229E-04   5.31324675E-04   2.08902228E-12   8.51259232E-05   2.20407507E-16   2.29824477E-05  
  60               1.10611618E+00   6.55605866E+02   8.38105059E-01   1.60455433E-01   7.80095129E-04   5.31317491E-04   1.22646010E-11   7.16259628E-05   1.68854648E-15   2.29821374E-05  
  61               1.31996297E+00   6.90843697E+02   8.38113576E-01   1.60453366E-01   7.80086082E-04   5.31310587E-04   6.74209469E-11   5.87456949E-05   1.21440965E-14   2.29818412E-05  
  62               1.58160626E+00   7.29308642E+02   8.38121190E-01   1.60451505E-01   7.80079255E-04   5.31304133E-04   3.56696526E-10   4.71906181E-05   8.40345471E-14   2.29815747E-05  
  63               1.89631416E+00   7.69438897E+02   8.38127090E-01   1.60449988E-01   7.80075901E-04   5.31297787E-04   1.67069233E-09   3.79750910E-05   5.12464833E-13   2.29813573E-05  
  64               2.26858261E+00   8.11683685E+02   8.38131723E-01   1.60448770E-01   7.80075229E-04   5.31288258E-04   7.13872198E-09   3.06486493E-05   2.82868092E-12   2.29811822E-05  
  65               2.70250774E+00   8.54451454E+02   8.38135316E-01   1.60447884E-01   7.80071646E-04   5.31266036E-04   2.63692775E-08   2.52001748E-05   1.33737018E-11   2.29811803E-05  
  66               3.20089936E+00   8.98424637E+02   8.38138067E-01   1.60447171E-01   7.80040117E-04   5.31201883E-04   8.80187695E-08   2.09831645E-05   5.65296333E-11   2.29991713E-05  
  67               3.76581554E+00   9.41942632E+02   8.38139943E-01   1.60446562E-01   7.79919922E-04   5.31032370E-04   2.55220931E-07   1.78847208E-05   2.05426919E-10   2.30707673E-05  
  68               4.40200401E+00   9.86222235E+02   8.38140776E-01   1.60445835E-01   7.79562537E-04   5.30605696E-04   6.78878614E-07   1.54451953E-05   6.78470892E-10   2.33340624E-05  
  69               5.11594420E+00   1.02986852E+03   8.38141400E-01   1.60445085E-01   7.78707838E-04   5.29670860E-04   1.61011146E-06   1.36195319E-05   1.98519155E-09   2.42833936E-05  
  70               5.91465896E+00   1.07438818E+03   8.38144836E-01   1.60444201E-01   7.76894386E-04   5.27697929E-04   3.57807000E-06   1.21331781E-05   5.41944117E-09   2.42831554E-05  
