# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              Mg              
  72               1.41714111E+01   2.25411679E+03   8.36860907E-01   1.60095855E-01   1.86253727E-03   5.28238226E-04   3.77541898E-04   6.00340561E-05   1.55099917E-06   6.28869683E-05  
  73               1.55003307E+01   2.30269127E+03   8.36454932E-01   1.60060542E-01   2.30043213E-03   5.28208692E-04   3.79400895E-04   5.99941588E-05   1.43416448E-06   6.26201378E-05  
  74               1.70191770E+01   2.35386036E+03   8.35955389E-01   1.60017083E-01   2.84001674E-03   5.28130759E-04   3.81298014E-04   5.99468734E-05   1.33355976E-06   6.23265077E-05  
  75               1.87510026E+01   2.40717587E+03   8.35346024E-01   1.59964130E-01   3.49969918E-03   5.28000296E-04   3.83221377E-04   5.98912093E-05   1.24801252E-06   6.20048775E-05  
  76               2.07220723E+01   2.46263834E+03   8.34613240E-01   1.59900255E-01   4.29662310E-03   5.27802937E-04   3.83049099E-04   5.98253271E-05   1.18445739E-06   6.16543164E-05  
  77               2.29622347E+01   2.51979031E+03   8.33735739E-01   1.59823777E-01   5.25094052E-03   5.27542498E-04   3.82841045E-04   5.97485124E-05   1.13378467E-06   6.12735622E-05  
  78               2.55057053E+01   2.57867405E+03   8.32698326E-01   1.59733370E-01   6.37916298E-03   5.27213672E-04   3.82600365E-04   5.96593777E-05   1.09551149E-06   6.08618230E-05  
  79               2.83916654E+01   2.63883040E+03   8.31482679E-01   1.59627441E-01   7.70120579E-03   5.26810758E-04   3.82329635E-04   5.95563850E-05   1.06838930E-06   6.04178934E-05  
  80               3.16647769E+01   2.70039205E+03   8.30076448E-01   1.59504915E-01   9.23048466E-03   5.26328533E-04   3.82035053E-04   5.94378648E-05   1.05212263E-06   5.99411652E-05  
  81               3.53753883E+01   2.76290122E+03   8.28464653E-01   1.59364488E-01   1.09832746E-02   5.25761244E-04   3.81722475E-04   5.93018734E-05   1.04584064E-06   5.94307081E-05  
  82               3.95801773E+01   2.82645510E+03   8.26639165E-01   1.59205453E-01   1.29683951E-02   5.25103971E-04   3.81401572E-04   5.91461943E-05   1.04942939E-06   5.88862184E-05  
  83               4.43425146E+01   2.89078536E+03   8.24589360E-01   1.59026889E-01   1.51973777E-02   5.24351057E-04   3.81081817E-04   5.89680171E-05   1.06233040E-06   5.83071693E-05  
  84               4.97327034E+01   2.95593593E+03   8.22312810E-01   1.58828586E-01   1.76728350E-02   5.23498079E-04   3.80776401E-04   5.87638634E-05   1.08461640E-06   5.76937379E-05  
  85               5.58282972E+01   3.02164073E+03   8.19806279E-01   1.58610266E-01   2.03982585E-02   5.22540086E-04   3.80498096E-04   5.85290208E-05   1.11612195E-06   5.70462191E-05  
  86               6.27100264E+01   3.08792493E+03   8.17078900E-01   1.58372727E-01   2.33636832E-02   5.21474729E-04   3.80262541E-04   5.82574690E-05   1.15721757E-06   5.63661513E-05  
  87               7.04549667E+01   3.15434811E+03   8.14136119E-01   1.58116446E-01   2.65631581E-02   5.20298566E-04   3.80081547E-04   5.79406296E-05   1.20782222E-06   5.56552350E-05  
  88               7.91454277E+01   3.22103724E+03   8.10996586E-01   1.57843051E-01   2.99763677E-02   5.19010885E-04   3.79967579E-04   5.75670305E-05   1.26842463E-06   5.49161728E-05  
  89               8.88712535E+01   3.28759461E+03   8.07668601E-01   1.57553265E-01   3.35942574E-02   5.17607737E-04   3.79925501E-04   5.71199414E-05   1.33900749E-06   5.41509725E-05  
  90               9.97314494E+01   3.35423128E+03   8.04172806E-01   1.57248888E-01   3.73943467E-02   5.16087230E-04   3.79959387E-04   5.65769460E-05   1.42025392E-06   5.33621690E-05  
  91               1.11836123E+02   3.42069539E+03   8.00515308E-01   1.56930449E-01   4.13699645E-02   5.14442793E-04   3.80063794E-04   5.59063770E-05   1.51232194E-06   5.25513590E-05  
  92               1.25308671E+02   3.48725059E+03   7.96715933E-01   1.56599673E-01   4.54995106E-02   5.12670042E-04   3.80233136E-04   5.50674286E-05   1.61615149E-06   5.17206765E-05  
  93               1.40285811E+02   3.55366550E+03   7.92778078E-01   1.56256851E-01   4.97792491E-02   5.10759203E-04   3.80452475E-04   5.40050175E-05   1.73215879E-06   5.08713515E-05  
  94               1.56920020E+02   3.62027708E+03   7.88721967E-01   1.55903740E-01   5.41871345E-02   5.08703344E-04   3.80709918E-04   5.26526040E-05   1.86167608E-06   5.00052454E-05  
  95               1.75384544E+02   3.68683065E+03   7.84547300E-01   1.55540302E-01   5.87234261E-02   5.06488885E-04   3.80984960E-04   5.09257050E-05   2.00541329E-06   4.91231611E-05  
  96               1.95877149E+02   3.75373587E+03   7.80272395E-01   1.55168126E-01   6.33681286E-02   5.04105339E-04   3.81264295E-04   4.87323537E-05   2.16512967E-06   4.82264998E-05  
  97               2.18624235E+02   3.82079323E+03   7.75891819E-01   1.54786724E-01   6.81270655E-02   5.01534569E-04   3.81526861E-04   4.59696724E-05   2.34186912E-06   4.73155443E-05  
  98               2.43885428E+02   3.88842212E+03   7.71422759E-01   1.54397585E-01   7.29814714E-02   4.98762266E-04   3.81764004E-04   4.25541384E-05   2.53793177E-06   4.63913254E-05  
  99               2.71958441E+02   3.95641923E+03   7.66855773E-01   1.53999873E-01   7.79415624E-02   4.95765210E-04   3.81959069E-04   3.84287457E-05   2.75472884E-06   4.54538487E-05  
  100              3.03178587E+02   4.02527426E+03   7.62198540E-01   1.53594256E-01   8.29989921E-02   4.92517801E-04   3.82112238E-04   3.36166988E-05   2.99531217E-06   4.45026815E-05  
  101              3.38074223E+02   4.09508022E+03   7.57474492E-01   1.53182789E-01   8.81285513E-02   4.89092345E-04   3.82233713E-04   2.83581344E-05   3.25238820E-06   4.35419259E-05  
