# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  46               4.38445363E-01   7.89984674E+02   8.38146647E-01   1.60445148E-01   2.61666647E-12   7.79997421E-04   5.31205952E-04   7.71529697E-08   5.67420137E-05   2.29779352E-05  
  47               5.27946774E-01   8.17028050E+02   8.38147162E-01   1.60445014E-01   7.26542465E-12   7.79926207E-04   5.31118871E-04   1.63529882E-07   5.70649555E-05   2.29810186E-05  
  48               6.34353579E-01   8.49357589E+02   8.38147948E-01   1.60444799E-01   2.28988179E-11   7.79720707E-04   5.30885361E-04   3.95750228E-07   5.74761627E-05   2.29910838E-05  
  49               7.60379448E-01   8.80291463E+02   8.38148732E-01   1.60444543E-01   6.29537428E-11   7.79313469E-04   5.30441131E-04   8.38230911E-07   5.77541891E-05   2.30192927E-05  
  50               9.09003130E-01   9.16572859E+02   8.38150185E-01   1.60444006E-01   1.90914458E-10   7.78240516E-04   5.29307967E-04   1.96768443E-06   5.80849682E-05   2.31224765E-05  
  51               1.08367329E+00   9.51481443E+02   8.38151936E-01   1.60443068E-01   5.08760170E-10   7.76214068E-04   5.27207367E-04   4.06221113E-06   5.83113003E-05   2.34076428E-05  
  52               1.28900692E+00   9.92015189E+02   8.38157182E-01   1.60441232E-01   1.46873979E-09   7.71322276E-04   5.22204552E-04   9.05298245E-06   5.85701833E-05   2.42828146E-05  
  53               1.53084613E+00   1.03129473E+03   8.38168730E-01   1.60438379E-01   3.76188679E-09   7.62809341E-04   5.13528048E-04   1.77115066E-05   5.87464147E-05   2.42822926E-05  
  54               1.81748375E+00   1.07637991E+03   8.38192652E-01   1.60432503E-01   1.02382599E-08   7.44969196E-04   4.95456800E-04   3.57485776E-05   5.89380168E-05   2.42812076E-05  
  55               2.16090447E+00   1.12041484E+03   8.38227870E-01   1.60423875E-01   2.49766139E-08   7.18518436E-04   4.68746158E-04   6.24134250E-05   5.90622389E-05   2.42795584E-05  
  56               2.57997601E+00   1.17077127E+03   8.38285731E-01   1.60409722E-01   6.40136578E-08   6.74945491E-04   4.24835061E-04   1.06255700E-04   5.91900329E-05   2.42767101E-05  
  57               3.10052577E+00   1.21898051E+03   8.38347610E-01   1.60394582E-01   1.44666056E-07   6.28226371E-04   3.77786820E-04   1.53236617E-04   5.92503442E-05   2.42732779E-05  
  58               3.75566542E+00   1.27208056E+03   8.38419619E-01   1.60376942E-01   3.30085856E-07   5.73754042E-04   3.22963643E-04   2.07985758E-04   5.92990893E-05   2.42685161E-05  
  59               4.58098547E+00   1.32163952E+03   8.38476031E-01   1.60363057E-01   6.60877156E-07   5.30884861E-04   2.79816529E-04   2.51075444E-04   5.92890472E-05   2.42633465E-05  
