# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               OH              
  44               4.35670724E-03   2.69524275E+03   5.10599886E-01   3.69194431E-01   1.19316578E-01   3.95066275E-04   1.68121753E-04   5.39547562E-05   4.96970556E-05   6.14285382E-05  
  45               4.98100170E-03   2.72578458E+03   5.25475884E-01   3.55520026E-01   1.18123659E-01   3.91117366E-04   1.57871811E-04   5.93591401E-05   4.91976684E-05   6.35004120E-05  
  46               5.69034014E-03   2.74612802E+03   5.28084550E-01   3.53122107E-01   1.17914355E-01   3.90424769E-04   1.55169504E-04   6.07272004E-05   4.91072835E-05   6.43822591E-05  
  47               6.49489941E-03   2.77727283E+03   5.42626431E-01   3.39754830E-01   1.16748186E-01   3.86564429E-04   1.45045432E-04   6.63772166E-05   4.86188546E-05   6.61642085E-05  
  48               7.40490065E-03   2.79809873E+03   5.45236746E-01   3.37355373E-01   1.16538741E-01   3.85871347E-04   1.42357507E-04   6.78130821E-05   4.85280976E-05   6.69763440E-05  
  49               8.43194187E-03   2.82975516E+03   5.59406933E-01   3.24329740E-01   1.15402345E-01   3.82109565E-04   1.32477901E-04   7.36430704E-05   4.80518956E-05   6.84281225E-05  
  50               9.58751117E-03   2.85100275E+03   5.62044118E-01   3.21905548E-01   1.15190740E-01   3.81409302E-04   1.29821108E-04   7.51428252E-05   4.79599306E-05   6.91565960E-05  
  51               1.08845384E-02   2.88296602E+03   5.75699601E-01   3.09352987E-01   1.14095593E-01   3.77784055E-04   1.20364931E-04   8.10387161E-05   4.75007425E-05   7.02468708E-05  
  52               1.23361717E-02   2.90553552E+03   5.79355609E-01   3.05992210E-01   1.13802285E-01   3.76813276E-04   1.17158645E-04   8.29938781E-05   4.73745465E-05   7.09015336E-05  
  53               1.39564621E-02   2.93699956E+03   5.91744201E-01   2.94604122E-01   1.12808712E-01   3.73524246E-04   1.08667014E-04   8.85896771E-05   4.69574445E-05   7.16027061E-05  
  54               1.57594584E-02   2.95907976E+03   5.94644177E-01   2.91938243E-01   1.12576026E-01   3.72754104E-04   1.06032123E-04   9.02682792E-05   4.68561476E-05   7.21289624E-05  
  55               1.77612949E-02   2.99038631E+03   6.06257586E-01   2.81262601E-01   1.11644603E-01   3.69670756E-04   9.82414009E-05   9.56813364E-05   4.64647504E-05   7.25022433E-05  
  56               1.99783852E-02   3.01258655E+03   6.09085122E-01   2.78663220E-01   1.11417721E-01   3.68919763E-04   9.57704290E-05   9.73473174E-05   4.63655896E-05   7.29219666E-05  
  57               2.24290162E-02   3.04410183E+03   6.20318324E-01   2.68336910E-01   1.10516776E-01   3.65937216E-04   8.84745703E-05   1.02700249E-04   4.59867609E-05   7.29878619E-05  
  58               2.51314984E-02   3.06675145E+03   6.23383852E-01   2.65518635E-01   1.10270801E-01   3.65122931E-04   8.60006749E-05   1.04483065E-04   4.58794268E-05   7.32895961E-05  
  59               2.81072277E-02   3.09862627E+03   6.34360959E-01   2.55427514E-01   1.09390379E-01   3.62208185E-04   7.91586153E-05   1.09802254E-04   4.55090608E-05   7.30532918E-05  
  60               3.13783799E-02   3.12190146E+03   6.37767298E-01   2.52295785E-01   1.09117061E-01   3.61303260E-04   7.66463522E-05   1.11748684E-04   4.53901629E-05   7.32181429E-05  
  61               3.49710626E-02   3.15418182E+03   6.48467033E-01   2.42459346E-01   1.08258860E-01   3.58461881E-04   7.02950292E-05   1.17004644E-04   4.50289839E-05   7.26917113E-05  
  62               3.89125640E-02   3.17796153E+03   6.52027248E-01   2.39185953E-01   1.07973183E-01   3.57515869E-04   6.78667246E-05   1.19032745E-04   4.49047495E-05   7.27243277E-05  
  63               4.32351833E-02   3.21041597E+03   6.62195709E-01   2.29837530E-01   1.07157554E-01   3.54815149E-04   6.21452521E-05   1.24094029E-04   4.45611825E-05   7.19587282E-05  
  64               4.79729836E-02   3.23422027E+03   6.65463483E-01   2.26832716E-01   1.06895301E-01   3.53946451E-04   6.00310132E-05   1.26000851E-04   4.44464071E-05   7.19162343E-05  
  65               5.31661323E-02   3.26658557E+03   6.74870296E-01   2.18184041E-01   1.06140708E-01   3.51447411E-04   5.50229305E-05   1.30749444E-04   4.41280507E-05   7.09925435E-05  
  66               5.88570644E-02   3.29034881E+03   6.77764491E-01   2.15522371E-01   1.05908377E-01   3.50677462E-04   5.32367824E-05   1.32498586E-04   4.40253715E-05   7.09135855E-05  
  67               6.50953394E-02   3.32282733E+03   6.86544916E-01   2.07449072E-01   1.05203964E-01   3.48344008E-04   4.88278680E-05   1.36991657E-04   4.37276811E-05   6.98704196E-05  
  68               7.19333292E-02   3.34706005E+03   6.89383530E-01   2.04838183E-01   1.04976050E-01   3.47588215E-04   4.71998400E-05   1.38734129E-04   4.36265152E-05   6.97277502E-05  
  69               7.94318491E-02   3.38019540E+03   6.97863254E-01   1.97040835E-01   1.04295694E-01   3.45333597E-04   4.32094819E-05   1.43124079E-04   4.33386679E-05   6.85484866E-05  
  70               8.76554581E-02   3.40560573E+03   7.01027153E-01   1.94130566E-01   1.04041648E-01   3.44490552E-04   4.15734159E-05   1.45043322E-04   4.32264029E-05   6.82775164E-05  
  71               9.66789397E-02   3.43984384E+03   7.09394619E-01   1.86435954E-01   1.03370242E-01   3.42264311E-04   3.79108850E-05   1.49421840E-04   4.29421642E-05   6.69410794E-05  
  72               1.06582268E-01   3.46681494E+03   7.12987618E-01   1.83130891E-01   1.03081748E-01   3.41306018E-04   3.62427296E-05   1.51572414E-04   4.28153969E-05   6.65080196E-05  
  73               1.17457569E-01   3.50236675E+03   7.21243527E-01   1.75538518E-01   1.02419263E-01   3.39107337E-04   3.29039996E-05   1.55941193E-04   4.25347660E-05   6.50180864E-05  
  74               1.29403928E-01   3.53094354E+03   7.25143941E-01   1.71950682E-01   1.02106109E-01   3.38065479E-04   3.12692162E-05   1.58267755E-04   4.23975553E-05   6.44324487E-05  
  75               1.42534227E-01   3.56773352E+03   7.33128244E-01   1.64607995E-01   1.01465435E-01   3.35935926E-04   2.82994456E-05   1.62545236E-04   4.21258340E-05   6.28307696E-05  
  76               1.56970163E-01   3.59765819E+03   7.37074015E-01   1.60978577E-01   1.01148685E-01   3.34879171E-04   2.67952311E-05   1.64917790E-04   4.19868420E-05   6.21442031E-05  
  77               1.72848167E-01   3.63537457E+03   7.44554317E-01   1.54099579E-01   1.00548519E-01   3.32879031E-04   2.42390483E-05   1.68977241E-04   4.17316714E-05   6.05030219E-05  
  78               1.90315594E-01   3.66633789E+03   7.48321249E-01   1.50634919E-01   1.00246192E-01   3.31865469E-04   2.29239064E-05   1.71274504E-04   4.15982569E-05   5.97736096E-05  
  79               2.09535648E-01   3.70508693E+03   7.55327815E-01   1.44191957E-01   9.96841325E-02   3.29984187E-04   2.07262803E-05   1.75105254E-04   4.13586011E-05   5.81066351E-05  
  80               2.30686211E-01   3.73757139E+03   7.59093860E-01   1.40728505E-01   9.93819651E-02   3.28963666E-04   1.95302395E-05   1.77390826E-04   4.12249111E-05   5.72890755E-05  
  81               2.53961823E-01   3.77802135E+03   7.65883080E-01   1.34485827E-01   9.88374440E-02   3.27128329E-04   1.75864678E-05   1.81084106E-04   4.09923547E-05   5.55367205E-05  
  82               2.79576293E-01   3.81299564E+03   7.69967037E-01   1.30730431E-01   9.85098638E-02   3.26010315E-04   1.64232960E-05   1.83481889E-04   4.08480146E-05   5.45300494E-05  
  83               3.07757920E-01   3.85584098E+03   7.76717863E-01   1.24523399E-01   9.79685087E-02   3.24164431E-04   1.46765132E-05   1.87086907E-04   4.06167701E-05   5.26384775E-05  
  84               3.38756094E-01   3.89368771E+03   7.81117469E-01   1.20478054E-01   9.76156819E-02   3.22939218E-04   1.35611888E-05   1.89564134E-04   4.04619861E-05   5.14271868E-05  
  85               3.72828039E-01   3.93899152E+03   7.87725085E-01   1.14402909E-01   9.70858719E-02   3.21095549E-04   1.20306792E-05   1.93000321E-04   4.02355711E-05   4.94304862E-05  
  86               4.10252227E-01   3.97962433E+03   7.92265427E-01   1.10228338E-01   9.67218066E-02   3.19792211E-04   1.10120023E-05   1.95451529E-04   4.00761883E-05   4.80637278E-05  
  87               4.51305500E-01   4.02731858E+03   7.98612772E-01   1.04392602E-01   9.62129060E-02   3.17956222E-04   9.70822826E-06   1.98653604E-04   3.98585142E-05   4.60151094E-05  
  88               4.96284906E-01   4.07056372E+03   8.03135175E-01   1.00234607E-01   9.58503086E-02   3.16587294E-04   8.81659036E-06   2.01005602E-04   3.96998332E-05   4.45537854E-05  
  89               5.45474379E-01   4.12043729E+03   8.09108720E-01   9.47425615E-02   9.53713998E-02   3.14746569E-04   7.73799197E-06   2.03947451E-04   3.94946769E-05   4.25198355E-05  
  90               5.99176488E-01   4.16636374E+03   8.13564729E-01   9.06456103E-02   9.50141396E-02   3.13272838E-04   6.97301330E-06   2.06213823E-04   3.93384352E-05   4.09989852E-05  
  91               6.57667734E-01   4.21890391E+03   8.19261507E-01   8.54079498E-02   9.45574236E-02   3.11322822E-04   6.07944985E-06   2.09008907E-04   3.91428258E-05   3.89766706E-05  
  92               7.21234916E-01   4.26829512E+03   8.23765026E-01   8.12672153E-02   9.41963500E-02   3.09612030E-04   5.41630340E-06   2.11324613E-04   3.89856333E-05   3.73755099E-05  
  93               7.90124057E-01   4.32411421E+03   8.29256684E-01   7.62179122E-02   9.37560536E-02   3.07386750E-04   4.67982339E-06   2.14145654E-04   3.87975247E-05   3.53707300E-05  
  94               8.64585891E-01   4.37711178E+03   8.33722716E-01   7.21113482E-02   9.33979456E-02   3.05282547E-04   4.12408059E-06   2.16648437E-04   3.86424204E-05   3.37482353E-05  
  95               9.44832520E-01   4.43591852E+03   8.38871196E-01   6.73770747E-02   9.29850875E-02   3.02579076E-04   3.54227719E-06   2.19690527E-04   3.84664397E-05   3.18526570E-05  
  96               1.03108336E+00   4.49216702E+03   8.43138597E-01   6.34525350E-02   9.26428072E-02   2.99836285E-04   3.09910468E-06   2.22612287E-04   3.83187962E-05   3.03062532E-05  
  97               1.12352329E+00   4.55398575E+03   8.47901545E-01   5.90718493E-02   9.22607102E-02   2.96274098E-04   2.65155851E-06   2.26264471E-04   3.81564468E-05   2.85786780E-05  
  98               1.22233476E+00   4.61387043E+03   8.51958774E-01   5.53394909E-02   9.19350976E-02   2.92411435E-04   2.30461161E-06   2.30087219E-04   3.80168491E-05   2.71506365E-05  
  99               1.32766853E+00   4.67925575E+03   8.56367128E-01   5.12833700E-02   9.15811722E-02   2.87352007E-04   1.96494161E-06   2.34996276E-04   3.78673101E-05   2.56187678E-05  
  100              1.43966165E+00   4.74337347E+03   8.60206538E-01   4.77495410E-02   9.12727118E-02   2.81625389E-04   1.69809841E-06   2.40461564E-04   3.77362065E-05   2.43463833E-05  
  101              1.55842598E+00   4.81288871E+03   8.64261179E-01   4.40163665E-02   9.09467341E-02   2.74181631E-04   1.44491123E-06   2.47521174E-04   3.75995762E-05   2.30389013E-05  
