# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               NH3              N2              
  45               7.26273399E-02   6.50928402E+02   8.38147463E-01   1.60445197E-01   7.79820397E-04   1.08204346E-14   5.31279726E-04   3.83663732E-09   7.86347692E-06   5.69231928E-05  
  46               8.58925419E-02   6.80635920E+02   8.38148639E-01   1.60444876E-01   7.79807401E-04   6.81992028E-14   5.31263544E-04   1.88397608E-08   5.98871557E-06   5.78604515E-05  
  47               1.00907789E-01   7.16417789E+02   8.38149446E-01   1.60444615E-01   7.79760963E-04   3.17065581E-13   5.31210648E-04   7.05709234E-08   4.64477108E-06   5.85323248E-05  
  48               1.17784197E-01   7.47636393E+02   8.38150263E-01   1.60444356E-01   7.79571930E-04   1.51264985E-12   5.31008570E-04   2.70909208E-07   3.59505752E-06   5.90570830E-05  
  49               1.36657179E-01   7.83924266E+02   8.38151343E-01   1.60444050E-01   7.79039902E-04   5.58064194E-12   5.30455609E-04   8.20935941E-07   2.90768390E-06   5.94006532E-05  
  50               1.57765662E-01   8.15244035E+02   8.38153889E-01   1.60443391E-01   7.77341769E-04   2.13076610E-11   5.28722061E-04   2.54755939E-06   2.35698098E-06   5.96757521E-05  
  51               1.81405410E-01   8.52424204E+02   8.38159045E-01   1.60442010E-01   7.73425981E-04   6.63776862E-11   5.24756971E-04   6.49926560E-06   1.98187445E-06   5.98627748E-05  
  52               2.07993675E-01   8.84459243E+02   8.38171989E-01   1.60438560E-01   7.63244593E-04   2.16934431E-10   5.14501010E-04   1.67258019E-05   1.66283660E-06   6.00209651E-05  
  53               2.38170219E-01   9.23505577E+02   8.38196641E-01   1.60432158E-01   7.43922297E-04   6.09356830E-10   4.95077309E-04   3.61014156E-05   1.43757999E-06   6.01311196E-05  
  54               2.73144684E-01   9.57960964E+02   8.38247465E-01   1.60419472E-01   7.04976481E-04   1.86419404E-09   4.55959269E-04   7.51382692E-05   1.23394089E-06   6.02280109E-05  
  55               3.15061301E-01   1.00216678E+03   8.38323049E-01   1.60400932E-01   6.47665361E-04   5.25576965E-09   3.98388994E-04   1.32609118E-04   1.08272779E-06   6.02963517E-05  
  56               3.67726223E-01   1.04443259E+03   8.38431573E-01   1.60374478E-01   5.65761233E-04   1.71261990E-08   3.16068285E-04   2.14814799E-04   9.37646532E-07   6.03583562E-05  
  57               4.36623472E-01   1.10147843E+03   8.38540043E-01   1.60348011E-01   4.83876656E-04   4.82073139E-08   2.33705586E-04   2.97084963E-04   8.34669990E-07   6.03990022E-05  
  58               5.28216716E-01   1.15187015E+03   8.38633542E-01   1.60325167E-01   4.13260491E-04   1.17907317E-07   1.62628216E-04   3.68096609E-04   7.63349993E-07   6.04248619E-05  
  59               6.48437976E-01   1.19914359E+03   8.38692148E-01   1.60310802E-01   3.68919308E-04   2.52965130E-07   1.17957501E-04   4.12735217E-04   7.40130162E-07   6.04296340E-05  
  60               7.99364960E-01   1.24373769E+03   8.38729364E-01   1.60301617E-01   3.40627892E-04   4.94768086E-07   8.94390126E-05   4.41236081E-04   7.42434973E-07   6.04233352E-05  
  61               9.81934019E-01   1.28680914E+03   8.38753672E-01   1.60295527E-01   3.21947527E-04   8.97565947E-07   7.05945892E-05   4.60069192E-04   7.59766039E-07   6.04104071E-05  
  62               1.19706859E+00   1.32811432E+03   8.38770361E-01   1.60291197E-01   3.08813224E-04   1.54185740E-06   5.73150653E-05   4.73339769E-04   7.85099082E-07   6.03938269E-05  
  63               1.44568697E+00   1.36878509E+03   8.38781925E-01   1.60287941E-01   2.99232905E-04   2.53502259E-06   4.75393964E-05   4.83107108E-04   8.15020195E-07   6.03750252E-05  
  64               1.72885128E+00   1.40882213E+03   8.38789798E-01   1.60285240E-01   2.91885740E-04   4.05094455E-06   3.98180033E-05   4.90819539E-04   8.46060688E-07   6.03555105E-05  
  65               2.04858758E+00   1.44944330E+03   8.38793797E-01   1.60282736E-01   2.86319816E-04   6.33395139E-06   3.34871174E-05   4.97139901E-04   8.76668782E-07   6.03359192E-05  
  66               2.40641998E+00   1.49058789E+03   8.38790049E-01   1.60279520E-01   2.82692148E-04   9.79716176E-06   2.79659807E-05   5.02646201E-04   9.04139058E-07   6.03173130E-05  
  67               2.79917423E+00   1.53339381E+03   8.38778906E-01   1.60276287E-01   2.85298027E-04   1.50509498E-05   2.28046417E-05   5.07791124E-04   9.26511510E-07   6.03014511E-05  
  68               3.21947438E+00   1.57775644E+03   8.38763257E-01   1.60272853E-01   2.88842197E-04   2.31442956E-05   1.81789084E-05   5.12398770E-04   9.40415720E-07   6.02896013E-05  
  69               3.65554325E+00   1.62470295E+03   8.38741283E-01   1.60269350E-01   2.95088404E-04   3.56921974E-05   1.40361073E-05   5.16523006E-04   9.43454912E-07   6.02834091E-05  
  70               4.08721074E+00   1.67407614E+03   8.38703166E-01   1.60264146E-01   3.03937425E-04   5.30260970E-05   1.07829458E-05   5.19752712E-04   9.39901311E-07   6.02804424E-05  
  71               4.49022859E+00   1.71637361E+03   8.38642577E-01   1.60257439E-01   3.24244503E-04   7.42552768E-05   8.16348077E-06   5.22345403E-04   9.34518403E-07   6.02794783E-05  
  72               4.84248755E+00   1.75111731E+03   8.38570862E-01   1.60250525E-01   3.51767228E-04   9.79383317E-05   6.32607820E-06   5.24156745E-04   9.32474245E-07   6.02779467E-05  
  73               5.17442640E+00   1.78185913E+03   8.38509435E-01   1.60244650E-01   3.72134760E-04   1.23328912E-04   5.15795889E-06   5.25302352E-04   9.32250275E-07   6.02755161E-05  
  74               5.47769796E+00   1.80880261E+03   8.38467305E-01   1.60240601E-01   3.81302179E-04   1.49537332E-04   4.47157370E-06   5.25971752E-04   9.33337001E-07   6.02722187E-05  
  75               5.74202526E+00   1.83108108E+03   8.38439753E-01   1.60237651E-01   3.80864270E-04   1.76071153E-04   4.07355862E-06   5.26356013E-04   9.34981940E-07   6.02683421E-05  
  76               5.98737722E+00   1.85128196E+03   8.38415201E-01   1.60235381E-01   3.80520442E-04   2.03200483E-04   3.76403656E-06   5.26654141E-04   9.37255986E-07   6.02645401E-05  
  77               6.23567032E+00   1.87079515E+03   8.38387676E-01   1.60232867E-01   3.80215401E-04   2.33507267E-04   3.49269178E-06   5.26913082E-04   9.39901784E-07   6.02604261E-05  
  78               6.51335780E+00   1.89216031E+03   8.38347117E-01   1.60228179E-01   3.79940195E-04   2.66921661E-04   3.25326648E-06   5.27132669E-04   9.43192244E-07   6.02551156E-05  
  79               6.77897632E+00   1.91162848E+03   8.38305611E-01   1.60223426E-01   3.79700721E-04   3.01313278E-04   3.04843082E-06   5.27317538E-04   9.46514599E-07   6.02498400E-05  
  80               6.99475550E+00   1.92722904E+03   8.38265971E-01   1.60218855E-01   3.79514434E-04   3.33606348E-04   2.88926009E-06   5.27457734E-04   9.49881079E-07   6.02448132E-05  
  81               7.18727186E+00   1.94055726E+03   8.38237837E-01   1.60216353E-01   3.79363426E-04   3.64366326E-04   2.76057431E-06   5.27574642E-04   9.52941521E-07   6.02408933E-05  
  82               7.38039134E+00   1.95392122E+03   8.38208255E-01   1.60213727E-01   3.79234446E-04   3.96670284E-04   2.64545929E-06   5.27677489E-04   9.56354796E-07   6.02367410E-05  
  83               7.59924786E+00   1.96841042E+03   8.38174066E-01   1.60210699E-01   3.79098552E-04   4.33986530E-04   2.52990798E-06   5.27779057E-04   9.60076151E-07   6.02321464E-05  
  84               7.84640097E+00   1.98467147E+03   8.38133748E-01   1.60207137E-01   3.78975352E-04   4.77940238E-04   2.41371722E-06   5.27878918E-04   9.64635735E-07   6.02267249E-05  
  85               8.12431239E+00   2.00213183E+03   8.38085560E-01   1.60202888E-01   3.78837708E-04   5.30472820E-04   2.29499534E-06   5.27978385E-04   9.69804376E-07   6.02205064E-05  
  86               8.43618206E+00   2.02145728E+03   8.38028710E-01   1.60197886E-01   3.78698387E-04   5.92429776E-04   2.17823678E-06   5.28072657E-04   9.76017388E-07   6.02132256E-05  
  87               8.78562196E+00   2.04207478E+03   8.37960723E-01   1.60191914E-01   3.78538170E-04   6.66532528E-04   2.06160755E-06   5.28162751E-04   9.83064918E-07   6.02048708E-05  
  88               9.17677520E+00   2.06467646E+03   8.37880335E-01   1.60184863E-01   3.78377511E-04   7.54115514E-04   1.94909002E-06   5.28244219E-04   9.91407186E-07   6.01951426E-05  
  89               9.61334956E+00   2.08860509E+03   8.37784243E-01   1.60176444E-01   3.78213636E-04   8.58775561E-04   1.83899448E-06   5.28317684E-04   1.00083829E-06   6.01839980E-05  
  90               1.00992718E+01   2.11451184E+03   8.37670832E-01   1.60166520E-01   3.78050338E-04   9.82262943E-04   1.73497995E-06   5.28378902E-04   1.01182860E-06   6.01711150E-05  
  91               1.06387211E+01   2.14167581E+03   8.37535813E-01   1.60154713E-01   3.77884656E-04   1.12924595E-03   1.63536203E-06   5.28428189E-04   1.02416567E-06   6.01564153E-05  
  92               1.12361594E+01   2.17076194E+03   8.37377104E-01   1.60140846E-01   3.77719646E-04   1.30198425E-03   1.54309566E-06   5.28461843E-04   1.03832812E-06   6.01395495E-05  
  93               1.18963712E+01   2.20099413E+03   8.37189181E-01   1.60124435E-01   3.77551934E-04   1.50648896E-03   1.45635940E-06   5.28479935E-04   1.05409686E-06   6.01203912E-05  
  94               1.26245051E+01   2.23305221E+03   8.36969591E-01   1.60105268E-01   3.77383979E-04   1.74542364E-03   1.37749700E-06   5.28479237E-04   1.07196635E-06   6.00985606E-05  
  95               1.34261277E+01   2.26609844E+03   8.36710834E-01   1.60082622E-01   3.77211791E-04   2.02623118E-03   1.30464122E-06   5.28459032E-04   1.09171813E-06   6.00738257E-05  
  96               1.43071301E+01   2.30083051E+03   8.36408183E-01   1.60056327E-01   3.79139676E-04   2.35171142E-03   1.23316628E-06   5.28424649E-04   1.11386081E-06   6.00463810E-05  
  97               1.52739533E+01   2.33636639E+03   8.36056088E-01   1.60025726E-01   3.81094579E-04   2.73091952E-03   1.16781711E-06   5.28367623E-04   1.13816793E-06   6.00154752E-05  
  98               1.63337505E+01   2.37345576E+03   8.35652753E-01   1.59990732E-01   3.83073730E-04   3.16653152E-03   1.11000798E-06   5.28285999E-04   1.16516665E-06   5.99807312E-05  
  99               1.74944709E+01   2.41117595E+03   8.35190369E-01   1.59950422E-01   3.82966708E-04   3.66938561E-03   1.06431755E-06   5.28170384E-04   1.19462382E-06   5.99412258E-05  
  100              1.87647163E+01   2.45033324E+03   8.34664030E-01   1.59904541E-01   3.82840376E-04   4.24180255E-03   1.02526145E-06   5.28026400E-04   1.22710966E-06   5.98969943E-05  
  101              2.01559794E+01   2.49001024E+03   8.34091591E-01   1.59854644E-01   3.82700369E-04   4.86436033E-03   9.89997302E-07   5.27863017E-04   1.26154505E-06   5.98494854E-05  
