# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                NH3              N2              
  72               7.93758173E+00   1.40032443E+03   8.38483548E-01   1.60360893E-01   5.24029980E-04   2.72924995E-04   2.57944078E-04   1.57941805E-06   3.94836557E-06   5.88281123E-05  
  73               9.24700957E+00   1.44406004E+03   8.38522084E-01   1.60351079E-01   4.94052224E-04   2.42697233E-04   2.88118610E-04   2.62357397E-06   3.97532693E-06   5.88032804E-05  
  74               1.07669767E+01   1.48683222E+03   8.38552567E-01   1.60342908E-01   4.69611091E-04   2.17865322E-04   3.12898479E-04   4.16483965E-06   4.04592477E-06   5.87558160E-05  
  75               1.25127358E+01   1.53398775E+03   8.38582841E-01   1.60333994E-01   4.44081168E-04   1.91503973E-04   3.39195878E-04   6.75759204E-06   4.08961890E-06   5.87185458E-05  
  76               1.44878332E+01   1.58075845E+03   8.38602578E-01   1.60325674E-01   4.23510935E-04   1.69190932E-04   3.61439153E-04   1.05854481E-05   4.15700589E-06   5.86676257E-05  
  77               1.66798345E+01   1.63214603E+03   8.38610816E-01   1.60315021E-01   4.04926827E-04   1.45060466E-04   3.85479408E-04   1.69231144E-05   4.18492613E-06   5.86321274E-05  
  78               1.90455280E+01   1.68288974E+03   8.38614994E-01   1.60306746E-01   3.98651818E-04   1.22635590E-04   4.07817070E-04   2.61385585E-05   4.21964440E-06   5.85938328E-05  
  79               2.15108242E+01   1.73802115E+03   8.38614761E-01   1.60297354E-01   3.83440292E-04   1.02065355E-04   4.28281189E-04   4.10281052E-05   4.19972624E-06   5.85778561E-05  
  80               2.39959952E+01   1.78893055E+03   8.38584961E-01   1.60286763E-01   3.82775857E-04   8.46616332E-05   4.45581230E-04   6.06136420E-05   4.19800793E-06   5.85556040E-05  
  81               2.63578081E+01   1.83339976E+03   8.38515642E-01   1.60273508E-01   4.01114194E-04   6.96027124E-05   4.60550151E-04   8.36208588E-05   4.21101077E-06   5.85328467E-05  
  82               2.84126810E+01   1.86971863E+03   8.38439974E-01   1.60263100E-01   4.34185195E-04   5.74429633E-05   4.72655405E-04   1.07456486E-04   4.22882815E-06   5.85169482E-05  
  83               3.01092130E+01   1.89800316E+03   8.38425379E-01   1.60259904E-01   4.29734335E-04   5.29561876E-05   4.77085978E-04   1.29687769E-04   4.24909414E-06   5.84933799E-05  
  84               3.19878671E+01   1.92803485E+03   8.38405466E-01   1.60256353E-01   4.25524513E-04   4.87088565E-05   4.81270208E-04   1.57346992E-04   4.27376063E-06   5.84662207E-05  
  85               3.40610764E+01   1.95937530E+03   8.38369165E-01   1.60250477E-01   4.21681444E-04   4.48306773E-05   4.85071599E-04   1.91172626E-04   4.30593353E-06   5.84331815E-05  
  86               3.57804370E+01   1.98438049E+03   8.38344139E-01   1.60247126E-01   4.18932304E-04   4.20483463E-05   4.87794544E-04   2.22280322E-04   4.33367041E-06   5.84058620E-05  
  87               3.71403927E+01   2.00333792E+03   8.38322494E-01   1.60244433E-01   4.17047801E-04   4.01369875E-05   4.89658493E-04   2.48483564E-04   4.35789898E-06   5.83831620E-05  
  88               3.86760304E+01   2.02423679E+03   8.38295775E-01   1.60241277E-01   4.15112833E-04   3.81699998E-05   4.91571046E-04   2.80269283E-04   4.38523761E-06   5.83574949E-05  
  89               4.04027530E+01   2.04675545E+03   8.38263439E-01   1.60237653E-01   4.13228407E-04   3.62467723E-05   4.93432447E-04   3.18072133E-04   4.41852711E-06   5.83274128E-05  
  90               4.23334520E+01   2.07117559E+03   8.38193294E-01   1.60227557E-01   4.11353997E-04   3.43230792E-05   4.95266331E-04   3.63654926E-04   4.45580014E-06   5.82914824E-05  
  91               4.37625213E+01   2.08853989E+03   8.38162212E-01   1.60224365E-01   4.10129659E-04   3.30760932E-05   4.96460651E-04   3.99124248E-04   4.48498164E-06   5.82657530E-05  
  92               4.47939684E+01   2.10093053E+03   8.38138380E-01   1.60221935E-01   4.09328133E-04   3.22188733E-05   4.97279182E-04   4.26143425E-04   4.50553342E-06   5.82473849E-05  
  93               4.59780535E+01   2.11468551E+03   8.38110422E-01   1.60219138E-01   4.08463518E-04   3.13351819E-05   4.98118244E-04   4.57754875E-04   4.53066878E-06   5.82255480E-05  
  94               4.73360955E+01   2.13027073E+03   8.38076569E-01   1.60215796E-01   4.07521677E-04   3.03713126E-05   4.99030073E-04   4.95882733E-04   4.55878529E-06   5.82007798E-05  
  95               4.88886239E+01   2.14745481E+03   8.38036562E-01   1.60211914E-01   4.06565777E-04   2.93899777E-05   4.99951463E-04   5.40717679E-04   4.59258999E-06   5.81716608E-05  
  96               5.06576469E+01   2.16665370E+03   8.37988262E-01   1.60207288E-01   4.05555487E-04   2.83503437E-05   5.00921520E-04   5.94642717E-04   4.63054710E-06   5.81386572E-05  
  97               5.26666816E+01   2.18759976E+03   8.37931157E-01   1.60201902E-01   4.04553629E-04   2.73145426E-05   5.01877376E-04   6.58123883E-04   4.67543546E-06   5.81002840E-05  
  98               5.49408273E+01   2.21067790E+03   8.37862467E-01   1.60195498E-01   4.03526645E-04   2.62483465E-05   5.02851162E-04   7.34232362E-04   4.72580722E-06   5.80569174E-05  
  99               5.75068865E+01   2.23557004E+03   8.37781400E-01   1.60188034E-01   4.02535394E-04   2.52115811E-05   5.03782029E-04   8.23740362E-04   4.78453320E-06   5.80069933E-05  
  100              6.03935485E+01   2.26263133E+03   8.37684353E-01   1.60179184E-01   4.01550287E-04   2.41737126E-05   5.04697927E-04   9.30610534E-04   4.85021000E-06   5.79508050E-05  
  101              6.36315957E+01   2.29149117E+03   8.37568268E-01   1.60168501E-01   4.00626820E-04   2.31896053E-05   5.05541367E-04   1.05592774E-03   4.92578105E-06   5.78865692E-05  
