# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               Mg              
  47               5.80380215E-01   1.04087822E+03   8.38295517E-01   1.60407558E-01   7.75842018E-09   6.68312378E-04   4.18849042E-04   1.12197292E-04   6.00790432E-05   1.84326363E-15  
  48               7.20516876E-01   1.07910699E+03   8.38351502E-01   1.60393892E-01   1.73175672E-08   6.26039161E-04   3.76306461E-04   1.54679818E-04   6.00809622E-05   1.35919294E-14  
  49               8.98607401E-01   1.11099166E+03   8.38387451E-01   1.60385102E-01   3.16213657E-08   5.98860454E-04   3.48911327E-04   1.82043200E-04   6.00437603E-05   6.09330230E-14  
  50               1.12741341E+00   1.15575749E+03   8.38455080E-01   1.60368578E-01   7.19063587E-08   5.47769894E-04   2.97475109E-04   2.33419428E-04   6.00411207E-05   4.76673939E-13  
  51               1.42302205E+00   1.19489585E+03   8.38497899E-01   1.60358089E-01   1.36963476E-07   5.15358560E-04   2.64806320E-04   2.66055384E-04   6.00015900E-05   2.38274872E-12  
  52               1.80619375E+00   1.24728882E+03   8.38563652E-01   1.60341973E-01   3.12686414E-07   4.65561043E-04   2.14671506E-04   3.16138228E-04   5.99907684E-05   1.88517845E-11  
  53               2.30114337E+00   1.29405432E+03   8.38602856E-01   1.60332290E-01   6.04022720E-07   4.35684246E-04   1.84569084E-04   3.46210068E-04   5.99444536E-05   9.69835336E-11  
  54               2.93337024E+00   1.35291963E+03   8.38653125E-01   1.60319763E-01   1.32331075E-06   3.97130962E-04   1.45756683E-04   3.84978730E-04   5.99202695E-05   6.81798599E-10  
  55               3.72482148E+00   1.40398718E+03   8.38678853E-01   1.60312983E-01   2.42476365E-06   3.76645358E-04   1.25048092E-04   4.05657785E-04   5.98602258E-05   3.02418143E-09  
  56               4.69644460E+00   1.46506397E+03   8.38708217E-01   1.60304620E-01   4.81415579E-06   3.52266229E-04   1.00047841E-04   4.30615655E-04   5.98187189E-05   1.62494477E-08  
  57               5.86746338E+00   1.51792254E+03   8.38717080E-01   1.60299330E-01   8.18882414E-06   3.40235809E-04   8.68936202E-05   4.43731392E-04   5.97461605E-05   5.88255175E-08  
  58               7.23735835E+00   1.58043414E+03   8.38715502E-01   1.60290745E-01   1.49252353E-05   3.28096500E-04   6.97596292E-05   4.60806354E-04   5.96952094E-05   2.48018644E-07  
  59               8.77494582E+00   1.63453762E+03   8.38703604E-01   1.60285837E-01   2.39075307E-05   3.34176431E-04   5.81820599E-05   4.72335441E-04   5.96271156E-05   6.55188633E-07  
  60               1.04398242E+01   1.69647520E+03   8.38690944E-01   1.60279419E-01   4.01728501E-05   3.28121865E-04   4.66473157E-05   4.83807209E-04   5.95837146E-05   4.06177065E-06  
  61               1.21441078E+01   1.74853364E+03   8.38640664E-01   1.60270332E-01   5.99847133E-05   3.36792847E-04   3.86930798E-05   4.91694614E-04   5.95307456E-05   1.44630165E-05  
  62               1.36772946E+01   1.80478619E+03   8.38544650E-01   1.60257793E-01   9.17533350E-05   3.73032083E-04   2.78346868E-05   5.02494772E-04   5.95234125E-05   4.39567202E-05  
  63               1.48916033E+01   1.84464627E+03   8.38475292E-01   1.60250417E-01   1.21784275E-04   3.99274199E-04   2.24745979E-05   5.07817890E-04   5.95123767E-05   6.36698046E-05  
  64               1.62693749E+01   1.88821962E+03   8.38429390E-01   1.60243900E-01   1.63783495E-04   3.96125946E-04   1.93478411E-05   5.10891584E-04   5.94939173E-05   6.34359438E-05  
  65               1.74254994E+01   1.92128112E+03   8.38395887E-01   1.60240189E-01   2.02851444E-04   3.94231188E-04   1.74660391E-05   5.12734260E-04   5.94748409E-05   6.32488640E-05  
  66               1.83327910E+01   1.94716270E+03   8.38364567E-01   1.60236887E-01   2.38802922E-04   3.92869271E-04   1.61137888E-05   5.14054044E-04   5.94613872E-05   6.31025720E-05  
  67               1.94034830E+01   1.97498686E+03   8.38325692E-01   1.60232994E-01   2.82739255E-04   3.91656265E-04   1.49085769E-05   5.15220740E-04   5.94418988E-05   6.29367535E-05  
  68               2.06567483E+01   2.00732266E+03   8.38242340E-01   1.60222050E-01   3.42297985E-04   3.90346808E-04   1.36168865E-05   5.16445586E-04   5.94185826E-05   6.27416802E-05  
  69               2.16303950E+01   2.03035126E+03   8.38199108E-01   1.60217988E-01   3.90280096E-04   3.89602163E-04   1.28499627E-05   5.17175065E-04   5.93997185E-05   6.25975542E-05  
  70               2.23735984E+01   2.04836769E+03   8.38161564E-01   1.60214471E-01   4.31913871E-04   3.88997543E-04   1.22564079E-05   5.17738312E-04   5.93867913E-05   6.24867570E-05  
  71               2.32681987E+01   2.06821713E+03   8.38116749E-01   1.60210342E-01   4.81332201E-04   3.88470115E-04   1.17024199E-05   5.18256104E-04   5.93687720E-05   6.23582923E-05  
  72               2.43379988E+01   2.09225898E+03   8.38056493E-01   1.60204825E-01   5.47758791E-04   3.87799011E-04   1.10459449E-05   5.18866896E-04   5.93487699E-05   6.22044938E-05  
  73               2.56127564E+01   2.11872705E+03   8.37982936E-01   1.60198174E-01   6.28573214E-04   3.87172938E-04   1.04350717E-05   5.19422746E-04   5.93225657E-05   6.20275248E-05  
  74               2.71221878E+01   2.14960290E+03   8.37885719E-01   1.60189440E-01   7.35190880E-04   3.86487639E-04   9.76856539E-06   5.20020559E-04   5.92924517E-05   6.18203301E-05  
  75               2.88982819E+01   2.18331811E+03   8.37765393E-01   1.60178721E-01   8.66848366E-04   3.85855927E-04   9.15630883E-06   5.20549801E-04   5.92548726E-05   6.15848985E-05  
  76               3.09761279E+01   2.22123277E+03   8.37609712E-01   1.60164925E-01   1.03695086E-03   3.85216997E-04   8.53984208E-06   5.21063849E-04   5.92109989E-05   6.13156838E-05  
  77               3.33937831E+01   2.26209794E+03   8.37416526E-01   1.60147895E-01   1.24773149E-03   3.84641760E-04   7.98718992E-06   5.21492768E-04   5.91579452E-05   6.10140657E-05  
  78               3.61933274E+01   2.30680317E+03   8.37168975E-01   1.60125939E-01   1.51542403E-03   3.84092387E-04   7.46294759E-06   5.21864488E-04   5.90958667E-05   6.06756391E-05  
  79               3.94202114E+01   2.35431299E+03   8.36857847E-01   1.60099197E-01   1.84538768E-03   3.89685851E-04   6.89864333E-06   5.22260042E-04   5.90264853E-05   6.03018082E-05  
  80               4.31267300E+01   2.40506987E+03   8.36480683E-01   1.60066224E-01   2.25579357E-03   3.89407139E-04   6.49358721E-06   5.22446954E-04   5.89416889E-05   5.98895956E-05  
  81               4.73719547E+01   2.45846617E+03   8.36019665E-01   1.60025981E-01   2.75730413E-03   3.89171586E-04   6.14993098E-06   5.22529041E-04   5.88428586E-05   5.94390879E-05  
  82               5.22223968E+01   2.51440524E+03   8.35459651E-01   1.59977145E-01   3.36638081E-03   3.88978736E-04   5.86264823E-06   5.22503664E-04   5.87283983E-05   5.89491118E-05  
  83               5.77556443E+01   2.57288633E+03   8.34782498E-01   1.59918137E-01   4.10274975E-03   3.88829235E-04   5.62530097E-06   5.22368062E-04   5.85965009E-05   5.84181678E-05  
  84               6.40645589E+01   2.63315251E+03   8.33981597E-01   1.59848389E-01   4.97356033E-03   3.88746190E-04   5.44884573E-06   5.22104713E-04   5.84442817E-05   5.78470315E-05  
  85               7.12548109E+01   2.69608856E+03   8.33022278E-01   1.59764870E-01   6.01653079E-03   3.88715172E-04   5.30893510E-06   5.21722069E-04   5.82700164E-05   5.72314360E-05  
  86               7.94496344E+01   2.75998408E+03   8.31920472E-01   1.59668990E-01   7.21426098E-03   3.88787381E-04   5.23435104E-06   5.21189549E-04   5.80695730E-05   5.65756820E-05  
  87               8.87891859E+01   2.82683686E+03   8.30611920E-01   1.59555131E-01   8.63666363E-03   3.88931973E-04   5.18379283E-06   5.20521315E-04   5.78407875E-05   5.58719698E-05  
  88               9.94354239E+01   2.89382143E+03   8.29153605E-01   1.59428291E-01   1.02216575E-02   3.89230983E-04   5.20360139E-06   5.19678750E-04   5.75783816E-05   5.51292123E-05  
  89               1.11574178E+02   2.96330962E+03   8.27464244E-01   1.59281370E-01   1.20576599E-02   3.89655152E-04   5.25077609E-06   5.18669293E-04   5.72782569E-05   5.43385545E-05  
  90               1.25408890E+02   3.03394284E+03   8.25570948E-01   1.59116749E-01   1.41151084E-02   3.90258575E-04   5.34564284E-06   5.17467874E-04   5.69339933E-05   5.35049648E-05  
  91               1.41153186E+02   3.10534055E+03   8.23480890E-01   1.58935061E-01   1.63861492E-02   3.91072225E-04   5.49092969E-06   5.16059522E-04   5.65383742E-05   5.26311027E-05  
  92               1.59010642E+02   3.17810643E+03   8.21160991E-01   1.58733422E-01   1.89067284E-02   3.92100063E-04   5.67286790E-06   5.14432935E-04   5.60815901E-05   5.17175216E-05  
  93               1.79198856E+02   3.25109648E+03   8.18658604E-01   1.58515971E-01   2.16252897E-02   3.93377540E-04   5.90531407E-06   5.12571736E-04   5.55515883E-05   5.07718129E-05  
  94               2.01953485E+02   3.32501868E+03   8.15938765E-01   1.58279658E-01   2.45798343E-02   3.94893866E-04   6.17480136E-06   5.10460198E-04   5.49286605E-05   4.97947403E-05  
  95               2.27532035E+02   3.39881741E+03   8.13061812E-01   1.58029748E-01   2.77046956E-02   3.96668652E-04   6.49589149E-06   5.08081340E-04   5.41894528E-05   4.87939406E-05  
  96               2.56218542E+02   3.47343200E+03   8.09979229E-01   1.57762006E-01   3.10526120E-02   3.98669220E-04   6.85350743E-06   5.05412589E-04   5.32940579E-05   4.77692520E-05  
  97               2.88327839E+02   3.54775888E+03   8.06768471E-01   1.57483187E-01   3.45392997E-02   4.00905501E-04   7.26541868E-06   5.02434622E-04   5.21994233E-05   4.67283382E-05  
  98               3.24205874E+02   3.62287260E+03   8.03368123E-01   1.57187923E-01   3.82315070E-02   4.03327659E-04   7.71553459E-06   4.99117502E-04   5.08315627E-05   4.56703078E-05  
  99               3.64238062E+02   3.69754824E+03   7.99877310E-01   1.56884858E-01   4.20213602E-02   4.05950485E-04   8.22591456E-06   4.95440792E-04   4.91232421E-05   4.46029721E-05  
  100              4.08858460E+02   3.77305450E+03   7.96214971E-01   1.56566902E-01   4.59969354E-02   4.08713781E-04   8.77798445E-06   4.91367314E-04   4.69554759E-05   4.35242726E-05  
  101              4.58558074E+02   3.84819364E+03   7.92490004E-01   1.56243547E-01   5.00397036E-02   4.11648744E-04   9.39604572E-06   4.86875304E-04   4.42486554E-05   4.24412623E-05  
