# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H                H2S             
  49               2.16669745E-01   3.39525260E+02   8.38074110E-01   1.60463844E-01   5.31345354E-04   7.81711015E-04   1.21723812E-04   5.08363138E-26   2.17683261E-31   2.29803989E-05  
  50               2.50655499E-01   3.54829808E+02   8.38074106E-01   1.60463843E-01   5.31345352E-04   7.81711011E-04   1.21723394E-04   9.17745283E-25   5.68394508E-30   2.29803988E-05  
  51               2.90130306E-01   3.70725998E+02   8.38074111E-01   1.60463843E-01   5.31345352E-04   7.81706346E-04   1.21722197E-04   1.43120283E-23   1.26282943E-28   2.29803988E-05  
  52               3.35967077E-01   3.87504044E+02   8.38073895E-01   1.60463801E-01   5.31345212E-04   7.81706139E-04   1.21718830E-04   2.03407569E-22   2.52553495E-27   2.29803927E-05  
  53               3.89165943E-01   4.04919711E+02   8.38074140E-01   1.60463820E-01   5.31345277E-04   7.81445956E-04   1.21710190E-04   2.51916510E-21   4.34236892E-26   2.29803955E-05  
  54               4.50866883E-01   4.23281964E+02   8.38074154E-01   1.60463817E-01   5.31345265E-04   7.81445999E-04   1.21688286E-04   2.85651826E-20   6.75487968E-25   2.29803950E-05  
  55               5.22387215E-01   4.42318151E+02   8.38074175E-01   1.60463806E-01   5.31345230E-04   7.81447891E-04   1.21636597E-04   2.84519501E-19   9.11474901E-24   2.29803935E-05  
  56               6.05274242E-01   4.62368632E+02   8.38073807E-01   1.60463712E-01   5.31344917E-04   7.81500358E-04   1.21517459E-04   2.60636768E-18   1.11924019E-22   2.29803800E-05  
  57               7.01293652E-01   4.83141891E+02   8.38069235E-01   1.60463123E-01   5.31342969E-04   7.83380888E-04   1.21261190E-04   2.12153563E-17   1.20498173E-21   2.29802957E-05  
  58               8.12593697E-01   5.05028224E+02   8.38072724E-01   1.60463311E-01   5.31343590E-04   7.79971618E-04   1.20725155E-04   1.58929646E-16   1.19113105E-20   2.29803226E-05  
  59               9.41795643E-01   5.27752102E+02   8.38073414E-01   1.60463144E-01   5.31343036E-04   7.79970809E-04   1.19681602E-04   1.07459945E-15   1.04872545E-19   2.29802986E-05  
  60               1.09219810E+00   5.51780874E+02   8.38074711E-01   1.60462829E-01   5.31341994E-04   7.79969292E-04   1.17721764E-04   6.81357338E-15   8.59861446E-19   2.29802536E-05  
  61               1.26814694E+00   5.76892719E+02   8.38076931E-01   1.60462291E-01   5.31340213E-04   7.79966706E-04   1.14368728E-04   3.95239954E-14   6.41187684E-18   2.29801765E-05  
