# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               Fe              
  28               2.97457080E-04   2.21396261E+03   2.69826089E-01   5.90534168E-01   1.38619231E-01   4.58966747E-04   2.96560900E-04   6.28949599E-06   5.77727384E-05   4.80626278E-05  
  29               3.49199010E-04   2.34258488E+03   4.27012132E-01   4.46038624E-01   1.26020768E-01   4.17255246E-04   2.29668220E-04   2.49890781E-05   5.25220397E-05   4.36943813E-05  
  30               4.09865336E-04   2.26892797E+03   3.02252394E-01   5.60723943E-01   1.36020087E-01   4.50362116E-04   2.83428652E-04   8.96280687E-06   5.66872003E-05   4.71612001E-05  
  31               4.81162723E-04   2.39677103E+03   4.58437123E-01   4.17143014E-01   1.23500643E-01   4.08912008E-04   2.15439680E-04   3.28106296E-05   5.14697896E-05   4.28203819E-05  
  32               5.65305268E-04   2.41378852E+03   4.58486453E-01   4.17097764E-01   1.23496561E-01   4.08898989E-04   2.14272776E-04   3.32511439E-05   5.14668213E-05   4.28188331E-05  
  33               6.64707593E-04   2.44399079E+03   4.76744103E-01   4.00314726E-01   1.22032720E-01   4.04053158E-04   2.02945216E-04   3.81634612E-05   5.08556403E-05   4.23111607E-05  
  34               7.82005132E-04   2.46206871E+03   4.77132941E-01   3.99957392E-01   1.22001408E-01   4.03949986E-04   2.01509434E-04   3.87397692E-05   5.08411136E-05   4.23001460E-05  
  35               9.20092784E-04   2.49350468E+03   4.95513991E-01   3.83060996E-01   1.20527588E-01   3.99071183E-04   1.89624435E-04   4.42466241E-05   5.02256374E-05   4.17889958E-05  
  36               1.08231808E-03   2.51251619E+03   4.96200926E-01   3.82429645E-01   1.20472367E-01   3.98888844E-04   1.87951218E-04   4.49606278E-05   5.02009193E-05   4.17696637E-05  
  37               1.27303403E-03   2.54507153E+03   5.14536615E-01   3.65575014E-01   1.19002102E-01   3.94021871E-04   1.75672110E-04   5.10311241E-05   4.95867803E-05   4.12597265E-05  
  38               1.49702962E-03   2.56499711E+03   5.15444241E-01   3.64740798E-01   1.18929176E-01   3.93780908E-04   1.73816027E-04   5.18709741E-05   4.95544278E-05   4.12342245E-05  
  39               1.76017841E-03   2.59863469E+03   5.33548405E-01   3.48099046E-01   1.17477401E-01   3.88975199E-04   1.61350935E-04   5.84343363E-05   4.89478305E-05   4.07306755E-05  
  40               2.06884804E-03   2.61951731E+03   5.34687032E-01   3.47052482E-01   1.17385944E-01   3.88672874E-04   1.59323912E-04   5.94082656E-05   4.89074695E-05   4.06987127E-05  
  41               2.43077134E-03   2.65426219E+03   5.52508101E-01   3.30670991E-01   1.15956806E-01   3.83942146E-04   1.46831073E-04   6.64047996E-05   4.83101287E-05   4.02029873E-05  
  42               2.85418732E-03   2.67620970E+03   5.54007589E-01   3.29292702E-01   1.15836407E-01   3.83543989E-04   1.44578967E-04   6.75620755E-05   4.82574000E-05   4.01609504E-05  
  43               3.34891188E-03   2.71199979E+03   5.71439105E-01   3.13269302E-01   1.14438457E-01   3.78916533E-04   1.32271570E-04   7.48896396E-05   4.76728705E-05   3.96760116E-05  
  44               3.92510090E-03   2.73483895E+03   5.73142179E-01   3.11703846E-01   1.14301729E-01   3.78464291E-04   1.29930485E-04   7.61696872E-05   4.76130077E-05   3.96282700E-05  
  45               4.59461032E-03   2.77146221E+03   5.89990230E-01   2.96216749E-01   1.12950533E-01   3.73991616E-04   1.18087871E-04   8.36604902E-05   4.70477713E-05   3.91595136E-05  
  46               5.36943534E-03   2.79511397E+03   5.91922098E-01   2.94440941E-01   1.12795458E-01   3.73478598E-04   1.15685683E-04   8.50630130E-05   4.69799310E-05   3.91053659E-05  
  47               6.26331682E-03   2.83243519E+03   6.08150942E-01   2.79522958E-01   1.11493901E-01   3.69170220E-04   1.04477016E-04   9.25972139E-05   4.64352022E-05   3.86537919E-05  
  48               7.28989396E-03   2.85683600E+03   6.10375116E-01   2.77478394E-01   1.11315386E-01   3.68579559E-04   1.02019660E-04   9.41383639E-05   4.63572806E-05   3.85914735E-05  
  49               8.46451258E-03   2.89456508E+03   6.25818737E-01   2.63282082E-01   1.10076793E-01   3.64479561E-04   9.16675617E-05   1.01540542E-04   4.58386264E-05   3.81617032E-05  
  50               9.80222295E-03   2.91937267E+03   6.28118350E-01   2.61168085E-01   1.09892231E-01   3.63868815E-04   8.93262587E-05   1.03113198E-04   4.57578778E-05   3.80972441E-05  
  51               1.13201177E-02   2.95723313E+03   6.42656560E-01   2.47803867E-01   1.08726246E-01   3.60009088E-04   7.99761726E-05   1.10233583E-04   4.52693322E-05   3.76926229E-05  
  52               1.30353615E-02   2.98254677E+03   6.45219387E-01   2.45447796E-01   1.08520577E-01   3.59328384E-04   7.76684916E-05   1.11912915E-04   4.51795299E-05   3.76208060E-05  
  53               1.49672685E-02   3.01979006E+03   6.58300793E-01   2.33422477E-01   1.07471417E-01   3.55855261E-04   6.96484341E-05   1.18424865E-04   4.47394645E-05   3.72566585E-05  
  54               1.71353449E-02   3.04516979E+03   6.60780105E-01   2.31143019E-01   1.07272440E-01   3.55196601E-04   6.75798153E-05   1.20048053E-04   4.46521718E-05   3.71871195E-05  
  55               1.95624285E-02   3.08272283E+03   6.73325322E-01   2.19610264E-01   1.06266271E-01   3.51865605E-04   6.03566733E-05   1.26328872E-04   4.42299416E-05   3.68378589E-05  
  56               2.22726579E-02   3.10905686E+03   6.76428049E-01   2.16757510E-01   1.06017289E-01   3.51041243E-04   5.81676364E-05   1.28225522E-04   4.41216669E-05   3.67509539E-05  
  57               2.52950027E-02   3.14726278E+03   6.88623451E-01   2.05545885E-01   1.05039150E-01   3.47802751E-04   5.16546118E-05   1.34345198E-04   4.37110966E-05   3.64113995E-05  
  58               2.86602574E-02   3.17466687E+03   6.92260059E-01   2.02202045E-01   1.04747329E-01   3.46836325E-04   4.94319682E-05   1.36482178E-04   4.35848598E-05   3.63096166E-05  
  59               3.24054937E-02   3.21334380E+03   7.03823183E-01   1.91571085E-01   1.03819850E-01   3.43765094E-04   4.37534132E-05   1.42307553E-04   4.31953413E-05   3.59876099E-05  
  60               3.65703029E-02   3.24113864E+03   7.07330724E-01   1.88345510E-01   1.03538337E-01   3.42832426E-04   4.18143465E-05   1.44388320E-04   4.30731680E-05   3.58893617E-05  
  61               4.12022490E-02   3.27980936E+03   7.17858517E-01   1.78665666E-01   1.02693816E-01   3.40035168E-04   3.70726712E-05   1.49743359E-04   4.27180357E-05   3.55960864E-05  
  62               4.63524619E-02   3.30780127E+03   7.21023079E-01   1.75754969E-01   1.02439752E-01   3.39192826E-04   3.54713519E-05   1.51682926E-04   4.26069759E-05   3.55073044E-05  
  63               5.20817671E-02   3.34677480E+03   7.30702074E-01   1.66854745E-01   1.01663217E-01   3.36619628E-04   3.14856612E-05   1.56672725E-04   4.22799680E-05   3.52375655E-05  
  64               5.84561789E-02   3.37587666E+03   7.34002718E-01   1.63818488E-01   1.01398179E-01   3.35740041E-04   3.00053739E-05   1.58707401E-04   4.21641017E-05   3.51449364E-05  
  65               6.55534289E-02   3.41608691E+03   7.43305564E-01   1.55263414E-01   1.00651732E-01   3.33264752E-04   2.65325802E-05   1.63568327E-04   4.18495255E-05   3.48856039E-05  
  66               7.34588484E-02   3.44741189E+03   7.47192369E-01   1.51687846E-01   1.00339637E-01   3.32227689E-04   2.50238039E-05   1.65918338E-04   4.17139796E-05   3.47766341E-05  
  67               8.22717172E-02   3.48960998E+03   7.56338497E-01   1.43276423E-01   9.96057243E-02   3.29790881E-04   2.19632488E-05   1.70760547E-04   4.14046098E-05   3.45216310E-05  
  68               9.21018761E-02   3.52371295E+03   7.60830258E-01   1.39144506E-01   9.92451144E-02   3.28590047E-04   2.04529809E-05   1.73436685E-04   4.12488572E-05   3.43958235E-05  
  69               1.03074702E-01   3.56811716E+03   7.69697406E-01   1.30989668E-01   9.85336362E-02   3.26222096E-04   1.78198710E-05   1.78191171E-04   4.09488096E-05   3.41485803E-05  
  70               1.15328646E-01   3.60473850E+03   7.74406950E-01   1.26657815E-01   9.81556446E-02   3.24958019E-04   1.64385873E-05   1.80993977E-04   4.07857333E-05   3.40167178E-05  
  71               1.29016872E-01   3.65072280E+03   7.82563480E-01   1.19156949E-01   9.75013062E-02   3.22769903E-04   1.42975734E-05   1.85417673E-04   4.05092727E-05   3.37892430E-05  
  72               1.44307736E-01   3.68901909E+03   7.86990066E-01   1.15085828E-01   9.71461341E-02   3.21571698E-04   1.31538477E-05   1.88072228E-04   4.03553906E-05   3.36652346E-05  
  73               1.61384373E-01   3.73662306E+03   7.94434986E-01   1.08239925E-01   9.65490186E-02   3.19556738E-04   1.14282806E-05   1.92108047E-04   4.01025049E-05   3.34575494E-05  
  74               1.80451727E-01   3.77766909E+03   7.98913665E-01   1.04121415E-01   9.61897831E-02   3.18326549E-04   1.04191484E-05   1.94723530E-04   3.99468314E-05   3.33320987E-05  
  75               2.01727359E-01   3.82850348E+03   8.06149966E-01   9.74678261E-02   9.56095165E-02   3.16335383E-04   8.95561203E-06   1.98547262E-04   3.97010513E-05   3.31302470E-05  
  76               2.25453491E-01   3.87413767E+03   8.11094913E-01   9.29209883E-02   9.52129827E-02   3.14942172E-04   8.00421593E-06   2.01262303E-04   3.95301989E-05   3.29918874E-05  
  77               2.51870501E-01   3.92925625E+03   8.18230286E-01   8.63605006E-02   9.46408905E-02   3.12912331E-04   6.76991291E-06   2.04874890E-04   3.92881873E-05   3.27928968E-05  
  78               2.81236455E-01   3.97991207E+03   8.23462813E-01   8.15494738E-02   9.42213585E-02   3.11359833E-04   5.92467538E-06   2.07574758E-04   3.91082974E-05   3.26466113E-05  
  79               3.13785918E-01   4.03919680E+03   8.30239584E-01   7.53188001E-02   9.36780609E-02   3.09291780E-04   4.94231968E-06   2.10872792E-04   3.88786904E-05   3.24576392E-05  
  80               3.49762573E-01   4.09403642E+03   8.35318426E-01   7.06491059E-02   9.32708737E-02   3.07613050E-04   4.26343688E-06   2.13410804E-04   3.87044042E-05   3.23156745E-05  
  81               3.89371322E-01   4.15666822E+03   8.41451498E-01   6.50101441E-02   9.27791810E-02   3.05454285E-04   3.53014762E-06   2.16403257E-04   3.84966254E-05   3.21446228E-05  
  82               4.32822351E-01   4.21567353E+03   8.46264063E-01   6.05850742E-02   9.23933207E-02   3.03507295E-04   3.00604141E-06   2.18908587E-04   3.83318379E-05   3.20101168E-05  
  83               4.80272431E-01   4.28281304E+03   8.51932533E-01   5.53728547E-02   9.19388145E-02   3.00928692E-04   2.45798073E-06   2.21972610E-04   3.81403149E-05   3.18520471E-05  
  84               5.31861597E-01   4.34807029E+03   8.56688467E-01   5.09992579E-02   9.15573994E-02   2.98246702E-04   2.04674526E-06   2.24937909E-04   3.79786648E-05   3.17192402E-05  
  85               5.87667645E-01   4.42129594E+03   8.61984963E-01   4.61280076E-02   9.11325384E-02   2.94594354E-04   1.64455671E-06   2.28753506E-04   3.78007591E-05   3.15716109E-05  
  86               6.47759331E-01   4.49287964E+03   8.66455593E-01   4.20153292E-02   9.07737497E-02   2.90421383E-04   1.34595993E-06   2.32923259E-04   3.76499282E-05   3.14468299E-05  
  87               7.12182727E-01   4.57133207E+03   8.71115974E-01   3.77268483E-02   9.03995076E-02   2.84665710E-04   1.07489027E-06   2.38531559E-04   3.74941966E-05   3.13168971E-05  
  88               7.80986922E-01   4.64865099E+03   8.75083067E-01   3.40744704E-02   9.00805992E-02   2.77704765E-04   8.74160339E-07   2.45212521E-04   3.73612049E-05   3.12061096E-05  
  89               8.54206920E-01   4.73280974E+03   8.79096075E-01   3.03775403E-02   8.97575790E-02   2.68116865E-04   6.98084745E-07   2.54374305E-04   3.72279190E-05   3.10940916E-05  
  90               9.31863972E-01   4.81685330E+03   8.82558264E-01   2.71849479E-02   8.94783230E-02   2.56414121E-04   5.66449284E-07   2.65548768E-04   3.71127426E-05   3.09972350E-05  
  91               1.01393909E+00   4.90857135E+03   8.86005622E-01   2.40024459E-02   8.91995952E-02   2.40803435E-04   4.52200947E-07   2.80502058E-04   3.69992039E-05   3.09007612E-05  
  92               1.10035982E+00   5.00136720E+03   8.89002244E-01   2.12315811E-02   8.89564782E-02   2.22363524E-04   3.65252977E-07   2.98227135E-04   3.69005354E-05   3.08166455E-05  
  93               1.19104065E+00   5.10088829E+03   8.91845419E-01   1.85979073E-02   8.87249352E-02   1.99867626E-04   2.91797311E-07   3.19945753E-04   3.68077135E-05   3.07366923E-05  
  94               1.28583362E+00   5.20124414E+03   8.94276943E-01   1.63404944E-02   8.85259801E-02   1.75439357E-04   2.35149119E-07   3.43615424E-04   3.67283751E-05   3.06680329E-05  
  95               1.38447101E+00   5.30797837E+03   8.96528217E-01   1.42458767E-02   8.83409418E-02   1.48531965E-04   1.86909543E-07   3.69782670E-04   3.66556318E-05   3.06043191E-05  
  96               1.48655215E+00   5.41474509E+03   8.98421254E-01   1.24802693E-02   8.81845827E-02   1.22355755E-04   1.49259701E-07   3.95304423E-04   3.65945949E-05   3.05505236E-05  
  97               1.59153693E+00   5.52633805E+03   9.00124754E-01   1.08881708E-02   8.80433311E-02   9.70005647E-05   1.17528245E-07   4.20082495E-04   3.65403317E-05   3.05020434E-05  
  98               1.69877982E+00   5.63682040E+03   9.01541198E-01   9.56139309E-03   8.79254259E-02   7.51731342E-05   9.28621519E-08   4.41434279E-04   3.64954540E-05   3.04616182E-05  
  99               1.80762139E+00   5.75023302E+03   9.02789747E-01   8.38943432E-03   8.78211743E-02   5.65539651E-05   7.26228753E-08   4.59652681E-04   3.64564884E-05   3.04259681E-05  
  100              1.91749225E+00   5.86127397E+03   9.03820337E-01   7.41915680E-03   8.77347563E-02   4.21543338E-05   5.71931841E-08   4.73716106E-04   3.64245448E-05   3.03964507E-05  
  101              2.02797986E+00   5.97394826E+03   9.04720997E-01   6.56785431E-03   8.76588274E-02   3.09284998E-05   4.48308450E-08   4.84638641E-04   3.63970535E-05   3.03705898E-05  
