# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               NH3              N2              
  79               1.31967994E+02   2.17615129E+03   8.38048809E-01   1.60255007E-01   3.89300900E-04   4.98753563E-04   1.20558508E-04   4.07444090E-04   1.15286945E-05   5.45002823E-05  
  80               1.38093154E+02   2.20121554E+03   8.38007864E-01   1.60249879E-01   4.39154062E-04   4.94957237E-04   1.16565543E-04   4.11217219E-04   1.16480745E-05   5.44054668E-05  
  81               1.42575928E+02   2.21845477E+03   8.37976931E-01   1.60246207E-01   4.76037029E-04   4.92661192E-04   1.14127178E-04   4.13495627E-04   1.17446509E-05   5.43321036E-05  
  82               1.47912943E+02   2.23908526E+03   8.37936760E-01   1.60241524E-01   5.23648014E-04   4.89888507E-04   1.11178715E-04   4.16246617E-04   1.18500968E-05   5.42486778E-05  
  83               1.54237433E+02   2.26204418E+03   8.37887905E-01   1.60236125E-01   5.80572229E-04   4.87192741E-04   1.08276210E-04   4.18916541E-04   1.19864418E-05   5.41450280E-05  
  84               1.61696414E+02   2.28881684E+03   8.37825002E-01   1.60229340E-01   6.53308869E-04   4.84121097E-04   1.04952103E-04   4.21956951E-04   1.21379940E-05   5.40265364E-05  
  85               1.70451445E+02   2.31824101E+03   8.37746357E-01   1.60221061E-01   7.40734284E-04   4.81221643E-04   1.01756056E-04   4.24817978E-04   1.23271510E-05   5.38826651E-05  
  86               1.80679126E+02   2.35173318E+03   8.37641812E-01   1.60210865E-01   8.51423795E-04   4.83002286E-04   9.74667130E-05   4.28739512E-04   1.25392777E-05   5.37243240E-05  
  87               1.92575575E+02   2.38800549E+03   8.37522839E-01   1.60199329E-01   9.84525747E-04   4.80327991E-04   9.42228382E-05   4.31515813E-04   1.27961929E-05   5.35298961E-05  
  88               2.06357961E+02   2.42842108E+03   8.37372771E-01   1.60185065E-01   1.15149674E-03   4.77609093E-04   9.08484366E-05   4.34330265E-04   1.30834319E-05   5.33089466E-05  
  89               2.22268344E+02   2.47156529E+03   8.37191684E-01   1.60168298E-01   1.35154404E-03   4.75327590E-04   8.78299844E-05   4.36693335E-04   1.34240270E-05   5.30506746E-05  
  90               2.40579869E+02   2.51876772E+03   8.36966057E-01   1.60147704E-01   1.59984031E-03   4.73166359E-04   8.48189776E-05   4.38924484E-04   1.38033590E-05   5.27588691E-05  
  91               2.61612094E+02   2.56852638E+03   8.36696365E-01   1.60123522E-01   1.89521729E-03   4.71565361E-04   8.22501143E-05   4.40582615E-04   1.42452374E-05   5.24222756E-05  
  92               2.85739503E+02   2.62223311E+03   8.36364411E-01   1.60094029E-01   2.25790230E-03   4.70230624E-04   7.97849798E-05   4.41968264E-04   1.47354530E-05   5.20437170E-05  
  93               3.13398521E+02   2.67830068E+03   8.35971970E-01   1.60059560E-01   2.68536160E-03   4.69569126E-04   7.78130681E-05   4.42681160E-04   1.52992846E-05   5.16111622E-05  
  94               3.45101193E+02   2.73824055E+03   8.35494734E-01   1.60017864E-01   3.20444224E-03   4.69304563E-04   7.59960621E-05   4.43009729E-04   1.59222269E-05   5.11265281E-05  
  95               3.81452442E+02   2.80035612E+03   8.34937437E-01   1.59969524E-01   3.80941688E-03   4.69826588E-04   7.46935580E-05   4.42578438E-04   1.66318729E-05   5.05766642E-05  
  96               4.23172083E+02   2.86629958E+03   8.34268381E-01   1.59911653E-01   4.53513131E-03   4.70885870E-04   7.35724408E-05   4.41654657E-04   1.74137397E-05   4.99620169E-05  
  97               4.71118367E+02   2.93444097E+03   8.33494853E-01   1.59845039E-01   5.37313276E-03   4.72835715E-04   7.29418855E-05   4.39903934E-04   1.82961979E-05   4.92685578E-05  
  98               5.26347278E+02   3.00657261E+03   8.32575867E-01   1.59766003E-01   6.36830026E-03   4.75471301E-04   7.24880282E-05   4.37552624E-04   1.92657787E-05   4.84938289E-05  
  99               5.90193614E+02   3.08085458E+03   8.31527846E-01   1.59676145E-01   7.50219107E-03   4.79178619E-04   7.25462493E-05   4.34230300E-04   2.03583017E-05   4.76194826E-05  
  100              6.63738260E+02   3.15887547E+03   8.30305098E-01   1.59571365E-01   8.82482473E-03   4.83732234E-04   7.27868350E-05   4.30173624E-04   2.15506694E-05   4.66454459E-05  
  101              7.47947842E+02   3.23791451E+03   8.28951267E-01   1.59455612E-01   1.02882663E-02   4.89434809E-04   7.35311826E-05   4.25066930E-04   2.28680121E-05   4.55608895E-05  
