# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               NH3             
  14               5.93290323E-04   3.44486521E+02   8.38091189E-01   1.60459673E-01   7.81802359E-04   1.26669103E-29   5.31331545E-04   1.96141945E-20   1.29929369E-05   9.57349699E-05  
  15               7.18045281E-04   3.51121952E+02   8.38093935E-01   1.60458999E-01   7.81799074E-04   4.86103839E-29   5.31329312E-04   5.29846119E-20   1.50822611E-05   9.15558100E-05  
  16               8.66583203E-04   3.55197425E+02   8.38093887E-01   1.60459018E-01   7.81775731E-04   1.04364585E-28   5.31329374E-04   8.26149227E-20   1.50296525E-05   9.16610415E-05  
  17               1.04349760E-03   3.61912537E+02   8.38096630E-01   1.60458353E-01   7.81772491E-04   3.74985038E-28   5.31327172E-04   2.11740825E-19   1.71020328E-05   8.75157763E-05  
  18               1.25411860E-03   3.66100906E+02   8.38096531E-01   1.60458377E-01   7.81772608E-04   7.84680812E-28   5.31327251E-04   3.24720492E-19   1.70270031E-05   8.76658539E-05  
  19               1.50515911E-03   3.73160229E+02   8.38099390E-01   1.60457659E-01   7.81769111E-04   2.78372875E-27   5.31324875E-04   8.28477207E-19   1.92296079E-05   8.32600999E-05  
  20               1.80458257E-03   3.77752965E+02   8.38099584E-01   1.60457633E-01   7.81701185E-04   5.98438593E-27   5.31324787E-04   1.31068099E-18   1.93286363E-05   8.30620231E-05  
  21               2.16228392E-03   3.85325829E+02   8.38102747E-01   1.60456866E-01   7.81697451E-04   2.14553376E-26   5.31322248E-04   3.39575420E-18   2.17180650E-05   7.82825841E-05  
  22               2.58976273E-03   3.90352254E+02   8.38103068E-01   1.60456788E-01   7.81697078E-04   4.71875418E-26   5.31321991E-04   5.51016824E-18   2.19604469E-05   7.77977612E-05  
  23               3.10131775E-03   3.98492074E+02   8.38106222E-01   1.60455943E-01   7.81692997E-04   1.70660218E-25   5.31319191E-04   1.44512321E-17   2.44837478E-05   7.27505181E-05  
  24               3.71420323E-03   4.04196819E+02   8.38107102E-01   1.60455797E-01   7.81469953E-04   3.95755834E-25   5.31318707E-04   2.47216238E-17   2.49944107E-05   7.17290815E-05  
  25               4.44971990E-03   4.13112233E+02   8.38110659E-01   1.60454934E-01   7.81466405E-04   1.47242824E-24   5.31315851E-04   6.68039671E-17   2.76818011E-05   6.63536465E-05  
  26               5.33344055E-03   4.19681161E+02   8.38111729E-01   1.60454673E-01   7.81466904E-04   3.64372909E-24   5.31314986E-04   1.21845908E-16   2.84940269E-05   6.47289967E-05  
  27               6.39706233E-03   4.29575916E+02   8.38114702E-01   1.60453624E-01   7.81474367E-04   1.40998837E-23   5.31311512E-04   3.42638284E-16   3.13157651E-05   5.90847243E-05  
  28               7.67926794E-03   4.37223796E+02   8.38116887E-01   1.60453327E-01   7.80625484E-04   3.75798152E-23   5.31310529E-04   6.71043563E-16   3.24263931E-05   5.68632431E-05  
  29               9.22788944E-03   4.48468331E+02   8.38120176E-01   1.60452315E-01   7.80907651E-04   1.55128451E-22   5.31307178E-04   2.01236576E-15   3.53799342E-05   5.09553932E-05  
  30               1.11017553E-02   4.57912765E+02   8.38120683E-01   1.60451804E-01   7.82502417E-04   4.74777126E-22   5.31305488E-04   4.52197952E-15   3.69698691E-05   4.77751364E-05  
  31               1.33681143E-02   4.70509572E+02   8.38122311E-01   1.60450514E-01   7.82496126E-04   2.01830618E-21   5.31301217E-04   1.39726758E-14   3.97582135E-05   4.21974690E-05  
  32               1.61045646E-02   4.80811637E+02   8.38126398E-01   1.60450270E-01   7.80032206E-04   6.10465524E-21   5.31300407E-04   3.09367003E-14   4.11360032E-05   3.94417041E-05  
  33               1.94041870E-02   4.94995757E+02   8.38129792E-01   1.60449447E-01   7.80028210E-04   2.67552500E-20   5.31297682E-04   9.89071150E-14   4.36997515E-05   3.43135833E-05  
  34               2.33751233E-02   5.07280389E+02   8.38131759E-01   1.60448970E-01   7.80025900E-04   8.85559998E-20   5.31296103E-04   2.40980821E-13   4.51850935E-05   3.13425377E-05  
  35               2.81446040E-02   5.23857060E+02   8.38134907E-01   1.60448207E-01   7.80022205E-04   4.18322898E-19   5.31293576E-04   8.34981457E-13   4.75632595E-05   2.65856268E-05  
  36               3.38591200E-02   5.38549543E+02   8.38136827E-01   1.60447742E-01   7.80019967E-04   1.50745661E-18   5.31292033E-04   2.22746455E-12   4.90136123E-05   2.36845680E-05  
  37               4.06759870E-02   5.57404924E+02   8.38139402E-01   1.60447117E-01   7.80016987E-04   7.22168222E-18   5.31289959E-04   7.90556098E-12   5.09590303E-05   1.97932584E-05  
  38               4.87685204E-02   5.74574527E+02   8.38141051E-01   1.60446717E-01   7.80015127E-04   2.71807262E-17   5.31288620E-04   2.22579073E-11   5.22049454E-05   1.73011248E-05  
  39               5.83201816E-02   5.96234036E+02   8.38143086E-01   1.60446224E-01   7.80012899E-04   1.32172963E-16   5.31286926E-04   8.13162602E-11   5.37422141E-05   1.42262133E-05  
  40               6.95245319E-02   6.16411676E+02   8.38144434E-01   1.60445897E-01   7.80011528E-04   5.17054482E-16   5.31285679E-04   2.41478055E-10   5.47612087E-05   1.21879757E-05  
  41               8.25797301E-02   6.41038490E+02   8.38145931E-01   1.60445533E-01   7.80009966E-04   2.46841203E-15   5.31283823E-04   8.81848822E-10   5.58935825E-05   9.92295192E-06  
  42               9.77146058E-02   6.64472303E+02   8.38146943E-01   1.60445282E-01   7.80008357E-04   9.73992076E-15   5.31281164E-04   2.68922623E-09   5.66661915E-05   8.37754358E-06  
  43               1.15164141E-01   6.92488249E+02   8.38147971E-01   1.60445015E-01   7.80003088E-04   4.50372848E-14   5.31273211E-04   9.69898934E-09   5.74667874E-05   6.77614938E-06  
  44               1.35161825E-01   7.19476426E+02   8.38148543E-01   1.60444795E-01   7.79987067E-04   1.74850824E-13   5.31252393E-04   2.96602619E-08   5.80200116E-05   5.66953451E-06  
  45               1.57931134E-01   7.51033275E+02   8.38149139E-01   1.60444557E-01   7.79922731E-04   7.62102850E-13   5.31178025E-04   1.02867543E-07   5.85612308E-05   4.58691522E-06  
  46               1.83688531E-01   7.81973150E+02   8.38149898E-01   1.60444364E-01   7.79730333E-04   2.86399036E-12   5.30969013E-04   3.10415897E-07   5.89455097E-05   3.81821011E-06  
  47               2.12718860E-01   8.18889367E+02   8.38151359E-01   1.60443985E-01   7.78987862E-04   1.23251810E-11   5.30193585E-04   1.08218498E-06   5.93252603E-05   3.05841862E-06  
  48               2.45391956E-01   8.51872396E+02   8.38153855E-01   1.60443305E-01   7.77226899E-04   4.03866659E-11   5.28388195E-04   2.88089492E-06   5.95535340E-05   2.60134769E-06  
  49               2.82196340E-01   8.90063774E+02   8.38160766E-01   1.60441400E-01   7.71846988E-04   1.44081827E-10   5.22933783E-04   8.31824113E-06   5.97744322E-05   2.15808077E-06  
  50               3.23791444E-01   9.24191443E+02   8.38173354E-01   1.60437817E-01   7.61490831E-04   4.06609847E-10   5.12489354E-04   1.87344450E-05   5.99076015E-05   1.88896476E-06  
  51               3.71424610E-01   9.64671962E+02   8.38206280E-01   1.60429309E-01   7.35679465E-04   1.27547812E-09   4.86530271E-04   4.46335121E-05   6.00442318E-05   1.60907741E-06  
  52               4.27236936E-01   1.00206290E+03   8.38258134E-01   1.60416668E-01   6.96601528E-04   3.34258463E-09   4.47250838E-04   8.38364551E-05   6.01265446E-05   1.43452492E-06  
  53               4.95500016E-01   1.04897503E+03   8.38354716E-01   1.60393130E-01   6.23740222E-04   1.02399912E-08   3.74036335E-04   1.56932324E-04   6.02151861E-05   1.23854216E-06  
  54               5.82952182E-01   1.09628883E+03   8.38460996E-01   1.60367211E-01   5.43524647E-04   2.84106021E-08   2.93379721E-04   2.37485307E-04   6.02695332E-05   1.10871050E-06  
  55               6.98384115E-01   1.14771631E+03   8.38564506E-01   1.60341938E-01   4.65372336E-04   7.76530575E-08   2.14740868E-04   3.16042962E-04   6.03073689E-05   1.01141831E-06  
  56               8.48318155E-01   1.19061973E+03   8.38623496E-01   1.60327501E-01   4.20772369E-04   1.63647249E-07   1.69821478E-04   3.60924755E-04   6.03083592E-05   9.95703612E-07  
  57               1.03810829E+00   1.23909389E+03   8.38678098E-01   1.60314097E-01   3.79395421E-04   3.57672676E-07   1.28153507E-04   4.02559653E-04   6.03103660E-05   9.77475176E-07  
  58               1.27197747E+00   1.27972769E+03   8.38706121E-01   1.60307144E-01   3.57990377E-04   6.43718874E-07   1.06577774E-04   4.24119377E-04   6.02902615E-05   1.00807480E-06  
  59               1.55276320E+00   1.32633432E+03   8.38735037E-01   1.60299877E-01   3.35696150E-04   1.22023781E-06   8.41119680E-05   4.46566225E-04   6.02771213E-05   1.02293934E-06  
  60               1.88300399E+00   1.36530909E+03   8.38748987E-01   1.60296158E-01   3.24500718E-04   1.97909453E-06   7.27796941E-05   4.57886938E-04   6.02476427E-05   1.07288297E-06  
  61               2.26540675E+00   1.41080359E+03   8.38765012E-01   1.60291645E-01   3.11237531E-04   3.41193497E-06   5.92180591E-05   4.71432145E-04   6.02279987E-05   1.10072310E-06  
  62               2.70398481E+00   1.44893564E+03   8.38769337E-01   1.60288825E-01   3.04798456E-04   5.16756323E-06   5.24257332E-05   4.78210232E-04   6.01939610E-05   1.15831140E-06  
  63               3.19986488E+00   1.49465003E+03   8.38775327E-01   1.60285394E-01   2.98670413E-04   8.40302948E-06   4.28654255E-05   4.87751701E-04   6.01724104E-05   1.18880099E-06  
  64               3.75428218E+00   1.53397377E+03   8.38762908E-01   1.60280596E-01   2.93906994E-04   1.23361005E-05   3.78699615E-05   4.92721276E-04   6.01384456E-05   1.24225365E-06  
  65               4.35628714E+00   1.58177544E+03   8.38749426E-01   1.60277132E-01   3.04798002E-04   1.95198000E-05   2.91736004E-05   5.01395235E-04   6.01228319E-05   1.26222774E-06  
  66               4.99662371E+00   1.62404843E+03   8.38741718E-01   1.60274352E-01   3.01955989E-04   2.84650719E-05   2.49045555E-05   5.05641986E-04   6.00989672E-05   1.29583776E-06  
  67               5.66106034E+00   1.67567246E+03   8.38717905E-01   1.60269393E-01   3.03245453E-04   4.47298160E-05   1.91614405E-05   5.11355136E-04   6.00929791E-05   1.29242746E-06  
  68               6.29736572E+00   1.72383798E+03   8.38659293E-01   1.60261485E-01   3.19200589E-04   6.66814156E-05   1.44116996E-05   5.16069189E-04   6.00904257E-05   1.28547853E-06  
  69               6.86294269E+00   1.76331549E+03   8.38577470E-01   1.60252862E-01   3.50790663E-04   9.08922541E-05   1.09939382E-05   5.19454526E-04   6.00881062E-05   1.28407655E-06  
  70               7.32757455E+00   1.79404536E+03   8.38501449E-01   1.60246406E-01   3.85638913E-04   1.14540267E-04   8.78061656E-06   5.21645042E-04   6.00867512E-05   1.28462790E-06  
  71               7.83228545E+00   1.82542768E+03   8.38465467E-01   1.60241751E-01   3.84573385E-04   1.43769973E-04   7.76079199E-06   5.22640741E-04   6.00797151E-05   1.28790720E-06  
  72               8.25444175E+00   1.85069007E+03   8.38440744E-01   1.60239299E-01   3.83832137E-04   1.71646090E-04   7.05322848E-06   5.23332658E-04   6.00741028E-05   1.29120866E-06  
  73               8.58071542E+00   1.86921718E+03   8.38420060E-01   1.60237305E-01   3.83354897E-04   1.94771466E-04   6.60080496E-06   5.23772509E-04   6.00690467E-05   1.29513478E-06  
  74               8.94900248E+00   1.88979587E+03   8.38394229E-01   1.60234858E-01   3.82865962E-04   2.23504785E-04   6.13937551E-06   5.24218976E-04   6.00634073E-05   1.29927705E-06  
  75               9.36302836E+00   1.91173181E+03   8.38363233E-01   1.60231976E-01   3.82406027E-04   2.57803309E-04   5.70815561E-06   5.24632765E-04   6.00562351E-05   1.30550778E-06  
  76               9.82600376E+00   1.93573906E+03   8.38293097E-01   1.60222401E-01   3.81939025E-04   3.00302591E-04   5.27960905E-06   5.25020628E-04   6.00459759E-05   1.31212928E-06  
  77               1.01639769E+01   1.95236791E+03   8.38263444E-01   1.60219722E-01   3.81651808E-04   3.32895235E-04   5.01775273E-06   5.25266932E-04   6.00395649E-05   1.31807740E-06  
  78               1.04024412E+01   1.96417795E+03   8.38240679E-01   1.60217663E-01   3.81466307E-04   3.57877881E-04   4.83775007E-06   5.25435359E-04   6.00352701E-05   1.32167871E-06  
  79               1.06760223E+01   1.97702122E+03   8.38214481E-01   1.60215307E-01   3.81269859E-04   3.86601893E-04   4.66137592E-06   5.25598398E-04   6.00297686E-05   1.32696411E-06  
  80               1.09886440E+01   1.99179677E+03   8.38182022E-01   1.60212397E-01   3.81074921E-04   4.22123984E-04   4.46357570E-06   5.25780194E-04   6.00237854E-05   1.33222562E-06  
  81               1.13444579E+01   2.00775822E+03   8.38144439E-01   1.60209043E-01   3.80858163E-04   4.63240692E-04   4.27242797E-06   5.25952878E-04   6.00163512E-05   1.33942121E-06  
  82               1.17478067E+01   2.02578695E+03   8.38098182E-01   1.60204928E-01   3.80665798E-04   5.13745715E-04   4.06565347E-06   5.26137613E-04   6.00081513E-05   1.34688077E-06  
  83               1.22030638E+01   2.04507982E+03   8.38044503E-01   1.60200172E-01   3.80437895E-04   5.72390973E-04   3.86965989E-06   5.26308202E-04   5.99982059E-05   1.35657048E-06  
  84               1.27175132E+01   2.06660895E+03   8.37978590E-01   1.60194345E-01   3.80195482E-04   6.44356237E-04   3.66398622E-06   5.26483525E-04   5.99870937E-05   1.36688749E-06  
  85               1.32968971E+01   2.08952800E+03   8.37901498E-01   1.60187552E-01   3.79963423E-04   7.28456174E-04   3.47179319E-06   5.26640574E-04   5.99738051E-05   1.37985926E-06  
  86               1.39473003E+01   2.11471676E+03   8.37807336E-01   1.60179270E-01   3.79722199E-04   8.31127414E-04   3.27607714E-06   5.26794446E-04   5.99588940E-05   1.39385114E-06  
  87               1.46751938E+01   2.14126563E+03   8.37697276E-01   1.60169611E-01   3.79493967E-04   9.51061871E-04   3.09708473E-06   5.26925045E-04   5.99413391E-05   1.41090594E-06  
  88               1.54874990E+01   2.17005326E+03   8.37563625E-01   1.60157897E-01   3.79260374E-04   1.09665089E-03   2.91937904E-06   5.27045338E-04   5.99216233E-05   1.42938415E-06  
  89               1.63916266E+01   2.20010686E+03   8.37407883E-01   1.60144268E-01   3.79040918E-04   1.26623758E-03   2.76026477E-06   5.27138218E-04   5.98987153E-05   1.45134953E-06  
  90               1.73955555E+01   2.23230313E+03   8.37220141E-01   1.60127852E-01   3.78818227E-04   1.47061968E-03   2.60575503E-06   5.27214508E-04   5.98730017E-05   1.47517063E-06  
  91               1.85079112E+01   2.26560397E+03   8.37002682E-01   1.60108856E-01   3.78609606E-04   1.70728937E-03   2.47051290E-06   5.27259909E-04   5.98434443E-05   1.50295092E-06  
  92               1.97380612E+01   2.30090831E+03   8.36740855E-01   1.60085792E-01   3.78397283E-04   1.99004923E-03   2.34162562E-06   5.27282047E-04   5.98101807E-05   1.53303361E-06  
  93               2.10956706E+01   2.33711652E+03   8.36434023E-01   1.60059543E-01   3.84421506E-04   2.31479979E-03   2.19544538E-06   5.27313794E-04   5.97747379E-05   1.56754772E-06  
  94               2.25919100E+01   2.37516330E+03   8.36080795E-01   1.60028735E-01   3.84328387E-04   2.69894636E-03   2.09320616E-06   5.27276333E-04   5.97328129E-05   1.60481012E-06  
  95               2.42394056E+01   2.41392669E+03   8.35678814E-01   1.59993688E-01   3.84230516E-04   3.13610449E-03   2.00825326E-06   5.27202866E-04   5.96854616E-05   1.64702342E-06  
  96               2.60514571E+01   2.45438645E+03   8.35208131E-01   1.59952658E-01   3.84115379E-04   3.64798399E-03   1.92984971E-06   5.27097789E-04   5.96326697E-05   1.69246327E-06  
  97               2.80426333E+01   2.49536312E+03   8.34678203E-01   1.59906473E-01   3.83996430E-04   4.22427932E-03   1.86720310E-06   5.26954046E-04   5.95734907E-05   1.74339626E-06  
  98               3.02292391E+01   2.53789310E+03   8.34064458E-01   1.59852989E-01   3.83861249E-04   4.89172756E-03   1.81049301E-06   5.26773619E-04   5.95076985E-05   1.79806137E-06  
  99               3.26293356E+01   2.58075752E+03   8.33381304E-01   1.59793467E-01   3.83725454E-04   5.63463695E-03   1.76812253E-06   5.26551520E-04   5.94344088E-05   1.85884862E-06  
  100              3.52629473E+01   2.62505996E+03   8.32598644E-01   1.59725278E-01   3.83576142E-04   6.48575067E-03   1.73101485E-06   5.26287177E-04   5.93531272E-05   1.92393599E-06  
  101              3.81522329E+01   2.66953302E+03   8.31737672E-01   1.59650276E-01   3.83431493E-04   7.42199744E-03   1.70710968E-06   5.25977814E-04   5.92630579E-05   1.99587023E-06  
