# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               N2               Fe              
  57               4.13698229E-01   2.67743727E+03   7.73430235E-01   1.54563392E-01   7.08571847E-02   5.11762635E-04   3.58864660E-04   6.36711408E-05   5.85854101E-05   5.35097422E-05  
  58               4.62742540E-01   2.71407162E+03   7.68049178E-01   1.54094258E-01   7.67107170E-02   5.10208766E-04   3.56646726E-04   6.34275950E-05   5.83984178E-05   5.33409652E-05  
  59               5.17249745E-01   2.75053025E+03   7.62532655E-01   1.53613312E-01   8.27115973E-02   5.08615648E-04   3.54326682E-04   6.31769173E-05   5.82044355E-05   5.31677575E-05  
  60               5.77755216E-01   2.78654176E+03   7.56972680E-01   1.53128577E-01   8.87597314E-02   5.07009829E-04   3.51939650E-04   6.29224018E-05   5.80059215E-05   5.29928964E-05  
  61               6.44835212E-01   2.82243651E+03   7.51300821E-01   1.52634085E-01   9.49295571E-02   5.05371540E-04   3.49456033E-04   6.26615145E-05   5.77996290E-05   5.28142943E-05  
  62               7.19111351E-01   2.85793166E+03   7.45615633E-01   1.52138428E-01   1.01113864E-01   5.03729215E-04   3.46915900E-04   6.23977791E-05   5.75879152E-05   5.26349259E-05  
  63               8.01254556E-01   2.89339902E+03   7.39826605E-01   1.51633714E-01   1.07411109E-01   5.02056707E-04   3.44279954E-04   6.21278793E-05   5.73661888E-05   5.24520363E-05  
  64               8.91993987E-01   2.92850739E+03   7.34049973E-01   1.51130077E-01   1.13694846E-01   5.00387549E-04   3.41598025E-04   6.18559614E-05   5.71369544E-05   5.22691336E-05  
  65               9.92125011E-01   2.96366331E+03   7.28175592E-01   1.50617913E-01   1.20084888E-01   4.98689923E-04   3.38821395E-04   6.15780111E-05   5.68940244E-05   5.20828691E-05  
  66               1.10251477E+00   2.99849501E+03   7.22337066E-01   1.50108870E-01   1.26435897E-01   4.97002370E-04   3.36009993E-04   6.12987715E-05   5.66398767E-05   5.18972732E-05  
  67               1.22410367E+00   3.03344776E+03   7.16403012E-01   1.49591493E-01   1.32890786E-01   4.95286931E-04   3.33104231E-04   6.10134815E-05   5.63661689E-05   5.17083553E-05  
  68               1.35788056E+00   3.06809371E+03   7.10528716E-01   1.49079320E-01   1.39280629E-01   4.93588403E-04   3.30176650E-04   6.07276512E-05   5.60753544E-05   5.15208010E-05  
  69               1.50492848E+00   3.10291733E+03   7.04560737E-01   1.48558972E-01   1.45772336E-01   4.91862448E-04   3.27155724E-04   6.04357634E-05   5.57562066E-05   5.13299552E-05  
  70               1.66644744E+00   3.13745965E+03   6.98671509E-01   1.48045483E-01   1.52178324E-01   4.90158807E-04   3.24124888E-04   6.01438847E-05   5.54107864E-05   5.11410153E-05  
  71               1.84376647E+00   3.17225861E+03   6.92682970E-01   1.47523327E-01   1.58692280E-01   4.88426018E-04   3.20998473E-04   5.98456254E-05   5.50237819E-05   5.09485806E-05  
  72               2.03835928E+00   3.20682546E+03   6.86784033E-01   1.47008976E-01   1.65108697E-01   4.86718569E-04   3.17870730E-04   5.95475743E-05   5.45965837E-05   5.07583383E-05  
  73               2.25185013E+00   3.24175413E+03   6.80770019E-01   1.46484580E-01   1.71650211E-01   4.84977294E-04   3.14639843E-04   5.92424196E-05   5.41080607E-05   5.05640838E-05  
  74               2.48603207E+00   3.27650857E+03   6.74851760E-01   1.45968523E-01   1.78087470E-01   4.83262995E-04   3.11413893E-04   5.89374657E-05   5.35590092E-05   5.03721584E-05  
  75               2.74288552E+00   3.31170967E+03   6.68808777E-01   1.45441579E-01   1.84660293E-01   4.81511917E-04   3.08079656E-04   5.86248764E-05   5.29210149E-05   5.01758820E-05  
  76               3.02460152E+00   3.34677458E+03   6.62874121E-01   1.44924067E-01   1.91115155E-01   4.79791264E-04   3.04759878E-04   5.83126655E-05   5.21946324E-05   4.99822565E-05  
  77               3.33360517E+00   3.38235663E+03   6.56810408E-01   1.44395285E-01   1.97710255E-01   4.78032363E-04   3.01328915E-04   5.79924419E-05   5.13418452E-05   4.97840938E-05  
  78               3.67258133E+00   3.41784339E+03   6.50866169E-01   1.43876906E-01   2.04175234E-01   4.76306868E-04   2.97921115E-04   5.76726792E-05   5.03635471E-05   4.95888511E-05  
  79               4.04450363E+00   3.45393420E+03   6.44782333E-01   1.43346333E-01   2.10791867E-01   4.74539797E-04   2.94395126E-04   5.73442821E-05   4.92091876E-05   4.93886894E-05  
  80               4.45265337E+00   3.48998823E+03   6.38821472E-01   1.42826462E-01   2.17274525E-01   4.72806838E-04   2.90896278E-04   5.70161285E-05   4.78821500E-05   4.91914767E-05  
  81               4.90065521E+00   3.52673573E+03   6.32708915E-01   1.42293338E-01   2.23921943E-01   4.71028443E-04   2.87270096E-04   5.66786552E-05   4.63183383E-05   4.89889100E-05  
  82               5.39250996E+00   3.56350645E+03   6.26720957E-01   1.41771053E-01   2.30433570E-01   4.69284239E-04   2.83672982E-04   5.63411249E-05   4.45291144E-05   4.87892570E-05  
  83               5.93263987E+00   3.60106331E+03   6.20567652E-01   1.41234317E-01   2.37124749E-01   4.67490185E-04   2.79936948E-04   5.59935359E-05   4.24388369E-05   4.85837623E-05  
  84               6.52592823E+00   3.63870738E+03   6.14538193E-01   1.40708351E-01   2.43680916E-01   4.65729604E-04   2.76229296E-04   5.56454949E-05   4.00780031E-05   4.83810667E-05  
  85               7.17778369E+00   3.67722297E+03   6.08333060E-01   1.40167028E-01   2.50427829E-01   4.63915586E-04   2.72371413E-04   5.52867719E-05   3.73702074E-05   4.81721361E-05  
  86               7.89419835E+00   3.71588005E+03   6.02255019E-01   1.39636756E-01   2.57036199E-01   4.62135330E-04   2.68542403E-04   5.49273179E-05   3.43854263E-05   4.79660014E-05  
  87               8.68182388E+00   3.75549176E+03   5.95993436E-01   1.39090441E-01   2.63843890E-01   4.60298555E-04   2.64551932E-04   5.45566359E-05   3.10679144E-05   4.77533055E-05  
  88               9.54803308E+00   3.79529933E+03   5.89863018E-01   1.38555539E-01   2.70508686E-01   4.58495820E-04   2.60590504E-04   5.41849478E-05   2.75529702E-05   4.75434175E-05  
  89               1.05010181E+01   3.83615212E+03   5.83540174E-01   1.38003828E-01   2.77382592E-01   4.56632816E-04   2.56454787E-04   5.38014517E-05   2.38329648E-05   4.73266060E-05  
  90               1.15498681E+01   3.87726555E+03   5.77349546E-01   1.37463638E-01   2.84112655E-01   4.54802754E-04   2.52346029E-04   5.34165578E-05   2.01194246E-05   4.71125151E-05  
  91               1.27047047E+01   3.91951544E+03   5.70959777E-01   1.36906075E-01   2.91059377E-01   4.52908544E-04   2.48051197E-04   5.30193521E-05   1.64592853E-05   4.68911972E-05  
  92               1.39767825E+01   3.96208936E+03   5.64705517E-01   1.36360345E-01   2.97858946E-01   4.51045825E-04   2.43783096E-04   5.26204088E-05   1.30938439E-05   4.66725675E-05  
  93               1.53786688E+01   4.00588416E+03   5.58251149E-01   1.35797181E-01   3.04876499E-01   4.49115328E-04   2.39321786E-04   5.22088285E-05   1.00675860E-05   4.64465670E-05  
  94               1.69243767E+01   4.05005073E+03   5.51943841E-01   1.35246875E-01   3.11734531E-01   4.47215600E-04   2.34894195E-04   5.17953927E-05   7.54291492E-06   4.62234466E-05  
  95               1.86296001E+01   4.09551383E+03   5.45442325E-01   1.34679662E-01   3.18804253E-01   4.45244361E-04   2.30273447E-04   5.13691805E-05   5.48316786E-06   4.59929935E-05  
  96               2.05118370E+01   4.14143426E+03   5.39087091E-01   1.34125239E-01   3.25715299E-01   4.43297370E-04   2.25688353E-04   5.09405566E-05   3.91332967E-06   4.57652176E-05  
  97               2.25906457E+01   4.18878765E+03   5.32523558E-01   1.33552673E-01   3.32853300E-01   4.41266619E-04   2.20900460E-04   5.04983951E-05   2.73041152E-06   4.55295332E-05  
  98               2.48878105E+01   4.23672911E+03   5.26090708E-01   1.32991526E-01   3.39849460E-01   4.39246396E-04   2.16143657E-04   5.00528263E-05   1.88629483E-06   4.52958651E-05  
  99               2.74276871E+01   4.28626690E+03   5.19429413E-01   1.32410466E-01   3.47094361E-01   4.37124648E-04   2.11174728E-04   4.95928455E-05   1.28280472E-06   4.50535251E-05  
  100              3.02374351E+01   4.33652999E+03   5.12884328E-01   1.31839553E-01   3.54213025E-01   4.34995776E-04   2.06237571E-04   4.91285605E-05   8.69120226E-07   4.48125634E-05  
  101              3.33474456E+01   4.38853831E+03   5.06101239E-01   1.31247884E-01   3.61590722E-01   4.32745029E-04   2.01092356E-04   4.86493997E-05   5.82326302E-07   4.45624736E-05  
