# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                H2S              CO              
  14               2.42151796E-03   1.56853297E+02   8.38728701E-01   1.60589211E-01   1.48586776E-07   5.31760482E-04   1.21819108E-04   2.22168645E-69   2.30008810E-05   3.87275550E-62  
  15               2.96111867E-03   1.64950596E+02   8.38728701E-01   1.60589211E-01   1.22453866E-06   5.31760482E-04   1.21819108E-04   7.09678156E-66   2.30008810E-05   3.87622985E-58  
  16               3.62251356E-03   1.64500869E+02   8.38728701E-01   1.60589211E-01   1.22453866E-06   5.31760482E-04   1.21819108E-04   4.16255391E-66   2.30008810E-05   1.73991624E-58  
  17               4.43441942E-03   1.68609407E+02   8.38724094E-01   1.60588329E-01   1.22960491E-06   5.31757562E-04   1.21818438E-04   1.79929319E-64   2.30007547E-05   4.08819181E-57  
  18               5.42837194E-03   1.73304493E+02   8.38724094E-01   1.60588329E-01   6.71740720E-06   5.31757562E-04   1.21818438E-04   1.07995139E-62   2.30007547E-05   7.09490550E-55  
  19               6.64546834E-03   1.73907379E+02   8.38724094E-01   1.60588329E-01   6.71740720E-06   5.31757562E-04   1.21818438E-04   1.64571813E-62   2.30007547E-05   7.66016533E-55  
  20               8.13596137E-03   1.79719138E+02   8.38724094E-01   1.60588329E-01   6.71740720E-06   5.31757562E-04   1.21818438E-04   1.91279557E-60   2.30007547E-05   4.49698709E-53  
  21               9.95926849E-03   1.81127482E+02   8.38699672E-01   1.60583653E-01   6.74309510E-06   5.31742078E-04   1.21814891E-04   5.35254493E-60   2.30000849E-05   8.54623709E-53  
  22               1.21846401E-02   1.86894331E+02   8.38699672E-01   1.60583653E-01   3.58350175E-05   5.31742078E-04   1.21814891E-04   4.14585572E-58   2.30000849E-05   1.84826520E-50  
  23               1.48948830E-02   1.88621764E+02   8.38699672E-01   1.60583653E-01   3.58350175E-05   5.31742078E-04   1.21814891E-04   1.34909038E-57   2.30000849E-05   4.03798903E-50  
  24               1.81992411E-02   1.94166432E+02   8.38647698E-01   1.60573701E-01   3.58833155E-05   5.31709126E-04   1.21807342E-04   6.37711584E-56   2.29986596E-05   1.05134952E-48  
  25               2.22001687E-02   1.96655187E+02   8.38647698E-01   1.60573701E-01   9.78029636E-05   5.31709126E-04   1.21807342E-04   3.17151915E-55   2.29986596E-05   9.32104842E-48  
  26               2.70468153E-02   2.03157303E+02   8.38506236E-01   1.60546616E-01   9.78901253E-05   5.31619438E-04   1.21786796E-04   2.02207343E-53   2.29947803E-05   3.23757793E-46  
  27               3.28646134E-02   2.05569590E+02   8.38506236E-01   1.60546616E-01   2.66464699E-04   5.31619438E-04   1.21786796E-04   8.30454975E-53   2.29947803E-05   2.42270461E-45  
  28               3.97786129E-02   2.12919246E+02   8.38073936E-01   1.60463844E-01   2.66327766E-04   5.31345356E-04   1.21724008E-04   6.08627235E-51   2.29829251E-05   9.74169852E-44  
  29               4.78398501E-02   2.16197346E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724008E-04   3.57406237E-50   2.29829251E-05   1.11777291E-42  
  30               5.69707901E-02   2.28034980E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724008E-04   1.74921485E-47   2.29829251E-05   2.73084000E-40  
  31               6.80299152E-02   2.34523851E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724008E-04   3.82857684E-46   2.29829251E-05   3.70234178E-39  
  32               8.14299145E-02   2.45370096E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724008E-04   4.85622839E-44   2.29829251E-05   2.59807456E-37  
  33               9.76681235E-02   2.51479023E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724008E-04   5.92060154E-43   2.29829251E-05   2.04472021E-36  
  34               1.17347164E-01   2.61990842E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724008E-04   3.52258987E-41   2.29829251E-05   7.12903853E-35  
  35               1.41186988E-01   2.68280283E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724008E-04   3.34612622E-40   2.29829251E-05   4.45434999E-34  
  36               1.70067435E-01   2.78978198E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724008E-04   1.28943300E-38   2.29829251E-05   1.04205000E-32  
  37               2.05056786E-01   2.85846428E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724007E-04   1.12190695E-37   2.29829251E-05   6.02089905E-32  
  38               2.47459790E-01   2.97164794E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724006E-04   3.35711523E-36   2.29829251E-05   1.12026667E-30  
  39               2.98843507E-01   3.04941444E+02   8.38073936E-01   1.60463844E-01   7.81887790E-04   5.31345356E-04   1.21724005E-04   2.89863866E-35   2.29829251E-05   6.46176944E-30  
  40               3.61109476E-01   3.17184528E+02   8.38073936E-01   1.60463844E-01   7.81887719E-04   5.31345356E-04   1.21724001E-04   7.29209641E-34   2.29829251E-05   1.03096570E-28  
  41               4.36546473E-01   3.26195718E+02   8.38073936E-01   1.60463844E-01   7.81887719E-04   5.31345356E-04   1.21723995E-04   6.51604850E-33   2.29829250E-05   6.18697602E-28  
  42               5.27911467E-01   3.39786987E+02   8.38073936E-01   1.60463844E-01   7.81887383E-04   5.31345356E-04   1.21723974E-04   1.48014855E-31   2.29829250E-05   9.06582733E-27  
  43               6.38501848E-01   3.50495751E+02   8.38073934E-01   1.60463844E-01   7.81887381E-04   5.31345355E-04   1.21723944E-04   1.42625079E-30   2.29829250E-05   5.89901180E-26  
  44               7.72327387E-01   3.65983061E+02   8.38073936E-01   1.60463844E-01   7.81885734E-04   5.31345355E-04   1.21723836E-04   3.08974075E-29   2.29829250E-05   8.37688558E-25  
  45               9.34201359E-01   3.79024180E+02   8.38073826E-01   1.60463823E-01   7.81885631E-04   5.31345286E-04   1.21723649E-04   3.32127140E-28   2.29829220E-05   6.12109497E-24  
  46               1.12994135E+00   3.97099997E+02   8.38073947E-01   1.60463834E-01   7.81754733E-04   5.31345320E-04   1.21723067E-04   7.09447081E-27   2.29829235E-05   8.71377105E-23  
  47               1.36631984E+00   4.13198471E+02   8.38073948E-01   1.60463833E-01   7.81754735E-04   5.31345320E-04   1.21722012E-04   8.51502583E-26   2.29829235E-05   7.18090643E-22  
  48               1.65114451E+00   4.34787530E+02   8.38073949E-01   1.60463833E-01   7.81754886E-04   5.31345317E-04   1.21718467E-04   1.82902421E-24   2.29829234E-05   1.04834910E-20  
  49               1.99356540E+00   4.55020272E+02   8.38073895E-01   1.60463821E-01   7.81759549E-04   5.31345279E-04   1.21711357E-04   2.45802037E-23   2.29829217E-05   9.81992908E-20  
  50               2.40457103E+00   4.81052792E+02   8.38070334E-01   1.60463182E-01   7.82011863E-04   5.31343162E-04   1.21687931E-04   5.13492707E-22   2.29828301E-05   1.42943788E-18  
  51               2.89659344E+00   5.06120223E+02   8.38071945E-01   1.60463458E-01   7.80148218E-04   5.31344077E-04   1.21639741E-04   7.06124631E-21   2.29828697E-05   1.39703840E-17  
  52               3.48387470E+00   5.36125348E+02   8.38072035E-01   1.60463436E-01   7.80148115E-04   5.31344005E-04   1.21503575E-04   1.19066631E-19   2.29828666E-05   1.69266775E-16  
  53               4.18383949E+00   5.63634294E+02   8.38072194E-01   1.60463398E-01   7.80147938E-04   5.31343877E-04   1.21262839E-04   1.20209323E-18   2.29828611E-05   1.25332385E-15  
  54               5.01828741E+00   5.95550593E+02   8.38072565E-01   1.60463308E-01   7.80147533E-04   5.31343579E-04   1.20702848E-04   1.35411837E-17   2.29828482E-05   1.04482308E-14  
  55               6.01124634E+00   6.24056421E+02   8.38073090E-01   1.60463180E-01   7.80146982E-04   5.31343156E-04   1.19907948E-04   9.40680620E-17   2.29828299E-05   5.44810546E-14  
  56               7.19027967E+00   6.56256119E+02   8.38074074E-01   1.60462942E-01   7.80145995E-04   5.31342365E-04   1.18420668E-04   6.89310438E-16   2.29827957E-05   3.02124331E-13  
  57               8.58975177E+00   6.85000780E+02   8.38075211E-01   1.60462666E-01   7.80144961E-04   5.31341449E-04   1.16701222E-04   3.43174459E-15   2.29827562E-05   1.14815353E-12  
  58               1.02534411E+01   7.18449695E+02   8.38077129E-01   1.60462200E-01   7.80143393E-04   5.31339901E-04   1.13799363E-04   1.90439331E-14   2.29826895E-05   4.89192030E-12  
  59               1.22274570E+01   7.49884068E+02   8.38079208E-01   1.60461691E-01   7.80142103E-04   5.31338205E-04   1.10643575E-04   8.20410415E-14   2.29826167E-05   1.62654900E-11  
  60               1.45641466E+01   7.87652076E+02   8.38082530E-01   1.60460872E-01   7.80140686E-04   5.31335439E-04   1.05574568E-04   4.10935391E-13   2.29824992E-05   6.32876176E-11  
  61               1.73331408E+01   8.24911740E+02   8.38085894E-01   1.60459971E-01   7.80140601E-04   5.31332303E-04   1.00192011E-04   1.73079413E-12   2.29823699E-05   2.07859949E-10  
  62               2.06259278E+01   8.69636824E+02   8.38090730E-01   1.60458704E-01   7.80142682E-04   5.31327515E-04   9.25516080E-05   8.34226163E-12   2.29821875E-05   7.85158823E-10  
  63               2.45226292E+01   9.13631253E+02   8.38095399E-01   1.60457557E-01   7.80150983E-04   5.31322004E-04   8.54414968E-05   3.34686653E-11   2.29826162E-05   2.47470195E-09  
  64               2.90782915E+01   9.61785407E+02   8.38100359E-01   1.60456307E-01   7.80164601E-04   5.31312544E-04   7.77711230E-05   1.32653076E-10   2.30045258E-05   7.75443350E-09  
  65               3.43502282E+01   1.00806253E+03   8.38104082E-01   1.60455253E-01   7.80179014E-04   5.31296450E-04   7.15809963E-05   4.36881147E-10   2.30787997E-05   2.02858173E-08  
  66               4.04299287E+01   1.05838869E+03   8.38106943E-01   1.60454043E-01   7.80182345E-04   5.31259808E-04   6.53302185E-05   1.42220371E-09   2.33493355E-05   5.27915269E-08  
  67               4.73820566E+01   1.10512137E+03   8.38108201E-01   1.60453168E-01   7.80138636E-04   5.31195383E-04   6.09216076E-05   3.83033794E-09   2.42845942E-05   1.14102964E-07  
  68               5.52558563E+01   1.15202131E+03   8.38110688E-01   1.60452526E-01   7.80138991E-04   5.31077851E-04   5.72124809E-05   9.52431776E-09   2.42843851E-05   2.29137177E-07  
  69               6.41202997E+01   1.19483052E+03   8.38112330E-01   1.60452086E-01   7.80089767E-04   5.30907239E-04   5.48741446E-05   2.03741363E-08   2.42841488E-05   3.97727665E-07  
  70               7.41231771E+01   1.23835544E+03   8.38113865E-01   1.60451663E-01   7.79959161E-04   5.30637935E-04   5.28520591E-05   4.17700680E-08   2.42838119E-05   6.64685006E-07  
  71               8.54142387E+01   1.27880256E+03   8.38114897E-01   1.60451357E-01   7.79753019E-04   5.30294410E-04   5.17171655E-05   7.73413027E-08   2.42833897E-05   1.00582586E-06  
  72               9.81050906E+01   1.32128322E+03   8.38116112E-01   1.60450990E-01   7.79395758E-04   5.29781609E-04   5.05668215E-05   1.41995484E-07   2.42827575E-05   1.51514259E-06  
  73               1.12276390E+02   1.36191120E+03   8.38117107E-01   1.60450665E-01   7.78916853E-04   5.29149628E-04   4.99303291E-05   2.43887285E-07   2.42819332E-05   2.14276459E-06  
  74               1.28002231E+02   1.40564295E+03   8.38118541E-01   1.60450201E-01   7.78152563E-04   5.28211792E-04   4.90884595E-05   4.22960814E-07   2.42806779E-05   3.07362278E-06  
  75               1.45542246E+02   1.44868782E+03   8.38119952E-01   1.60449708E-01   7.77162936E-04   5.27048518E-04   4.85748497E-05   7.01844783E-07   2.42789648E-05   4.22728901E-06  
  76               1.65146858E+02   1.49580298E+03   8.38121994E-01   1.60448984E-01   7.75652744E-04   5.25335330E-04   4.78431108E-05   1.18563825E-06   2.42762050E-05   5.92482871E-06  
  77               1.86962090E+02   1.54290908E+03   8.38124090E-01   1.60448135E-01   7.73750868E-04   5.23205876E-04   4.73591688E-05   1.93538199E-06   2.42719361E-05   8.03189369E-06  
  78               2.11045828E+02   1.59435903E+03   8.38126878E-01   1.60446886E-01   7.71005043E-04   5.20132744E-04   4.66570308E-05   3.20904695E-06   2.42636416E-05   1.10688391E-05  
  79               2.37387576E+02   1.64543328E+03   8.38112557E-01   1.60442148E-01   7.67726483E-04   5.16407050E-04   4.61833911E-05   5.12827618E-06   2.42465918E-05   1.47325837E-05  
  80               2.65956015E+02   1.69616828E+03   8.38095879E-01   1.60440316E-01   7.84401951E-04   5.11540419E-04   4.58821560E-05   7.93348703E-06   2.33860837E-05   1.95280779E-05  
  81               2.97028791E+02   1.74648827E+03   8.38098001E-01   1.60438222E-01   7.79558717E-04   5.06473810E-04   4.57607664E-05   1.19065380E-05   2.33998544E-05   2.44995790E-05  
  82               3.30916508E+02   1.79699459E+03   8.38099521E-01   1.60435908E-01   7.74393378E-04   5.00771601E-04   4.57697108E-05   1.74693792E-05   2.34038274E-05   3.00755469E-05  
  83               3.67801889E+02   1.84727971E+03   8.38098464E-01   1.60433147E-01   7.69129781E-04   4.94594375E-04   4.59244230E-05   2.50202221E-05   2.34013803E-05   3.60890843E-05  
  84               4.07858492E+02   1.89772140E+03   8.38092530E-01   1.60429742E-01   7.64836579E-04   4.87880455E-04   4.61833867E-05   3.51545805E-05   2.33783307E-05   4.25925033E-05  
  85               4.51188493E+02   1.94777557E+03   8.38074844E-01   1.60424963E-01   7.63985231E-04   4.80706680E-04   4.65637547E-05   4.83405689E-05   2.33104962E-05   4.95017913E-05  
  86               4.97515109E+02   1.99740595E+03   8.38039004E-01   1.60418400E-01   7.70803979E-04   4.72761345E-04   4.70220909E-05   6.51891759E-05   2.31570388E-05   5.71213453E-05  
  87               5.45734950E+02   2.04500564E+03   8.37973938E-01   1.60408921E-01   7.90179304E-04   4.63982099E-04   4.75621652E-05   8.55468707E-05   2.28884966E-05   6.55196237E-05  
  88               5.98936498E+02   2.09398881E+03   8.37882613E-01   1.60398401E-01   8.29563231E-04   4.53025075E-04   4.81793040E-05   1.11604372E-04   2.24705182E-05   7.60205753E-05  
  89               6.55140140E+02   2.14173449E+03   8.37862301E-01   1.60393907E-01   8.22898701E-04   4.45826807E-04   4.88816532E-05   1.42754738E-04   2.24649447E-05   8.27075105E-05  
  90               7.13445091E+02   2.18813866E+03   8.37836480E-01   1.60389083E-01   8.16613401E-04   4.38939758E-04   4.96115420E-05   1.79353051E-04   2.24550405E-05   8.90153914E-05  
  91               7.80680533E+02   2.23764691E+03   8.37791598E-01   1.60381616E-01   8.10322073E-04   4.31909456E-04   5.04777877E-05   2.26126483E-04   2.24398709E-05   9.53253735E-05  
  92               8.47339448E+02   2.28360075E+03   8.37750889E-01   1.60375886E-01   8.04811471E-04   4.25600365E-04   5.13268495E-05   2.77679347E-04   2.24218338E-05   1.00873593E-04  
  93               9.08975899E+02   2.32327024E+03   8.37706909E-01   1.60370090E-01   8.00441630E-04   4.20447763E-04   5.21197791E-05   3.29075191E-04   2.24033558E-05   1.05287590E-04  
  94               9.81056719E+02   2.36725344E+03   8.37645731E-01   1.60363297E-01   8.00483554E-04   4.14413672E-04   5.30222383E-05   3.94427325E-04   2.23871315E-05   1.10415847E-04  
  95               1.06511656E+03   2.41494766E+03   8.37543328E-01   1.60349237E-01   7.96194190E-04   4.08778141E-04   5.40715253E-05   4.75900931E-04   2.23571295E-05   1.14926386E-04  
  96               1.13416228E+03   2.45203081E+03   8.37480653E-01   1.60342759E-01   7.93150214E-04   4.04585661E-04   5.49087422E-05   5.47712072E-04   2.23317727E-05   1.18170167E-04  
  97               1.18664422E+03   2.47877667E+03   8.37430901E-01   1.60337641E-01   7.91193414E-04   4.01751323E-04   5.55445884E-05   6.04248808E-04   2.23123162E-05   1.20269735E-04  
  98               1.24862118E+03   2.50940058E+03   8.37368841E-01   1.60331380E-01   7.89059364E-04   3.98557105E-04   5.62713183E-05   6.74377890E-04   2.22884587E-05   1.22567255E-04  
  99               1.32147537E+03   2.54349651E+03   8.37293108E-01   1.60323973E-01   7.87003967E-04   3.95251420E-04   5.71219619E-05   7.59191911E-04   2.22605746E-05   1.24805598E-04  
  100              1.40674239E+03   2.58172108E+03   8.37199403E-01   1.60314990E-01   7.84916877E-04   3.91667332E-04   5.80827930E-05   8.63541532E-04   2.22271405E-05   1.27100936E-04  
  101              1.50613958E+03   2.62354781E+03   8.37085815E-01   1.60304393E-01   7.83081200E-04   3.88073978E-04   5.91847724E-05   9.89075285E-04   2.21886917E-05   1.29171774E-04  
