# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  61               2.30860471E-01   2.76274998E+03   7.22742802E-01   1.25996093E-01   1.50144181E-01   4.97134160E-04   3.38824607E-04   6.20392784E-05   5.19990526E-05   5.68752548E-05  
  62               2.70059882E-01   2.80658023E+03   7.14159030E-01   1.35333562E-01   1.49395806E-01   4.94655903E-04   3.34819102E-04   6.16810245E-05   5.17336900E-05   5.65654352E-05  
  63               3.15129179E-01   2.85115985E+03   7.05116547E-01   1.45170005E-01   1.48607425E-01   4.92045035E-04   3.30488402E-04   6.13036103E-05   5.14540575E-05   5.62300953E-05  
  64               3.66837405E-01   2.89432408E+03   6.96539134E-01   1.54500512E-01   1.47859578E-01   4.89568196E-04   3.26243497E-04   6.09402168E-05   5.11880658E-05   5.58987455E-05  
  65               4.26048649E-01   2.93839361E+03   6.87493323E-01   1.64340518E-01   1.47070879E-01   4.86955898E-04   3.21660533E-04   6.05571955E-05   5.09074785E-05   5.55333017E-05  
  66               4.93733877E-01   2.98112978E+03   6.78978024E-01   1.73603386E-01   1.46328418E-01   4.84496473E-04   3.17208567E-04   6.01902889E-05   5.06424625E-05   5.51655210E-05  
  67               5.70995854E-01   3.02488657E+03   6.69994296E-01   1.83375766E-01   1.45545099E-01   4.81901507E-04   3.12413025E-04   5.98036041E-05   5.03628116E-05   5.47497169E-05  
  68               6.59047146E-01   3.06735014E+03   6.61609028E-01   1.92497075E-01   1.44813944E-01   4.79478959E-04   3.07801034E-04   5.94351614E-05   5.01007298E-05   5.43200945E-05  
  69               7.59244615E-01   3.11102107E+03   6.52710815E-01   2.02176294E-01   1.44038045E-01   4.76907916E-04   3.02820473E-04   5.90452194E-05   4.98226298E-05   5.38177174E-05  
  70               8.73131659E-01   3.15352961E+03   6.44421438E-01   2.11193126E-01   1.43315214E-01   4.74512184E-04   2.98050350E-04   5.86735565E-05   4.95623509E-05   5.32792859E-05  
  71               1.00248257E+00   3.19742464E+03   6.35579310E-01   2.20811124E-01   1.42544164E-01   4.71956312E-04   2.92887811E-04   5.82787947E-05   4.92848034E-05   5.26288810E-05  
  72               1.14930522E+00   3.24035833E+03   6.27319305E-01   2.29795753E-01   1.41823851E-01   4.69567886E-04   2.87942338E-04   5.79009391E-05   4.90241934E-05   5.19046888E-05  
  73               1.31589851E+00   3.28486432E+03   6.18465446E-01   2.39426195E-01   1.41051728E-01   4.67007227E-04   2.82577913E-04   5.74983084E-05   4.87450159E-05   5.10064193E-05  
  74               1.50488392E+00   3.32847780E+03   6.10225259E-01   2.48388889E-01   1.40333091E-01   4.64622895E-04   2.77467856E-04   5.71131919E-05   4.84836341E-05   4.99805921E-05  
  75               1.71927544E+00   3.37380568E+03   6.01376523E-01   2.58013291E-01   1.39561352E-01   4.62061759E-04   2.71926503E-04   5.67025024E-05   4.82031689E-05   4.86897409E-05  
