# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               O-3P             H2O              C                Mg              
  80               2.22106634E-01   4.72790468E+03   9.02921632E-01   8.43519982E-03   8.78407397E-02   2.17867094E-04   3.04656921E-04   6.11887197E-08   7.27152901E-05   3.65681678E-05  
  81               2.37719070E-01   4.82561685E+03   9.04317002E-01   7.12931755E-03   8.77245666E-02   1.92218490E-04   3.29821016E-04   4.59833269E-08   9.79091376E-05   3.65217667E-05  
  82               2.53862957E-01   4.92700945E+03   9.05500170E-01   6.01516104E-03   8.76247752E-02   1.63241627E-04   3.58296258E-04   3.45724108E-08   1.26476886E-04   3.64822027E-05  
  83               2.70534045E-01   5.03123593E+03   9.06487745E-01   5.07900962E-03   8.75403413E-02   1.32998609E-04   3.88043400E-04   2.59713218E-08   1.56350196E-04   3.64489888E-05  
  84               2.87698683E-01   5.13792401E+03   9.07308137E-01   4.29638568E-03   8.74693203E-02   1.03790709E-04   4.16777383E-04   1.94329115E-08   1.85214649E-04   3.64212942E-05  
  85               3.05280529E-01   5.24557209E+03   9.07979641E-01   3.65211492E-03   8.74105838E-02   7.79950940E-05   4.42134338E-04   1.45169487E-08   2.10681387E-04   3.63985975E-05  
  86               3.23157842E-01   5.35371270E+03   9.08530229E-01   3.12101683E-03   8.73620217E-02   5.68109333E-05   4.62915082E-04   1.08283730E-08   2.31535588E-04   3.63800253E-05  
  87               3.41185830E-01   5.46061498E+03   9.08975709E-01   2.68850679E-03   8.73223829E-02   4.06528596E-05   4.78701942E-04   8.11608705E-09   2.47354843E-04   3.63650238E-05  
  88               3.59233114E-01   5.56566959E+03   9.09336216E-01   2.33511216E-03   8.72898946E-02   2.88804809E-05   4.90125209E-04   6.13088909E-09   2.58772515E-04   3.63528646E-05  
  89               3.77207933E-01   5.66793205E+03   9.09625871E-01   2.04679334E-03   8.72632396E-02   2.05847840E-05   4.98085792E-04   4.68789953E-09   2.66696183E-04   3.63429953E-05  
  90               3.95064765E-01   5.76768206E+03   9.09859814E-01   1.80839980E-03   8.72409907E-02   1.47805171E-05   5.03560192E-04   3.62743551E-09   2.72107448E-04   3.63348479E-05  
  91               4.12801821E-01   5.86438775E+03   9.10046756E-01   1.61111399E-03   8.72223058E-02   1.07481902E-05   5.07264616E-04   2.84701921E-09   2.75727192E-04   3.63280702E-05  
  92               4.30448016E-01   5.95881310E+03   9.10196529E-01   1.44492000E-03   8.72062360E-02   7.90866901E-06   5.09773252E-04   2.26110960E-09   2.78130511E-04   3.63222949E-05  
  93               4.48050978E-01   6.05072810E+03   9.10314230E-01   1.30459133E-03   8.71922818E-02   5.89964148E-06   5.11448042E-04   1.81869476E-09   2.79680868E-04   3.63173138E-05  
  94               4.65668512E-01   6.14097447E+03   9.10405568E-01   1.18400889E-03   8.71798534E-02   4.45053465E-06   5.12556437E-04   1.47747676E-09   2.80644023E-04   3.63129038E-05  
  95               4.83363293E-01   6.22932688E+03   9.10473182E-01   1.08033678E-03   8.71686759E-02   3.39860175E-06   5.13262154E-04   1.21308507E-09   2.81184085E-04   3.63089479E-05  
  96               5.01198620E-01   6.31667799E+03   9.10520301E-01   9.89618107E-04   8.71583489E-02   2.61915872E-06   5.13686922E-04   1.00381456E-09   2.81419620E-04   3.63052989E-05  
  97               5.19236212E-01   6.40279011E+03   9.10548146E-01   9.10306351E-04   8.71487138E-02   2.03857195E-06   5.13905694E-04   8.37703540E-10   2.81425592E-04   3.63018872E-05  
  98               5.37535612E-01   6.48850265E+03   9.10558202E-01   8.39822856E-04   8.71394825E-02   1.59788629E-06   5.13974412E-04   7.03259727E-10   2.81253898E-04   3.62986090E-05  
  99               5.56154518E-01   6.57346440E+03   9.10550822E-01   7.77414571E-04   8.71305665E-02   1.26261960E-06   5.13929343E-04   5.94492198E-10   2.80941219E-04   3.62954218E-05  
  100              5.75149055E-01   6.65845835E+03   9.10526297E-01   7.21311499E-04   8.71217339E-02   1.00318821E-06   5.13796911E-04   5.04920992E-10   2.80509394E-04   3.62922424E-05  
  101              5.94574267E-01   6.74305348E+03   9.10484527E-01   6.71161290E-04   8.71129306E-02   8.02442172E-07   5.13596378E-04   4.31364793E-10   2.79978688E-04   3.62890418E-05  
