# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                CO               H2S             
  70               2.92992510E+01   1.11541323E+03   8.38121605E-01   1.60449884E-01   5.30923840E-04   7.79964028E-04   4.10435604E-05   6.09259932E-09   3.74397331E-07   2.42840373E-05  
  71               3.45500254E+01   1.16232716E+03   8.38123555E-01   1.60449364E-01   5.30573791E-04   7.79755243E-04   3.85752200E-05   1.48077665E-08   7.22044851E-07   2.42837966E-05  
  72               4.05499505E+01   1.20667353E+03   8.38125137E-01   1.60448928E-01   5.30051745E-04   7.79383378E-04   3.69788308E-05   3.19450815E-08   1.24158158E-06   2.42834770E-05  
  73               4.73885501E+01   1.25023003E+03   8.38126703E-01   1.60448486E-01   5.29292593E-04   7.78785578E-04   3.58385895E-05   6.42047884E-08   1.99759125E-06   2.42830213E-05  
  74               5.51355250E+01   1.29296777E+03   8.38128363E-01   1.60448010E-01   5.28253361E-04   7.77914346E-04   3.50636636E-05   1.21225815E-07   3.03267163E-06   2.42823795E-05  
  75               6.38479007E+01   1.33645842E+03   8.38130440E-01   1.60447415E-01   5.26795471E-04   7.76635624E-04   3.44065099E-05   2.21865672E-07   4.48451387E-06   2.42814421E-05  
  76               7.36573628E+01   1.38060389E+03   8.38133026E-01   1.60446669E-01   5.24822007E-04   7.74848848E-04   3.38852481E-05   3.93681445E-07   6.44917410E-06   2.42800927E-05  
  77               8.47252770E+01   1.42647490E+03   8.38136424E-01   1.60445682E-01   5.22109987E-04   7.72335274E-04   3.34057761E-05   6.88151815E-07   9.14789430E-06   2.42780879E-05  
  78               9.72023317E+01   1.47391628E+03   8.38140752E-01   1.60444395E-01   5.18489181E-04   7.68926953E-04   3.29948933E-05   1.18174746E-06   1.27487958E-05   2.42750479E-05  
  79               1.11177678E+02   1.52358472E+03   8.38146319E-01   1.60442673E-01   5.13622784E-04   7.64310720E-04   3.25877799E-05   2.00932959E-06   1.75849207E-05   2.42700308E-05  
  80               1.26671588E+02   1.57530505E+03   8.38153126E-01   1.60440385E-01   5.07221624E-04   7.58267619E-04   3.21857301E-05   3.37288328E-06   2.39404968E-05   2.42606865E-05  
  81               1.43738635E+02   1.62974452E+03   8.38161076E-01   1.60437253E-01   4.98772819E-04   7.50361353E-04   3.17436321E-05   5.62402664E-06   3.23199871E-05   2.42398178E-05  
  82               1.62412791E+02   1.68398749E+03   8.38153380E-01   1.60430587E-01   4.88884361E-04   7.41657945E-04   3.14551704E-05   9.04293086E-06   4.21027030E-05   2.41899030E-05  
  83               1.82678474E+02   1.73733037E+03   8.38144376E-01   1.60426211E-01   4.76817968E-04   7.50343090E-04   3.13253867E-05   1.39877276E-05   5.40416021E-05   2.33511846E-05  
  84               2.04600465E+02   1.79020106E+03   8.38152290E-01   1.60421703E-01   4.64904855E-04   7.39024682E-04   3.13093063E-05   2.09778408E-05   6.57905705E-05   2.33488228E-05  
