# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               OH              
  61               3.61617136E-02   2.91859060E+03   4.46495274E-01   4.26507620E-01   1.26056816E-01   4.17385032E-04   2.01387524E-04   5.23973604E-05   4.36907328E-05   6.21591468E-05  
  62               4.04353412E-02   2.94328486E+03   4.40058339E-01   4.33509966E-01   1.25495302E-01   4.15526115E-04   1.96463985E-04   5.21553170E-05   4.34950267E-05   6.38164524E-05  
  63               4.51549017E-02   2.96869311E+03   4.33139415E-01   4.41036623E-01   1.24891740E-01   4.13527963E-04   1.91199773E-04   5.18955944E-05   4.32847113E-05   6.55215922E-05  
  64               5.03591651E-02   2.99352126E+03   4.26862806E-01   4.47864512E-01   1.24344189E-01   4.11715226E-04   1.86319703E-04   5.16587904E-05   4.30937601E-05   6.70961408E-05  
  65               5.60898049E-02   3.01917800E+03   4.20016269E-01   4.55312363E-01   1.23746918E-01   4.09737850E-04   1.81050421E-04   5.14011492E-05   4.28855432E-05   6.87195827E-05  
  66               6.23899727E-02   3.04431145E+03   4.13750265E-01   4.62128645E-01   1.23200272E-01   4.07928047E-04   1.76143165E-04   5.11641818E-05   4.26948217E-05   7.02194209E-05  
  67               6.93060431E-02   3.07027030E+03   4.06929669E-01   4.69548193E-01   1.22605242E-01   4.05958020E-04   1.70865212E-04   5.09069584E-05   4.24872998E-05   7.17514670E-05  
  68               7.68885000E-02   3.09565291E+03   4.00724003E-01   4.76298739E-01   1.22063839E-01   4.04165493E-04   1.65987956E-04   5.06716320E-05   4.22983105E-05   7.31546897E-05  
  69               8.51929594E-02   3.12181601E+03   3.94022673E-01   4.83588428E-01   1.21479192E-01   4.02229740E-04   1.60788870E-04   5.04181936E-05   4.20943021E-05   7.45691247E-05  
  70               9.42804206E-02   3.14734081E+03   3.87983834E-01   4.90157364E-01   1.20952322E-01   4.00485213E-04   1.56035964E-04   5.01883328E-05   4.19102587E-05   7.58525865E-05  
  71               1.04218441E-01   3.17360773E+03   3.81508215E-01   4.97201362E-01   1.20387342E-01   3.98614442E-04   1.51010948E-04   4.99424866E-05   4.17129747E-05   7.71300090E-05  
  72               1.15081292E-01   3.19920663E+03   3.75718760E-01   5.03498842E-01   1.19882207E-01   3.96941722E-04   1.46458636E-04   4.97210199E-05   4.15363642E-05   7.82821267E-05  
  73               1.26951153E-01   3.22556200E+03   3.69512579E-01   5.10249542E-01   1.19340710E-01   3.95148517E-04   1.41657836E-04   4.94842849E-05   4.13471167E-05   7.94184582E-05  
  74               1.39917940E-01   3.25131114E+03   3.63947029E-01   5.16303243E-01   1.18855086E-01   3.93540190E-04   1.37306981E-04   4.92702336E-05   4.11771597E-05   8.04443078E-05  
  75               1.54080503E-01   3.27793279E+03   3.57911405E-01   5.22868166E-01   1.18328446E-01   3.91795928E-04   1.32682726E-04   4.90389948E-05   4.09929523E-05   8.14508520E-05  
  76               1.69546614E-01   3.30406014E+03   3.52438417E-01   5.28820915E-01   1.17850875E-01   3.90213985E-04   1.28462231E-04   4.88275838E-05   4.08256721E-05   8.23621861E-05  
  77               1.86434741E-01   3.33117899E+03   3.46447759E-01   5.35336628E-01   1.17328133E-01   3.88482295E-04   1.23948461E-04   4.85972843E-05   4.06427030E-05   8.32465771E-05  
  78               2.04874227E-01   3.35789963E+03   3.40960277E-01   5.41304829E-01   1.16849274E-01   3.86895699E-04   1.19803711E-04   4.83846299E-05   4.04748581E-05   8.40464394E-05  
  79               2.25007961E-01   3.38566934E+03   3.34958925E-01   5.47831823E-01   1.16325573E-01   3.85160364E-04   1.15380616E-04   4.81532350E-05   4.02914381E-05   8.48061952E-05  
  80               2.46992947E-01   3.41305283E+03   3.29465192E-01   5.53806461E-01   1.15846141E-01   3.83571336E-04   1.11331622E-04   4.79395880E-05   4.01232677E-05   8.54884015E-05  
  81               2.71003597E-01   3.44146700E+03   3.23516511E-01   5.60275771E-01   1.15327007E-01   3.81850472E-04   1.07053772E-04   4.77093121E-05   3.99412990E-05   8.61168433E-05  
  82               2.97232106E-01   3.46947287E+03   3.18101935E-01   5.66163923E-01   1.14854454E-01   3.80283472E-04   1.03165643E-04   4.74976588E-05   3.97753687E-05   8.66770270E-05  
  83               3.25891810E-01   3.49851392E+03   3.12273835E-01   5.72501685E-01   1.14345814E-01   3.78596449E-04   9.90847400E-05   4.72708497E-05   3.95968877E-05   8.71737243E-05  
  84               3.57217352E-01   3.52716658E+03   3.06975824E-01   5.78262698E-01   1.13883409E-01   3.77062006E-04   9.53868436E-05   4.70624369E-05   3.94343124E-05   8.76138651E-05  
  85               3.91468544E-01   3.55691032E+03   3.01271703E-01   5.84465293E-01   1.13385566E-01   3.75409470E-04   9.15097505E-05   4.68391254E-05   3.92594080E-05   8.79820923E-05  
  86               4.28930347E-01   3.58635629E+03   2.96049339E-01   5.90143785E-01   1.12929750E-01   3.73895368E-04   8.79809925E-05   4.66324075E-05   3.90989407E-05   8.83035513E-05  
  87               4.69917959E-01   3.61697994E+03   2.90412219E-01   5.96273348E-01   1.12437751E-01   3.72260367E-04   8.42771940E-05   4.64104853E-05   3.89258838E-05   8.85427629E-05  
  88               5.14776907E-01   3.64742867E+03   2.85194003E-01   6.01947284E-01   1.11982306E-01   3.70745349E-04   8.08796538E-05   4.62028510E-05   3.87653596E-05   8.87404885E-05  
  89               5.63888851E-01   3.67918773E+03   2.79531318E-01   6.08104732E-01   1.11488098E-01   3.69100360E-04   7.73008165E-05   4.59789787E-05   3.85913535E-05   8.88411498E-05  
  90               6.17672559E-01   3.71089903E+03   2.74230266E-01   6.13868966E-01   1.11025457E-01   3.67558322E-04   7.39918816E-05   4.57673056E-05   3.84281464E-05   8.89008030E-05  
  91               6.76591382E-01   3.74400931E+03   2.68488876E-01   6.20112337E-01   1.10524427E-01   3.65886732E-04   7.05163464E-05   4.55395746E-05   3.82515866E-05   8.88474624E-05  
  92               7.41154829E-01   3.77713410E+03   2.63094800E-01   6.25978145E-01   1.10053723E-01   3.64313170E-04   6.72992099E-05   4.53234771E-05   3.80853852E-05   8.87542035E-05  
  93               8.11927225E-01   3.81165091E+03   2.57320049E-01   6.32258254E-01   1.09549839E-01   3.62626104E-04   6.39589574E-05   4.50934530E-05   3.79076303E-05   8.85379601E-05  
  94               8.89529886E-01   3.84611296E+03   2.51946451E-01   6.38102231E-01   1.09080977E-01   3.61051471E-04   6.08986278E-05   4.48768701E-05   3.77418389E-05   8.82928709E-05  
  95               9.74649039E-01   3.88191322E+03   2.46269280E-01   6.44276624E-01   1.08585660E-01   3.59383867E-04   5.77623615E-05   4.46490723E-05   3.75668110E-05   8.79229456E-05  
  96               1.06803640E+00   3.91766719E+03   2.40997956E-01   6.50009720E-01   1.08125766E-01   3.57828306E-04   5.48984253E-05   4.44347743E-05   3.74038676E-05   8.75334937E-05  
  97               1.17051648E+00   3.95484277E+03   2.35425893E-01   6.56070099E-01   1.07639661E-01   3.56177882E-04   5.19661614E-05   4.42093707E-05   3.72317687E-05   8.70103646E-05  
  98               1.28298773E+00   3.99213676E+03   2.30189261E-01   6.61765714E-01   1.07182831E-01   3.54616301E-04   4.92642334E-05   4.39949266E-05   3.70696195E-05   8.64637023E-05  
  99               1.40642963E+00   4.03105991E+03   2.24603455E-01   6.67841254E-01   1.06695560E-01   3.52941437E-04   4.64810110E-05   4.37677484E-05   3.68968617E-05   8.57632230E-05  
  100              1.54190501E+00   4.07029277E+03   2.19282464E-01   6.73628801E-01   1.06231401E-01   3.51330308E-04   4.38923862E-05   4.35490419E-05   3.67319211E-05   8.50297898E-05  
  101              1.69056541E+00   4.11129191E+03   2.13607870E-01   6.79801061E-01   1.05736414E-01   3.49597622E-04   4.12338656E-05   4.33175546E-05   3.65562487E-05   8.41286093E-05  
