# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               O-3P             Fe              
  49               8.20690325E-03   2.63584855E+03   5.17075434E-01   3.49727265E-01   1.32213097E-01   4.37764551E-04   2.53037030E-04   5.50409346E-05   1.84505499E-05   4.58347129E-05  
  50               9.47214598E-03   2.66244388E+03   5.09006161E-01   3.58505386E-01   1.31509363E-01   4.35434918E-04   2.47771766E-04   5.47423362E-05   2.00530384E-05   4.55900866E-05  
  51               1.09214431E-02   2.69078962E+03   4.99518595E-01   3.68826397E-01   1.30681930E-01   4.32695739E-04   2.41593015E-04   5.43920272E-05   2.20163797E-05   4.53025427E-05  
  52               1.25787277E-02   2.71707890E+03   4.92278520E-01   3.76702499E-01   1.30050466E-01   4.30605372E-04   2.36558852E-04   5.41228547E-05   2.36699464E-05   4.50828844E-05  
  53               1.44699853E-02   2.74635114E+03   4.82448194E-01   3.87396400E-01   1.29193097E-01   4.27767079E-04   2.29922107E-04   5.37595198E-05   2.59470978E-05   4.47848829E-05  
  54               1.66232421E-02   2.77345070E+03   4.74935929E-01   3.95568612E-01   1.28537859E-01   4.25597992E-04   2.24526227E-04   5.34798353E-05   2.78593324E-05   4.45568967E-05  
  55               1.90692527E-02   2.80344373E+03   4.64942975E-01   4.06439438E-01   1.27666261E-01   4.22712580E-04   2.17545873E-04   5.31100120E-05   3.04427342E-05   4.42538802E-05  
  56               2.18409615E-02   2.83103771E+03   4.57429561E-01   4.14612898E-01   1.27010886E-01   4.20543024E-04   2.11967260E-04   5.28296377E-05   3.25712984E-05   4.40257565E-05  
  57               2.49745143E-02   2.86129615E+03   4.47676549E-01   4.25222698E-01   1.26160170E-01   4.17726728E-04   2.04923503E-04   5.24679105E-05   3.53738503E-05   4.37298919E-05  
  58               2.85088393E-02   2.88869255E+03   4.40762945E-01   4.32743634E-01   1.25557074E-01   4.15730228E-04   1.99578179E-04   5.22085825E-05   3.75564469E-05   4.35197918E-05  
  59               3.24866291E-02   2.91882172E+03   4.31577178E-01   4.42736327E-01   1.24755791E-01   4.13077563E-04   1.92739143E-04   5.18667761E-05   4.04637064E-05   4.32409695E-05  
  60               3.69536979E-02   2.94598785E+03   4.25241977E-01   4.49628004E-01   1.24203116E-01   4.11247948E-04   1.87674924E-04   5.16276789E-05   4.26642339E-05   4.30482414E-05  
  61               4.19601553E-02   2.97620382E+03   4.16396870E-01   4.59250054E-01   1.23431513E-01   4.08693494E-04   1.80959891E-04   5.12975772E-05   4.57015968E-05   4.27796108E-05  
  62               4.75595506E-02   3.00355505E+03   4.10240224E-01   4.65947423E-01   1.22894388E-01   4.06915302E-04   1.75967154E-04   5.10642342E-05   4.80077879E-05   4.25921672E-05  
  63               5.38101477E-02   3.03414708E+03   4.01474856E-01   4.75482637E-01   1.22129710E-01   4.04383702E-04   1.69256605E-04   5.07364126E-05   5.12348131E-05   4.23258424E-05  
  64               6.07720536E-02   3.06200814E+03   3.95211813E-01   4.82295647E-01   1.21583284E-01   4.02574628E-04   1.64185175E-04   5.04985475E-05   5.37284929E-05   4.21350720E-05  
  65               6.85126612E-02   3.09298207E+03   3.86525424E-01   4.91744808E-01   1.20825466E-01   4.00065635E-04   1.57523844E-04   5.01730060E-05   5.71359462E-05   4.18710314E-05  
  66               7.71053666E-02   3.12121237E+03   3.80290926E-01   4.98526619E-01   1.20281509E-01   3.98264612E-04   1.52496720E-04   4.99355048E-05   5.97678292E-05   4.16810112E-05  
  67               8.66337274E-02   3.15238157E+03   3.71868240E-01   5.07688722E-01   1.19546666E-01   3.95831530E-04   1.46050597E-04   4.96189001E-05   6.32746406E-05   4.14248338E-05  
  68               9.71895892E-02   3.18078965E+03   3.65858800E-01   5.14225505E-01   1.19022319E-01   3.94095260E-04   1.41229638E-04   4.93888140E-05   6.59602985E-05   4.12414946E-05  
  69               1.08877737E-01   3.21203798E+03   3.57838216E-01   5.22949931E-01   1.18322526E-01   3.91777999E-04   1.35127805E-04   4.90860749E-05   6.94883344E-05   4.09973524E-05  
  70               1.21813770E-01   3.24053111E+03   3.52175958E-01   5.29108780E-01   1.17828442E-01   3.90141683E-04   1.30618159E-04   4.88677172E-05   7.21599706E-05   4.08243704E-05  
  71               1.36128333E-01   3.27199407E+03   3.44505898E-01   5.37451570E-01   1.17159198E-01   3.87925254E-04   1.24854604E-04   4.85768982E-05   7.57010897E-05   4.05906915E-05  
  72               1.51964119E-01   3.30092420E+03   3.38981124E-01   5.43460533E-01   1.16677083E-01   3.86328222E-04   1.20537750E-04   4.83626412E-05   7.84249827E-05   4.04217181E-05  
  73               1.69482317E-01   3.33295220E+03   3.31465830E-01   5.51634558E-01   1.16021309E-01   3.84155944E-04   1.15008521E-04   4.80766323E-05   8.20408681E-05   4.01925767E-05  
  74               1.88858729E-01   3.36271446E+03   3.25866337E-01   5.57724391E-01   1.15532648E-01   3.82536736E-04   1.10767073E-04   4.78587973E-05   8.48997099E-05   4.00211913E-05  
  75               2.10293278E-01   3.39556142E+03   3.18405839E-01   5.65838316E-01   1.14881619E-01   3.80379514E-04   1.05431697E-04   4.75739538E-05   8.86244825E-05   3.97935566E-05  
