# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                NH3              CO               H2S             
  62               2.10272819E+01   9.48112495E+02   8.38106590E-01   1.60454803E-01   7.80151935E-04   5.31305443E-04   1.04536068E-10   6.83862080E-05   9.87877354E-09   2.30003899E-05  
  63               2.50542428E+01   9.96250181E+02   8.38110643E-01   1.60453675E-01   7.80164219E-04   5.31283807E-04   3.73553454E-10   6.17319703E-05   2.77051014E-08   2.30719780E-05  
  64               2.97023143E+01   1.04558039E+03   8.38113204E-01   1.60452539E-01   7.80160014E-04   5.31236234E-04   1.21728939E-09   5.59710752E-05   7.13807261E-08   2.33251605E-05  
  65               3.50182844E+01   1.09373333E+03   8.38114477E-01   1.60451642E-01   7.80096607E-04   5.31142844E-04   3.46147738E-09   5.15195960E-05   1.61561724E-07   2.42843677E-05  
  66               4.10835667E+01   1.14112398E+03   8.38116870E-01   1.60451021E-01   7.80049141E-04   5.30971477E-04   8.84337956E-09   4.80510167E-05   3.30454665E-07   2.42841616E-05  
  67               4.79823005E+01   1.18609574E+03   8.38118673E-01   1.60450538E-01   7.79912599E-04   5.30699867E-04   1.99599090E-08   4.56524193E-05   5.99791064E-07   2.42839060E-05  
  68               5.57819270E+01   1.23017112E+03   8.38120247E-01   1.60450102E-01   7.79645951E-04   5.30284939E-04   4.16752841E-08   4.38485010E-05   1.01217975E-06   2.42835523E-05  
  69               6.45422378E+01   1.27217303E+03   8.38121575E-01   1.60449719E-01   7.79234477E-04   5.29721304E-04   7.97331181E-08   4.26795307E-05   1.57288794E-06   2.42830789E-05  
  70               7.44050512E+01   1.31416252E+03   8.38122966E-01   1.60449307E-01   7.78616399E-04   5.28942029E-04   1.46001055E-07   4.17864482E-05   2.34821796E-06   2.42824096E-05  
  71               8.55079452E+01   1.35525308E+03   8.38124355E-01   1.60448881E-01   7.77787372E-04   5.27950706E-04   2.53572497E-07   4.12499877E-05   3.33432109E-06   2.42815057E-05  
  72               9.79560363E+01   1.39761721E+03   8.38126089E-01   1.60448345E-01   7.76617333E-04   5.26608218E-04   4.33037181E-07   4.07666976E-05   4.66912277E-06   2.42802088E-05  
  73               1.11874569E+02   1.44032133E+03   8.38128089E-01   1.60447706E-01   7.75085554E-04   5.24899535E-04   7.18364967E-07   4.04384083E-05   6.36689757E-06   2.42783943E-05  
  74               1.27362143E+02   1.48542777E+03   8.38130760E-01   1.60446836E-01   7.72943562E-04   5.22560954E-04   1.19001176E-06   4.00372913E-05   8.68881374E-06   2.42756224E-05  
  75               1.44588681E+02   1.53192043E+03   8.38133948E-01   1.60445724E-01   7.70148900E-04   5.19538974E-04   1.94065528E-06   3.96910487E-05   1.16862883E-05   2.42712387E-05  
  76               1.63696451E+02   1.58169125E+03   8.38138020E-01   1.60444174E-01   7.66328652E-04   5.15395260E-04   3.18024037E-06   3.92391459E-05   1.57920439E-05   2.42630838E-05  
  77               1.84720559E+02   1.63346884E+03   8.38142400E-01   1.60442086E-01   7.61429982E-04   5.10030325E-04   5.15277969E-06   3.87970690E-05   2.11002999E-05   2.42460041E-05  
  78               2.07644338E+02   1.68517072E+03   8.38130720E-01   1.60436588E-01   7.55990825E-04   5.03679546E-04   8.08848137E-06   3.85065073E-05   2.73624851E-05   2.42075468E-05  
  79               2.32430340E+02   1.73594464E+03   8.38116578E-01   1.60433583E-01   7.68986393E-04   4.95803299E-04   1.22466481E-05   3.83886474E-05   3.51339711E-05   2.33808772E-05  
  80               2.59177081E+02   1.78642030E+03   8.38120799E-01   1.60430526E-01   7.61610675E-04   4.87863970E-04   1.80488435E-05   3.83839199E-05   4.29375841E-05   2.33817814E-05  
  81               2.88186281E+02   1.83639905E+03   8.38122288E-01   1.60426994E-01   7.54153690E-04   4.79434823E-04   2.59036867E-05   3.85141285E-05   5.11933035E-05   2.33756838E-05  
  82               3.19718828E+02   1.88666755E+03   8.38118606E-01   1.60422731E-01   7.47698267E-04   4.70349843E-04   3.65039955E-05   3.87310763E-05   6.00564784E-05   2.33465781E-05  
  83               3.53887914E+02   1.93656506E+03   8.38102056E-01   1.60416947E-01   7.45050447E-04   4.60757571E-04   5.03361734E-05   3.90605214E-05   6.93721989E-05   2.32669039E-05  
  84               3.90344363E+02   1.98601847E+03   8.38065923E-01   1.60409166E-01   7.50721611E-04   4.50188242E-04   6.80533474E-05   3.94541218E-05   7.96039612E-05   2.30907531E-05  
  85               4.28336265E+02   2.03345594E+03   8.38000926E-01   1.60398656E-01   7.69931130E-04   4.38558940E-04   8.95111554E-05   3.99249860E-05   9.08444774E-05   2.27876664E-05  
  86               4.70614949E+02   2.08274293E+03   8.37919295E-01   1.60387472E-01   8.01579178E-04   4.24885293E-04   1.17340843E-04   4.04674293E-05   1.04053862E-04   2.23978079E-05  
  87               5.14385456E+02   2.12980831E+03   8.37899922E-01   1.60382293E-01   7.93218344E-04   4.15997450E-04   1.49994341E-04   4.10759966E-05   1.12430038E-04   2.23872179E-05  
  88               5.58030216E+02   2.17392762E+03   8.37875604E-01   1.60377015E-01   7.85666061E-04   4.07876786E-04   1.86882706E-04   4.16829870E-05   1.19996800E-04   2.23730285E-05  
  89               6.07559511E+02   2.22037758E+03   8.37832885E-01   1.60369219E-01   7.78264717E-04   3.99794660E-04   2.33061721E-04   4.23978878E-05   1.27406563E-04   2.23540250E-05  
  90               6.55479342E+02   2.26275513E+03   8.37795240E-01   1.60363329E-01   7.71876682E-04   3.92691779E-04   2.82683316E-04   4.30801538E-05   1.33819971E-04   2.23331282E-05  
  91               6.99481813E+02   2.29917667E+03   8.37754601E-01   1.60357505E-01   7.66849365E-04   3.86974869E-04   3.31508204E-04   4.37205820E-05   1.38877543E-04   2.23127584E-05  
  92               7.50856701E+02   2.33974396E+03   8.37697885E-01   1.60350686E-01   7.65986880E-04   3.80211553E-04   3.93443321E-04   4.44492082E-05   1.44839025E-04   2.22950709E-05  
  93               8.10747286E+02   2.38389814E+03   8.37601145E-01   1.60336789E-01   7.60924513E-04   3.73961348E-04   4.70433315E-04   4.53038069E-05   1.50093298E-04   2.22634038E-05  
  94               8.60919677E+02   2.41920346E+03   8.37541593E-01   1.60330203E-01   7.57149213E-04   3.69148867E-04   5.40041411E-04   4.59968942E-05   1.54048698E-04   2.22360228E-05  
  95               9.00092838E+02   2.44530015E+03   8.37492982E-01   1.60324940E-01   7.54669553E-04   3.65859907E-04   5.96156084E-04   4.65451624E-05   1.56658805E-04   2.22147424E-05  
  96               9.46538677E+02   2.47541257E+03   8.37431672E-01   1.60318450E-01   7.51909716E-04   3.62116967E-04   6.66446247E-04   4.71730202E-05   1.59567463E-04   2.21884327E-05  
  97               1.00125408E+03   2.50891454E+03   8.37356601E-01   1.60310820E-01   7.49252969E-04   3.58304265E-04   7.51487553E-04   4.79186419E-05   1.62387853E-04   2.21579257E-05  
  98               1.06530451E+03   2.54659880E+03   8.37263029E-01   1.60301533E-01   7.46492412E-04   3.54158312E-04   8.56754410E-04   4.87617087E-05   1.65331683E-04   2.21211845E-05  
  99               1.13995082E+03   2.58772323E+03   8.37149451E-01   1.60290648E-01   7.44039260E-04   3.50086294E-04   9.83261960E-04   4.97400691E-05   1.67986376E-04   2.20792534E-05  
  100              1.22662839E+03   2.63306775E+03   8.37009419E-01   1.60277510E-01   7.41711011E-04   3.45832028E-04   1.13831009E-03   5.08330574E-05   1.70543122E-04   2.20299471E-05  
  101              1.32697094E+03   2.68179096E+03   8.36841058E-01   1.60262146E-01   7.39927820E-04   3.41804119E-04   1.32330189E-03   5.20769533E-05   1.72585844E-04   2.19746530E-05  
