# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               NH3              N2              
  47               4.10625087E-01   6.37182829E+02   8.38123710E-01   1.60450955E-01   7.79894096E-04   8.62205963E-16   5.31302647E-04   2.78131989E-11   4.37148559E-05   3.89996872E-05  
  48               5.15204101E-01   6.69519046E+02   8.38128939E-01   1.60449686E-01   7.79888738E-04   5.72864774E-15   5.31298341E-04   1.30551264E-10   3.58097201E-05   4.29517738E-05  
  49               6.45112138E-01   6.96592663E+02   8.38131570E-01   1.60449042E-01   7.79886730E-04   2.38436983E-14   5.31295947E-04   3.87303273E-10   3.18118978E-05   4.49504406E-05  
  50               8.04868259E-01   7.33163998E+02   8.38135375E-01   1.60448100E-01   7.79884482E-04   1.42642379E-13   5.31291537E-04   1.66825891E-09   2.59953104E-05   4.78583769E-05  
  51               9.99258171E-01   7.64415370E+02   8.38137188E-01   1.60447573E-01   7.79884136E-04   5.62665354E-13   5.31286655E-04   4.78784058E-09   2.29551493E-05   4.93782575E-05  
  52               1.23372477E+00   8.04862343E+02   8.38139662E-01   1.60446887E-01   7.79879663E-04   2.90576543E-12   5.31270884E-04   1.82375871E-08   1.89420427E-05   5.13845508E-05  
  53               1.51457670E+00   8.39981942E+02   8.38141093E-01   1.60446527E-01   7.79864906E-04   1.04449654E-11   5.31239042E-04   4.87976402E-08   1.67870337E-05   5.24619183E-05  
  54               1.84810738E+00   8.84102040E+02   8.38142919E-01   1.60446043E-01   7.79784996E-04   4.60078699E-11   5.31123749E-04   1.62234244E-07   1.40898581E-05   5.38103210E-05  
  55               2.24121706E+00   9.22651059E+02   8.38143837E-01   1.60445679E-01   7.79595739E-04   1.47276561E-10   5.30889399E-04   3.94967000E-07   1.26240538E-05   5.45430807E-05  
  56               2.70148923E+00   9.70102734E+02   8.38144654E-01   1.60444948E-01   7.78927392E-04   5.52198374E-10   5.30141413E-04   1.13945331E-06   1.08224101E-05   5.54436089E-05  
  57               3.23829688E+00   1.01218779E+03   8.38145304E-01   1.60444179E-01   7.77616407E-04   1.58533974E-09   5.28750106E-04   2.52656964E-06   9.81544961E-06   5.59467606E-05  
  58               3.86278459E+00   1.06315904E+03   8.38151005E-01   1.60442735E-01   7.73966144E-04   5.15418648E-09   5.24907177E-04   6.36085142E-06   8.59539273E-06   5.65561227E-05  
  59               4.58980817E+00   1.10838773E+03   8.38159464E-01   1.60440618E-01   7.67949932E-04   1.32189291E-08   5.18688436E-04   1.25672609E-05   7.93147163E-06   5.68870407E-05  
  60               5.43976625E+00   1.16205798E+03   8.38178328E-01   1.60435945E-01   7.54137666E-04   3.71206198E-08   5.04589513E-04   2.66401608E-05   7.13973642E-06   5.72804967E-05  
  61               6.43992363E+00   1.20912604E+03   8.38202161E-01   1.60430064E-01   7.36330892E-04   8.38668049E-08   4.86516615E-04   4.46816920E-05   6.76388257E-06   5.74651226E-05  
  62               7.62888374E+00   1.26365816E+03   8.38243176E-01   1.60419971E-01   7.05519799E-04   2.01131574E-07   4.55375915E-04   7.57702654E-05   6.31726970E-06   5.76823167E-05  
  63               9.05343336E+00   1.31024164E+03   8.38280772E-01   1.60410703E-01   6.77046737E-04   3.93696143E-07   4.26639517E-04   1.04459077E-04   6.20731134E-06   5.77307440E-05  
  64               1.07693085E+01   1.36383187E+03   8.38331995E-01   1.60398045E-01   6.38132638E-04   8.09844670E-07   3.87426848E-04   1.43605768E-04   6.03808556E-06   5.78052131E-05  
  65               1.28259651E+01   1.40887968E+03   8.38367473E-01   1.60389165E-01   6.10831172E-04   1.39663198E-06   3.59903014E-04   1.71078417E-04   6.13772603E-06   5.77460262E-05  
  66               1.52764634E+01   1.46138482E+03   8.38412480E-01   1.60377743E-01   5.75913371E-04   2.54773892E-06   3.24685160E-04   2.06225179E-04   6.15543330E-06   5.77232810E-05  
  67               1.81748025E+01   1.50568910E+03   8.38438430E-01   1.60370706E-01   5.54870378E-04   4.02509548E-06   3.03278795E-04   2.27574582E-04   6.38744444E-06   5.75946369E-05  
  68               2.15706025E+01   1.55861681E+03   8.38472563E-01   1.60360902E-01   5.26434517E-04   6.80106513E-06   2.73999548E-04   2.56768363E-04   6.50866368E-06   5.75149908E-05  
  69               2.54852131E+01   1.60433011E+03   8.38487325E-01   1.60354119E-01   5.09933179E-04   1.02653992E-05   2.56066255E-04   2.74622022E-04   6.79069579E-06   5.73555785E-05  
  70               2.98995863E+01   1.66017927E+03   8.38499787E-01   1.60342291E-01   4.87454418E-04   1.67318782E-05   2.28530233E-04   3.02031020E-04   6.91474776E-06   5.72654464E-05  
  71               3.47542050E+01   1.71046100E+03   8.38503928E-01   1.60334293E-01   4.81921152E-04   2.50926700E-05   2.06471886E-04   3.23968923E-04   7.12892536E-06   5.71317513E-05  
  72               3.99762118E+01   1.77227924E+03   8.38513019E-01   1.60322465E-01   4.58870714E-04   4.07117210E-05   1.78515919E-04   3.51744998E-04   7.15075561E-06   5.70808852E-05  
