# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                N2              
  25               1.70314784E-02   1.95724344E+02   8.38584114E-01   1.60561524E-01   4.93148906E-05   5.31668805E-04   4.44746322E-48   1.21798105E-04   1.92432615E-55   1.11983736E-18  
  26               1.98611041E-02   2.02090751E+02   8.38584114E-01   1.60561524E-01   1.73612744E-04   5.31668805E-04   5.67431300E-46   1.21798105E-04   1.19671103E-53   4.45137410E-18  
  27               2.31150798E-02   2.05988678E+02   8.38073948E-01   1.60463844E-01   1.73507650E-04   5.31345355E-04   4.05343164E-45   1.21724007E-04   1.28191245E-52   8.78927122E-18  
  28               2.67584914E-02   2.14185303E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   1.24222507E-42   1.21724007E-04   1.53405798E-50   4.66013467E-17  
  29               3.06495759E-02   2.22421519E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   6.35619920E-41   1.21724007E-04   1.31850021E-48   2.21847409E-16  
  30               3.51833623E-02   2.33621242E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   9.25612156E-39   1.21724007E-04   3.45944955E-46   1.67231665E-15  
  31               4.04634938E-02   2.42538424E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   3.28169142E-37   1.21724007E-04   1.98277622E-44   6.82127916E-15  
  32               4.66184784E-02   2.51918378E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   1.06390336E-35   1.21724007E-04   1.02758273E-42   2.68172464E-14  
  33               5.37945518E-02   2.60272272E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   1.82546241E-34   1.21724007E-04   2.68895962E-41   7.98614147E-14  
  34               6.21612023E-02   2.69410266E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   3.37732185E-33   1.21724007E-04   7.59508682E-40   2.46316997E-13  
  35               7.19145531E-02   2.77837875E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   4.05280325E-32   1.21724006E-04   1.34862463E-38   6.28603232E-13  
  36               8.32817430E-02   2.87355025E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   5.74901187E-31   1.21724004E-04   2.84881969E-37   1.73096586E-12  
  37               9.65266207E-02   2.96541411E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   6.17816197E-30   1.21723999E-04   4.46532291E-36   4.22277814E-12  
  38               1.11954052E-01   3.07179931E+02   8.38073948E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   8.33677361E-29   1.21723985E-04   8.86234815E-35   1.14283209E-11  
  39               1.29914040E-01   3.17897549E+02   8.38073947E-01   1.60463844E-01   7.81873842E-04   5.31345355E-04   9.49942943E-28   1.21723950E-04   1.46353436E-33   2.87623117E-11  
  40               1.50811560E-01   3.30476011E+02   8.38073948E-01   1.60463844E-01   7.81873414E-04   5.31345355E-04   1.39704574E-26   1.21723845E-04   3.14242533E-32   8.14136740E-11  
  41               1.75109325E-01   3.43769797E+02   8.38073947E-01   1.60463844E-01   7.81873413E-04   5.31345354E-04   1.93513948E-25   1.21723557E-04   6.28990720E-31   2.25214417E-10  
  42               2.03324441E-01   3.60800290E+02   8.38073770E-01   1.60463809E-01   7.81872280E-04   5.31345240E-04   4.50292667E-24   1.21722399E-04   2.14782595E-29   7.91021636E-10  
  43               2.36075309E-01   3.76471770E+02   8.38073968E-01   1.60463826E-01   7.81658654E-04   5.31345295E-04   6.10209430E-23   1.21719618E-04   4.12922564E-28   2.18783462E-09  
  44               2.74077197E-01   3.94993466E+02   8.38073974E-01   1.60463825E-01   7.81658647E-04   5.31345291E-04   1.05393575E-21   1.21710414E-04   1.01197569E-26   6.78938712E-09  
  45               3.18144005E-01   4.12041472E+02   8.38073988E-01   1.60463821E-01   7.81658640E-04   5.31345280E-04   1.11429505E-20   1.21690126E-04   1.47578303E-25   1.69322062E-08  
  46               3.69209949E-01   4.32187619E+02   8.38074025E-01   1.60463811E-01   7.81659014E-04   5.31345246E-04   1.47300292E-19   1.21630036E-04   2.68740697E-24   4.69735469E-08  
  47               4.28382013E-01   4.50718885E+02   8.38074023E-01   1.60463779E-01   7.81669260E-04   5.31345139E-04   1.24303668E-18   1.21511033E-04   3.05233302E-23   1.06462654E-07  
  48               4.96957129E-01   4.72629187E+02   8.38070665E-01   1.60463108E-01   7.82000940E-04   5.31342919E-04   1.29104706E-17   1.21191861E-04   4.25510024E-22   2.65794389E-07  
  49               5.76481038E-01   4.92808082E+02   8.38072629E-01   1.60463295E-01   7.80133544E-04   5.31343537E-04   8.89634717E-17   1.20624228E-04   3.87500048E-21   5.49681728E-07  
  50               6.68866738E-01   5.16744008E+02   8.38073535E-01   1.60463075E-01   7.80132479E-04   5.31342809E-04   7.48980698E-16   1.19255089E-04   4.29000741E-20   1.23416770E-06  
  51               7.76513841E-01   5.38907613E+02   8.38074963E-01   1.60462729E-01   7.80130804E-04   5.31341663E-04   4.37499823E-15   1.17097579E-04   3.25188502E-19   2.31279143E-06  
  52               9.02875411E-01   5.65411087E+02   8.38077946E-01   1.60462006E-01   7.80127311E-04   5.31339268E-04   3.11218348E-14   1.12589970E-04   2.99828516E-18   4.56632145E-06  
  53               1.05249839E+00   5.90358485E+02   8.38081892E-01   1.60461049E-01   7.80122711E-04   5.31336101E-04   1.61352375E-13   1.06628521E-04   2.00115364E-17   7.54668309E-06  
  54               1.23196350E+00   6.20603198E+02   8.38088524E-01   1.60459441E-01   7.80115036E-04   5.31330775E-04   1.02600148E-12   9.66069792E-05   1.64125961E-16   1.25568443E-05  
  55               1.44927047E+00   6.49736682E+02   8.38095427E-01   1.60457767E-01   7.80107196E-04   5.31325227E-04   4.96704554E-12   8.61749010E-05   1.02419619E-15   1.77722485E-05  
  56               1.71477332E+00   6.85204360E+02   8.38104384E-01   1.60455595E-01   7.80097426E-04   5.31318008E-04   2.91370866E-11   7.26370037E-05   7.76965955E-15   2.45403731E-05  
  57               2.03881205E+00   7.19622198E+02   8.38111739E-01   1.60453804E-01   7.80090265E-04   5.31311971E-04   1.31384238E-10   6.14946803E-05   4.53566007E-14   3.01108553E-05  
  58               2.43133750E+00   7.60636987E+02   8.38119346E-01   1.60451878E-01   7.80084432E-04   5.31305039E-04   6.80140077E-10   4.97160131E-05   3.03530965E-13   3.59994584E-05  
  59               2.89999133E+00   7.99550556E+02   8.38124550E-01   1.60450511E-01   7.80083166E-04   5.31298536E-04   2.64667454E-09   4.14899757E-05   1.52177906E-12   4.01119590E-05  
  60               3.45157180E+00   8.44559347E+02   8.38129748E-01   1.60449242E-01   7.80084265E-04   5.31285766E-04   1.11807564E-08   3.36154884E-05   8.21544034E-12   4.40487210E-05  
  61               4.09117263E+00   8.86028875E+02   8.38133055E-01   1.60448412E-01   7.80080289E-04   5.31258732E-04   3.54001227E-08   2.85560724E-05   3.30169182E-11   4.65781136E-05  
  62               4.82329272E+00   9.33130264E+02   8.38136097E-01   1.60447584E-01   7.80036731E-04   5.31172559E-04   1.18658778E-07   2.37650762E-05   1.38906752E-10   4.89732942E-05  
  63               5.65207436E+00   9.75466412E+02   8.38137515E-01   1.60446931E-01   7.79902472E-04   5.30984339E-04   3.04421559E-07   2.08060104E-05   4.44158181E-10   5.04525717E-05  
  64               6.58347356E+00   1.02344875E+03   8.38138574E-01   1.60446112E-01   7.79458176E-04   5.30459380E-04   8.25974375E-07   1.78853065E-05   1.48692585E-09   5.19125868E-05  
  65               7.62409268E+00   1.06592396E+03   8.38139884E-01   1.60445430E-01   7.78618876E-04   5.29511109E-04   1.77091181E-06   1.61263939E-05   3.91633979E-09   5.27917285E-05  
  66               8.78507904E+00   1.11449281E+03   8.38143922E-01   1.60444389E-01   7.76538850E-04   5.27241530E-04   4.03475728E-06   1.42730739E-05   1.09079862E-08   5.37178415E-05  
  67               1.00798289E+01   1.15710681E+03   8.38148989E-01   1.60443097E-01   7.73286411E-04   5.23799324E-04   7.46950631E-06   1.31963837E-05   2.47035944E-08   5.42554206E-05  
  68               1.15291941E+01   1.19774500E+03   8.38155954E-01   1.60441336E-01   7.68427043E-04   5.18742397E-04   1.25161626E-05   1.24447152E-05   5.07507519E-08   5.46301093E-05  
  69               1.31546318E+01   1.23569530E+03   8.38164590E-01   1.60439166E-01   7.62142215E-04   5.12265526E-04   1.89802352E-05   1.19798957E-05   9.46281744E-08   5.48609637E-05  
  70               1.49784407E+01   1.27373440E+03   8.38175936E-01   1.60436325E-01   7.53732136E-04   5.03657605E-04   2.75712061E-05   1.16151833E-05   1.69863606E-07   5.50410981E-05  
  71               1.70296818E+01   1.31072694E+03   8.38189328E-01   1.60432975E-01   7.43668210E-04   4.93402187E-04   3.78061196E-05   1.13887097E-05   2.89231436E-07   5.51514278E-05  
  72               1.93408674E+01   1.34889186E+03   8.38206091E-01   1.60428780E-01   7.30978891E-04   4.80516022E-04   5.06657815E-05   1.11945361E-05   4.85465354E-07   5.52444972E-05  
  73               2.19429515E+01   1.38697749E+03   8.38225071E-01   1.60424014E-01   7.16490613E-04   4.65835475E-04   6.53146168E-05   1.10787721E-05   7.89071780E-07   5.52972275E-05  
  74               2.48715804E+01   1.42684894E+03   8.38247707E-01   1.60418296E-01   6.99092313E-04   4.48234379E-04   8.28753500E-05   1.09685134E-05   1.27650465E-06   5.53454160E-05  
  75               2.81622640E+01   1.46727778E+03   8.38272239E-01   1.60412018E-01   6.80026275E-04   4.28949799E-04   1.02111679E-04   1.09069559E-05   2.02088717E-06   5.53674185E-05  
  76               3.18486954E+01   1.50986213E+03   8.38299838E-01   1.60404798E-01   6.58280880E-04   4.06895855E-04   1.24104784E-04   1.08391500E-05   3.19511342E-06   5.53897716E-05  
  77               3.59749024E+01   1.55329859E+03   8.38327743E-01   1.60397140E-01   6.35597935E-04   3.83831074E-04   1.47096772E-04   1.08085154E-05   4.96190236E-06   5.53907446E-05  
  78               4.05691795E+01   1.59903368E+03   8.38356251E-01   1.60388604E-01   6.11298468E-04   3.58743655E-04   1.72092892E-04   1.07692156E-05   7.69302546E-06   5.53919923E-05  
  79               4.56307356E+01   1.64569617E+03   8.38380061E-01   1.60379323E-01   5.87783998E-04   3.33333838E-04   1.97391864E-04   1.07511441E-05   1.17297179E-05   5.53785008E-05  
  80               5.11190454E+01   1.69476853E+03   8.38393230E-01   1.60367648E-01   5.65495591E-04   3.05935924E-04   2.24647239E-04   1.07027299E-05   1.78612572E-05   5.53741238E-05  
  81               5.69631026E+01   1.74489467E+03   8.38407361E-01   1.60357312E-01   5.52114893E-04   2.76651157E-04   2.53771892E-04   1.06457677E-05   2.68101083E-05   5.53703395E-05  
  82               6.30810552E+01   1.79347544E+03   8.38419312E-01   1.60347604E-01   5.31446189E-04   2.52532190E-04   2.77711398E-04   1.06246874E-05   3.88485723E-05   5.53446003E-05  
  83               6.93284858E+01   1.83908098E+03   8.38414467E-01   1.60337530E-01   5.19092895E-04   2.30821904E-04   2.99230951E-04   1.06434323E-05   5.39760667E-05   5.52978889E-05  
  84               7.54052983E+01   1.88053842E+03   8.38384976E-01   1.60325804E-01   5.18303320E-04   2.10541416E-04   3.19320784E-04   1.06826851E-05   7.17231753E-05   5.52428411E-05  
  85               8.19137948E+01   1.92186017E+03   8.38324336E-01   1.60311090E-01   5.32961942E-04   1.88893572E-04   3.40773826E-04   1.07485265E-05   9.39563737E-05   5.51761977E-05  
  86               8.79414272E+01   1.95788069E+03   8.38274976E-01   1.60300408E-01   5.48179989E-04   1.71436245E-04   3.58066223E-04   1.08226441E-05   1.17712548E-04   5.51110060E-05  
  87               9.32205881E+01   1.98771148E+03   8.38264923E-01   1.60295820E-01   5.39622907E-04   1.62719636E-04   3.66621240E-04   1.08983605E-05   1.40913366E-04   5.50433355E-05  
  88               9.90622155E+01   2.01919987E+03   8.38249716E-01   1.60290903E-01   5.31332024E-04   1.54250828E-04   3.74906838E-04   1.09887099E-05   1.69325565E-04   5.49650237E-05  
  89               1.05505470E+02   2.05211824E+03   8.38216964E-01   1.60283462E-01   5.23463810E-04   1.46189226E-04   3.82754816E-04   1.10970469E-05   2.03807668E-04   5.48735055E-05  
  90               1.10836426E+02   2.07817953E+03   8.38195808E-01   1.60279163E-01   5.17740894E-04   1.40298913E-04   3.88470397E-04   1.11903198E-05   2.34965333E-04   5.47965543E-05  
  91               1.14971196E+02   2.09760326E+03   8.38177438E-01   1.60275855E-01   5.13794112E-04   1.36210701E-04   3.92421319E-04   1.12665432E-05   2.60567519E-04   5.47350117E-05  
  92               1.19657505E+02   2.11899090E+03   8.38154565E-01   1.60272087E-01   5.09674718E-04   1.31947850E-04   3.96525909E-04   1.13540176E-05   2.91310572E-04   5.46646333E-05  
  93               1.24954901E+02   2.14224251E+03   8.38126312E-01   1.60267839E-01   5.05533069E-04   1.27628744E-04   4.00663938E-04   1.14567898E-05   3.27917375E-04   5.45832552E-05  
  94               1.30916294E+02   2.16752559E+03   8.38091419E-01   1.60262987E-01   5.01336958E-04   1.23224515E-04   4.04860468E-04   1.15735130E-05   3.71804145E-04   5.44910559E-05  
  95               1.37597028E+02   2.19467347E+03   8.38018906E-01   1.60251773E-01   4.97199513E-04   1.18852067E-04   4.08977595E-04   1.17073483E-05   4.23932917E-04   5.43841722E-05  
  96               1.42712764E+02   2.21477130E+03   8.37983771E-01   1.60247549E-01   4.94330283E-04   1.15818182E-04   4.11827384E-04   1.18104009E-05   4.66144751E-04   5.43036566E-05  
  97               1.46525383E+02   2.22929609E+03   8.37956434E-01   1.60244341E-01   4.92389774E-04   1.13754172E-04   4.13752854E-04   1.18890947E-05   4.98618275E-04   5.42427742E-05  
  98               1.50910476E+02   2.24566725E+03   8.37923549E-01   1.60240584E-01   4.90295100E-04   1.11515740E-04   4.15829949E-04   1.19793493E-05   5.37339500E-04   5.41728203E-05  
  99               1.55939059E+02   2.26389237E+03   8.37884277E-01   1.60236234E-01   4.88108150E-04   1.09162493E-04   4.17996520E-04   1.20843824E-05   5.83131660E-04   5.40919289E-05  
  100              1.61688030E+02   2.28421703E+03   8.37837028E-01   1.60231138E-01   4.85798496E-04   1.06659683E-04   4.20282624E-04   1.22038143E-05   6.37766566E-04   5.39996797E-05  
  101              1.68240482E+02   2.30660048E+03   8.37778646E-01   1.60224850E-01   4.83443458E-04   1.04082458E-04   4.22608606E-04   1.23412898E-05   7.02405268E-04   5.38938142E-05  
