# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              N2               H2O(s)          
  61               6.32678538E-01   3.65983063E+02   8.38073924E-01   1.60463842E-01   5.31345349E-04   7.81887271E-04   1.21723751E-04   2.29823226E-05   1.27709036E-10   0.00000000E+00  
  62               7.27080346E-01   3.81577527E+02   8.38073936E-01   1.60463843E-01   5.31345352E-04   7.81874847E-04   1.21723314E-04   2.29823227E-05   3.46613538E-10   0.00000000E+00  
  63               8.36072163E-01   3.97994997E+02   8.38073937E-01   1.60463843E-01   5.31345351E-04   7.81874846E-04   1.21722187E-04   2.29823227E-05   9.09659495E-10   0.00000000E+00  
  64               9.61837136E-01   4.15053187E+02   8.38073592E-01   1.60463776E-01   5.31345130E-04   7.81874526E-04   1.21719407E-04   2.29823131E-05   2.27430842E-09   0.00000000E+00  
  65               1.10686056E+00   4.32982325E+02   8.38073975E-01   1.60463808E-01   5.31345236E-04   7.81461435E-04   1.21712979E-04   2.29823177E-05   5.50047352E-09   0.00000000E+00  
  66               1.27398973E+00   4.51585263E+02   8.38073962E-01   1.60463802E-01   5.31345217E-04   7.81465477E-04   1.21698584E-04   2.29823169E-05   1.26958550E-08   0.00000000E+00  
  67               1.46640800E+00   4.71104997E+02   8.38073508E-01   1.60463723E-01   5.31344955E-04   7.81553303E-04   1.21667189E-04   2.29823055E-05   2.83635638E-08   0.00000000E+00  
  68               1.68763206E+00   4.91312369E+02   8.38071705E-01   1.60463713E-01   5.31344921E-04   7.83399138E-04   1.21602824E-04   2.29823041E-05   6.05419335E-08   0.00000000E+00  
  69               1.94176050E+00   5.12469643E+02   8.38069067E-01   1.60463171E-01   5.31343126E-04   7.83396491E-04   1.21473328E-04   2.29822264E-05   1.25084536E-07   0.00000000E+00  
  70               2.23392973E+00   5.34375353E+02   8.38072215E-01   1.60463392E-01   5.31343859E-04   7.80148534E-04   1.21228774E-04   2.29822581E-05   2.47445459E-07   0.00000000E+00  
  71               2.56992429E+00   5.57337771E+02   8.38072516E-01   1.60463319E-01   5.31343618E-04   7.80148189E-04   1.20775266E-04   2.29822477E-05   4.74171949E-07   0.00000000E+00  
  72               2.95608481E+00   5.81111538E+02   8.38073039E-01   1.60463193E-01   5.31343198E-04   7.80147594E-04   1.19984806E-04   2.29822296E-05   8.69353884E-07   0.00000000E+00  
  73               3.39985529E+00   6.06011900E+02   8.38073923E-01   1.60462978E-01   5.31342487E-04   7.80146599E-04   1.18648780E-04   2.29821989E-05   1.53728514E-06   0.00000000E+00  
  74               3.91020830E+00   6.31806951E+02   8.38075314E-01   1.60462641E-01   5.31341369E-04   7.80145059E-04   1.16545935E-04   2.29821505E-05   2.58857963E-06   0.00000000E+00  
  75               4.49904791E+00   6.58916451E+02   8.38077415E-01   1.60462131E-01   5.31339681E-04   7.80142794E-04   1.13371355E-04   2.29820776E-05   4.17567678E-06   0.00000000E+00  
  76               5.18081092E+00   6.87177004E+02   8.38080330E-01   1.60461424E-01   5.31337336E-04   7.80139774E-04   1.08964296E-04   2.29819763E-05   6.37893804E-06   0.00000000E+00  
  77               5.97231800E+00   7.17008344E+02   8.38084148E-01   1.60460497E-01   5.31334254E-04   7.80136083E-04   1.03189909E-04   2.29818435E-05   9.26577985E-06   0.00000000E+00  
  78               6.89234130E+00   7.48181289E+02   8.38088690E-01   1.60459390E-01   5.31330554E-04   7.80132219E-04   9.63083274E-05   2.29816849E-05   1.27061509E-05   0.00000000E+00  
  79               7.96204113E+00   7.81041281E+02   8.38093756E-01   1.60458144E-01   5.31326312E-04   7.80128891E-04   8.85902068E-05   2.29815064E-05   1.65647385E-05   0.00000000E+00  
  80               9.20820427E+00   8.15401035E+02   8.38098855E-01   1.60456828E-01   5.31321600E-04   7.80127119E-04   8.06046557E-05   2.29813176E-05   2.05570147E-05   0.00000000E+00  
  81               1.06571911E+01   8.51528077E+02   8.38103873E-01   1.60455518E-01   5.31316232E-04   7.80127868E-04   7.26957468E-05   2.29811293E-05   2.45109722E-05   0.00000000E+00  
  82               1.23314427E+01   8.88955886E+02   8.38108713E-01   1.60454334E-01   5.31309506E-04   7.80133309E-04   6.53460191E-05   2.29809582E-05   2.81853869E-05   0.00000000E+00  
  83               1.42468865E+01   9.27629090E+02   8.38113047E-01   1.60453256E-01   5.31298754E-04   7.80141674E-04   5.87023976E-05   2.29933372E-05   3.15067882E-05   0.00000000E+00  
  84               1.64177296E+01   9.66996504E+02   8.38116689E-01   1.60452299E-01   5.31278673E-04   7.80149235E-04   5.29393120E-05   2.30321852E-05   3.43879661E-05   0.00000000E+00  
  85               1.88666693E+01   1.00717027E+03   8.38119508E-01   1.60451415E-01   5.31238311E-04   7.80145376E-04   4.79634646E-05   2.31501418E-05   3.68755498E-05   0.00000000E+00  
  86               2.16119320E+01   1.04777749E+03   8.38121075E-01   1.60450531E-01   5.31158510E-04   7.80108936E-04   4.37598246E-05   2.34757626E-05   3.89770233E-05   0.00000000E+00  
  87               2.46666883E+01   1.08875191E+03   8.38122090E-01   1.60449782E-01   5.31007674E-04   7.80004343E-04   4.02104458E-05   2.42840753E-05   4.07514037E-05   0.00000000E+00  
  88               2.80423987E+01   1.12979502E+03   8.38124287E-01   1.60449211E-01   5.30738053E-04   7.79852896E-04   3.72463841E-05   2.42838843E-05   4.22331657E-05   0.00000000E+00  
  89               3.17590298E+01   1.17090405E+03   8.38126392E-01   1.60448654E-01   5.30278954E-04   7.79530788E-04   3.47642812E-05   2.42836264E-05   4.34739037E-05   0.00000000E+00  
  90               3.58588382E+01   1.21224964E+03   8.38128592E-01   1.60448065E-01   5.29530547E-04   7.78937887E-04   3.26747026E-05   2.42832583E-05   4.45182788E-05   0.00000000E+00  
  91               4.03801418E+01   1.25383079E+03   8.38131089E-01   1.60447393E-01   5.28364236E-04   7.77943203E-04   3.09198493E-05   2.42827234E-05   4.53951114E-05   0.00000000E+00  
  92               4.53533765E+01   1.29573575E+03   8.38134132E-01   1.60446573E-01   5.26613954E-04   7.76377712E-04   2.94356627E-05   2.42819441E-05   4.61363149E-05   0.00000000E+00  
  93               5.08018548E+01   1.33766580E+03   8.38137938E-01   1.60445549E-01   5.24115607E-04   7.74071800E-04   2.82035557E-05   2.42808306E-05   4.67510398E-05   0.00000000E+00  
  94               5.67427532E+01   1.37977144E+03   8.38142797E-01   1.60444244E-01   5.20661555E-04   7.70815235E-04   2.71641643E-05   2.42792501E-05   4.72687644E-05   0.00000000E+00  
  95               6.32082465E+01   1.42173152E+03   8.38148849E-01   1.60442609E-01   5.16118489E-04   7.66471066E-04   2.63147782E-05   2.42770400E-05   4.76906272E-05   0.00000000E+00  
  96               7.02789851E+01   1.46416802E+03   8.38156397E-01   1.60440551E-01   5.10236379E-04   7.60795417E-04   2.55979073E-05   2.42738551E-05   4.80450259E-05   0.00000000E+00  
  97               7.80218481E+01   1.50678755E+03   8.38165382E-01   1.60438043E-01   5.02965640E-04   7.53750993E-04   2.50234628E-05   2.42691009E-05   4.83266870E-05   0.00000000E+00  
  98               8.64785460E+01   1.54993558E+03   8.38175874E-01   1.60435012E-01   4.94139277E-04   7.45217508E-04   2.45495507E-05   2.42613250E-05   4.85560826E-05   0.00000000E+00  
  99               9.56637374E+01   1.59299426E+03   8.38186425E-01   1.60431323E-01   4.83978105E-04   7.35417824E-04   2.41924297E-05   2.42474103E-05   4.87247222E-05   0.00000000E+00  
  100              1.05563872E+02   1.63613652E+03   8.38198150E-01   1.60427383E-01   4.72423909E-04   7.25486171E-04   2.39160683E-05   2.41741146E-05   4.88503149E-05   0.00000000E+00  
  101              1.16144778E+02   1.67864361E+03   8.38117935E-01   1.60405298E-01   4.60089477E-04   7.13402437E-04   2.37323445E-05   2.41617470E-05   4.89199977E-05   0.00000000E+00  
