# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                H2O(s)          
  83               3.93461703E+02   1.48903993E+03   8.38092634E-01   1.60456396E-01   5.30327462E-04   7.80251942E-04   8.35866026E-05   2.42805289E-05   7.07588588E-07   0.00000000E+00  
  84               4.42553573E+02   1.53805375E+03   8.38093192E-01   1.60456034E-01   5.29907089E-04   7.80024785E-04   8.25217500E-05   2.42780461E-05   1.19016966E-06   0.00000000E+00  
  85               4.96774536E+02   1.58725389E+03   8.38093415E-01   1.60455647E-01   5.29369527E-04   7.79709894E-04   8.17115005E-05   2.42740533E-05   1.93842574E-06   0.00000000E+00  
  86               5.55178582E+02   1.63594367E+03   8.38093175E-01   1.60455202E-01   5.28706920E-04   7.79308042E-04   8.11056845E-05   2.42670872E-05   3.04771082E-06   0.00000000E+00  
  87               6.18241248E+02   1.68392173E+03   8.38075351E-01   1.60451456E-01   5.27910625E-04   7.78897135E-04   8.07219812E-05   2.42534592E-05   4.63176666E-06   0.00000000E+00  
  88               6.87199902E+02   1.73238818E+03   8.38053959E-01   1.60450880E-01   5.26857576E-04   7.99376295E-04   8.04876969E-05   2.34273487E-05   6.89694618E-06   0.00000000E+00  
  89               7.63621233E+02   1.78149764E+03   8.38052140E-01   1.60450232E-01   5.25734340E-04   7.98441120E-04   8.04421065E-05   2.34452529E-05   1.00815974E-05   0.00000000E+00  
  90               8.49563580E+02   1.83254073E+03   8.38048500E-01   1.60449334E-01   5.24396645E-04   7.97524852E-04   8.05289241E-05   2.34566905E-05   1.46228924E-05   0.00000000E+00  
  91               9.47753225E+02   1.88570955E+03   8.38042745E-01   1.60448209E-01   5.22839962E-04   7.96678116E-04   8.08024497E-05   2.34636783E-05   2.10461538E-05   0.00000000E+00  
  92               1.06205838E+03   1.94263763E+03   8.38031618E-01   1.60446489E-01   5.20966249E-04   7.96842425E-04   8.12253778E-05   2.34540961E-05   3.03619884E-05   0.00000000E+00  
  93               1.19626984E+03   2.00312479E+03   8.38006432E-01   1.60443252E-01   5.18737898E-04   8.00956279E-04   8.18625117E-05   2.33988824E-05   4.37112865E-05   0.00000000E+00  
  94               1.35323631E+03   2.06763617E+03   8.37950925E-01   1.60437130E-01   5.15934279E-04   8.16715475E-04   8.26686794E-05   2.32304975E-05   6.28755437E-05   0.00000000E+00  
  95               1.53478460E+03   2.13465489E+03   8.37851221E-01   1.60428440E-01   5.12304901E-04   8.57432550E-04   8.36833818E-05   2.28683928E-05   8.94002726E-05   0.00000000E+00  
  96               1.74146413E+03   2.20389085E+03   8.37773115E-01   1.60422144E-01   5.08500022E-04   8.85022876E-04   8.48408517E-05   2.26514359E-05   1.25527894E-04   0.00000000E+00  
  97               1.96897497E+03   2.27222913E+03   8.37723787E-01   1.60416177E-01   5.05286851E-04   8.82665354E-04   8.61330260E-05   2.26548817E-05   1.71539124E-04   0.00000000E+00  
  98               2.19469567E+03   2.33417093E+03   8.37670804E-01   1.60411541E-01   5.02195912E-04   8.85305277E-04   8.73611929E-05   2.26585781E-05   2.23775757E-04   0.00000000E+00  
  99               2.39321618E+03   2.38387455E+03   8.37625698E-01   1.60407222E-01   4.99843143E-04   8.84090330E-04   8.84266427E-05   2.26526294E-05   2.73788411E-04   0.00000000E+00  
  100              2.62316920E+03   2.43773734E+03   8.37568122E-01   1.60401820E-01   4.97261069E-04   8.82916047E-04   8.95871557E-05   2.26423025E-05   3.37270437E-04   0.00000000E+00  
  101              2.88853620E+03   2.49451244E+03   8.37460001E-01   1.60388245E-01   4.94596647E-04   8.81828172E-04   9.08760271E-05   2.26266577E-05   4.15341184E-04   0.00000000E+00  
