# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              Mg               N2               Fe              
  15               4.92092966E-05   1.30427485E+03   8.38553833E-01   1.60241553E-01   1.56759380E-04   5.30497670E-04   3.08750148E-04   2.15397134E-05   6.07776730E-05   4.37594001E-05  
  16               5.84692483E-05   1.32085423E+03   8.38496568E-01   1.60236357E-01   1.83140275E-04   5.30478235E-04   3.25988020E-04   3.28514273E-05   6.07757003E-05   5.55590325E-05  
  17               6.91353362E-05   1.33635636E+03   8.38425395E-01   1.60230313E-01   2.15421402E-04   5.30454117E-04   3.49802240E-04   4.85135390E-05   6.07734054E-05   5.55569106E-05  
  18               8.14216890E-05   1.35277206E+03   8.38365643E-01   1.60225307E-01   2.47802625E-04   5.30435352E-04   3.67449094E-04   6.01486838E-05   6.07715041E-05   5.55551467E-05  
  19               9.60267023E-05   1.36601346E+03   8.38317808E-01   1.60221410E-01   2.82966347E-04   5.30422773E-04   3.77461761E-04   6.67848564E-05   6.07700232E-05   5.55537640E-05  
  20               1.13946966E-04   1.38101892E+03   8.38287860E-01   1.60218786E-01   3.15554565E-04   5.30417335E-04   3.77382217E-04   6.67831506E-05   6.07690241E-05   5.55528185E-05  
  21               1.36462559E-04   1.39386695E+03   8.38251541E-01   1.60215604E-01   3.55075933E-04   5.30410132E-04   3.77295060E-04   6.67811139E-05   6.07678129E-05   5.55516731E-05  
  22               1.64715457E-04   1.41051984E+03   8.38214486E-01   1.60212360E-01   3.95395134E-04   5.30402513E-04   3.77213120E-04   6.67789489E-05   6.07665768E-05   5.55504993E-05  
  23               2.00117300E-04   1.42504835E+03   8.38166321E-01   1.60208143E-01   4.47804483E-04   5.30391871E-04   3.77116878E-04   6.67762419E-05   6.07649710E-05   5.55489785E-05  
  24               2.44413558E-04   1.44336002E+03   8.38116014E-01   1.60203741E-01   5.02541832E-04   5.30380406E-04   3.77025085E-04   6.67733254E-05   6.07632934E-05   5.55473843E-05  
  25               2.99746510E-04   1.45966892E+03   8.38050492E-01   1.60198007E-01   5.73834920E-04   5.30364694E-04   3.76917342E-04   6.67696801E-05   6.07611097E-05   5.55453155E-05  
  26               3.68738316E-04   1.47988545E+03   8.37979475E-01   1.60191794E-01   6.51104169E-04   5.30347210E-04   3.76811681E-04   6.67656637E-05   6.07587427E-05   5.55430681E-05  
  27               4.54560919E-04   1.49841056E+03   8.37885139E-01   1.60183542E-01   7.53746182E-04   5.30323127E-04   3.76685822E-04   6.67605737E-05   6.07556005E-05   5.55400958E-05  
  28               5.61004999E-04   1.52128413E+03   8.37775352E-01   1.60173941E-01   8.73194191E-04   5.30294458E-04   3.76555062E-04   6.67546952E-05   6.07519446E-05   5.55366378E-05  
  29               6.92431310E-04   1.54345100E+03   8.37614702E-01   1.60159893E-01   1.04797824E-03   5.30251326E-04   3.76386859E-04   6.67466627E-05   6.07466003E-05   5.55316114E-05  
  30               8.53239169E-04   1.57264074E+03   8.37367086E-01   1.60138242E-01   1.31736147E-03   5.30183288E-04   3.76167547E-04   6.67351233E-05   6.07383717E-05   5.55239169E-05  
  31               1.04509760E-03   1.60880946E+03   8.36963072E-01   1.60102924E-01   1.75686193E-03   5.30070410E-04   3.75877922E-04   6.67175105E-05   6.07249594E-05   5.55114436E-05  
  32               1.26723929E-03   1.65039876E+03   8.36482159E-01   1.60060897E-01   2.28002347E-03   5.29934993E-04   3.75568600E-04   6.66968524E-05   6.07090005E-05   5.54966176E-05  
  33               1.52581180E-03   1.67982625E+03   8.35972046E-01   1.60016334E-01   2.83496367E-03   5.29790573E-04   3.75275032E-04   6.66749218E-05   6.06920764E-05   5.54808911E-05  
  34               1.83465790E-03   1.70717088E+03   8.35617682E-01   1.59985393E-01   3.22048174E-03   5.29690224E-04   3.75079812E-04   6.66585195E-05   6.06803121E-05   5.54698817E-05  
  35               2.21545092E-03   1.72192612E+03   8.35248397E-01   1.59953158E-01   3.62222498E-03   5.29585367E-04   3.74895332E-04   6.66411525E-05   6.06680515E-05   5.54583858E-05  
  36               2.68500716E-03   1.74885079E+03   8.34991195E-01   1.59930719E-01   3.90201898E-03   5.29512523E-04   3.74779259E-04   6.66274670E-05   6.06594979E-05   5.54502574E-05  
  37               3.26341859E-03   1.76398307E+03   8.34592287E-01   1.59895908E-01   4.33597795E-03   5.29398945E-04   3.74599653E-04   6.66079355E-05   6.06462456E-05   5.54377717E-05  
  38               3.97522853E-03   1.79120621E+03   8.34313971E-01   1.59871633E-01   4.63873536E-03   5.29319897E-04   3.74485405E-04   6.65922829E-05   6.06369781E-05   5.54288998E-05  
  39               4.84993697E-03   1.80687281E+03   8.33877877E-01   1.59833586E-01   5.11313995E-03   5.29195451E-04   3.74304134E-04   6.65700455E-05   6.06224777E-05   5.54151676E-05  
  40               5.92345951E-03   1.83439673E+03   8.33574795E-01   1.59807155E-01   5.44283297E-03   5.29109156E-04   3.74188166E-04   6.65520123E-05   6.06123682E-05   5.54054125E-05  
  41               7.23869802E-03   1.85067396E+03   8.33098861E-01   1.59765640E-01   5.96057219E-03   5.28973088E-04   3.74002111E-04   6.65266635E-05   6.05965238E-05   5.53903208E-05  
  42               8.84759950E-03   1.87854525E+03   8.32766278E-01   1.59736640E-01   6.32235329E-03   5.28878187E-04   3.73880938E-04   6.65057441E-05   6.05854061E-05   5.53795039E-05  
  43               1.08118493E-02   1.89550470E+03   8.32245877E-01   1.59691252E-01   6.88846030E-03   5.28729170E-04   3.73686495E-04   6.64767498E-05   6.05680537E-05   5.53628728E-05  
  44               1.32056846E-02   1.92378415E+03   8.31874862E-01   1.59658904E-01   7.29204590E-03   5.28623089E-04   3.73555398E-04   6.64522225E-05   6.05556196E-05   5.53506800E-05  
  45               1.61165298E-02   1.94165410E+03   8.31297238E-01   1.59608530E-01   7.92039743E-03   5.28457452E-04   3.73346212E-04   6.64186822E-05   6.05363227E-05   5.53320743E-05  
  46               1.96487964E-02   1.97059749E+03   8.30869196E-01   1.59571211E-01   8.38601803E-03   5.28334829E-04   3.73197273E-04   6.63893979E-05   6.05219404E-05   5.53178887E-05  
  47               2.39245684E-02   1.98965270E+03   8.30210998E-01   1.59513813E-01   9.10201826E-03   5.28145835E-04   3.72963612E-04   6.63499463E-05   6.04999074E-05   5.52965408E-05  
  48               2.90884275E-02   2.01960892E+03   8.29693878E-01   1.59468728E-01   9.66453855E-03   5.27997422E-04   3.72784599E-04   6.63141789E-05   6.04824954E-05   5.52793252E-05  
  49               3.53078888E-02   2.04038195E+03   8.28914070E-01   1.59400728E-01   1.05128278E-02   5.27773230E-04   3.72510963E-04   6.62667131E-05   6.04563444E-05   5.52539174E-05  
  50               4.27810652E-02   2.07182625E+03   8.28256066E-01   1.59343357E-01   1.12286063E-02   5.27584069E-04   3.72283158E-04   6.62219136E-05   6.04341610E-05   5.52320195E-05  
  51               5.17356731E-02   2.09492996E+03   8.27286630E-01   1.59258824E-01   1.22831766E-02   5.27305043E-04   3.71945084E-04   6.61632351E-05   6.04016097E-05   5.52003979E-05  
  52               6.24362977E-02   2.12868195E+03   8.26399310E-01   1.59181457E-01   1.32484114E-02   5.27049603E-04   3.71637351E-04   6.61053960E-05   6.03716932E-05   5.51710339E-05  
  53               7.51831445E-02   2.15506067E+03   8.25127027E-01   1.59070517E-01   1.46324251E-02   5.26683052E-04   3.71194848E-04   6.60305442E-05   6.03289525E-05   5.51296523E-05  
  54               9.03208574E-02   2.19198424E+03   8.23873263E-01   1.58961198E-01   1.59962863E-02   5.26321732E-04   3.70759121E-04   6.59537842E-05   6.02867151E-05   5.50885398E-05  
  55               1.08235018E-01   2.22264115E+03   8.22118509E-01   1.58808190E-01   1.79051410E-02   5.25815784E-04   3.70148546E-04   6.58552981E-05   6.02277756E-05   5.50318170E-05  
  56               1.29359861E-01   2.26397661E+03   8.20256454E-01   1.58645765E-01   1.99300019E-02   5.25278523E-04   3.69498859E-04   6.57498263E-05   6.01651053E-05   5.49714521E-05  
  57               1.54139873E-01   2.30058607E+03   8.17643548E-01   1.58418009E-01   2.27684436E-02   5.24524708E-04   3.70861662E-04   6.56131348E-05   6.00774437E-05   5.48878675E-05  
  58               1.82994798E-01   2.34905304E+03   8.13953869E-01   1.58096371E-01   2.67782190E-02   5.23460019E-04   3.71838960E-04   6.54332407E-05   5.99538204E-05   5.47711019E-05  
  59               2.16216775E-01   2.40997620E+03   8.08981685E-01   1.57662981E-01   3.21838381E-02   5.22025283E-04   3.72344968E-04   6.52027416E-05   5.97872916E-05   5.46149315E-05  
  60               2.54309566E-01   2.46761639E+03   8.03109401E-01   1.57150982E-01   3.85718072E-02   5.20330361E-04   3.70218007E-04   6.49361603E-05   5.95902101E-05   5.44309653E-05  
  61               2.98008547E-01   2.52310789E+03   7.96939693E-01   1.56613067E-01   4.52833011E-02   5.18549370E-04   3.67930134E-04   6.46560256E-05   5.93823292E-05   5.42375999E-05  
  62               3.48196869E-01   2.57652413E+03   7.90481374E-01   1.56050000E-01   5.23087304E-02   5.16684856E-04   3.65474666E-04   6.43623404E-05   5.91635590E-05   5.40350527E-05  
  63               4.05888063E-01   2.62874040E+03   7.83797756E-01   1.55467298E-01   5.95792241E-02   5.14755083E-04   3.62866496E-04   6.40571303E-05   5.89354840E-05   5.38251981E-05  
  64               4.72191859E-01   2.67952649E+03   7.76876271E-01   1.54863861E-01   6.71084512E-02   5.12756407E-04   3.60093112E-04   6.37396683E-05   5.86969235E-05   5.36076081E-05  
  65               5.48320960E-01   2.72976170E+03   7.69791444E-01   1.54246186E-01   7.48153396E-02   5.10710314E-04   3.57177271E-04   6.34124627E-05   5.84493653E-05   5.33845041E-05  
  66               6.35601017E-01   2.77885496E+03   7.62520531E-01   1.53612285E-01   8.27246287E-02   5.08610212E-04   3.54104727E-04   6.30745036E-05   5.81905872E-05   5.31551579E-05  
  67               7.35487948E-01   2.82765895E+03   7.55156147E-01   1.52970233E-01   9.07355658E-02   5.06482797E-04   3.50909432E-04   6.27290062E-05   5.79218490E-05   5.29223445E-05  
  68               8.49586469E-01   2.87551435E+03   7.47649044E-01   1.52315734E-01   9.89017188E-02   5.04313813E-04   3.47568113E-04   6.23740463E-05   5.76387539E-05   5.26845364E-05  
  69               9.79680093E-01   2.92337503E+03   7.40094294E-01   1.51657075E-01   1.07119663E-01   5.02130654E-04   3.44119780E-04   6.20129280E-05   5.73411891E-05   5.24445821E-05  
  70               1.12775640E+00   2.97043385E+03   7.32420699E-01   1.50988048E-01   1.15466837E-01   4.99912709E-04   3.40532475E-04   6.16429532E-05   5.70217456E-05   5.22002901E-05  
  71               1.29603864E+00   3.01770789E+03   7.24739646E-01   1.50318362E-01   1.23822067E-01   4.97692064E-04   3.36855984E-04   6.12679905E-05   5.66784742E-05   5.19549990E-05  
  72               1.48697202E+00   3.06426758E+03   7.16962312E-01   1.49640273E-01   1.32281964E-01   4.95442995E-04   3.33050447E-04   6.08847374E-05   5.62995570E-05   5.17059853E-05  
  73               1.70323628E+00   3.11119843E+03   7.09213982E-01   1.48964701E-01   1.40710226E-01   4.93201578E-04   3.29175691E-04   6.04975317E-05   5.58797851E-05   5.14570037E-05  
  74               1.94789969E+00   3.15748378E+03   7.01382883E-01   1.48281901E-01   1.49228425E-01   4.90935427E-04   3.25180166E-04   6.01022462E-05   5.54002721E-05   5.12046326E-05  
  75               2.22447634E+00   3.20433456E+03   6.93597874E-01   1.47603105E-01   1.57696367E-01   4.88681614E-04   3.21128406E-04   5.97032461E-05   5.48499923E-05   5.09527198E-05  
  76               2.53697310E+00   3.25069840E+03   6.85720298E-01   1.46916222E-01   1.66264857E-01   4.86399937E-04   3.16953342E-04   5.92954145E-05   5.41987940E-05   5.06970218E-05  
  77               2.88995729E+00   3.29786506E+03   6.77891429E-01   1.46233567E-01   1.74780191E-01   4.84130998E-04   3.12728035E-04   5.88834534E-05   5.34273544E-05   5.04417445E-05  
  78               3.28864257E+00   3.34465993E+03   6.69963164E-01   1.45542222E-01   1.83403433E-01   4.81831793E-04   3.08377274E-04   5.84619041E-05   5.24899351E-05   5.01823519E-05  
  79               3.73898843E+00   3.39243502E+03   6.62096411E-01   1.44856216E-01   1.91959512E-01   4.79548518E-04   3.03986536E-04   5.80360490E-05   5.13569633E-05   4.99236232E-05  
  80               4.24782061E+00   3.43994062E+03   6.54126385E-01   1.44161173E-01   2.00627622E-01   4.77233248E-04   2.99467899E-04   5.75998489E-05   4.99615275E-05   4.96605116E-05  
  81               4.82292530E+00   3.48863561E+03   6.46222134E-01   1.43471831E-01   2.09223829E-01   4.74934433E-04   2.94913272E-04   5.71587621E-05   4.82636599E-05   4.93980208E-05  
  82               5.47318375E+00   3.53719455E+03   6.38199671E-01   1.42772136E-01   2.17948198E-01   4.72598455E-04   2.90219311E-04   5.67061227E-05   4.61742378E-05   4.91305207E-05  
  83               6.20872303E+00   3.58716152E+03   6.30237621E-01   1.42077662E-01   2.26606379E-01   4.70276401E-04   2.85484788E-04   5.62476240E-05   4.36547170E-05   4.88632830E-05  
  84               7.04110748E+00   3.63713732E+03   6.22138482E-01   1.41371177E-01   2.35413136E-01   4.67910552E-04   2.80592895E-04   5.57762047E-05   4.06115672E-05   4.85902692E-05  
  85               7.98355539E+00   3.68873699E+03   6.14093585E-01   1.40669365E-01   2.44160344E-01   4.65555479E-04   2.75651272E-04   5.52978862E-05   3.70492683E-05   4.83171097E-05  
  86               9.05121661E+00   3.74047832E+03   6.05897888E-01   1.39954340E-01   2.53071023E-01   4.63150966E-04   2.70532689E-04   5.48054335E-05   3.29298828E-05   4.80375396E-05  
  87               1.02614483E+01   3.79404393E+03   5.97756127E-01   1.39243967E-01   2.61922583E-01   4.60755111E-04   2.65355089E-04   5.43051950E-05   2.83859403E-05   4.77575652E-05  
  88               1.16341860E+01   3.84787903E+03   5.89453248E-01   1.38519500E-01   2.70949078E-01   4.58304128E-04   2.59979712E-04   5.37897037E-05   2.35296858E-05   4.74706245E-05  
  89               1.31923301E+01   3.90376385E+03   5.81202145E-01   1.37799531E-01   2.79919221E-01   4.55857580E-04   2.54533215E-04   5.32654410E-05   1.86817127E-05   4.71829381E-05  
  90               1.49622696E+01   3.96007080E+03   5.72781957E-01   1.37064819E-01   2.89073512E-01   4.53348388E-04   2.48869234E-04   5.27248672E-05   1.40965828E-05   4.68877727E-05  
  91               1.69744358E+01   4.01863299E+03   5.64422192E-01   1.36335411E-01   2.98162617E-01   4.50838906E-04   2.43131116E-04   5.21748249E-05   1.01235791E-05   4.65918006E-05  
  92               1.92640514E+01   4.07772760E+03   5.55900435E-01   1.35591922E-01   3.07428624E-01   4.48258515E-04   2.37170231E-04   5.16078393E-05   6.90218929E-06   4.62882345E-05  
  93               2.18718597E+01   4.13929153E+03   5.47445542E-01   1.34854318E-01   3.16622662E-01   4.45666141E-04   2.31138220E-04   5.10305291E-05   4.51426661E-06   4.59836657E-05  
  94               2.48450632E+01   4.20160843E+03   5.38815093E-01   1.34101448E-01   3.26008338E-01   4.42980710E-04   2.24874451E-04   5.04349651E-05   2.83890679E-06   4.56707064E-05  
  95               2.82382417E+01   4.26672775E+03   5.30226717E-01   1.33352283E-01   3.35348789E-01   4.40253267E-04   2.18533261E-04   4.98272648E-05   1.74252017E-06   4.53555560E-05  
  96               3.21146323E+01   4.33291021E+03   5.21429554E-01   1.32584929E-01   3.44916744E-01   4.37392945E-04   2.11952084E-04   4.91995307E-05   1.04482569E-06   4.50305897E-05  
  97               3.65473834E+01   4.40226935E+03   5.12652004E-01   1.31819298E-01   3.54463618E-01   4.34446278E-04   2.05304689E-04   4.85580845E-05   6.20109702E-07   4.47022693E-05  
  98               4.16215405E+01   4.47294369E+03   5.03665368E-01   1.31035437E-01   3.64238084E-01   4.31316393E-04   1.98451760E-04   4.78959953E-05   3.63203800E-07   4.43636374E-05  
  99               4.74359485E+01   4.54702806E+03   4.94719750E-01   1.30255158E-01   3.73967981E-01   4.28043155E-04   1.91595874E-04   4.72200356E-05   2.12195463E-07   4.40217195E-05  
  100              5.41052639E+01   4.62261718E+03   4.85580252E-01   1.29457973E-01   3.83908756E-01   4.24505550E-04   1.84604082E-04   4.65230621E-05   1.22949954E-07   4.36693162E-05  
  101              6.17828795E+01   4.70217067E+03   4.76389036E-01   1.28656282E-01   3.93905744E-01   4.20797927E-04   1.77588050E-04   4.58140708E-05   6.44034893E-08   4.33120629E-05  
