# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               Mg              
  65               9.78806463E+00   1.76674950E+03   8.38600995E-01   1.60259152E-01   7.84236260E-05   3.43865792E-04   2.16819989E-05   5.08721961E-04   5.98038805E-05   2.97007569E-05  
  66               1.05851190E+01   1.80365570E+03   8.38500920E-01   1.60249789E-01   1.03315010E-04   3.93168732E-04   1.63322953E-05   5.14042090E-04   5.98031104E-05   6.42172132E-05  
  67               1.12603199E+01   1.83285793E+03   8.38481001E-01   1.60247327E-01   1.27374933E-04   3.91450649E-04   1.46375981E-05   5.15715008E-04   5.97947086E-05   6.40824965E-05  
  68               1.20083982E+01   1.86401595E+03   8.38444598E-01   1.60242428E-01   1.58087873E-04   3.89857905E-04   1.30757827E-05   5.17245150E-04   5.97842874E-05   6.39348492E-05  
  69               1.26299022E+01   1.88832679E+03   8.38420225E-01   1.60239869E-01   1.86042273E-04   3.88801324E-04   1.20401912E-05   5.18259180E-04   5.97748208E-05   6.38160720E-05  
  70               1.31139653E+01   1.90696850E+03   8.38398928E-01   1.60237704E-01   2.10222576E-04   3.88056896E-04   1.13118729E-05   5.18969975E-04   5.97676393E-05   6.37242220E-05  
  71               1.36605289E+01   1.92688661E+03   8.38373571E-01   1.60235205E-01   2.38754184E-04   3.87352643E-04   1.06243142E-05   5.19637423E-04   5.97583978E-05   6.36229258E-05  
  72               1.42750704E+01   1.94896270E+03   8.38341926E-01   1.60232151E-01   2.74141428E-04   3.86630004E-04   9.91925689E-06   5.20318866E-04   5.97482775E-05   6.35098483E-05  
  73               1.49630361E+01   1.97231965E+03   8.38272852E-01   1.60222594E-01   3.15997692E-04   3.85946471E-04   9.26614332E-06   5.20925026E-04   5.97335360E-05   6.33839426E-05  
  74               1.54636625E+01   1.98915809E+03   8.38242616E-01   1.60219794E-01   3.49446618E-04   3.85501627E-04   8.82404835E-06   5.21346567E-04   5.97247814E-05   6.32946125E-05  
  75               1.58173479E+01   2.00042802E+03   8.38221036E-01   1.60217804E-01   3.73270158E-04   3.85224650E-04   8.55909997E-06   5.21596879E-04   5.97179049E-05   6.32328775E-05  
  76               1.62233717E+01   2.01356971E+03   8.38194155E-01   1.60215335E-01   4.02882176E-04   3.84927054E-04   8.25186865E-06   5.21886636E-04   5.97105513E-05   6.31616561E-05  
  77               1.66877975E+01   2.02781279E+03   8.38163227E-01   1.60212516E-01   4.36908308E-04   3.84612846E-04   7.95316379E-06   5.22165275E-04   5.97013179E-05   6.30820215E-05  
  78               1.72168697E+01   2.04409427E+03   8.38125027E-01   1.60209052E-01   4.78823289E-04   3.84305838E-04   7.62032835E-06   5.22474324E-04   5.96912560E-05   6.29913390E-05  
  79               1.78170968E+01   2.06161474E+03   8.38080882E-01   1.60205077E-01   5.27266949E-04   3.83967405E-04   7.30127651E-06   5.22766075E-04   5.96789699E-05   6.28907736E-05  
  80               1.84983503E+01   2.08135632E+03   8.38026620E-01   1.60200211E-01   5.86744253E-04   3.83601847E-04   6.95826856E-06   5.23076737E-04   5.96653590E-05   6.27772322E-05  
  81               1.92689161E+01   2.10252040E+03   8.37963258E-01   1.60194562E-01   6.56090061E-04   3.83251848E-04   6.63252874E-06   5.23365201E-04   5.96490500E-05   6.26517976E-05  
  82               2.01375902E+01   2.12595877E+03   8.37885915E-01   1.60187690E-01   7.40656640E-04   3.82886156E-04   6.29463343E-06   5.23659129E-04   5.96308431E-05   6.25118217E-05  
  83               2.11136735E+01   2.15088446E+03   8.37795359E-01   1.60179678E-01   8.39555577E-04   3.82540663E-04   5.97894931E-06   5.23924132E-04   5.96094362E-05   6.23584009E-05  
  84               2.22070841E+01   2.17803829E+03   8.37685707E-01   1.60170003E-01   9.59221423E-04   3.82190479E-04   5.66242546E-06   5.24181157E-04   5.95854405E-05   6.21890983E-05  
  85               2.34283741E+01   2.20666198E+03   8.37557413E-01   1.60158718E-01   1.09911771E-03   3.81864200E-04   5.37207121E-06   5.24403002E-04   5.95576404E-05   6.20050071E-05  
  86               2.47888760E+01   2.23741339E+03   8.37403292E-01   1.60145186E-01   1.26708802E-03   3.81541041E-04   5.08899431E-06   5.24606000E-04   5.95264815E-05   6.18038520E-05  
