# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H2S              N2              
  63               7.80105327E-01   5.00665527E+02   8.38069549E-01   1.60463072E-01   5.31342798E-04   7.83330206E-04   1.20841051E-04   1.10922576E-16   2.29823429E-05   4.41185391E-07  
  64               8.98327684E-01   5.22052080E+02   8.38073083E-01   1.60463190E-01   5.31343189E-04   7.80114536E-04   1.19967531E-04   6.91079051E-16   2.29823598E-05   8.77990271E-07  
  65               1.03505253E+00   5.44919844E+02   8.38074177E-01   1.60462925E-01   5.31342310E-04   7.80113256E-04   1.18314634E-04   4.19158924E-15   2.29823218E-05   1.70433782E-06  
  66               1.19375435E+00   5.68446817E+02   8.38076009E-01   1.60462480E-01   5.31340840E-04   7.80111117E-04   1.15546202E-04   2.27758336E-14   2.29822582E-05   3.08838543E-06  
  67               1.37907800E+00   5.93780293E+02   8.38079031E-01   1.60461748E-01   5.31338414E-04   7.80107606E-04   1.10980635E-04   1.21341230E-13   2.29821532E-05   5.37089120E-06  
  68               1.59707869E+00   6.20156962E+02   8.38083327E-01   1.60460706E-01   5.31334964E-04   7.80102655E-04   1.04489631E-04   5.92194216E-13   2.29820041E-05   8.61599814E-06  
  69               1.85572413E+00   6.48870496E+02   8.38089160E-01   1.60459292E-01   5.31330278E-04   7.80096036E-04   9.56753279E-05   2.86975362E-12   2.29818015E-05   1.30226133E-05  
  70               2.16525682E+00   6.79188441E+02   8.38095899E-01   1.60457658E-01   5.31324855E-04   7.80088640E-04   8.54902489E-05   1.29779060E-11   2.29815674E-05   1.81145329E-05  
  71               2.53733517E+00   7.12363572E+02   8.38103297E-01   1.60455860E-01   5.31318857E-04   7.80081087E-04   7.42983699E-05   5.82262402E-11   2.29813100E-05   2.37097907E-05  
  72               2.98347583E+00   7.47303488E+02   8.38110308E-01   1.60454146E-01   5.31312993E-04   7.80075076E-04   6.36534049E-05   2.41577597E-10   2.29810644E-05   2.90316230E-05  
  73               3.51382932E+00   7.84841225E+02   8.38116642E-01   1.60452528E-01   5.31306906E-04   7.80071529E-04   5.37948066E-05   9.62421388E-10   2.29808324E-05   3.39603083E-05  
  74               4.13857746E+00   8.23647101E+02   8.38121879E-01   1.60451161E-01   5.31299861E-04   7.80071508E-04   4.55455055E-05   3.46735610E-09   2.29806362E-05   3.80844404E-05  
  75               4.86700828E+00   8.64424055E+02   8.38126471E-01   1.60450036E-01   5.31287877E-04   7.80074483E-04   3.85767674E-05   1.16952780E-08   2.29804736E-05   4.15683826E-05  
  76               5.70553190E+00   9.05745196E+02   8.38130052E-01   1.60449134E-01   5.31261194E-04   7.80072962E-04   3.30776091E-05   3.53269056E-08   2.29940512E-05   4.43176186E-05  
  77               6.65780896E+00   9.48070362E+02   8.38132816E-01   1.60448360E-01   5.31195457E-04   7.80046008E-04   2.86182122E-05   9.83706830E-08   2.30447144E-05   4.65470204E-05  
  78               7.72886824E+00   9.90289467E+02   8.38134516E-01   1.60447641E-01   5.31044303E-04   7.79947365E-04   2.51482215E-05   2.46899673E-07   2.32149289E-05   4.82817345E-05  
  79               8.92821367E+00   1.03305244E+03   8.38135335E-01   1.60446909E-01   5.30712993E-04   7.79681918E-04   2.23411326E-05   5.75331484E-07   2.37321480E-05   4.96849793E-05  
  80               1.02654970E+01   1.07574014E+03   8.38136567E-01   1.60446245E-01   5.30050029E-04   7.79121484E-04   2.01190315E-05   1.23529363E-06   2.42835097E-05   5.07957264E-05  
  81               1.17506682E+01   1.11868412E+03   8.38139262E-01   1.60445541E-01   5.28797829E-04   7.78024715E-04   1.83130495E-05   2.48378761E-06   2.42832608E-05   5.16983382E-05  
  82               1.33951648E+01   1.16166504E+03   8.38142954E-01   1.60444584E-01   5.26595005E-04   7.76002378E-04   1.68518837E-05   4.68118058E-06   2.42828713E-05   5.24283314E-05  
  83               1.52144885E+01   1.20477196E+03   8.38148342E-01   1.60443205E-01   5.22946597E-04   7.72556221E-04   1.56592862E-05   8.32140780E-06   2.42822589E-05   5.30236740E-05  
  84               1.72324671E+01   1.24827236E+03   8.38156309E-01   1.60441185E-01   5.17208814E-04   7.67038383E-04   1.46735054E-05   1.40468844E-05   2.42813075E-05   5.35150131E-05  
  85               1.94755554E+01   1.29223472E+03   8.38167784E-01   1.60438294E-01   5.08684710E-04   7.58745944E-04   1.38593103E-05   2.25529464E-05   2.42798668E-05   5.39196614E-05  
  86               2.19704119E+01   1.33685873E+03   8.38183699E-01   1.60434297E-01   4.96664402E-04   7.46964199E-04   1.31808290E-05   3.45475624E-05   2.42777311E-05   5.42551560E-05  
  87               2.47434657E+01   1.38202850E+03   8.38204529E-01   1.60429062E-01   4.80759578E-04   7.31299777E-04   1.26228248E-05   5.04173376E-05   2.42746351E-05   5.45286810E-05  
  88               2.78271700E+01   1.42797908E+03   8.38230441E-01   1.60422521E-01   4.60790331E-04   7.11575358E-04   1.21600996E-05   7.03402509E-05   2.42701046E-05   5.47523112E-05  
  89               3.12608942E+01   1.47462599E+03   8.38260616E-01   1.60414804E-01   4.37234206E-04   6.88285856E-04   1.17859260E-05   9.38373626E-05   2.42631464E-05   5.49289306E-05  
  90               3.50927987E+01   1.52229015E+03   8.38293967E-01   1.60406065E-01   4.10668070E-04   6.62100926E-04   1.14823674E-05   1.20329713E-04   2.42509173E-05   5.50669115E-05  
  91               3.93584823E+01   1.57069071E+03   8.38327966E-01   1.60396594E-01   3.82389235E-04   6.34339325E-04   1.12483085E-05   1.48518489E-04   2.42252055E-05   5.51663843E-05  
  92               4.40689421E+01   1.61967836E+03   8.38359902E-01   1.60386609E-01   3.53463034E-04   6.06580949E-04   1.10719495E-05   1.77336228E-04   2.41620965E-05   5.52328344E-05  
  93               4.91998947E+01   1.66846111E+03   8.38374753E-01   1.60374230E-01   3.25181597E-04   5.81275401E-04   1.09532727E-05   2.05483250E-04   2.40002833E-05   5.52655595E-05  
  94               5.46862381E+01   1.71645698E+03   8.38389084E-01   1.60364159E-01   2.95800675E-04   5.70453859E-04   1.08812662E-05   2.34721558E-04   2.30449565E-05   5.52730497E-05  
  95               6.04753678E+01   1.76302429E+03   8.38407521E-01   1.60355296E-01   2.72082748E-04   5.48302171E-04   1.08538710E-05   2.58281494E-04   2.29934002E-05   5.52545688E-05  
  96               6.64707683E+01   1.80777288E+03   8.38415354E-01   1.60346473E-01   2.50517390E-04   5.31164651E-04   1.08582559E-05   2.79673708E-04   2.28951621E-05   5.52178060E-05  
  97               7.24487154E+01   1.84913886E+03   8.38405679E-01   1.60336904E-01   2.31024229E-04   5.22090230E-04   1.08922876E-05   2.98986848E-04   2.27076502E-05   5.51661496E-05  
  98               7.88338738E+01   1.89056289E+03   8.38361861E-01   1.60323021E-01   2.10686314E-04   5.23950462E-04   1.09467761E-05   3.19123559E-04   2.23607062E-05   5.51025640E-05  
  99               8.50038478E+01   1.92791881E+03   8.38277627E-01   1.60307162E-01   1.85918165E-04   5.62497160E-04   1.10191438E-05   3.43733746E-04   2.15771432E-05   5.50417959E-05  
  100              9.08207618E+01   1.96133942E+03   8.38270957E-01   1.60302034E-01   1.75272756E-04   5.52025728E-04   1.10963683E-05   3.54207065E-04   2.15516161E-05   5.49710994E-05  
  101              9.71723667E+01   1.99572999E+03   8.38213323E-01   1.60288048E-01   1.65327383E-04   5.42249171E-04   1.11930670E-05   3.63931580E-04   2.15233949E-05   5.48844304E-05  
