# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(l)           Ar              
  57               1.55083633E+01   2.26340140E+02   8.38721959E-01   1.60587718E-01   5.31755540E-04   9.46322945E-06   1.21817975E-04   2.29978249E-05   0.00000000E+00   4.22387737E-06  
  58               1.76483952E+01   2.35426545E+02   8.38684596E-01   1.60580564E-01   5.31731851E-04   9.50138844E-06   1.21812549E-04   2.29968004E-05   0.00000000E+00   4.22368920E-06  
  59               2.01225549E+01   2.44880478E+02   8.38684596E-01   1.60580564E-01   5.31731851E-04   5.40105016E-05   1.21812549E-04   2.29968004E-05   0.00000000E+00   4.22368920E-06  
  60               2.29970572E+01   2.54996963E+02   8.38510524E-01   1.60547235E-01   5.31621489E-04   5.41277937E-05   1.21787266E-04   2.29920274E-05   0.00000000E+00   4.22281256E-06  
  61               2.63256211E+01   2.65523425E+02   8.38510524E-01   1.60547235E-01   5.31621489E-04   2.61552383E-04   1.21787266E-04   2.29920274E-05   0.00000000E+00   4.22281256E-06  
  62               3.01186809E+01   2.76552208E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   2.61416977E-04   1.21724007E-04   2.29800849E-05   5.19418083E-04   4.22061916E-06  
  63               3.43827429E+01   2.87711019E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80835060E-04   1.21724007E-04   2.29800849E-05   0.00000000E+00   4.22061916E-06  
  64               3.90958180E+01   2.99088410E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80835060E-04   1.21724007E-04   2.29800849E-05   0.00000000E+00   4.22061916E-06  
  65               4.44837884E+01   3.10832962E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80835060E-04   1.21724007E-04   2.29800849E-05   0.00000000E+00   4.22061916E-06  
  66               5.06023903E+01   3.23147906E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80835046E-04   1.21724007E-04   2.29800849E-05   0.00000000E+00   4.22061916E-06  
  67               5.75053943E+01   3.35702685E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80835046E-04   1.21724007E-04   2.29800849E-05   0.00000000E+00   4.22061916E-06  
  68               6.52654539E+01   3.48750597E+02   8.38074986E-01   1.60463844E-01   5.31345355E-04   7.80834978E-04   1.21724007E-04   2.29800849E-05   0.00000000E+00   4.22061916E-06  
