# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               OH              
  52               1.57690194E-01   2.95789945E+03   5.93158568E-01   2.66960742E-01   1.38845810E-01   4.59727197E-04   2.77701738E-04   5.74749834E-05   4.80955973E-05   4.17012485E-05  
  53               1.74455770E-01   2.98407793E+03   5.86704601E-01   2.73981424E-01   1.38282992E-01   4.57863544E-04   2.73727959E-04   5.72204203E-05   4.78978540E-05   4.35486441E-05  
  54               1.92812785E-01   3.00988798E+03   5.80554054E-01   2.80672018E-01   1.37746620E-01   4.56087406E-04   2.69860300E-04   5.69760628E-05   4.77091645E-05   4.53541120E-05  
  55               2.12894788E-01   3.03612198E+03   5.74201900E-01   2.87581903E-01   1.37192658E-01   4.54252971E-04   2.65825142E-04   5.67237704E-05   4.75142749E-05   4.72239233E-05  
  56               2.34843439E-01   3.06195944E+03   5.68180660E-01   2.94131785E-01   1.36667541E-01   4.52513978E-04   2.61921485E-04   5.64826251E-05   4.73292618E-05   4.90404573E-05  
  57               2.58813863E-01   3.08823630E+03   5.61956907E-01   3.00901932E-01   1.36124754E-01   4.50716410E-04   2.57852504E-04   5.62334971E-05   4.71380165E-05   5.09176570E-05  
  58               2.84975486E-01   3.11411955E+03   5.56072995E-01   3.07302356E-01   1.35611592E-01   4.49016850E-04   2.53930791E-04   5.59957783E-05   4.69569079E-05   5.27346432E-05  
  59               3.13513330E-01   3.14049918E+03   5.49963090E-01   3.13948578E-01   1.35078710E-01   4.47251911E-04   2.49833054E-04   5.57492111E-05   4.67688519E-05   5.46136495E-05  
  60               3.44628553E-01   3.16653109E+03   5.44175914E-01   3.20243678E-01   1.34573961E-01   4.45580022E-04   2.45882736E-04   5.55133739E-05   4.65904054E-05   5.64318752E-05  
  61               3.78540154E-01   3.19314058E+03   5.38125962E-01   3.26824573E-01   1.34046284E-01   4.43832105E-04   2.41736945E-04   5.52673484E-05   4.64038943E-05   5.83163972E-05  
  62               4.15485583E-01   3.21946565E+03   5.32371019E-01   3.33084487E-01   1.33544322E-01   4.42169205E-04   2.37731050E-04   5.50309941E-05   4.62261445E-05   6.01423947E-05  
  63               4.55723649E-01   3.24643929E+03   5.26324936E-01   3.39661031E-01   1.33016957E-01   4.40422047E-04   2.33514217E-04   5.47834184E-05   4.60394674E-05   6.20367526E-05  
  64               4.99535821E-01   3.27316481E+03   5.20564231E-01   3.45927053E-01   1.32514466E-01   4.38757090E-04   2.29439577E-04   5.45450991E-05   4.58612483E-05   6.38710990E-05  
  65               5.47230032E-01   3.30057787E+03   5.14506666E-01   3.52515902E-01   1.31986070E-01   4.37006167E-04   2.25152167E-04   5.42953322E-05   4.56739219E-05   6.57703322E-05  
  66               5.99142985E-01   3.32774179E+03   5.08749654E-01   3.58777702E-01   1.31483872E-01   4.35341780E-04   2.21024348E-04   5.40552781E-05   4.54954967E-05   6.76029389E-05  
  67               6.55645411E-01   3.35559213E+03   5.02717769E-01   3.65338379E-01   1.30957684E-01   4.33597708E-04   2.16699941E-04   5.38045223E-05   4.53086176E-05   6.94905929E-05  
  68               7.17145070E-01   3.38315745E+03   4.97024519E-01   3.71530560E-01   1.30461014E-01   4.31951108E-04   2.12567383E-04   5.35647219E-05   4.51317700E-05   7.13008680E-05  
  69               7.84091997E-01   3.41140407E+03   4.91082876E-01   3.77992784E-01   1.29942661E-01   4.30232382E-04   2.08258498E-04   5.33151010E-05   4.49472538E-05   7.31555912E-05  
  70               8.56979824E-01   3.43936787E+03   4.85494466E-01   3.84070612E-01   1.29455098E-01   4.28615265E-04   2.04159090E-04   5.30768194E-05   4.47731871E-05   7.49282737E-05  
  71               9.36350869E-01   3.46806430E+03   4.79650407E-01   3.90426343E-01   1.28945217E-01   4.26923814E-04   1.99882622E-04   5.28283939E-05   4.45912183E-05   7.67419053E-05  
  72               1.02279737E+00   3.49652501E+03   4.74146187E-01   3.96412232E-01   1.28464958E-01   4.25330001E-04   1.95814490E-04   5.25906932E-05   4.44192714E-05   7.84751238E-05  
  73               1.11696788E+00   3.52579960E+03   4.68361855E-01   4.02702610E-01   1.27960244E-01   4.23654638E-04   1.91557182E-04   5.23419244E-05   4.42386702E-05   8.02485221E-05  
  74               1.21956868E+00   3.55491768E+03   4.62884666E-01   4.08658707E-01   1.27482301E-01   4.22067330E-04   1.87493294E-04   5.21025930E-05   4.40670820E-05   8.19466105E-05  
  75               1.33137171E+00   3.58495812E+03   4.57088480E-01   4.14961579E-01   1.26976510E-01   4.20387038E-04   1.83218315E-04   5.18507835E-05   4.38856554E-05   8.36851959E-05  
  76               1.45321770E+00   3.61492771E+03   4.51564138E-01   4.20968588E-01   1.26494415E-01   4.18784413E-04   1.79118911E-04   5.16070498E-05   4.37121562E-05   8.53528279E-05  
  77               1.58602988E+00   3.64589148E+03   4.45706367E-01   4.27338095E-01   1.25983214E-01   4.17084361E-04   1.74802273E-04   5.13503036E-05   4.35283731E-05   8.70545196E-05  
  78               1.73082027E+00   3.67681447E+03   4.40119525E-01   4.33412795E-01   1.25495634E-01   4.15461452E-04   1.70664969E-04   5.11014727E-05   4.33524666E-05   8.86824588E-05  
  79               1.88870702E+00   3.70876027E+03   4.34212818E-01   4.39835320E-01   1.24980141E-01   4.13744659E-04   1.66322799E-04   5.08400670E-05   4.31666728E-05   9.03317782E-05  
  80               2.06091868E+00   3.74068307E+03   4.28584895E-01   4.45954604E-01   1.24488964E-01   4.12106906E-04   1.62168805E-04   5.05867035E-05   4.29889663E-05   9.19030786E-05  
  81               2.24881438E+00   3.77364674E+03   4.22658918E-01   4.52398121E-01   1.23971788E-01   4.10381026E-04   1.57827929E-04   5.03214734E-05   4.28020154E-05   9.34811726E-05  
  82               2.45389113E+00   3.80658355E+03   4.17032342E-01   4.58516107E-01   1.23480742E-01   4.08739586E-04   1.53691663E-04   5.00648239E-05   4.26237411E-05   9.49756559E-05  
  83               2.67780783E+00   3.84056623E+03   4.11137935E-01   4.64925591E-01   1.22966345E-01   4.07017939E-04   1.49392061E-04   4.97972778E-05   4.24371129E-05   9.64613374E-05  
  84               2.92238811E+00   3.87455557E+03   4.05543343E-01   4.71009194E-01   1.22478124E-01   4.05379984E-04   1.45299563E-04   4.95381254E-05   4.22591373E-05   9.78615649E-05  
  85               3.18964189E+00   3.90968333E+03   3.99665730E-01   4.77400902E-01   1.21965235E-01   4.03656155E-04   1.41038082E-04   4.92674857E-05   4.20723319E-05   9.92427235E-05  
  86               3.48177120E+00   3.94491328E+03   3.94056956E-01   4.83500444E-01   1.21475821E-01   4.02005703E-04   1.36965808E-04   4.90039860E-05   4.18932101E-05   1.00539364E-04  
  87               3.80120364E+00   3.98138798E+03   3.88146407E-01   4.89928495E-01   1.20960104E-01   4.00262018E-04   1.32717913E-04   4.87283117E-05   4.17046755E-05   1.01804460E-04  
  88               4.15060223E+00   4.01805016E+03   3.82482111E-01   4.96088901E-01   1.20465889E-01   3.98583145E-04   1.28647546E-04   4.84588253E-05   4.15231055E-05   1.02983222E-04  
