# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               H2O              O-3P             Mg               Fe              
  69               8.05422106E-02   3.53036786E+03   7.77877788E-01   1.23471856E-01   9.78783207E-02   3.24060017E-04   1.60082540E-05   1.80778533E-04   4.06950913E-05   3.39239425E-05  
  70               8.89529389E-02   3.55534446E+03   7.78989050E-01   1.22448527E-01   9.77889050E-02   3.23757407E-04   1.56037965E-05   1.81808990E-04   4.06523766E-05   3.38921891E-05  
  71               9.82225190E-02   3.60234205E+03   7.89093937E-01   1.13155981E-01   9.69782861E-02   3.21055059E-04   1.30754264E-05   1.87072421E-04   4.03132185E-05   3.36108601E-05  
  72               1.08442105E-01   3.62987664E+03   7.90774418E-01   1.11609603E-01   9.68432934E-02   3.20596231E-04   1.25969145E-05   1.88373772E-04   4.02515353E-05   3.35632926E-05  
  73               1.19705902E-01   3.67748942E+03   7.99750328E-01   1.03355754E-01   9.61233665E-02   3.18182344E-04   1.05998172E-05   1.93079901E-04   3.99499320E-05   3.33133705E-05  
  74               1.32121521E-01   3.70717941E+03   8.01700206E-01   1.01562066E-01   9.59668529E-02   3.17643200E-04   1.01283989E-05   1.94482671E-04   3.98792147E-05   3.32583184E-05  
  75               1.45795891E-01   3.75562438E+03   8.09695643E-01   9.42102645E-02   9.53256776E-02   3.15470485E-04   8.54978983E-06   1.98651621E-04   3.96102005E-05   3.30356634E-05  
  76               1.60856991E-01   3.78876312E+03   8.12223566E-01   9.18854335E-02   9.51228861E-02   3.14760060E-04   8.03706166E-06   2.00265142E-04   3.95204083E-05   3.29645760E-05  
  77               1.77424574E-01   3.83914537E+03   8.19592702E-01   8.51098406E-02   9.45320193E-02   3.12718315E-04   6.75969677E-06   2.04021172E-04   3.92723442E-05   3.27593519E-05  
  78               1.95643574E-01   3.87729782E+03   8.22931922E-01   8.20393440E-02   9.42642394E-02   3.11754235E-04   6.19346393E-06   2.05912602E-04   3.91560547E-05   3.26657891E-05  
  79               2.15637682E-01   3.93043448E+03   8.29803712E-01   7.57212276E-02   9.37133062E-02   3.09776582E-04   5.16731958E-06   2.09295864E-04   3.89247980E-05   3.24744218E-05  
  80               2.37552169E-01   3.97379472E+03   8.33696096E-01   7.21423027E-02   9.34012192E-02   3.08587349E-04   4.61578631E-06   2.11327961E-04   3.87907407E-05   3.23655707E-05  
  81               2.61498885E-01   4.02983148E+03   8.40001063E-01   6.63453828E-02   9.28957568E-02   3.06629411E-04   3.82081779E-06   2.14345181E-04   3.85786706E-05   3.21899910E-05  
  82               2.87605290E-01   4.07762829E+03   8.44021108E-01   6.26491056E-02   9.25734509E-02   3.05253331E-04   3.34872803E-06   2.16376557E-04   3.84409712E-05   3.20776641E-05  
  83               3.15960571E-01   4.13607221E+03   8.49625076E-01   5.74965602E-02   9.21241772E-02   3.03237446E-04   2.76160966E-06   2.19101393E-04   3.82525218E-05   3.19215864E-05  
  84               3.46665818E-01   4.18777753E+03   8.53528776E-01   5.39070805E-02   9.18111773E-02   3.01597820E-04   2.38587181E-06   2.21175590E-04   3.81193002E-05   3.18125549E-05  
  85               3.79783526E-01   4.24924805E+03   8.58553098E-01   4.92870842E-02   9.14083130E-02   2.99266381E-04   1.95538969E-06   2.23915707E-04   3.79506138E-05   3.16726193E-05  
  86               4.15371831E-01   4.30648660E+03   8.62463455E-01   4.56909941E-02   9.10946989E-02   2.97006185E-04   1.65300641E-06   2.26404942E-04   3.78181632E-05   3.15635034E-05  
  87               4.53445949E-01   4.37309926E+03   8.67136191E-01   4.13933852E-02   9.07198701E-02   2.93789224E-04   1.33391611E-06   2.29771497E-04   3.76620809E-05   3.14334084E-05  
  88               4.94007145E-01   4.43701837E+03   8.70978946E-01   3.78583058E-02   9.04114723E-02   2.90243852E-04   1.10147190E-06   2.33330956E-04   3.75330947E-05   3.13262707E-05  
  89               5.37039998E-01   4.50871308E+03   8.75150715E-01   3.40195552E-02   9.00764878E-02   2.85260236E-04   8.80538511E-07   2.38215368E-04   3.73945121E-05   3.12101133E-05  
  90               5.82532013E-01   4.57814187E+03   8.78618006E-01   3.08275051E-02   8.97977889E-02   2.79416519E-04   7.19846076E-07   2.43855163E-04   3.72789046E-05   3.11134107E-05  
  91               6.30468785E-01   4.65467848E+03   8.82202905E-01   2.75253166E-02   8.95092910E-02   2.71287004E-04   5.75060277E-07   2.51661026E-04   3.71604574E-05   3.10134811E-05  
  92               6.80832386E-01   4.72989118E+03   8.85234038E-01   2.47306500E-02   8.92648802E-02   2.61560545E-04   4.68500656E-07   2.60985001E-04   3.70600644E-05   3.09287992E-05  
  93               7.33603989E-01   4.81211636E+03   8.88270586E-01   2.19280128E-02   8.90194764E-02   2.48511350E-04   3.75213474E-07   2.73522733E-04   3.69603382E-05   3.08439246E-05  
  94               7.88731730E-01   4.89476023E+03   8.90903255E-01   1.94943732E-02   8.88060086E-02   2.33052930E-04   3.04391475E-07   2.88416557E-04   3.68738461E-05   3.07701186E-05  
  95               8.46150396E-01   4.98446472E+03   8.93459255E-01   1.71274953E-02   8.85979877E-02   2.13583241E-04   2.43437337E-07   3.07247190E-04   3.67905365E-05   3.06983329E-05  
  96               9.05784084E-01   5.07422839E+03   8.95633668E-01   1.51093259E-02   8.84201565E-02   1.92092022E-04   1.97059085E-07   3.28098887E-04   3.67196107E-05   3.06369942E-05  
  97               9.67539764E-01   5.16998481E+03   8.97663820E-01   1.32206489E-02   8.82533075E-02   1.67570096E-04   1.57592930E-07   3.51968730E-04   3.66538645E-05   3.05795541E-05  
  98               1.03126517E+00   5.26554740E+03   8.99374502E-01   1.16248390E-02   8.81119218E-02   1.42811902E-04   1.26967340E-07   3.76125096E-04   3.65984726E-05   3.05309137E-05  
  99               1.09674287E+00   5.36587541E+03   9.00928113E-01   1.01720387E-02   8.79828961E-02   1.17561099E-04   1.01017836E-07   4.00814524E-04   3.65485902E-05   3.04866163E-05  
  100              1.16369006E+00   5.46485674E+03   9.02218334E-01   8.96240998E-03   8.78752184E-02   9.47418811E-05   8.08542860E-08   4.23150303E-04   3.65072451E-05   3.04496768E-05  
  101              1.23175519E+00   5.56744376E+03   9.03373778E-01   7.87683006E-03   8.77784427E-02   7.39538744E-05   6.39393142E-08   4.43511539E-04   3.64706562E-05   3.04165544E-05  
