# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                H2S              CO              
  68               2.00118017E+01   9.02352132E+02   8.38098036E-01   1.60456910E-01   5.31318643E-04   7.80150779E-04   8.14276254E-05   4.38793333E-11   2.29870446E-05   3.69389036E-09  
  69               2.39306684E+01   9.49009338E+02   8.38103178E-01   1.60455596E-01   5.31306412E-04   7.80162028E-04   7.34104021E-05   1.73778244E-10   2.30178182E-05   1.15272592E-08  
  70               2.85113874E+01   1.00074158E+03   8.38107165E-01   1.60454396E-01   5.31283083E-04   7.80171115E-04   6.65232927E-05   5.81295320E-10   2.31304060E-05   3.07999760E-08  
  71               3.38022796E+01   1.04926156E+03   8.38110243E-01   1.60453232E-01   5.31230728E-04   7.80157268E-04   6.02134450E-05   1.87042877E-09   2.35590735E-05   7.91465122E-08  
  72               3.98893447E+01   1.10281315E+03   8.38112530E-01   1.60452295E-01   5.31132428E-04   7.80127286E-04   5.53157862E-05   5.08270038E-09   2.39625540E-05   1.74069606E-07  
  73               4.68443523E+01   1.15050643E+03   8.38114661E-01   1.60451550E-01   5.30958344E-04   7.80055428E-04   5.13845060E-05   1.23934480E-08   2.42841950E-05   3.45211212E-07  
  74               5.47441601E+01   1.19749418E+03   8.38116592E-01   1.60451034E-01   5.30690492E-04   7.79925303E-04   4.87739096E-05   2.68901762E-08   2.42839066E-05   6.10591422E-07  
  75               6.36536416E+01   1.24130188E+03   8.38118259E-01   1.60450572E-01   5.30280070E-04   7.79666301E-04   4.68039313E-05   5.50087847E-08   2.42835047E-05   1.01822393E-06  
  76               7.37157412E+01   1.28647680E+03   8.38119752E-01   1.60450142E-01   5.29696677E-04   7.79243238E-04   4.53932909E-05   1.05665286E-07   2.42829436E-05   1.59819155E-06  
  77               8.50805952E+01   1.33032919E+03   8.38121391E-01   1.60449657E-01   5.28847522E-04   7.78568220E-04   4.42025425E-05   1.97415717E-07   2.42821159E-05   2.44245352E-06  
  78               9.78558710E+01   1.37660458E+03   8.38123198E-01   1.60449107E-01   5.27679741E-04   7.77582722E-04   4.32791269E-05   3.55058527E-07   2.42809237E-05   3.60320609E-06  
  79               1.12143493E+02   1.42249812E+03   8.38125472E-01   1.60448399E-01   5.26024793E-04   7.76124560E-04   4.24158726E-05   6.29497178E-07   2.42791186E-05   5.24732826E-06  
  80               1.28069078E+02   1.47145749E+03   8.38128212E-01   1.60447507E-01   5.23787401E-04   7.74099093E-04   4.16886680E-05   1.08886611E-06   2.42763480E-05   7.46839491E-06  
  81               1.45833905E+02   1.52092773E+03   8.38131711E-01   1.60446297E-01   5.20670844E-04   7.71240477E-04   4.09567283E-05   1.87167199E-06   2.42715570E-05   1.05593259E-05  
  82               1.65594037E+02   1.57423666E+03   8.38135702E-01   1.60444715E-01   5.16580728E-04   7.67484092E-04   4.03247143E-05   3.14447312E-06   2.42624287E-05   1.46108107E-05  
  83               1.87388506E+02   1.62756059E+03   8.38134624E-01   1.60441692E-01   5.11424706E-04   7.62865025E-04   3.97902879E-05   5.13305185E-06   2.42428951E-05   1.97071526E-05  
  84               2.11189491E+02   1.68046300E+03   8.38127296E-01   1.60438217E-01   5.05087287E-04   7.63957398E-04   3.94474954E-05   8.08853717E-06   2.39486286E-05   2.59628222E-05  
  85               2.36987031E+02   1.73273801E+03   8.38119894E-01   1.60434413E-01   4.97876196E-04   7.64208914E-04   3.92727283E-05   1.23324739E-05   2.36603355E-05   3.30653993E-05  
  86               2.64877055E+02   1.78440065E+03   8.38116951E-01   1.60431246E-01   4.89900775E-04   7.63731975E-04   3.92436330E-05   1.82699719E-05   2.33820781E-05   4.09026726E-05  
  87               2.95180704E+02   1.83583694E+03   8.38117515E-01   1.60427653E-01   4.81502257E-04   7.56696676E-04   3.93427203E-05   2.64044389E-05   2.33717145E-05   4.91229169E-05  
  88               3.28144275E+02   1.88722279E+03   8.38111047E-01   1.60423119E-01   4.72505149E-04   7.51224999E-04   3.95557641E-05   3.73082602E-05   2.33338877E-05   5.78928285E-05  
  89               3.63750318E+02   1.93824984E+03   8.38091611E-01   1.60417138E-01   4.62839034E-04   7.50253625E-04   3.98683933E-05   5.15353174E-05   2.32386346E-05   6.72762290E-05  
  90               4.01607928E+02   1.98830499E+03   8.38050697E-01   1.60408970E-01   4.52156243E-04   7.58406117E-04   4.02707015E-05   6.97468151E-05   2.30456317E-05   7.76142971E-05  
  91               4.42396170E+02   2.03811183E+03   8.37989132E-01   1.60399142E-01   4.40295485E-04   7.77359653E-04   4.07510880E-05   9.25939150E-05   2.27571703E-05   8.90684743E-05  
  92               4.85815590E+02   2.08724067E+03   8.37933389E-01   1.60390207E-01   4.28968495E-04   7.91540035E-04   4.13009233E-05   1.20540152E-04   2.25243177E-05   9.99290313E-05  
  93               5.31007896E+02   2.13466058E+03   8.37891542E-01   1.60383017E-01   4.18854143E-04   7.96130114E-04   4.19101350E-05   1.54166718E-04   2.23936438E-05   1.09514596E-04  
  94               5.78926879E+02   2.18152570E+03   8.37861692E-01   1.60376861E-01   4.10535408E-04   7.88420153E-04   4.25679693E-05   1.93669919E-04   2.23789146E-05   1.17238414E-04  
  95               6.28480473E+02   2.22669799E+03   8.37825808E-01   1.60370499E-01   4.02871189E-04   7.81425691E-04   4.32546131E-05   2.38679632E-04   2.23608843E-05   1.24250373E-04  
  96               6.77646757E+02   2.26873037E+03   8.37783392E-01   1.60363826E-01   3.95911619E-04   7.75194394E-04   4.39603048E-05   2.88964484E-04   2.23401829E-05   1.30506277E-04  
  97               7.28309670E+02   2.30943934E+03   8.37735196E-01   1.60357356E-01   3.89275549E-04   7.71059766E-04   4.46930703E-05   3.45930151E-04   2.23194480E-05   1.36376674E-04  
  98               7.83712369E+02   2.35143159E+03   8.37668734E-01   1.60348393E-01   3.83041078E-04   7.67458937E-04   4.54603696E-05   4.10498024E-04   2.22957179E-05   1.41762749E-04  
  99               8.40934863E+02   2.39219835E+03   8.37598018E-01   1.60339463E-01   3.77399036E-04   7.64529183E-04   4.62214253E-05   4.79410725E-04   2.22708282E-05   1.46523862E-04  
  100              8.91826574E+02   2.42660762E+03   8.37529656E-01   1.60330993E-01   3.72850628E-04   7.60990274E-04   4.69217234E-05   5.46862687E-04   2.22445227E-05   1.50226967E-04  
  101              9.35421649E+02   2.45472862E+03   8.37474511E-01   1.60325051E-01   3.69025391E-04   7.58097487E-04   4.75544908E-05   6.10563932E-04   2.22203976E-05   1.53272490E-04  
