# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             Mg               OH              
  51               1.06522919E-02   2.78461305E+03   4.03075161E-01   4.73742563E-01   1.22270899E-01   4.04848966E-04   1.83165481E-04   4.56576964E-05   5.08979751E-05   6.19027663E-05  
  52               1.22900178E-02   2.81248161E+03   3.95526577E-01   4.81954382E-01   1.21612356E-01   4.02669052E-04   1.77106145E-04   4.84914920E-05   5.06185151E-05   6.36407930E-05  
  53               1.41558151E-02   2.84355175E+03   3.85129451E-01   4.93265007E-01   1.20705337E-01   3.99666512E-04   1.69132407E-04   5.23850181E-05   5.02356348E-05   6.56632447E-05  
  54               1.62749987E-02   2.87155098E+03   3.78017635E-01   5.01001654E-01   1.20084863E-01   3.97612606E-04   1.63295217E-04   5.52973314E-05   4.99715379E-05   6.72132372E-05  
  55               1.86751831E-02   2.90258087E+03   3.68273698E-01   5.11601656E-01   1.19234784E-01   3.94798551E-04   1.55697990E-04   5.92496395E-05   4.96119231E-05   6.89631395E-05  
  56               2.13856044E-02   2.93036783E+03   3.61824198E-01   5.18617736E-01   1.18672062E-01   3.92935800E-04   1.50302684E-04   6.21064634E-05   4.93713467E-05   7.02902295E-05  
  57               2.44383604E-02   2.96125211E+03   3.52737840E-01   5.28502305E-01   1.17879319E-01   3.90311513E-04   1.43165741E-04   6.60457121E-05   4.90351472E-05   7.17625215E-05  
  58               2.78676866E-02   2.98892868E+03   3.46768451E-01   5.34996003E-01   1.17358463E-01   3.88587304E-04   1.38144989E-04   6.88607947E-05   4.88114784E-05   7.28886771E-05  
  59               3.17113658E-02   3.01996492E+03   3.38013318E-01   5.44520125E-01   1.16594597E-01   3.86058540E-04   1.31311010E-04   7.28584100E-05   4.84868822E-05   7.41108756E-05  
  60               3.60084866E-02   3.04805845E+03   3.32021945E-01   5.51037611E-01   1.16071813E-01   3.84327861E-04   1.26370566E-04   7.58008293E-05   4.82619672E-05   7.50682649E-05  
  61               4.08018609E-02   3.07966961E+03   3.23224569E-01   5.60607514E-01   1.15304246E-01   3.81786741E-04   1.19643868E-04   7.99821392E-05   4.79355033E-05   7.60471819E-05  
  62               4.61378891E-02   3.10840337E+03   3.17042197E-01   5.67332595E-01   1.14764791E-01   3.80000745E-04   1.14712875E-04   8.31142330E-05   4.77032746E-05   7.68223013E-05  
  63               5.20692158E-02   3.14055881E+03   3.08279245E-01   5.76864805E-01   1.14000215E-01   3.77469359E-04   1.08195566E-04   8.74320580E-05   4.73777516E-05   7.75325143E-05  
  64               5.86537848E-02   3.16970129E+03   3.02161437E-01   5.83519400E-01   1.13466381E-01   3.75701794E-04   1.03477426E-04   9.06349814E-05   4.71474552E-05   7.81039743E-05  
  65               6.59581603E-02   3.20205947E+03   2.93775413E-01   5.92641246E-01   1.12734672E-01   3.73278982E-04   9.74268545E-05   9.49146212E-05   4.68352257E-05   7.85432505E-05  
  66               7.40563839E-02   3.23116222E+03   2.88133762E-01   5.98777547E-01   1.12242364E-01   3.71648636E-04   9.31986193E-05   9.79837204E-05   4.66216597E-05   7.89278655E-05  
  67               8.30333304E-02   3.26348720E+03   2.80356339E-01   6.07236941E-01   1.11563730E-01   3.69401200E-04   8.77665820E-05   1.02087672E-04   4.63310015E-05   7.91357488E-05  
  68               9.29826212E-02   3.29268280E+03   2.75137564E-01   6.12912848E-01   1.11108295E-01   3.67892567E-04   8.39878088E-05   1.05026298E-04   4.61321535E-05   7.93678859E-05  
  69               1.04010610E-01   3.32538359E+03   2.67721966E-01   6.20978167E-01   1.10461204E-01   3.65749071E-04   7.90166618E-05   1.09046791E-04   4.58540951E-05   7.93733278E-05  
  70               1.16233998E-01   3.35527007E+03   2.62568715E-01   6.26582344E-01   1.10011464E-01   3.64258749E-04   7.54701121E-05   1.12015114E-04   4.56570357E-05   7.94548581E-05  
  71               1.29785272E-01   3.38895390E+03   2.55182097E-01   6.34615582E-01   1.09366877E-01   3.62122786E-04   7.07693546E-05   1.16103353E-04   4.53795640E-05   7.92506868E-05  
  72               1.44810231E-01   3.42007992E+03   2.49832967E-01   6.40432320E-01   1.08900026E-01   3.60574959E-04   6.73181272E-05   1.19229388E-04   4.51748779E-05   7.91586450E-05  
  73               1.61475480E-01   3.45504573E+03   2.42403030E-01   6.48512101E-01   1.08251636E-01   3.58425226E-04   6.28633319E-05   1.23420118E-04   4.48953849E-05   7.87359928E-05  
  74               1.79965516E-01   3.48751321E+03   2.36925384E-01   6.54468156E-01   1.07773554E-01   3.56838883E-04   5.95620376E-05   1.26674179E-04   4.46854773E-05   7.84680290E-05  
  75               2.00491391E-01   3.52373077E+03   2.29598850E-01   6.62435015E-01   1.07134175E-01   3.54717146E-04   5.54396228E-05   1.30891675E-04   4.44091977E-05   7.78454222E-05  
  76               2.23287137E-01   3.55744825E+03   2.24169046E-01   6.68338758E-01   1.06660267E-01   3.53142546E-04   5.23841906E-05   1.34183477E-04   4.42003458E-05   7.74237760E-05  
  77               2.48619249E-01   3.59485816E+03   2.17086220E-01   6.76040415E-01   1.06042168E-01   3.51088410E-04   4.86542353E-05   1.38346993E-04   4.39322439E-05   7.66332979E-05  
  78               2.76782964E-01   3.62972942E+03   2.11852454E-01   6.81731011E-01   1.05585396E-01   3.49567315E-04   4.59041475E-05   1.41591286E-04   4.37296689E-05   7.60900700E-05  
  79               3.08112250E-01   3.66837877E+03   2.05067573E-01   6.89108892E-01   1.04993345E-01   3.47594941E-04   4.25672716E-05   1.45655121E-04   4.34716004E-05   7.51579645E-05  
  80               3.42976154E-01   3.70478999E+03   1.99904271E-01   6.94723263E-01   1.04542782E-01   3.46089163E-04   4.00478650E-05   1.48899216E-04   4.32707606E-05   7.44757707E-05  
  81               3.81789971E-01   3.74527412E+03   1.93197144E-01   7.02017139E-01   1.03957596E-01   3.44132065E-04   3.69876037E-05   1.52952260E-04   4.30148495E-05   7.33636656E-05  
  82               4.25013099E-01   3.78392489E+03   1.87866286E-01   7.07814319E-01   1.03492493E-01   3.42569143E-04   3.45954756E-05   1.56295659E-04   4.28072940E-05   7.24810894E-05  
  83               4.73159617E-01   3.82681570E+03   1.81089218E-01   7.15184860E-01   1.02901288E-01   3.40579313E-04   3.17497246E-05   1.60382228E-04   4.25483357E-05   7.11440098E-05  
  84               5.26796932E-01   3.86795690E+03   1.75615301E-01   7.21138127E-01   1.02423775E-01   3.38959858E-04   2.95036737E-05   1.63780259E-04   4.23349906E-05   7.00474036E-05  
  85               5.86551853E-01   3.91317721E+03   1.68934770E-01   7.28404088E-01   1.01841056E-01   3.36976610E-04   2.69344752E-05   1.67774844E-04   4.20789134E-05   6.85186853E-05  
  86               6.53111133E-01   3.95668526E+03   1.63490699E-01   7.34325206E-01   1.01366196E-01   3.35339967E-04   2.48983551E-05   1.71102320E-04   4.18659279E-05   6.72459205E-05  
  87               7.27220851E-01   4.00429069E+03   1.56980158E-01   7.41406519E-01   1.00798351E-01   3.33369572E-04   2.26187264E-05   1.74930426E-04   4.16153617E-05   6.55527624E-05  
  88               8.09691325E-01   4.05049560E+03   1.51531742E-01   7.47332553E-01   1.00323151E-01   3.31686755E-04   2.07765033E-05   1.78175387E-04   4.14016331E-05   6.40966693E-05  
  89               9.01384537E-01   4.10084057E+03   1.45143798E-01   7.54280656E-01   9.97660348E-02   3.29688641E-04   1.87592144E-05   1.81838301E-04   4.11550401E-05   6.22391239E-05  
  90               1.00322352E+00   4.15014350E+03   1.39647792E-01   7.60258558E-01   9.92867143E-02   3.27912509E-04   1.70975324E-05   1.85010257E-04   4.09392697E-05   6.05943423E-05  
  91               1.11616217E+00   4.20377075E+03   1.33295022E-01   7.67168461E-01   9.87326960E-02   3.25811665E-04   1.53114397E-05   1.88555312E-04   4.06938714E-05   5.85631279E-05  
  92               1.24120011E+00   4.25662546E+03   1.27717591E-01   7.73234947E-01   9.82462989E-02   3.23868185E-04   1.38246855E-05   1.91691939E-04   4.04752538E-05   5.67341364E-05  
  93               1.37933773E+00   4.31349798E+03   1.21510700E-01   7.79986109E-01   9.77050227E-02   3.21610490E-04   1.22912261E-05   1.95118219E-04   4.02352532E-05   5.46006231E-05  
  94               1.53161236E+00   4.36927151E+03   1.16120924E-01   7.85848343E-01   9.72350021E-02   3.19475184E-04   1.10368278E-05   1.98171899E-04   4.00234433E-05   5.27217495E-05  
  95               1.69904617E+00   4.42871307E+03   1.10286625E-01   7.92193979E-01   9.67262213E-02   3.16991805E-04   9.78223164E-06   2.01500628E-04   3.97969307E-05   5.06249679E-05  
  96               1.88268983E+00   4.48726513E+03   1.05147668E-01   7.97783054E-01   9.62780667E-02   3.14512552E-04   8.74906181E-06   2.04606643E-04   3.95944213E-05   4.87741357E-05  
  97               2.08354579E+00   4.54980348E+03   9.95744204E-02   8.03844232E-01   9.57920315E-02   3.11531940E-04   7.71970119E-06   2.08120369E-04   3.93779561E-05   4.67323804E-05  
  98               2.30260859E+00   4.61202812E+03   9.45314980E-02   8.09328192E-01   9.53522187E-02   3.08352563E-04   6.85799556E-06   2.11640188E-04   3.91800002E-05   4.49049843E-05  
  99               2.54080046E+00   4.67837168E+03   8.91338215E-02   8.15197472E-01   9.48814389E-02   3.04439544E-04   6.01596812E-06   2.15767610E-04   3.89712411E-05   4.29471840E-05  
  100              2.79902693E+00   4.74465131E+03   8.42068847E-02   8.20554105E-01   9.44516633E-02   3.00069511E-04   5.31214251E-06   2.20166739E-04   3.87791331E-05   4.12126642E-05  
  101              3.07815330E+00   4.81471335E+03   7.90868246E-02   8.26119880E-01   9.40049819E-02   2.94663416E-04   4.64779557E-06   2.25444083E-04   3.85820125E-05   3.94459030E-05  
