# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                H2S              N2              
  72               9.74246802E+01   1.12461920E+03   8.38091395E-01   1.60457255E-01   5.31281663E-04   7.80197100E-04   8.62102646E-05   4.06753464E-09   2.42852181E-05   1.77543560E-05  
  73               1.11866228E+02   1.17020330E+03   8.38093792E-01   1.60456640E-01   5.31239915E-04   7.80257198E-04   8.25082667E-05   9.61277637E-09   2.42850259E-05   1.96051001E-05  
  74               1.28000233E+02   1.21553862E+03   8.38095878E-01   1.60456094E-01   5.31170980E-04   7.80303678E-04   7.93012673E-05   2.11498150E-08   2.42847784E-05   2.12083492E-05  
  75               1.46065255E+02   1.26020714E+03   8.38097609E-01   1.60455627E-01   5.31064752E-04   7.80324683E-04   7.66701722E-05   4.33595393E-08   2.42844494E-05   2.25236392E-05  
  76               1.66323859E+02   1.30413939E+03   8.38099005E-01   1.60455231E-01   5.30910775E-04   7.80307460E-04   7.45973063E-05   8.34225783E-08   2.42840043E-05   2.35597845E-05  
  77               1.88969178E+02   1.34886811E+03   8.38100277E-01   1.60454850E-01   5.30684597E-04   7.80231609E-04   7.27819463E-05   1.55246041E-07   2.42833668E-05   2.44670849E-05  
  78               2.14149290E+02   1.39372077E+03   8.38101387E-01   1.60454488E-01   5.30370099E-04   7.80076364E-04   7.12936037E-05   2.77485137E-07   2.42824716E-05   2.52107400E-05  
  79               2.42087442E+02   1.43991777E+03   8.38102479E-01   1.60454097E-01   5.29925308E-04   7.79803789E-04   6.99361931E-05   4.85776055E-07   2.42811662E-05   2.58886834E-05  
  80               2.73088891E+02   1.48668254E+03   8.38103465E-01   1.60453684E-01   5.29328734E-04   7.79389262E-04   6.88213679E-05   8.25243384E-07   2.42792730E-05   2.64449944E-05  
  81               3.07681652E+02   1.53529851E+03   8.38104416E-01   1.60453196E-01   5.28513245E-04   7.78779573E-04   6.78121414E-05   1.38303541E-06   2.42763049E-05   2.69479523E-05  
  82               3.46219932E+02   1.58505746E+03   8.38105157E-01   1.60452621E-01   5.27447189E-04   7.77964124E-04   6.69947296E-05   2.26770804E-06   2.42713116E-05   2.73542441E-05  
  83               3.88850311E+02   1.63523211E+03   8.38105417E-01   1.60451927E-01   5.26116626E-04   7.76942219E-04   6.64098459E-05   3.61551665E-06   2.42620590E-05   2.76432860E-05  
  84               4.35540368E+02   1.68543695E+03   8.38088332E-01   1.60447917E-01   5.24500072E-04   7.75835264E-04   6.60359782E-05   5.59894706E-06   2.42428084E-05   2.78243798E-05  
  85               4.86123368E+02   1.73520186E+03   8.38067899E-01   1.60446967E-01   5.22409085E-04   7.95099788E-04   6.58565105E-05   8.41141879E-06   2.34210252E-05   2.79080370E-05  
  86               5.40071948E+02   1.78394672E+03   8.38066707E-01   1.60445934E-01   5.20266254E-04   7.93174837E-04   6.58471461E-05   1.22417647E-05   2.34360793E-05   2.79050510E-05  
  87               5.97636309E+02   1.83183624E+03   8.38063712E-01   1.60444669E-01   5.17907953E-04   7.91368788E-04   6.59837894E-05   1.73355201E-05   2.34418251E-05   2.78272112E-05  
  88               6.60180313E+02   1.87988434E+03   8.38058707E-01   1.60443153E-01   5.15303587E-04   7.89641385E-04   6.62494539E-05   2.41134296E-05   2.34431480E-05   2.76825736E-05  
  89               7.29240799E+02   1.92885638E+03   8.38049096E-01   1.60441129E-01   5.12406194E-04   7.88953542E-04   6.66443725E-05   3.31464864E-05   2.34275516E-05   2.74703994E-05  
  90               8.06609890E+02   1.97950441E+03   8.38028201E-01   1.60437808E-01   5.09112703E-04   7.91435597E-04   6.71687375E-05   4.52484448E-05   2.33733211E-05   2.71895940E-05  
  91               8.93896241E+02   2.03212133E+03   8.37987634E-01   1.60432615E-01   5.05248478E-04   8.01746222E-04   6.78302514E-05   6.14178197E-05   2.32383300E-05   2.68354175E-05  
  92               9.92282184E+02   2.08667964E+03   8.37912512E-01   1.60424335E-01   5.00484412E-04   8.27561850E-04   6.86258020E-05   8.28339487E-05   2.29687572E-05   2.64084019E-05  
  93               1.10894233E+03   2.14593082E+03   8.37812059E-01   1.60415370E-01   4.94399063E-04   8.70781343E-04   6.96080083E-05   1.12494958E-04   2.25918552E-05   2.58809686E-05  
  94               1.23841415E+03   2.20599283E+03   8.37781339E-01   1.60411292E-01   4.89810488E-04   8.66889972E-04   7.07251056E-05   1.50628188E-04   2.25935001E-05   2.52817063E-05  
  95               1.37296341E+03   2.26313114E+03   8.37743759E-01   1.60406746E-01   4.85477346E-04   8.63356120E-04   7.18857189E-05   1.95708847E-04   2.25892227E-05   2.46571832E-05  
  96               1.53058183E+03   2.32447415E+03   8.37680435E-01   1.60398670E-01   4.80894505E-04   8.59800316E-04   7.32202369E-05   2.55145596E-04   2.25782309E-05   2.39354365E-05  
  97               1.68034255E+03   2.37797430E+03   8.37619038E-01   1.60392905E-01   4.76769768E-04   8.61773875E-04   7.44590519E-05   3.17542372E-04   2.25710713E-05   2.32642602E-05  
  98               1.81015978E+03   2.42124132E+03   8.37567112E-01   1.60387681E-01   4.73693521E-04   8.59885381E-04   7.55005496E-05   3.76014667E-04   2.25566523E-05   2.26979967E-05  
  99               1.96112183E+03   2.46832134E+03   8.37502227E-01   1.60381362E-01   4.70454436E-04   8.58019399E-04   7.66751696E-05   4.48490184E-04   2.25379053E-05   2.20576269E-05  
  100              2.13596756E+03   2.51920585E+03   8.37390135E-01   1.60367721E-01   4.67049223E-04   8.56233161E-04   7.79759764E-05   5.38065533E-04   2.25134345E-05   2.13434367E-05  
  101              2.27495048E+03   2.55709625E+03   8.37321923E-01   1.60361727E-01   4.64621450E-04   8.55129450E-04   7.89728533E-05   6.12880952E-04   2.24938156E-05   2.07965922E-05  
