# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(s)           Ar              
  90               4.43910775E+02   7.67649138E+02   8.38072948E-01   1.60463468E-01   5.31344103E-04   7.79096184E-04   1.21708185E-04   2.29804663E-05   0.00000000E+00   4.22060928E-06  
  91               4.99527642E+02   7.94317411E+02   8.38072950E-01   1.60463467E-01   5.31344095E-04   7.79096591E-04   1.21702214E-04   2.29804661E-05   0.00000000E+00   4.22060925E-06  
  92               5.60627271E+02   8.21595075E+02   8.38072950E-01   1.60463465E-01   5.31344082E-04   7.79097202E-04   1.21694659E-04   2.29804657E-05   0.00000000E+00   4.22060919E-06  
  93               6.28640784E+02   8.49052514E+02   8.38072949E-01   1.60463462E-01   5.31344064E-04   7.79098118E-04   1.21685036E-04   2.29804652E-05   0.00000000E+00   4.22060912E-06  
  94               7.06125774E+02   8.78191693E+02   8.38072931E-01   1.60463455E-01   5.31344031E-04   7.79099457E-04   1.21673005E-04   2.29804641E-05   0.00000000E+00   4.22060894E-06  
  95               7.96197932E+02   9.08725336E+02   8.38072899E-01   1.60463445E-01   5.31343981E-04   7.79101366E-04   1.21657632E-04   2.29804623E-05   0.00000000E+00   4.22060867E-06  
  96               9.02948868E+02   9.42183632E+02   8.38072829E-01   1.60463427E-01   5.31343896E-04   7.79104057E-04   1.21638306E-04   2.29804590E-05   0.00000000E+00   4.22060818E-06  
  97               1.03254118E+03   9.78475826E+02   8.38072713E-01   1.60463398E-01   5.31343762E-04   7.79106838E-04   1.21613504E-04   2.29828581E-05   0.00000000E+00   4.22060743E-06  
  98               1.19346906E+03   1.01951568E+03   8.38072601E-01   1.60463369E-01   5.31343605E-04   7.79111866E-04   1.21582651E-04   2.29867196E-05   0.00000000E+00   4.22060668E-06  
  99               1.39314401E+03   1.06432969E+03   8.38072482E-01   1.60463340E-01   5.31343401E-04   7.79117111E-04   1.21544503E-04   2.30037075E-05   0.00000000E+00   4.22060590E-06  
  100              1.64077278E+03   1.11401417E+03   8.38040542E-01   1.60457223E-01   5.31322960E-04   7.79090639E-04   1.21495244E-04   2.30544495E-05   0.00000000E+00   4.22044501E-06  
  101              1.94833033E+03   1.16751151E+03   8.37976730E-01   1.60445009E-01   5.31282263E-04   7.79030059E-04   1.21436946E-04   2.31398861E-05   0.00000000E+00   4.22012375E-06  
