# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                H2S              CO              
  61               1.74888536E+01   7.55405007E+02   8.38076485E-01   1.60462340E-01   7.80179587E-04   5.31340349E-04   1.14694800E-04   1.82591329E-13   2.29824555E-05   1.77379293E-11  
  62               2.06823747E+01   7.93405785E+02   8.38078699E-01   1.60461770E-01   7.80179562E-04   5.31338405E-04   1.11231174E-04   8.77006404E-13   2.29823737E-05   6.72647933E-11  
  63               2.44358815E+01   8.34376041E+02   8.38081490E-01   1.60461028E-01   7.80180689E-04   5.31335779E-04   1.06787175E-04   3.74010054E-12   2.29822671E-05   2.28966680E-10  
  64               2.88327742E+01   8.75552164E+02   8.38084863E-01   1.60460146E-01   7.80184764E-04   5.31332336E-04   1.01464789E-04   1.50547852E-11   2.29821397E-05   7.37073908E-10  
  65               3.39559139E+01   9.19608391E+02   8.38088530E-01   1.60459209E-01   7.80192791E-04   5.31327811E-04   9.57473590E-05   5.40700148E-11   2.29876663E-05   2.13166943E-09  
  66               3.99113433E+01   9.63554160E+02   8.38092379E-01   1.60458222E-01   7.80205266E-04   5.31320804E-04   8.97291326E-05   1.83362522E-10   2.30132232E-05   5.83154295E-09  
  67               4.67882542E+01   1.01025948E+03   8.38095794E-01   1.60457239E-01   7.80218824E-04   5.31308890E-04   8.39801825E-05   5.58110829E-10   2.30997176E-05   1.44250862E-08  
  68               5.46509764E+01   1.05612247E+03   8.38098610E-01   1.60456242E-01   7.80225955E-04   5.31286237E-04   7.84783761E-05   1.59675901E-09   2.33610729E-05   3.36612910E-08  
  69               6.35441594E+01   1.10411304E+03   8.38100728E-01   1.60455341E-01   7.80228201E-04   5.31245774E-04   7.37107650E-05   4.09562583E-09   2.37697092E-05   7.09573507E-08  
  70               7.35969761E+01   1.14982253E+03   8.38102585E-01   1.60454597E-01   7.80231373E-04   5.31178672E-04   6.97452265E-05   9.44900523E-09   2.41173810E-05   1.35292122E-07  
  71               8.49742387E+01   1.19337211E+03   8.38104280E-01   1.60454050E-01   7.80228846E-04   5.31075143E-04   6.67566567E-05   1.99807763E-08   2.42844794E-05   2.36527036E-07  
  72               9.78051492E+01   1.23590392E+03   8.38105816E-01   1.60453632E-01   7.80200451E-04   5.30923557E-04   6.45224923E-05   3.93882485E-08   2.42841801E-05   3.85968734E-07  
  73               1.12184677E+02   1.27755773E+03   8.38107087E-01   1.60453270E-01   7.80116447E-04   5.30706407E-04   6.27804356E-05   7.39252027E-08   2.42837746E-05   6.00717271E-07  
  74               1.28186333E+02   1.31949105E+03   8.38108210E-01   1.60452932E-01   7.79954819E-04   5.30401702E-04   6.13787799E-05   1.33630366E-07   2.42832110E-05   9.02404276E-07  
  75               1.46023727E+02   1.36194040E+03   8.38109312E-01   1.60452580E-01   7.79682009E-04   5.29974480E-04   6.01695204E-05   2.35747476E-07   2.42824078E-05   1.32544358E-06  
  76               1.65941699E+02   1.40583834E+03   8.38110448E-01   1.60452193E-01   7.79256245E-04   5.29382867E-04   5.91088061E-05   4.07599028E-07   2.42812499E-05   1.91098192E-06  
  77               1.88197497E+02   1.45107012E+03   8.38111683E-01   1.60451738E-01   7.78620061E-04   5.28567077E-04   5.81434148E-05   6.94159059E-07   2.42795346E-05   2.71765497E-06  
