# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                N2              
  87               3.07019027E+02   1.71057222E+03   8.38099795E-01   1.60442123E-01   5.13696874E-04   7.78069142E-04   5.00351206E-05   2.37456972E-05   9.74230908E-06   3.58068398E-05  
  88               3.43489534E+02   1.76230404E+03   8.38092872E-01   1.60439563E-01   5.09241592E-04   7.78398617E-04   4.99246020E-05   2.35751753E-05   1.43945417E-05   3.58497232E-05  
  89               3.83203020E+02   1.81350080E+03   8.38087044E-01   1.60437244E-01   5.04287462E-04   7.78715698E-04   4.99766716E-05   2.34029245E-05   2.07446110E-05   3.58084041E-05  
  90               4.26248023E+02   1.86477729E+03   8.38080608E-01   1.60434344E-01   4.98909324E-04   7.75834309E-04   5.01621758E-05   2.33840786E-05   2.92531062E-05   3.56967090E-05  
  91               4.72594833E+02   1.91518135E+03   8.38065620E-01   1.60430507E-01   4.93054683E-04   7.75760827E-04   5.04752852E-05   2.33290010E-05   4.03327529E-05   3.55172696E-05  
  92               5.22534960E+02   1.96558041E+03   8.38035997E-01   1.60425157E-01   4.86567313E-04   7.81357229E-04   5.08912101E-05   2.32145793E-05   5.45302637E-05   3.52820280E-05  
  93               5.75557064E+02   2.01465716E+03   8.37991030E-01   1.60418596E-01   4.79354219E-04   7.94499498E-04   5.14110964E-05   2.30329043E-05   7.24922659E-05   3.49903776E-05  
  94               6.32222612E+02   2.06356026E+03   8.37943321E-01   1.60411816E-01   4.71969031E-04   8.06999725E-04   5.20195205E-05   2.28558076E-05   9.50232339E-05   3.46498224E-05  
  95               6.94369339E+02   2.11290454E+03   8.37892250E-01   1.60404669E-01   4.64625788E-04   8.18156974E-04   5.27121851E-05   2.26926562E-05   1.22518700E-04   3.42627425E-05  
  96               7.61636802E+02   2.16273904E+03   8.37842282E-01   1.60397802E-01   4.57454605E-04   8.26303667E-04   5.34757394E-05   2.25602809E-05   1.55824848E-04   3.38357252E-05  
  97               8.31460653E+02   2.21043021E+03   8.37797609E-01   1.60391627E-01   4.50749826E-04   8.28663083E-04   5.43176333E-05   2.24832066E-05   1.95867683E-04   3.33649509E-05  
  98               9.06123814E+02   2.25822849E+03   8.37756688E-01   1.60385834E-01   4.44656956E-04   8.24347786E-04   5.52209363E-05   2.24713755E-05   2.43476177E-04   3.28586914E-05  
  99               9.87804459E+02   2.30657624E+03   8.37699503E-01   1.60378052E-01   4.38752313E-04   8.20389252E-04   5.62045254E-05   2.24548604E-05   3.00693857E-04   3.23058069E-05  
  100              1.07463505E+03   2.35484409E+03   8.37657999E-01   1.60373387E-01   4.32781532E-04   8.18260275E-04   5.71511504E-05   2.24422492E-05   3.54540071E-04   3.17746661E-05  
  101              1.17597939E+03   2.40687235E+03   8.37553432E-01   1.60358972E-01   4.27117832E-04   8.14018006E-04   5.83329560E-05   2.24139953E-05   4.35967494E-04   3.11057343E-05  
